#漢字	音標	解釋
□	hɐu3	
□	na1	[kɐt5]~:节疤
□	na1	[kɐt2]~:吝啬
□	kʰa1	[ji21]~:现在
□	pɛ1	[hɐi55]~:詈语
□	ɬɐi1	[jim51]~:芫荽,一种香菜
□	jau1	[ji55]~:马虎
□	lɐu1	[ma55]~:猴子
□	tsɐu1	[sa55]~:好打扮､爱露脸
□	tsim1	[jim55]~:挑剔
□	naŋ1	[nuŋ55]~:窝囊,不整齐
□	kaŋ1	[na55]~:关系
□	lɔ2	[kʰɐm51]~:蜘蛛
□	kʰi2	[kʰɐm51]~:蟾蜍
□	hu2	[ma55]~:不错,颇,蛮
□	pʰai2	[ti55]~:这段
□	tsʰiu2	[at5]~:喷嚏
□	jɛ3	[mɛt5]~:什么
□	kɐi3	[ŋam55]~:和得来
□	kɐi3	[kiŋ55]~:聊天
□	kai5	[kɐp5]~:蛤蚧
□	nɐŋ5	[na55]~:关系
□	liŋ5	[tsʰɛ33]~:斜坡
□	tɐi6	[kʰɐi33]~:家伙
□	tɐu6	[ŋɐu21]~:不好说话,难打交道
□	aŋ6	[uŋ55]~:大雨后发出“你我”声音的哇
□	pɐŋ6	[hɐm21]~[lɐŋ21]:全､总
□	lɐŋ6	[hɐm21][pɐŋ21]~:全,总
□	ɬap8	[lap2]~:垃圾
□	tsɐt8	[tsɐt2]~:蟑螂
□	tsɛt7a	[tsit5]~虫:蝉
□	sɛt7a	[ŋɛt5]~:小气,吝啬
□	tak7a	[lak5]~:脏､不整洁
□	lɐk7a	[kɐk2]~底:咯吱窝
□	ɐk7a	[tsʰɐk5]~:打嗝
□	tʰat7b	[lat2]~:脏
□	ma1	~[lɐu55]:猴子
□	ma1	~[hu51]:不错,颇,蛮
□	na1	~[nɐŋ33]:关系
□	tsa1	~巾:毛巾
□	sa1	~[tsɐu55]:好打扮,爱露脸
□	mi1	~~[mɔ55][mɔ55]:不停地做,弄来弄去
□	ji1	~~[juk5][juk5]:动得厉害
□	ji1	~[jau55]:马虎
□	tsʰai1	~面:和面
□	jim1	~[tsim55]:挑剔
□	fɛn1	~屋:回家
□	nɐŋ1	~鸡:疤
□	tʰiŋ1	~日:明天
□	nuŋ1	~[naŋ55]:窝囊,不整齐
□	uŋ1	~[aŋ21]:大雨后发出“你我”声音的蛙
□	fu2	~[fɛt3]:放蛊
□	mui2	~肉:里脊肉
□	jim2	~[ɬɐi]:芫荽,一种香菜
□	hɛm2	~蛇:壁虎
□	kɐm2	~[kʰi51]:蟾蜍
□	kʰɐm2	~[lɔ51]:蜘蛛
□	ty3	~嘴:撅嘴
□	tan3	~水:焯
□	lɔŋ3	~口:漱口
□	kʰɐŋ3	~颈:噎着了
□	tsʰɛ5	~[liŋ]:斜坡
□	kʰɐi5	~[tɐi21]:家伙
□	sɛu5	~牙:牙参差不齐
□	pɐn5	~辫:梳辫子
□	ɬin5	~鸡:阉鸡(名词)
□	ŋa6	~~[tsa21]:碍事
□	sɛ6	~~炮:把哑炮或无引炮折断点燃
□	mi6	~水:潜水
□	ji6	~[kʰa]:现在
□	tai6	~个:别个
□	lai6	~尿:尿裤子
□	tsau6	~忌:忌讳
□	ŋɐu6	~[tɐu21]:不好说话,难打交道
□	kɛu6	~手:叉手
□	hɐm6	~[pɐŋ21][lɐŋ21]:全､总
□	hɔŋ6	~鸡:未成年的小母鸡
□	lɐŋ6	~[jɐŋ33]:窝囊,不整齐
□	lap8	~[ɬap2]:垃圾
□	lat8	~[tʰat3]:脏
□	kɐt8	~[tsɐt2]:蟑螂
□	kɐt8	~[na55]:吝啬
□	pɛt8	~~:词缀,软~~
□	kuɐt8	~头衫:无袖衣服
□	kɐk8	~[lɐk5]底:咯吱窝
□	pɐp7a	~烟:抽烟
□	tɐp7a	~头:低头
□	kɐp7a	~[kai33]:蛤蚧
□	kɛp7a	~钮:按扣
□	kɛp7a	~帽:鸭舌帽
□	kɐt7a	~[na55]:节疤
□	mɛt7a	~[jɛ35]:什么
□	fɛt7a	~~:哨子
□	ŋɛt7a	~[sɛt5]:小气,吝啬
□	ɛt7a	~馍:糍粑
□	tsit7a	~[tsɛt5]虫,蝉
□	tsʰyt7a	~~:蟋蟀
□	lak7a	~[tak5]:脏､不整洁
□	nɐk7a	~牙:□齿不清,粘牙
□	tsʰɐk7a	~[ɐk5]:打嗝
□	kʰɐk7a	~头:锄头
□	ŋɐk7a	~头:点头
□	kʰuɐk7a	~头:锄头
□	sap7b	~气:伤气
□	kap7b	~得来:和得来
□	pat7b	~足:蜈蚣
□	at7b	~[tsʰiu51]:喷嚏
□	pɔk7b	~[tɐi35]:占便宜
□	nam2	一~:大拇指与食指张开的长度,一步的距离
□	tam5	一~:一□
□	pʰak7a	一~:两臂平伸两手伸直的长度
□	sui1	不好
□	ɬɐn3	不面
□	maŋ3	不停地
□	mau1	东西糠了
□	muŋ1	东西很面
□	jɛ3	东西
□	pɛn1	两~:两半儿
□	nɛn1	乳房
□	kʰɐŋ5	人不好处
□	jɐŋ5	人犟,顽皮,东西乱,韧
□	kʰy3	他
□	ɐn5	估计
□	lɐm5	倒闭
□	kʰɐp7a	倒过来
□	sɐn3	傻,笨
□	mɐn1	内向
□	tsʰiak7b	冷得刺骨
□	tɐt8	凸
□	mɐp7a	凹
□	tɐi3	划算
□	kʰuɐk7a	划火柴
□	lɐk8	刺,荆条
□	tœk7b	剁
□	pʰɛn3	动词,把肉很平整很薄的剖开
□	juk7a	动
□	mɐn5	勉强,险
□	tsʰɐn2	匀~:均匀
□	ha6	占
□	liak7a	厉害,有本事
□	fi1	发票
□	ɬɐn2	发抖
□	tsɐn5	发抖
□	ŋam1	合意,满意,刚刚
□	kɐu6	团,块
□	tiaŋ6	地方
□	tat7b	地方,量词,处､个
□	mai2	坐~一起坐
□	uŋ1	埋,葬
□	tsɐt7a	塞
□	ɐt7a	塞
□	pʰaŋ1	大的搪瓷碗或金属碗
□	tsʰɐi2	大~:大家
□	la3	大把抓
□	ɐŋ6	大便时向下用力
□	tsyn5	头发旋儿
□	lɐp7a	套
□	hɐi1	女阴
□	hɛu2	女性不正经
□	tɛp7a	小□喝酒
□	pʰɛn3	尿~:尿布
□	fɛŋ5	屌你老~:詈语
□	ɛ6	屎
□	fɐt7a	屎~:屁股
□	pʰɛn3	左~:左撇子
□	jɐi2	差,次
□	lɛu1	干枯
□	tuk7a	底
□	nɐn3	弄
□	nɐm3	想
□	kuk8	憋着
□	fak7b	手甩､抽打
□	kɐt7a	扎
□	pʰɛ1	扑克
□	ŋɐu1	扑克牌的J
□	jin1	扑克牌的A
□	kʰiŋ1	扑克牌的K
□	mɐn3	扑克牌的Q
□	tsik7a	扑克牌的J
□	laŋ2	打~[kaŋ51]:赤身裸体
□	kaŋ2	打[laŋ51]~:赤身裸体
□	hap7b	打~浪:打哈欠
□	tʰit7b	打~脚:打赤脚
□	lak7b	打赤~:打赤膊
□	tɔŋ5	批~:用抹子抹平
□	lɔ3	找,娶
□	sɛp8	把整块肉､整只鸡放在清水中煮
□	ɬɐu3	抖
□	kɐt8	抬
□	lɐu1	拉近乎
□	mɐŋ1	拔,拉
□	lɛt7a	拖~鞋:拖鞋
□	uɐt7a	拗弯､绕远､拐弯
□	hɐn5	拜眼~:打盹儿
□	tsɐp7a	拾､捡
□	pɛu6	挤
□	tʰɐn5	挪
□	ɛn1	挺(肚子,胸
□	lɐt7a	掉､脱
□	uŋ3	推
□	tɛŋ5	掷
□	tsak8	掷､扔
□	tʰɛu3	提
□	kɐm6	摁,盖
□	kɛu6	撬:翘
