#漢字	音標	解釋
□	tsa3	ke35~兒地:习惯用语，意为真不得了
□	pʰa1	~水:本分，不狡猾
□	sa1	~脚鞋:洗澡后穿的，相当于拖鞋
□	tia1	~~:奶奶
□	lia1	~~儿:猪
□	lia1	~~屁股:屁股往下垮的样子
□	lia1	~壳袋子:蛇皮袋
□	tɕʰia1	~倒起:躲起来
□	tʂʰua1	~子:手断了的人口
□	tʂʰua1	~雨:淋雨
□	kua1	~咸地:很咸
□	tɕʰio1	~宝:捉弄人
□	tiɛ1	~个:这个
□	tɕʰyɛ1	~湿地:湿透的
□	pʰai1	~他地钱用:用欺骗的手段拿他的钱用
□	tʂʰuai1	~倒:蹲着
□	tei1	~人:颠簸
□	ʐau1	~过去:拐弯过去
□	tɕʰiou1	~树:爬树
□	lin1	~光:一点不剩
□	kaŋ1	~灰:灰四散开来
□	ia2	~~:姑姑
□	tʂʰɛ2	~命:挣扎的意思
□	liɛ2	~地:这里
□	tou2	~钱:凑钱
□	tʂan2	~真:真的，非常
□	pʰian2	~黄豆:打豆腐前把黄豆压碎片
□	tɕʰian2	~人:让人羡慕
□	lən2	~蛋:带壳煮熟的蛋
□	sən2	~蛋，鸡下蛋
□	tɕioŋ2	~~儿:皱纹，不光滑的东西
□	ka3	~肉:多余的肉
□	ka3	~~儿:儿语，肉
□	tʰia3	~皮:不着急的人
□	mɛ3	~起个脸:不高兴的样子
□	xɛ3	~气:急促地呼吸
□	mau3	~吃:随便吃多少都可以
□	tsʰən3	~紧，压紧
□	pʰaŋ3	~锁:一种碰一下就锁上的锁
□	tʂuaŋ3	~宝:不太聪明，灵活的人
□	ɕioŋ3	~了我一餐:骂了我一顿
□	ʐua5	~了一圈又回来哒:沿着弧线走
□	kɛ5	~人:绳子等勒得人痛
□	tɕyɛ5	~人:骂人
□	tsei5	~倒起:捉住
□	tsʰei5	~一下:擦一下
□	laŋ5	~子:巷子
□	pʰa1	一~屎:一摊屎
□	kʰɛ1	一~~儿粗:很细
□	toŋ1	一~车人:一满车人
□	pʰau2	一~:一十
□	sau2	一擦而过
□	ŋaŋ3	一口~气:装在坛子里的菜坏了的味道
□	xa5	一~都来哒:全都来了
□	kən2	上厕所时用力
□	tʂua3	不聪明，蠢
□	tʂua3	不聪明
□	pʰai3	东西乱~起:东西乱放
