#漢字	音標	解釋
□	tɕʰyːə2	
□	lu2	~饭:煮饭
□	xuɑ2	~儿:傩戏面具
□	ɕiːə3	~~门:囱门
□	xũːə3	~草:薅草
□	siɑ5	~饭:泡饭
□	tan7	伊~:这儿。非强调时常读轻声
□	kɑ7	何~儿:什么时候。疑“刻”之异读
□	tʰyːə5	名词，闪电
□	pʰɤŋ5	嗅;吻
□	sã6	小孩
□	ʂɯːə3	我，主要作宾语
□	mã3	未
□	xɑ5	灶~儿:灶膛
□	ȵĩːə5	瘪~:秕谷
□	lɔ5	稀，水分多
□	tɕi7	蚂公~:蚂蟆
□	ɕie1	蛤蟆~:蝌蚪
□	ɕĩːə2	边~:边上
□	mɤŋ1	近视
□	nɔ̃7	那，本书里写作“曩”
□	pʰɑ2	锁~儿:门钌铞
□	mi3	鞋~箩:针线筐
□	vu3	食物稀而烂
□	tsʰiːə2	魇住
□	syːə5	鸡~:鸡窝
㞞	sɤŋ2	精液
㪗	tʰe3	~开:抖开
一	i7	
丁	tã1	
七	tsʰi7	
万	ŋũːə6	
丈	tʂʰɔ̃3	
三	sɔ̃1	
上	ʂũːə3	~山
上	ʂũːə6	~面
下	xɯːə3	~降
下	xɯːə3	底~
下	xɯːə6	等一~
不	pɑ7	
与	y3	
丐	kʰuɑ5	
丑	tʂʰe3	~时
丑	tʂʰe3	~陋
專	tɕỹːə1	
且	tsʰiːə3	
丕	pʰi3	
世	ɕiːə5	
丘	tɕʰie1	
丙	pã3	
業	iːə6	
叢	tsʰɤŋ2	
東	tɤŋ1	
絲	sɿ1	
丞	ʂã2	
丢	te1	
兩	niɑ̃3	
嚴	ȵĩːə2	
喪	sũːə1	~事
喪	sɔ̃5	~失
个	kɔ5	
丫	ŋɯːə1	
中	tʂɤŋ1	当~
中	tʂɤŋ5	打~目标
丰	fɤŋ1	
串	tɕʰỹːə5	
臨	nan2	
丸	ŋũːə2	
丸	ȵỹːə2	
丹	tɔ̃1	
爲	vui2	~什么
爲	vui2	作~
主	tɕy3	
麗	liːə6	
舉	tɕy3	
乃	lɑ3	
久	tɕie3	
義	i6	
之	tʂi1	
烏	vu1	
乎	xu1	
乏	fuːə6	
樂	lɔ6	
樂	ŋɔ7	音~
喬	tɕʰiɯːə2	
乖	kuɑ1	
乘	ʂã2	
乙	i7	
九	tɕie3	
乞	tɕʰi7	
也	iɑ3	之乎者~
也	iːə3	副词
習	tsʰɑ6	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mɑ3	
亂	nũːə6	
乳	y3	
乾	tɕʰĩːə2	
了	liɑ3	~结，~解
爭	tʂɑ̃1	
事	ɕi6	
二	ɚ6	
于	y1	
虧	tɕʰyːə1	吃~
虧	kʰui1	多~
云	yan2	
互	xu6	
五	vu3	
井	tsã3	
亞	ŋɯːə5	
些	siːə1	
亡	ŋũːə2	
交	kɔ1	
亥	xuɑ3	
亦	iːə7	
產	ʂũːə3	
