#漢字	音標	解釋
□	wu10	(連讀音Ⅱ)~□jiɐŋ335:非常
□	lau10	(連讀音Ⅱ)~□la335:船老大
□	lœ10	(連讀音Ⅱ)□pœ0~钻:钻,一种工具
□	ŋe10	(連讀音Ⅱ)~壶:夜壶
□	wou10	(連讀音Ⅱ)~匏:一种南瓜,又小又长
□	tiu10	(連讀音Ⅱ)~下:地面
□	tʃiu10	(連讀音Ⅱ)~料:佐料
□	tiŋ10	(連讀音Ⅱ)~动:动
□	tʃuŋ10	(連讀音Ⅱ)~病:残废
□	tʃuŋ10	(連讀音Ⅱ)~囝:女儿,~孙:孙女、侄女
□	tɔuŋ10	(連讀音Ⅱ)~□niŋ42:皲裂
□	mi11	(連讀音Ⅱ)1,~□□nøoŋ22neiŋ335:不知道
□	ni11	(連讀音Ⅱ)秆~头:稻茬
□	ni11	(連讀音Ⅱ)檐~下:屋檐下
□	li11	(連讀音Ⅱ)□pi22~树:榕树
□	i11	(連讀音Ⅱ)2,~□eiŋ42:起床
□	mu11	(連讀音Ⅱ)2,~□□nøoŋ22neiŋ335:不知道
□	ku11	(連讀音Ⅱ)~□luʔ5:呃逆
□	ku11	(連讀音Ⅱ)猫□nei55头~□wouŋ221:猫头鹰
□	tʰa11	(連讀音Ⅱ)~跳:玩儿
□	la1	(連讀音Ⅰ)□kʰɵi22~:等一会儿
□	tsʰa11	(連讀音Ⅱ)~□□wu22lœ335:油条
□	ka11	(連讀音Ⅱ)~鞘:柴刀鞘
□	ŋa1	(連讀音Ⅱ)□tʰiŋ34~:蜻蜓
□	pai11	(連讀音Ⅱ)~骹:瘸子
□	lai1	(連讀音Ⅰ)□□aŋ55mɔ22~:一种杂粮,像小米
□	ai1	(連讀音Ⅰ)□iʔ5~:相当于“起来”的补语
□	pau11	(連讀音Ⅱ)做~戏:变魔术
□	βau11	(連讀音Ⅱ)□θe22~花:杜鹃花
□	kau11	(連讀音Ⅱ)~□lœʔ5:非常
□	tɔ11	(連讀音Ⅱ)~□ε221:斜视眼
□	lɔ1	(連讀音Ⅱ)沟~:阴沟
□	nei1	(連讀音Ⅰ)卵~:蛋胚
□	ei1	(連讀音Ⅰ)□□niŋ22mui34~:萤火虫
□	mo11	(連讀音Ⅱ)解~手:右手
□	kʰɵi11	(連讀音Ⅱ)~头:纽扣
□	pui11	(連讀音Ⅱ)~头:水沟
□	liu11	(連讀音Ⅱ)~囝:扒手
□	pʰiŋ11	(連讀音Ⅱ)~镊:镊子,也可以说“□夹”pʰiŋ55niɐʔ5
□	miŋ11	(連讀音Ⅱ)~后:什么时候
□	liŋ11	(連讀音Ⅱ)□ki22~□ɔuŋ443:抖一下子
□	kiŋ11	(連讀音Ⅱ)~橂:牢固
□	nuŋ11	(連讀音Ⅱ)3,~□ŋɛ221:怎么
□	θuŋ11	(連讀音Ⅱ)2,~□ŋɛ221:怎么
□	kuŋ11	(連讀音Ⅱ)~后:后边
□	huŋ11	(連讀音Ⅱ)1,~□ŋɛ221:怎么
□	wuŋ11	(連讀音Ⅱ)□pʰa22~斗:翻跟头
□	maŋ11	(連讀音Ⅱ)□haŋ22~舷:傍晚
□	naŋ11	(連讀音Ⅱ)~□ŋa53:一点儿,一会儿。连读调特殊
□	laŋ11	(連讀音Ⅱ)□ka0~孙:孙子的儿子
□	kaŋ11	(連讀音Ⅱ)~□miʔ2:吵嘴
□	haŋ11	(連讀音Ⅱ)~□mei335:打哈欠
□	aŋ11	(連讀音Ⅱ)~□naʔ5:安慰
□	aŋ11	(連讀音Ⅱ)~□□mɔ22lai443:一种杂粮,像小米
□	aŋ11	(連讀音Ⅱ)□ma22~□ŋe221:蟢子
□	tɛiŋ11	(連讀音Ⅱ)~中:中间
□	kʰɛiŋ11	(連讀音Ⅱ)~嗽:呛
□	kʰɛiŋ11	(連讀音Ⅱ)~□nɛiŋ223:木屐
□	lɔuŋ1	(連讀音Ⅰ)□pɔ34~:背脊
□	hɔuŋ11	(連讀音Ⅱ)~□naʔ5:勤快,用功
□	neiŋ11	(連讀音Ⅱ)□ma22~□ŋe22:蟢子
□	ŋouŋ1	(連讀音Ⅰ)□□ki22liŋ55~:抖一下子
□	pu2	(連讀音Ⅰ)~蝇:苍蝇
□	ai2	(連讀音Ⅰ)目~:眉毛
□	lau2	(連讀音Ⅰ)□ka22~大:抚养孩子
□	mɛ2	(連讀音Ⅰ)□jøoŋ22~:青蛙
□	lɛ2	(連讀音Ⅰ)□tʃʰiʔ4~:赶牛用的竹鞭
□	ŋɛ2	(連讀音Ⅰ)□huŋ55~:怎么
□	pɔ12	(連讀音Ⅱ)~□lɔuŋ443:背脊。常读得接近轻声
□	mɔ2	(連讀音Ⅰ)□aŋ55~□lai443:一种杂粮,像小米
□	nɔ2	(連讀音Ⅰ)栏~:篱笆,也可以说“栏杆”laŋ22ŋaŋ42
□	lɔi2	(連讀音Ⅰ)这~:这里
□	lœ2	(連讀音Ⅰ)鼻~:鼻涕
□	lei2	(連讀音Ⅰ)□kei22~:披
□	no2	(連讀音Ⅰ)蚊~:蚊帐
□	ŋɵ12	(連讀音Ⅱ)2,~桶:马桶
□	ɲɵi2	(連讀音Ⅰ)𡳞~:阴茎
□	piŋ12	(連讀音Ⅱ)~柴:枫树
□	waŋ2	(連讀音Ⅰ)脰~:脖子
□	ɛiŋ2	(連讀音Ⅰ)1,外~:外面
□	lɔuŋ2	(連讀音Ⅰ)喙~:下巴。读作tʃʰi55lɔuŋ221
□	nœuŋ2	(連讀音Ⅰ)降~:跳神
□	ti13	(連讀音Ⅱ)~~:刚。读作ti35li53
□	pʰu13	(連讀音Ⅱ)~李:李子
□	βɛ3	(連讀音Ⅰ)喙~:脸颊
□	ŋei3	(連讀音Ⅰ)凳~:凳子腿部的横木
□	pɵ13	(連讀音Ⅱ)~□leŋ53:颠簸
□	niŋ3	(連讀音Ⅰ)□tɔuŋ44~:皲裂
□	wuŋ3	(連讀音Ⅰ)□ka34~:蚯蚓,本字有可能就是“蚓”
□	ŋeiŋ3	(連讀音Ⅱ)㫰~:晒衣架
□	eiŋ3	(連讀音Ⅰ)□i55~:起床
□	na14	(連讀音Ⅱ)澜~:围嘴儿
□	ŋa14	(連讀音Ⅱ)□naŋ55~:一点儿,一会儿。连读调特殊
□	ŋɛ14	(連讀音Ⅱ)□liŋ35~:老鹰
□	nœ14	(連讀音Ⅰ)鼎~:锅铲
□	lɵi14	(連讀音Ⅱ)□kɵ35~:小孩儿
□	luŋ14	(連讀音Ⅱ)□ku35~:捲。“捲”的分音词。常读得接近ku0luŋ42
□	liɐŋ14	(連讀音Ⅱ)米~:炒米
□	lɵŋ14	(連讀音Ⅱ)□pɵ35~:颠簸
□	la5	(連讀音Ⅰ)□lau44~:船老大
□	nɔ5	(連讀音Ⅰ)粪~:垃圾
□	nœ5	(連讀音Ⅰ)秆~:稻草做的抹布
□	lœ5	(連讀音Ⅰ)□□tsʰa55wu22~:油条
□	mei5	(連讀音Ⅰ)□haŋ55~:打哈欠
□	ei5	(連讀音Ⅰ)□keu22~:在
□	jɵi5	(連讀音Ⅰ)胡~:满脸的胡子
□	jiɐŋ5	(連讀音Ⅰ)□wu44~:非常,单独念这个词时读作wu44jiɐŋ42。但在语流当中总读作wu44jiɐŋ335。
□	ɛiŋ5	(連讀音Ⅰ)2,外~:出去
□	neiŋ5	(連讀音Ⅰ)□□peiʔ5tøoŋ22~:知道
□	nouŋ5	(連讀音Ⅰ)□tʃiŋ22~:蜥蜴
□	nai6	(連讀音Ⅰ)惊~:吃惊
□	nai6	(連讀音Ⅰ)□maŋ22~:可以
□	lɛ6	(連讀音Ⅰ)□lau22~:肮脏
□	lei6	(連讀音Ⅰ)做月~:坐月子
□	lou6	(連讀音Ⅰ)□ko22~:蹲
□	muaŋ6	(連讀音Ⅰ)□tiŋ22~:拖拉
□	nɛiŋ6	(連讀音Ⅰ)大~:蜥蜴
□	lɔuŋ6	(連讀音Ⅰ)□θɛu22~:均匀
□	naʔ7	(連讀音Ⅰ)□aŋ55~:安慰
□	naʔ7	(連讀音Ⅰ)□hɔuŋ55~:勤快
□	laʔ7	(連讀音Ⅰ)□kʰaʔ5~:收殓
□	lɛʔ7	(連讀音Ⅰ)□tʰai22~:鲶鱼
□	lɔʔ7	(連讀音Ⅱ)胳~下:腋下
□	lɔʔ7	(連讀音Ⅰ)柴~:刨花
□	neiʔ7	(連讀音Ⅰ)蜀旦~:半天
□	eiʔ7	(連讀音Ⅰ)□wu22~:麻雀
□	miʔ8	(連讀音Ⅰ)□kaŋ55~:吵嘴
□	ma9	(連讀音Ⅱ)~□□neiŋ55ŋe221:蟢子
□	kʰa9	(連讀音Ⅱ)~□li34虫:孑孓
□	θaŋ9	(連讀音Ⅱ)~□□huŋ55ŋɛ221:怎么样
□	kai5	1,再
□	lɵ5	1,犬~:狗尾草
□	peiʔ7	1,~□□tøoŋ22neiŋ335:知道
□	ɵʔ7	1,~起:站起来,~□eiŋ42:起床,此时读作iʔ5;~□ai443:相当于“起来”的补语,此时读作iʔ5
□	kɵi1	2,□kaŋ34~:塞住嗓子
□	mi12	2,□niŋ22~□ei443:萤火虫
□	lu5	2,犬~~:狗尾草
□	ai5	2,再
□	puʔ7	2,~□□løoŋ22neiŋ335:知道
□	pʰu10	~炭:一种炭,较松
□	ka0	~□laŋ55孙:孙子的儿子
□	kɔ0	~□lɔuŋ22工:整天,~□lɔuŋ22村:全村
□	pœ0	~□lœ44钻:钻,一种工具
□	kʰouŋ10	~柴:乌桕树
□	ti1	~~:山鸡
□	ku1	~~:鹧鸪
□	pʰa1	~肩:换肩
□	pʰa1	~□wuŋ55斗:翻跟头
□	ma1	~骰子:掷骰子
□	tsʰau1	~龙:舞龙灯
□	tsʰau1	~水泥:拌水泥
□	tʃʰɛu1	~鳖:性交
□	pɔ1	~□□kɵ35lɵi53:哄小孩
□	mœ1	~~:糊涂
□	tʃʰeu1	~井:挖井
□	wui1	~起:掩盖
□	pʰaŋ1	~□maŋ335:拨饭
□	kaŋ1	~□ŋɵi443:塞住嗓子
□	tɛiŋ1	~农:触着凸起的东西觉得不舒服
□	tsɔuŋ1	~□maŋ335:做饭
□	pi2	~□□βo22βeiʔ5:蝙蝠
