#漢字	音標	解釋
□	ma1	(抓)一药
□	kiu1	
□	tʰo5	
□	ni1	~夥:多少
□	pi2	~□puo212:蝙蝠
□	pu2	~蝇:苍蝇
□	kie2	~囝
□	tseiŋ2	~水
□	iau3	~有:还有
□	kʰa5	~油
□	tʰau5	~liu522:玩
□	niu5	~花
□	pʰua5	~柴
□	toʔ7	~椅
□	tsʰuʔ7	~火
□	laʔ8	~头:秃头
□	tʰiʔ8	~会钱
□	liu2	□thau34~:玩
□	puo2	□pi21~:蝙蝠
□	loi3	□mai22~:干饭
□	teiŋ2	⿸朕古
□	puo2	一~花
□	kʰiu3	一串
□	mau2	不细致
□	ŋiaŋ2	举高
□	nouŋ6	乱
□	tsʰia5	传染
□	kʰiŋ2	估计
□	pʰɛ3	偏
□	tsi6	停滞
□	tsʰuŋ2	凶猛
□	pʰaŋ1	分开
□	kʰau2	刮
□	pʰie1	削
□	tsʰoi1	勒要
□	kʰouŋ2	单人扛
□	tsouŋ2	双脚往上跳
□	peiŋ5	反过来
□	taŋ3	发火
□	tau2	叔
□	tʰiau1	叹语，uog212~
□	tsaŋ5	吵嘴
□	tsʰeiŋ1	呻吟
□	ka6	咬
□	pʰɛ3	喙~:脸颊
□	ta5	回礼
□	tsuaŋ3	塞瓶口
□	liaʔ8	声音尖厉
□	sɛ6	多
□	tsɛ5	大声喊
□	saŋ2	天晴
□	neiŋ1	奶，乳房
□	iuŋ2	宠
□	tsʰiaŋ1	小刺
□	ai3	小蟹
□	maŋ2	开玩笑
□	maŋ1	张开
□	nuʔ7	弯屈
□	kai5	很
□	tsʰouŋ3	忖
□	kʰiau5	惊讶
□	kʰo2	慢煮
□	kiuʔ7	憋
□	tiaŋ6	懒
□	tsʰuŋ3	打瞌睡
□	ŋuai3	扭伤
□	tu3	找钱
□	tsʰoi5	找
□	liu3	抠
□	pʰuaʔ8	披
□	puaŋ6	抽打
□	noi2	拧
□	nieŋ6	拧
□	pʰeiŋ1	拨开
□	sai2	拳头击
□	taŋ6	挡住
□	tsieŋ1	挤
□	kʰeʔ7	挤
□	tsʰeu2	挪动
□	noi2	挪
□	kʰaʔ7	捡物
□	pʰuo2	捧
□	nua2	揉搓
□	seu5	插入
□	nouŋ5	搞乱
□	siʔ7	昏迷
□	iau2	晓得
□	si8	晓~:知道，舍~:舍得
□	leu2	有利
□	neiŋ5	松软
□	kʰuoʔ8	段、块
□	kʰuoŋ2	水~
