#漢字	音標	解釋
一	i1	
一	i2	
七	tɕʰi2	
三	san1	
上	ʂaŋ5	
下	ɕia5	
世	ʂʅ5	
丟	tiəu1	
中	tʂuəŋ1	
主	tʂʯ3	
九	tɕiəu3	
亂	lan5	
事	sɿ5	
二	ər5	
五	u3	
井	tɕin3	
交	tɕiau1	
亮	liaŋ5	
人	ʐən2	
付	fu5	
件	tɕian5	
任	ʐən5	
休	ɕiəu1	
位	uei5	
低	ti1	
住	tʂʯ5	
余	y2	
佛	fu2	
作	tso2	
使	ʂʅ3	
侄	tʂʅ2	
來	lai2	
便	pian5	
俊	tɕin5	
修	ɕiəu1	
倉	tsʰaŋ1	
個	ko5	
個	kɤ5	
借	tɕiɛ5	
假	tɕia3	
做	tsəu5	
停	tʰin2	
健	tɕian5	
側	tsʰɛ2	
偸	tʰəu1	
傑	tɕiɛ2	
傘	san3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂaŋ1	
像	ɕiaŋ5	
像	tɕʰiaŋ5	
僧	sən1	
優	iəu1	
兄	ɕyəŋ1	
充	tʂʰuəŋ1	
兇	ɕyəŋ1	
先	ɕian1	
光	kuaŋ1	
兒	ər2	
入	y2	
全	tɕʰyan2	
兩	liaŋ3	
八	pa2	
公	kuəŋ1	
六	ləu2	
共	kuəŋ5	
兵	pin1	
典	tian3	
冤	yan1	
冬	təŋ1	
冰	pin1	
冷	lən3	
准	tʂuən3	
凍	təŋ5	
凳	tən5	
出	tʂʰʯ2	
刀	tau1	
分	fən1	
切	tɕʰiɛ1	
列	liɛ2	
初	tsʰəu1	
判	pʰan5	
別	piɛ2	
刮	kua1	
制	tʂʅ5	
刷	ʂua1	
刺	tsʰɿ5	
刻	kʰɛ2	
剃	tʰi5	
削	ɕio1	
前	tɕʰian2	
剝	po1	
剩	ʂən5	
剪	tɕian3	
副	fu5	
割	ko1	
劃	xua5	
劇	tɕy5	
劈	pʰi1	
劍	tɕian5	
力	li2	
勁	tɕin5	
動	təŋ5	
勤	tɕʰin2	
勸	tɕʰyan5	
勺	ʂo2	
勻	yn2	
包	pau1	
化	fa5	
北	pɛ2	
匠	tɕiaŋ5	
匹	pʰi2	
區	tɕʰy1	
十	ʂʅ2	
升	ʂən1	
半	pan5	
卒	tsəu2	
協	ɕiɛ2	
南	lan2	
占	tʂan5	
印	in5	
危	uei2	
卷	tɕyan3	
厚	xəu5	
原	yan2	
厭	ian5	
去	tɕʰi5	
去	tɕʰy5	
去	kʰɛ5	
參	sən1	
及	tɕi2	
反	fan3	
叔	ʂəu2	
取	tɕʰy3	
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	tɕiau5	
可	kʰo3	
台	tʰai2	
右	iəu5	
吃	tʂʰʅ1	
各	ko2	
吉	tɕi2	
名	min2	
向	ɕiaŋ5	
吞	tʰən1	
含	xan2	
吳	u2	
吸	ɕi1	
吹	tʂʰuei1	
呂	y3	
味	uei5	
命	min5	
品	pʰin3	
哭	kʰu1	
唇	ʂən2	
唱	tʂʰaŋ5	
問	uən5	
啞	ia3	
善	ʂan5	
喊	xan3	
喜	ɕi3	
單	tan1	
嘗	ʂaŋ2	
嘗	tʂʰaŋ2	
嘴	tsei3	
器	tɕʰi5	
嚴	ȵian2	
四	sɿ5	
回	xuei2	
困	kʰuən5	
圈	tɕʰyan1	
國	kuɛ2	
圍	uei2	
園	yan2	
圓	yan2	
圖	tʰəu2	
土	tʰəu3	
地	ti5	
均	tɕyn1	
坐	tso5	
坑	kʰən1	
垂	tʂʰuei2	
埋	mai2	
埋	man2	
城	tʂʰən2	
塊	kʰuai3	
塔	tʰa1	
塞	sai1	
塞	sɛ1	
墊	tian5	
墨	miɛ2	
墩	tən1	
墳	fən2	
壁	pi2	
壞	xuai5	
壯	tʂuaŋ5	
壺	fu2	
壽	ʂəu5	
夏	ɕia5	
外	uai5	
外	uei5	
多	to1	
夜	iɛ5	
夠	kəu5	
夢	məŋ5	
大	ta5	
天	tʰian1	
失	ʂʅ2	
夾	tɕia1	
契	tɕʰi5	
奪	to2	
女	ȵy3	
奴	ləu2	
奸	tɕian1	
好	xau3	
如	y2	
妹	mei5	
姐	tɕiɛ2	
姐	tɕiɛ3	
姓	ɕin5	
姨	i2	
娘	ȵiaŋ2	
婆	pʰo2	
婚	fən1	
婦	fu5	
嫁	tɕia5	
嫂	sau3	
嫌	ɕian2	
嫩	lən5	
子	tsɿ3	
孔	kʰuəŋ3	
字	tsɿ5	
孝	ɕiau5	
季	tɕi5	
孫	sən1	
學	ɕio2	
孽	ȵiɛ2	
安	ŋan1	
宋	suəŋ5	
完	uan2	
官	kuan1	
定	tin5	
客	kʰɛ2	
宮	kuəŋ1	
害	xai5	
容	yəŋ2	
宿	səu2	
寄	tɕi5	
密	mi2	
富	fu5	
實	ʂʅ2	
寫	ɕiɛ3	
寬	kʰuan1	
寶	pau3	
寸	tsʰən5	
寺	sɿ5	
封	fəŋ1	
射	ʂɛ5	
尋	ɕyn2	
對	tei5	
小	ɕiau3	
尖	tɕian1	
尺	tʂʰʅ1	
尾	uei3	
局	tɕy2	
屁	pʰi5	
屋	u2	
層	tsʰən2	
屬	ʂəu2	
山	ʂan1	
巖	ian2	
岸	ŋan5	
州	tʂəu1	
左	tso3	
市	ʂʅ5	
布	pu5	
希	ɕi1	
師	sɿ1	
席	ɕi2	
帶	tai5	
帽	mau5	
幣	pei5	
幫	paŋ1	
平	pʰin2	
年	ȵian2	
幼	iəu5	
幾	tɕi3	
牀	tʂʰuaŋ2	
店	tian5	
府	fu3	
廟	miau5	
廠	tʂʰaŋ3	
廳	tʰin1	
延	ian2	
建	tɕian5	
弄	luəŋ5	
式	ʂʅ5	
引	in3	
弟	ti5	
弱	ʐo2	
張	tʂaŋ1	
彈	tʰan2	
彎	uan1	
形	ɕin2	
影	in3	
律	li2	
後	xəu5	
徐	ɕy2	
得	tɛ2	
心	ɕin1	
忙	maŋ2	
快	kʰuai5	
念	ȵian5	
急	tɕi2	
怪	kuai5	
恨	xən5	
恩	ŋən1	
恭	kuəŋ1	
息	ɕi2	
惜	ɕi2	
惡	ŋo2	
想	ɕiaŋ3	
愁	tsʰəu2	
意	i5	
愛	ŋai5	
感	kan3	
慌	faŋ1	
慢	man5	
慣	kuan5	
慶	tɕʰin5	
憋	piɛ1	
懂	təŋ3	
懶	lan3	
懷	fai2	
戒	kai5	
或	xuɛ2	
截	tɕiɛ1	
截	tɕiɛ2	
戰	tʂan5	
戲	ɕi5	
戶	fu5	
房	faŋ2	
所	so3	
扁	pian3	
扇	ʂan5	
手	ʂəu3	
打	ta3	
托	tʰo2	
扮	pan5	
找	tʂau3	
抄	tʂʰau1	
把	pa3	
抓	tʂua1	
抖	təu3	
抖	tʰəu3	
折	tʂɛ2	
抱	pau5	
抽	tʂʰəu1	
拆	tʂʰɛ1	
拉	la1	
拍	pʰɛ1	
拐	kuai3	
拖	tʰo1	
拜	pai5	
指	tʂʅ1	
指	tʂʅ3	
挖	ua1	
挺	tʰin3	
捏	ȵiɛ1	
排	pʰai2	
掛	kua5	
接	tɕiɛ1	
插	tʂʰa1	
換	fan5	
握	o1	
搖	iau2	
搬	pan1	
搭	ta1	
搶	tɕʰiaŋ3	
摘	tʂɛ1	
摸	mo1	
撞	tʂʰuaŋ3	
撞	tʂuaŋ5	
撤	tʂʰɛ2	
撥	po1	
擁	yəŋ3	
擇	tsʰɛ2	
擇	tʂɛ2	
擊	tɕi2	
擦	tsʰa1	
擺	pai3	
改	kai3	
放	faŋ5	
敗	pai5	
敢	kan3	
敲	tɕʰiau1	
整	tʂən3	
數	səu3	
數	səu5	
料	liau5	
斜	ɕiɛ2	
新	ɕin1	
斷	tan5	
方	faŋ1	
族	tsʰəu2	
日	ʐʅ2	
日	ər2	
早	tsau3	
旺	uaŋ5	
明	mən2	
明	min2	
星	ɕin1	
春	tʂʰuən1	
時	ʂʅ2	
晚	uan3	
暖	lan3	
暖	laŋ3	
暗	ŋan5	
曆	li2	
曬	ʂai5	
曲	tɕʰy2	
更	kən1	
書	ʂʯ1	
會	fei5	
月	yɛ1	
月	yɛ2	
有	iəu3	
朋	pʰəŋ2	
服	fu2	
朝	tʂʰau2	
木	mo1	
末	mo1	
本	pən3	
杉	ʂa1	
李	li3	
村	tsʰən1	
杜	təu5	
杯	pei1	
東	təŋ1	
松	səŋ1	
松	suəŋ1	
板	pan3	
林	lin2	
果	ko3	
柄	pin3	
染	ʐan3	
柱	tʂʯ5	
柴	tʂʰai2	
柿	ʂʅ5	
栗	li1	
校	ɕiau5	
根	kən1	
格	kɛ2	
桂	kuei5	
桃	tʰau2	
桌	tʂo1	
桶	tʰəŋ3	
梗	kən3	
條	tʰiau2	
梨	li2	
梯	tʰi1	
棉	mian2	
棋	tɕʰi2	
棒	paŋ5	
棚	pʰəŋ2	
業	ȵiɛ2	
極	tɕi2	
榮	yəŋ2	
樁	tʂuaŋ1	
樓	ləu2	
樣	iaŋ5	
樹	ʂʯ5	
橋	tɕʰiau2	
橘	tɕy2	
橫	fən2	
櫃	kuei5	
權	tɕʰyan2	
欠	tɕʰian5	
歇	ɕiɛ1	
歌	ko1	
歡	fan1	
正	tʂən5	
步	pu5	
武	u3	
歪	uai1	
歲	sei5	
死	sɿ3	
殺	ʂa1	
殼	kʰo1	
殼	tɕʰiau5	
母	mo3	
毒	təu2	
比	pi3	
毛	mau2	
毯	tʰan3	
民	min2	
氣	tɕʰi5	
水	ʂuei3	
永	yn3	
汁	tʂʅ1	
汗	xan5	
江	tɕiaŋ1	
池	tʂʰʅ2	
決	tɕyɛ2	
沉	tʂʰən2	
沖	tʂʰuəŋ1	
沙	ʂa1	
河	xo2	
油	iəu2	
治	tʂʅ5	
法	fa2	
泥	ȵi2	
洗	ɕi3	
洞	təŋ5	
活	xo2	
派	pʰai5	
流	liəu2	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xai3	
浸	tɕin5	
淡	tan5	
深	ʂən1	
淺	tɕʰian3	
添	tʰian1	
