#漢字	音標	解釋
七	tsʰi1	
万	uẽ1	
丈	tɕʰɔ̃3	
三	sa1	
上	ɕɔ̃1	
下	xᴀ3	
丑	tɕʰiu3	
世	sɿ5	
丘	tɕʰiu1	
丙	pĩ3	
業	iẽ2	
叢	tsʰə̃2	
東	tə̃1	
絲	sɿ1	
丢	tiu1	
兩	liɔ̃3	
嚴	iẽ2	
喪	sɔ̃5	
个	ko5	
中	tə̃1	
丰	xə̃1	
串	tɕʰẽ5	
爲	ui2	
主	tɕy3	
舉	tɕy3	
麽	iɐ1	
烏	u1	
乏	fᴀ1	
乖	kua1	
乙	ie2	
乞	tɕʰi2	
也	iᴀ3	
習	ɕi2	
書	fy1	
買	ma3	
亂	lø1	
乳	y3	
乾	tɕʰẽ2	
了	liɐ3	
爭	tsẽ1=	
爭	tsõ1-	
事	sɿ1	
二	ɤ1	
虧	kʰui1	
云	ĩ2	
互	fu1	
五	u3	
井	tɕĩ3=	
井	tɕiɔ̃3-	
亞	iᴀ5	
些	ɕiɐ2	
亥	xa1	
產	tsʰa3	
亨	xẽ1	
畝	miɐ3	
亭	tʰĩ2	
亮	liɔ̃1	
親	tɕʰĩ1	
人	n̩2=	
人	ĩ2-	
億	i2	
僅	tɕʰĩ1	
仆	pʰu2	
仇	tɕʰiu2	
仍	ĩ2	
从	tsʰə̃2	
倉	tsʰɔ̃1	
仗	tɕɔ̃5	
仙	ɕiẽ1	
令	lĩ5	
仰	iɔ̃2	
仲	tɕʰə̃1	
件	tɕʰẽ3	
份	fẽ1	
企	tɕʰy3	
休	ɕiu1	
衆	tɕə̃5	
優	iu1	
會	kʰua5	
會	fe1	
傘	sa3	
傳	tɕʰẽ2	
傷	ɕɔ̃1	
伴	pʰẽ1	
伺	sɿ1	
但	ta5	
位	ui1	
低	ti1	
住	tɕy1	
體	tʰi3	
余	y	
佛	fu2	
作	tso2	
你	n̩3	
使	sɿ3	
侈	tsʰɿ3	
侍	sɿ1	
供	kə̃5	
偵	tɕĩ1	
側	tsʰe2	
儘	tɕĩ3	
侵	tsʰĩ1	
便	pʰiẽ2	
便	pʰiẽ1	
係	ɕi1	
促	tsʰu1	
俊	tsĩ5	
俗	su2	
信	ɕĩ5	
儉	tɕʰẽ3	
修	ɕiu1	
倍	pʰe1	
倒	tɐ5	
候	xə1	
借	tɕiᴀ5	
倦	tɕʰẽ1	
債	tsa5	
傾	tɕʰĩ1	
假	tɕiᴀ3	
偏	pʰiẽ1	
做	tso5	
健	tɕʰẽ1	
偶	ŋə3	
偷	tʰə1	
傀	kʰue3	
傅	fu5	
催	tsʰe1	
傲	ŋɐ1	
傻	xᴀ3	
像	siɔ̃1	
僧	sẽ1	
僻	pʰi1	
兒	ɤ2	
允	ĩ3	
元	iẽ2	
兄	ɕə̃1	
充	tɕʰə̃1	
先	ɕiẽ	
光	kuɔ̃1	
免	miẽ3	
兑	tʰe1	
兔	tʰu1	
兜	tə1	
入	y2	
全	tsʰẽ2	
八	pᴀ1	
公	kə̃1	
六	lio2	
共	kʰə̃1=	
共	tɕʰə̃1-	
關	kua1	
興	ɕĩ1	
興	ɕĩ5	
兵	pĩ1	
具	tɕy5	
典	tiẽ3	
兼	tɕẽ1	
獸	ɕiu5	
内	le1	
再	tsa5	
寫	ɕiᴀ3	
軍	tɕĩ1	
農	lə̃2	
冤	iẽ1	
冬	tə̃1	
冰	pĩ1	
冲	tɕʰə̃1	
決	tɕø2	
况	kʰuɔ̃5	
凍	tə̃5	
淨	tɕʰi1	
準	tɕĩ3	
涼	liɔ̃2	
減	tɕẽ3	
湊	tsʰə5	
凝	n̩	
几	tɕy3	
凡	fa2	
鳳	xə̃5	
凭	pʰɪ2	
凳	tẽ5	
凶	ɕə̃1	
出	tɕʰy1	
刀	tɐ1	
分	fẽ1	
切	tsʰie1	
划	fᴀ1	
划	fᴀ2	
則	tse1	
創	tsʰɔ̃5	
初	tsʰu1	
删	sa1	
判	pʰẽ5	
刨	pʰɐ2	
别	pʰe2	
刮	kuᴀ1	
到	tɐ5	
制	tsɿ5	
刷	sᴀ1	
刻	kʰe1	
刴	to5	
劑	ty1	
削	siɐ1	
前	tɕʰiẽ	
剮	kuᴀ3	
劍	tɕẽ5	
剖	pʰo5	
剝	po1	
劇	tɕy2	
剩	ɕĩ1	
剪	tɕiẽ3	
副	fu5	
割	ko1	
劈	pʰi1	
力	li2	
勸	tɕʰẽ5	
劣	liə2	
動	tʰə̃3	
助	tsʰu1	
劫	tɕe2	
勁	tɕĩ2	
勃	pʰo2	
勒	le2	
勘	kʰẽ2	
勺	ɕo2	
匀	ĩ2	
包	pɐ1	
化	fᴀ5	
北	pe1	
匙	tsɿ1	
匠	tsʰiɔ̃1	
匡	tɕʰɔ1=	
匡	kʰuɔ̃1-	
匣	ɕᴀ2	
匪	fi3	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
十	ɕi2	
千	tɕʰiẽ1	
升	ɕĩ1	
半	pẽ5	
協	ɕe2	
卒	tsʰu2	
單	ta1	
賣	ma1	
博	po2	
卜	pʰu2	
占	tɕẽ5	
卦	kuᴀ5	
臥	o2	
衛	ue5	
卯	mɐ3	
印	ĩ5	
危	ui2	
卻	tɕʰo2	
卵	lø̃3	
卷	tɕẽ3	
廠	tɕʰɔ̃3	
历	li1	
厲	li1	
厭	iẽ5	
廁	tsʰe5	
厦	ɕᴀ5	
廚	tɕʰy2	
去	tɕʰe1	
縣	ɕẽ1	
参	tsʰẽ1	
参	sĩ1	
及	tɕʰi2	
雙	sɔ̃1	
反	f3	
发	fᴀ1	
叔	su1	
受	ɕiu1	
變	piẽ5	
叛	pʰẽ1	
叟	sə3	
口	tɕʰə3	
句	tɕy5	
叫	tɕɐ5	
召	tɕʰɐ1	
可	kʰo3	
右	iu1	
葉	ie2	
號	xɐ1	
吃	tɕʰᴀ1	
各	ko1	
吉	tɕi2	
名	mĩ2=	
名	miɔ̃2-	
后	xə3	
向	ɕɔ̃5	
呂	ly3	
吝	lĩ1	
吞	tʰe1	
吟	ĩ2	
否	fə3	
含	xẽ	
聽	tʰĩ2	
啓	tɕʰy3	
吳	u2	
吸	tɕi1	
吹	tɕʰy1	
吻	uẽ2	
吼	xə3	
告	kɐ5	
嘔	ə3	
周	tɕiu1	
味	ui1	
呼	fu1	
命	mĩ1=	
命	miɔ̃1-	
咀	tɕy3	
和	xo	
咒	tɕiu5	
咬	ŋɐ3	
咸	xa2	
品	pʰĩ3	
響	ɕɔ̃3	
啞	ŋᴀ3	
哪	la3	
哭	kʰu1	
哲	tɕe2	
脣	ɕɪ2	
喚	fẽ5	
唱	tɕʰɔ5	
唾	tʰo1	
善	ɕẽ1	
喊	xa3	
喘	tɕʰẽ3	
喜	ɕi3	
喝	xo1	
噴	pʰẽ1	
嗅	ɕiə̃5	
嗅	ɕə̃5	
嗉	ɕy5	
嗓	sɔ̃3	
嗽	sə5	
嘴	tɕy3	
噍	tɕʰɐ2	
噎	ie1	
器	tɕʰi5	
嚇	xᴀ1	
嚼	tɕʰiɐ2	
囊	lɔ̃2	
囚	tɕʰiu2	
四	sɿ5	
回	fe2	
团	tʰø2	
困	kʰuẽ5	
圍	ui2	
國	kue1	
圓	iẽ2	
圈	tɕʰẽ1	
土	tʰu3	
聖	ɕĩ5	
在	tsʰe3	
地	tʰi1	
均	tɕĩ1	
坍	tʰa1	
壞	fa1	
坐	tsʰo3	
坑	kʰõ1	
塊	kʰua5	
墳	fẽ2	
坡	pʰo1	
坤	kʰuẽ1	
坦	tʰa3	
坯	pʰe1	
坳	ŋɐ5	
垂	tɕʰy2	
壠	lə̃3	
垒	le3	
垮	kʰuᴀ3	
埂	kʰẽ2	
埋	ma2	
城	tɕʰĩ2	
域	y2	
基	tɕy1	
堆	te1	
塌	tʰᴀ2	
塞	se1	
墅	ɕy1	
墓	mo5	
牆	tɕʰiɔ̃2	
墟	fy1	
墨	me2	
墩	tĩ1	
壁	pi1	
