#漢字	音標	解釋
一	i2	
丁	tin1	
七	tɕʰi2	
七	tɕʰie2	
丈	tsaŋ5	
三	sæ̃1	
上	saŋ5	
下	ɕia5	
下	xa5	白
不	puᶹ2	
与	y3	
丑	tsʰəu3	
專	tsuæ̃1	
且	tɕʰie3	
丕	pʰi3	
丕	pʰəi3	
世	sɿ5	
丘	tɕʰiəu1	
業	ȵie2	
東	toŋ1	
丢	tiəu1	
兩	niaŋ3	
嚴	ȵiæ̃2	
个	ko5	
中	tsoŋ1	
丸	yæ̃2	
爲	uəi2	1
爲	uəi5	2
主	tsuᶹ3	
舉	tɕy3	
乃	næe3	
久	tɕiəu3	
之	tsɿ1	
乖	kuæe1	
九	tɕiəu3	
乞	tɕʰie2	
也	ie3	
習	ɕie2	
鄉	ɕiaŋ1	
書	suᶹ1	
買	mæe3	
亂	nuæ̃5	
乳	zuᶹ3	
了	niᴀɤ3	
爭	tsən1	
事	sɿ5	
二	ɚ5	
虧	kʰuəi1	
云	yn2	
些	ɕi1	
亢	kʰaŋ5	
亥	xæe5	
亦	ie2	
產	tsʰæ̃3	
亨	xən1	
畝	moŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
親	tɕʰin1	
人	zən2	
什	sɿ2	
仁	zən2	
仆	pʰo2	
今	tɕin1	
介	tɕiæe5	
仍	zən2	
从	tsʰoŋ2	
倉	tsʰaŋ1	
他	tʰa1	
仙	ɕiæ̃1	
代	tæe5	
令	nin5	
以	i3	
們	mən2	
仰	ȵiaŋ3	
件	tɕiæ̃5	
伊	i1	
伐	fa2	
休	ɕiəu1	
衆	tsoŋ5	
會	xuəi5	
會	kʰuæe5	~计
倫	nən2	
伴	pæ̃5	
伺	sɿ5	
似	sɿ5	
位	uəi5	
低	ti1	
住	tsuᶹ5	
體	tʰi3	
何	xo2	
余	y2	
作	tso2	
你	ȵi3	
佩	pʰəi5	
佳	tɕia1	
使	sɿ3	
侄	tsɿ2	
例	ni5	
侍	sɿ5	
供	koŋ1	1
供	koŋ5	2
依	i1	
偵	tsən1	
側	tsʰe2	
侯	xəu2	
侵	tɕʰin5	
促	tɕʰio2	
俄	ŋo2	
信	ɕin5	
倍	pəi5	
倒	tᴀɤ3	
候	xəu5	
借	tɕie5	
倦	tɕyæ̃5	
債	tsæe5	
值	tsɿ2	
傾	tɕʰyn1	
假	tɕia3	
偏	pʰiæ̃1	
偕	ɕiæe2	
做	tsuᶹ5	
停	tʰin2	
健	tɕiæ̃5	
偶	ŋəu3	
偷	tʰəu1	
像	ɕiaŋ5	
像	tɕʰiaŋ5	白
僧	sən1	
僻	pʰie2	
儒	zuᶹ2	
兒	ɚ2	
允	yn3	
元	yæ̃2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕiæ̃1	
光	kuaŋ1	
兑	tuəi5	
免	miæ̃3	
黨	taŋ3	
兜	təu1	
入	zo5	
全	tɕʰyæ̃2	
八	pa2	
公	koŋ1	
兮	ɕi1	
共	koŋ5	
興	ɕin1	
兵	pin1	
其	tɕʰi2	
典	tiæ̃3	
養	iaŋ3	
獸	səu5	
内	nuəi5	
册	tsʰe2	
再	tsæe5	
寫	ɕie3	
農	noŋ2	
冤	yæ̃1	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
况	kʰuaŋ5	
冷	nən3	
減	tɕiæ̃3	
凝	ȵin2	
几	tɕi3	
凡	fæ̃2	
出	tsʰuᶹ2	
出	tsʰo2	
刀	tᴀɤ1	
分	fən1	
切	tɕʰie2	
列	nie2	
則	tse2	
剛	kaŋ1	
初	tsʰuᶹ1	
删	suæ̃1	
判	pʰæ̃5	
利	ni5	
别	pie2	
刮	kua2	
到	tᴀɤ5	
刷	sua2	
刹	sa2	
刺	tsɿ5	
刻	kʰe2	
削	ɕye2	
前	tɕʰiæ̃2	
剖	pʰəu3	
剝	po2	
剩	sən5	
剪	tɕiæ̃1	
剪	tɕiæ̃3	
割	ko2	
力	nie2	
勸	tɕʰyæ̃5	
辦	pæ̃5	
劣	nie2	
動	toŋ5	
助	tsuᶹ5	
努	nuᶹ3	
勃	pʰo2	
勇	ioŋ3	
勒	ne2	
包	pᴀɤ1	
化	xua5	
北	pe2	
匙	sɿ2	
匡	kʰuaŋ1	
匣	ɕia2	
區	tɕʰy1	
醫	i1	
匿	ȵie2	
十	sɿ2	
千	tɕʰiæ̃1	
升	sən1	
半	pæ̃5	
協	ɕie2	
卑	pəi1	
卒	tɕio2	
單	tæ̃1	
南	næ̃2	
卜	pʰo2	
卤	nuᶹ3	
臥	o5	
衛	uəi5	
印	in5	
危	uəi2	
即	tɕie2	
卻	tɕʰio2	
卻	tɕʰie2	
卸	ɕie5	
厄	ŋe2	
历	nie2	
厭	iæ̃5	
厚	xəu5	
原	yæ̃2	
厦	sua3	
去	tɕʰy5	
縣	ɕiæ̃5	
又	iəu5	
及	tɕie2	
友	iəu3	
雙	suaŋ1	
反	fæ̃3	
发	fa2	
取	tɕʰy3	
變	piæ̃5	
叛	pʰæ̃5	
口	kʰəu3	
古	kuᶹ3	
句	tɕy5	
只	tsɿ3	
叫	tɕiᴀɤ5	
召	tsᴀɤ1	
可	kʰo3	
台	tʰæe2	
右	iəu5	
葉	ie2	
嘆	tʰæ̃5	
吃	tsʰɿ2	
各	ko2	
合	xo2	
吉	tɕie2	
同	tʰoŋ2	
名	min2	
吐	tʰuᶹ3	
吐	tʰuᶹ5	
呂	ny3	
君	tɕyn1	
吞	tʰən1	
否	fəu3	
含	xæ̃2	
聽	tʰin5	1
聽	tʰin1	2
吸	tɕie2	
吹	tsʰuəi1	
吾	uᶹ2	
呈	tsʰən2	
告	kᴀɤ5	
周	tsəu1	
味	uəi5	
呵	xa1	~一口气
呼	fuᶹ1	
命	min5	
和	xo2	
咬	ŋᴀɤ3	
咬	ȵiᴀɤ3	文
哀	ŋæe1	
品	pʰin3	
哈	xa1	
哪	na3	
哭	kʰuᶹ2	
哲	tse2	
脣	suən2	
唐	tʰaŋ2	
喚	xuæ̃5	
唱	tsʰaŋ5	
商	saŋ1	
問	uən5	
啥	sa5	
喜	ɕi3	
喝	xo1	
喧	ɕyæ̃1	
喫	tsʰɿ2	
噴	fən5	
嗟	tɕia1	
嘉	tɕia1	
嘴	tsuəi3	
噎	ie2	
器	tɕʰi5	
囂	ɕiᴀɤ1	
嚼	tɕiᴀɤ5	
囊	naŋ2	
囚	ɕiəu2	
四	sɿ5	
回	xuəi2	
因	in1	
園	yæ̃2	
