#漢字	音標	解釋
□	tɕiɯ1	(連讀音)滚屎~哩:屎壳郎
□	iɔŋ1	(連讀音)娇惯
□	moŋ1	(連讀音)闭
□	tʰan2	(連讀音)~□yn213:癫痫
□	lɔ5	(連讀音)~田子:镰刀
□	səu5	(連讀音)~髀:屁股
□	pʰoŋ5	(連讀音)~谷:空的或不饱满的子粒
□	mi6	(連讀音)~瓦:砚台
□	pʰɛ6	(連讀音)~鱼:鲥鱼
□	tiɛ6	(連讀音)赶。~牛哩:放牛
□	tɔ6	(連讀音)~水:打水
□	suo6	(連讀音)~□pʰi44:舒服
□	loŋ6	(連讀音)蜂~薮:蜂窝
□	tsʰɿ1	~眼:眼睛怕光
□	kʰu1	~□san22:门槛
□	kɔ1	~□tsoŋ22罐:铝锅
□	tɕʰiɯ1	~块:梁
□	kuan1	~□pʰi22:臭虫
□	tʰiɔŋ1	~晡:明天
□	tɕiɔŋ1	~早:早晨
□	pʰoŋ1	~火:烤火
□	xan2	~样:怎么,表方式,原文作“何腌”合音
□	noŋ2	~麦面:揉面
□	fɛ3	~弄:胡同
□	tʰiɛ3	~事:故意
□	tsɔ3	~哩:雾
□	uɔ3	~哩:家里
□	in3	~菜:咸菜
□	xoŋ3	~鼻:鼻子不通气
□	san5	~花哩:绣花
□	ȵiɔŋ6	~块砖:整块砖
□	ɕiᴀʔ7	~箕:筲箕
□	tiɛʔ7	~□ku42:穷
□	tɕʰiɛʔ7	~啜:豁唇子
□	tiɯʔ7	~雨:淋雨
□	iᴀʔ8	~□ləŋ213:闪电
□	kyᴀʔ8	~胸:挺胸
□	ɕiɛʔ8	~手:手残的人
□	muoʔ8	~竹:竹子
□	luoʔ8	~杂店:杂货店
□	foŋ2	“芙蓉”合音
□	pʰi1	□kuan22~:臭虫
□	san1	□kʰu22~:门槛
□	tsoŋ1	□kɔ22~罐:铝锅
□	pʰi2	□suo213~:舒服
□	ku3	□tiɛʔ5~:穷
□	yn6	□tʰan44~:癫痫
□	ləŋ6	□iᴀʔ24~:闪电
□	pian3	一~墙:一堵墙
□	tsəɯʔ7	一~头发:一绺头发
□	tsʰuoʔ7	上~:上吊
□	uɛ5	丢,掷
□	suo6	五~:五脏
□	tsəɯʔ8	凸
□	tsʮ1	利~:镐
□	tsɔʔ7	吮吸
□	tɕiᴀʔ8	哪~:哪里
□	ʋu3	哭
□	pʰu2	啜佬~:嘴唇
□	nuoʔ7	喊
□	tsᴀʔ8	垂。~头:低头
□	ləu2	头~角:头
□	luoʔ7	夹缝。爪子~:指缝
□	nəŋ1	奶汁
□	sɿ1	嫩子~:小孩
□	muo3	寡妇~:寡妇
□	piʔ7	开裂
□	tɕiᴀʔ8	很。~胖:很胖
□	in5	慢
□	tsʰɔŋ5	打马~:抬杠
□	tɕʰiᴀ2	扛。热头~加=:日晕
□	uɛ3	扭转。~手:左手
□	tsɿ1	抓。头发~哩:螳螂
□	yɛʔ7	挖。~地耷:锄地松土
□	tʰiɛ7	掉
□	leʔ7	掉落,原文作“𨀤”
□	tsʰɔŋ5	支撑、撑开
□	tsʰɿ3	整~:整钱
□	tsʰɛ6	断。一刀两~
□	tsʰuoʔ7	栓,动词
□	tsɛ1	歪~:形容人品差
□	fan3	歪、斜
□	lɔ1	火~:火铲
□	tʰuoʔ7	火~:手炉
□	pəŋ5	热~:痱子
□	nɔʔ7	煎、熨。~饼:煎饼
□	kəuʔ7	猫~子:夜莺
□	ɕiɯ3	皱,动词
□	kʰəŋ2	盖。~发:刘海
□	lin2	瞪
□	ti2	石~:石榴
□	koŋ1	经~:经常
□	tsʰei2	给,介词
□	kueʔ7	羊~花樵花
□	ɕiɯ1	老鼠~:瘊子
□	pʰəŋ6	股。一~气色:一股味道
□	ti3	脚囊~:腿肚子
□	kʰu5	腿~:肘子
□	pan3	膝头~:膝盖
□	tɕʰio3	自己,“自家”的合音
□	ɕin3	蝎子
□	tʰiɛʔ7	表示已然
□	ləu2	走来走去
□	tɕʰiᴀ6	迈
□	pʰi2	钝
□	tsuoʔ7	铁~:钉钯
□	ɕioʔ8	门~:门闩
□	pʰoŋ1	闻
□	li6	香~娘:荠菜
□	tɕʰin1	鸡~:鸡肫
㦿	kʰan3	
朆	moŋ2	没
㬹	tan1	
㷮	tsɔ1	
㿭	tsʰuoʔ7	
䀫	tɕiɛʔ7	
䁐	ȵian5	
䏘	pʰiʔ7	
膞	tɕyn1	
䖳	tsʰuo6	
䘅	neʔ7	用指腹掐
一	ieʔ7	
丁	təŋ1	
七	tsʰɿʔ7	
万	uan6	
丈	tɕʰiɔŋ1	姨~
丈	tɕʰiɔŋ6	量词
三	sɔŋ1	
上	ɕiɔŋ6	1,~面
上	xɔŋ6	2,楼~
上	ɕiɔŋ1	动词
下	xuo1	~车
下	xuo6	乡~;一~
下	xuo1	桌~
丐	kɛ5	
丑	tɕʰiɯ3	子~寅卯
丑	tɕʰiɯ3	美丑
專	tɕyn1	
丕	pʰi6	
世	sɿ5	
丘	tɕʰiɯ1	
丙	pian3	
業	ȵiɛʔ8	1
業	ȵiɛʔ7	2
東	tioŋ1	1
東	noŋ1	2
絲	sɿ1	
丞	səŋ2	
兩	tiɔŋ3	~个
兩	tiɔŋ3	量词
嚴	ȵin2	
喪	soŋ1	~事
个	kɔ5	
中	tɕioŋ1	~央:中间
中	tɕioŋ1	动词
丰	foŋ1	
串	tɕʰin5	
臨	lin2	1
臨	ləŋ2	2
丸	yn2	
丹	tan1	
爲	fei2	
爲	uei2	
爲	uei6	~物什:为什么
主	tsʮ3	
麗	li6	
舉	tɕʮ3	
久	tɕiɯ3	
義	ȵi6	
之	tsɿ1	
烏	ʋu1	
乍	tsɔ6	
乏	fɔʔ8	
樂	ləuʔ8	快~
樂	ŋɛ5	要
乒	tʰin2	
乓	pʰan2	
喬	tɕʰio2	
乘	səŋ2	
乙	ieʔ7	
九	tɕiɯ3	
也	iᴀ6	
習	ɕyeʔ8	
鄉	ɕiɔŋ1	
書	sʮ1	
買	mei3	
亂	lan6	1
亂	ləŋ6	2
乾	tɕʰin2	
了	ɔ5	2,句末语气词
了	lio3	~结
了	lio3	了解
了	lɔ3	完毕
爭	tsɔŋ1	
事	sɿ6	
二	ȵi6	
于	y2	姓
虧	kʰuei1	
云	yn2	
互	ʋu6	
五	ŋ̍3	
井	tɕian3	
亞	yɔʔ7	
亡	ʋɔŋ2	
交	kɔ1	
亥	xɛ6	
亦	iʔ8	
產	tsʰan3	
亨	xan1	
畝	miɛ3	
享	ɕiɔŋ3	
京	tɕin1	
亭	tʰəŋ2	
亮	liɔŋ6	
親	tɕʰin1	1,~戚
親	tɕin1	2,~啜:亲嘴
親	tɕʰin1	~家
人	nin2	1
人	səŋ1	2
億	i5	
什	sɿʔ8	
仁	səŋ2	
仇	tɕʰiɯ2	仇恨
仇	tɕʰiɯ2	姓
今	tɕiɔŋ1	
介	kɔ1	
仑	ləŋ2	
倉	tsʰoŋ1	
仕	sɿ5	
仗	tɕiɔŋ5	
付	fu5	
仙	ɕin1	
代	tʰɛ6	
令	lin6	
以	i3	
儀	ȵi6	
仰	ȵiɔŋ3	
件	tɕʰin6	
價	kuo5	
任	səŋ6	主~
份	fəŋ6	
企	tsʰɿ3	
伊	i1	
伏	fuʔ8	~天
伏	pʰu6	孵
休	ɕiɯ1	
衆	tɕioŋ5	
優	iɯ1	
伙	fɛ3	
會	kuei1	~计
會	uɛ6	~唔~:会不会
會	fei6	开~
傘	san3	
偉	uei6	
傳	tɕʰyn6	传记
傳	tɕʰin2	动词
傷	ɕiɔŋ1	
倫	ləŋ2	
伯	puoʔ7	
估	ku3	
伴	pʰan1	
伸	səŋ1	
伸	tɕʰin1	~手
位	uei6	
低	ti1	
住	tsʰʮ6	
佑	iɯ6	
體	tʰi3	
何	xəu2	
余	ʮ2	剩余
余	ʮ2	姓
佛	fəɯʔ8	~堂
作	tsəuʔ7	
你	ȵi2	
佣	ioŋ6	
佩	pʰei6	
佬	ləu3	
佳	tɕiɔŋ1	
