#漢字	音標	解釋
□	ɛ5	
□	hɛ1	~点儿:这么一点点。
□	kʰəɯ1	~~好:刚刚好
□	həɯ1	~水:吸水
□	dʑyɛ2	~手儿:指手指全无的手
□	tɕyɛ3	~起来:抓住提起,~稻:把稻子连泥提起
□	pʰe3	~火:用铁条拨火
□	pʰai3	~空:突然
□	tɯɤ3	~被头
□	ɕiəɯ3	~一记:抽打一下
□	ən3	~蒸暖
□	ȵiən4	~进去
□	ɦoŋ4	~拢:人挤在一起
□	ɡɔ6	~起来:垫架起来
□	ɦoŋ6	~下来:坍下来
□	iɔ7b	~囡:女儿出嫁
□	tsʰie7b	~直:伸直
□	dʑie8b	~:舌头
□	iə7b	~谷
□	bɛ6	不足斤两用石块等凑足斤两叫~。
□	kʰəɯ5	事先约好
□	lɯɤ6	团~:团篇
□	tɔ7b	地~:山地
□	ɕyɛ1	小孩儿哭前的嘴形
□	tʰau1	小鬼~:骂人语
□	dzɛ2	小孩争宠
□	həɯ3	应~:答应
□	ɡɔ2	很拥挤叫~狭
□	kuɛ1	怕
□	ɡɛ2	手提起来
□	bɛ2	拍打灰尘
□	zoŋ2	没本事
□	dzo4	混拌了,换错了。
□	iəɯ1	火、光减弱叫~
□	iən3	火,光灭了
□	tɕʰyɛ3	用脚踩物
□	zoŋ6	精液
□	ȵiɔ5	糖~:糕点名
□	ȵia1	给、~阿一本书:给我一本书
□	tsʰie1	脚伸过去
□	tʰɯ5	蒸笼~:蒸笼格
□	ɡuɛ6	跷脚~
□	nɛ1	这样
□	ɕyɛ1	饭很稀软
□	da4	高声叫喊
㑷	mɯa4	老~:妻子
㓱	pʰi1	用牙析物
㗋	dʑiɛ8b	~西:什么东西
擓	hue1	~跌:摔跤
㴻	li6	稀饭烧得稀软,稠~
㶸	bi2	
㼜	bɛ6	瓦~:碎瓦片。
㾑	ɦɔ6	肚子~了
筴	tsʰəʔ7a	
訢	ɡe4	
䟽	dŋʷ6	
䥆	tɕie7b	镰刀:带齿的割麦、割稻用的刀
䧎	ɡe4	
䧎	ɡe6	
一	iəʔ7a	
一	iə7b	
丁	nən1	
丁	tin1	
七	tsʰəʔ7a	
七	tsʰə7b	
七	tsʰiəʔ7a	又音
万	vɔ6	
万	van6	
丈	dzɯa6	
丈	dzɯan6	
三	sɔ1	
三	san1	
上	zɯan4	
上	zɯa6	~面
上	zɯan6	~面
下	ɦɔ6	
下	ɦia6	~面
不	pəʔ7a	
与	ɦy4	
丐	kai5	
丐	ke5	吃~
丑	tsʰəɯ3	小~
專	tɕye1	
專	tɕyɛn1	
且	tsʰe5	
且	tsʰiɛ5	筊不正、歪斜~
丕	pʰe1	
丕	pʰi1	
丕	pʰai1	
世	si5	
丘	tɕʰiəɯ1	
丙	mən3	
丙	pin3	
業	ȵiəʔ8a	
業	ȵie8b	
叢	zoŋ2	
東	noŋ1	
東	noŋ5	
東	toŋ1=	
絲	sɿ1	
絲	ɦiɛn2	
丞	dzən2	
丢	təɯ1	
兩	lɯa4	
兩	lɯan4	
兩	lɯan6	一~
兩	lɯa6	斤~
嚴	ȵie2	
嚴	ȵiɛn2	
喪	sŋʷ1	
个	ko5	
个	kə7b	阿个:我的。
丫	ia1	
丫	ɔ1	~头
中	tsoŋ1	
中	tsoŋ3	射~
丰	foŋ1	
串	tɕʰye1	
串	tɕʰyɛn5	一~
臨	lən2	
臨	lin2	
丸	uan1	
丸	ɦuan2	
丹	nɔ1	
丹	tan1	
爲	vu2	
爲	vu4	
爲	vu6	
爲	ʑy6	
爲	ɦuai6	~什么
爲	ɦuai2	作~
主	tɕy3	
主	iau5	
麗	li6	
舉	tɕy3	
久	tɕiəɯ3	
麽	iɯɤ1	
麽	iau1	~二三
義	ȵiɔ1	
義	ȵiɔ2	
義	ȵiɔ4	
義	ȵi6	
之	tsɿ1	
烏	ȵiɔ1	
烏	u1	
烏	ȵiɔ2	
烏	ȵiɔ4	
乍	tsa5	
乎	hu1	
乏	vəʔ8a	
乏	vɯa8b	
樂	lɔ8b	快~
樂	lɔʔ8a	音~
樂	ɦiaʔ8a	音~
乒	pʰin1	
喬	dʑiau2	
喬	dʑiɯɤ2	
乖	kuai1	
乘	dzən2	
乙	iəʔ7a	
乙	iə7b	
九	tɕiəɯ3	
乞	tɕʰiəʔ7a	
乞	tɕʰiə7b	
習	ziəʔ8a	
鄉	ɕiɔ1	
鄉	ɕian1	
書	ɕy1	
買	ma4-	
買	mai4	
亂	luan6	
亂	lən6	
乳	ʑy4=	
乾	dzie2	
乾	dʑiɛn2	
了	liau6	~结
了	liau4	完了
予	ɦy6	
爭	tsɛ1	
爭	tsən1=	
事	zɿ6	
二	ɦe4	
二	əl4	
二	ŋ̍m̩、ŋ̍6	~婚亲
于	y1	
虧	kʰuai1	
云	ɦyən2	
互	ɦu6	
五	ŋ̍m̩、ŋ̍2	
井	tsən3	
井	tsin3	
井	nən3	小水潭
亞	ia5	
些	səʔ7a	这~
些	sɯɤ1	面~:那些
亡	van2	
交	ko1-	
交	tɕiau1	
亥	ɦe4	
亥	ɦai6	
亦	ɦiəʔ8a	
產	tsʰɔ3	
產	tsʰan3	
亨	hən1	
畝	məɯ6	一~
享	ɕiɔ3	
享	ɕian3	
京	tɕiən1	
亭	dən2	
亭	din2	
亮	lɯa6	
亮	lɯan6	
親	tsʰən1	
親	tsʰin1	
人	zin2	
