#漢字	音標	解釋
一	i1	
丁	tiŋ1	
七	tɕʰi1	
丈	tʂaŋ5a	
三	san1	
上	ʂaŋ5a	
下	ɕia5a	
不	pu5a	
丐	kai5a	
丑	tʂʰəu3	
且	tɕʰie3	
世	ʂʅ5a	
丘	tɕʰiəu1	
丙	piŋ3	
丞	tʂʰəŋ2	
丢	tiəu1	
並	piŋ5a	
丫	ȵia1	
中	tʂuŋ1	
串	tʂʰuan5a	
丸	van2	
丹	tan1	
主	tʂu3	
主	tʂəu3	
乃	nai3	
久	tɕiəu3	
之	tsɿ1	
之	tʂʅ1	
乍	tʂa5a	
乎	xu1	
乏	fa2	
乒	pʰiŋ1	
乓	pʰaŋ1	
乖	kuai1	
乘	tʂʰəŋ2	
乙	i3	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	
乳	ʐu3	
乾	tɕʰian2	
亂	luan5a	
了	liau3	
予	y3	
事	sɿ5b	
事	ʂʅ5b	
二	ɚ5a	
互	xu5a	
五	u3	
井	tɕiŋ3	
些	ɕie1	
亞	ia5a	
亡	uaŋ2	
亢	kʰaŋ5a	
交	tɕiau1	
亥	xai5a	
亨	xəŋ1	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5a	
亳	po2	
人	ʐən2	
什	ʂən2	
仁	ʐən2	
仃	tiŋ1	
仄	tsɤ5a	
仇	tʂʰəu2	
今	tɕin1	
介	tɕiɛi5a	
仍	ʐəŋ2	
仔	tsai3	
仔	tsɿ3	
他	tʰa1	
仗	tʂaŋ5a	
付	fu5a	
仙	ɕian1	
仟	tɕʰian1	
代	tai5a	
令	liŋ5a	
以	i3	
仨	sa1	
仰	iaŋ3	
仲	tʂuŋ5a	
件	tɕian5a	
任	ʐən5a	
份	fən5a	
仿	faŋ3	
企	tɕʰi2	
伍	u3	
伏	fu2	
休	ɕiəu1	
伙	xuo3	
伯	pei2	
估	ku1	
伴	pan5a	
伶	liŋ2	
伸	ʂən1	
伸	ʂəŋ1	
伺	tsʰɿ5a	
似	sɿ5b	
伽	tɕia1	
但	tan5a	
位	vei5b	
低	ti1	
住	tʂu5b	
佐	tsuo3	
佑	iəu5a	
何	xuo2	
何	xɤ2	
佘	ʂɤ1	
佛	fo2	
作	tsuo5a	
佞	niŋ5a	
佟	tʰuŋ2	
你	ni3	
佩	pʰei5a	
佰	pai3	
使	ʂʅ3	
侃	kʰan3	
侄	tʂʅ2	
來	lai2	
例	li5a	
侍	ʂʅ5b	
侖	luən2	
供	kuŋ1	~應
供	kuŋ5a	~奉
依	i1	
侯	xəu2	
侵	tɕʰin1	
侶	ly3	
便	pʰian2	
便	pian5a	
促	tsʰu5a	
促	tsʰəu5a	
俄	ŋɤ2	
俊	tɕyn5a	
俏	tɕʰiau5a	
俑	yŋ3	
俗	su2	
俗	səu2	
保	pau3	
俠	ɕia2	
信	ɕin5a	
修	ɕiəu1	
俯	fu3	
俱	tɕy5a	
俸	fəŋ5a	
俺	ŋan3	
倉	tsʰaŋ1	
個	kuo5a	
個	kɤ5b	
倍	pei5a	
們	mən2	
倒	tau5a	
倔	tɕye5a	
倘	tʰaŋ3	
候	xəu2	
倚	i3	
借	tɕie5a	
倡	tʂʰaŋ5a	
倦	tɕyan5a	
倫	luən2	
值	tʂʅ2	
假	tɕia1	
假	tɕia5a	~期
假	tɕia3	真~
偉	vei3	
偌	ʐuo5a	
偏	pʰian1	
偕	ɕie2	
做	tsuo5a	
停	tʰiŋ2	
健	tɕian5a	
側	tsʰɤ5a	
偵	tʂən1	
偶	ŋəu3	
偷	tʰəu1	
僞	vei3	
傅	fu5a	
傍	paŋ5a	
傑	tɕie2	
傘	san3	
備	pei5a	
催	tsʰuei1	
傭	yŋ1	
傲	ŋau5a	
傳	tʂʰuan2	
債	tʂai5a	
傷	saŋ1	
傷	ʂaŋ1	
傻	ʂa3	
傾	tɕʰiŋ1	
僂	ləu3	
僅	tɕin3	
像	ɕiaŋ5a	
僑	tɕʰiau2	
僚	liau2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	pʰi5a	
儀	i2	
億	i5a	
儒	ʐu3	
償	tʂʰaŋ2	
優	iəu1	
儲	tʂʰu3	
允	yn3	
元	yan2	
兄	ɕyŋ1	
充	tʂʰuŋ1	
兆	tʂau5a	
先	ɕian1	
光	kuaŋ1	
克	kʰɤ5a	
兑	tuei5a	
免	mian3	
兒	ɚ2	
兔	tʰəu5a	
兜	təu1	
入	ʐu5a	
内	nuei5a	
全	tɕʰyan2	
兩	liaŋ3	
八	pa1	
公	kuŋ1	
六	liəu5a	
共	kuŋ5a	
兵	piŋ1	
其	tɕʰi2	
具	tɕy5a	
典	tian5a	
兼	tɕian1	
冉	ʐan2	
册	tsʰɤ5a	
再	tsai5a	
冑	tʂəu5a	
冒	mau5a	
冕	mian3	
冗	ʐuŋ3	
冠	kuan5a	
冤	yan1	
冥	miŋ2	
冪	mi5a	
冬	tuŋ1	
冰	piŋ1	
冶	ie3	
冷	ləŋ3	
冽	lie5a	
凋	tiau1	
凌	liŋ2	
凍	tuŋ5a	
凝	niŋ2	
凡	fan2	
凰	xuaŋ2	
凱	kʰai3	
凳	təŋ5a	
凶	ɕyŋ1	
凸	tʰəu1	
凹	ŋau1	
出	tʂʰu1	
函	xan2	
刀	tau1	
刁	tiau1	
刃	ʐən5a	
分	fən1	
切	tɕʰie1	~菜
切	tɕʰie5a	親~
刊	kʰan1	
刎	uən3	
刑	ɕiŋ2	
列	lie5a	
初	tʂʰu1	
初	tsʰəu1	
判	pʰan5a	
别	pie2	
刨	pʰau2	
利	li5a	
删	ʂan1	
刮	kua1	
到	tau5b	
制	tʂʅ5a	
刷	ʂua1	
券	tɕʰyan5a	
刺	tsʰɿ5a	
刻	kʰi5b	
刻	kʰɤ5b	
刴	tuo5a	
剃	tʰi5a	
則	tsɤ2	
削	ɕye1	
剌	la2	
前	tɕʰian2	
刹	sa5b	
刹	ʂa5b	
剔	tʰi5a	
剖	pʰəu1	
剛	kaŋ1	
剜	van3	
剝	pau1	
剝	po1	
剩	ʂəŋ5a	
剪	tɕian3	
剮	kua3	
副	fu5a	
割	kɤ1	
創	tʂʰuaŋ1	~傷
創	tʂʰuaŋ5a	~造
剽	pʰiau2	
劃	xua5a	
劇	tɕy5a	
劈	pʰi1	
劉	liəu2	
劊	kuei5a	
劍	tɕian5b	
劑	tɕi5a	
力	li5a	
功	kuŋ1	
加	tɕia1	
劣	lye5a	
助	tʂu5a	
助	tʂəu5a	
努	nəu3	
劫	tɕie5a	
劾	xɤ2	
勁	tɕin5a	
勃	po2	
勇	yŋ3	
勉	mian3	
勒	luei1	
勒	lɤ1	
動	tuŋ5a	
勘	kʰan1	
務	u5a	
勝	səŋ5a	
勝	ʂəŋ5a	
勞	lau2	
募	mu5a	
勢	ʂʅ5a	
勤	tɕʰin2	
勰	ɕie2	
勵	li5a	
勸	tɕʰyan5a	
勺	ʂau2	
匀	yn2	
勾	kəu1	
包	pau1	
匆	tsʰuŋ1	
匈	ɕyŋ1	
匕	pi5a	
化	xua5a	
北	pei3	
匝	tsa2	
匡	kʰuaŋ1	
匣	ɕia2	
匪	fei3	
匯	xuei5a	
匹	pʰi3	
匾	pian3	
匿	ni5a	
區	tɕʰy1	
十	ʂʅ2	
千	tɕʰian1	
升	ʂəŋ1	
午	u3	
卉	xuei5a	
半	pan5a	
卑	pei1	
卒	tsu2	
卒	tsəu2	
卓	tʂuo2	
協	ɕie2	
南	nan2	
博	po2	
占	tʂan5a	
卡	kʰa3	
卡	tɕʰia3	
卦	kua5a	
印	in5a	
危	vei1	
即	tɕi2	
卵	luan3	
卷	tɕyan3	
卸	ɕie5a	
卻	tɕʰye5b	
卿	tɕʰiŋ1	
厄	ŋɤ5a	
厘	li2	
厚	xəu5a	
厝	tsʰuo5a	
原	yan2	
厥	tɕye2	
厦	ɕia5a	
厭	ian5a	
厲	li5a	
去	tɕʰy5b	
參	tsʰan1	
又	iəu5a	
叉	tʂʰa1	
及	tɕi2	
友	iəu3	
反	fan3	
叔	ʂu1	
叔	səu1	
叔	ʂəu1	
取	tɕʰy3	
受	ʂəu5a	
叛	pʰan5a	
叢	tsʰuŋ2	
口	kʰəu3	
古	ku3	
句	tɕy5a	
另	liŋ5a	
叩	kʰəu5a	
只	tsɿ1	
只	tʂʅ1	
叫	tɕiau5a	
召	tʂau1	
叮	tiŋ1	
可	kʰuo3	
可	kʰɤ3	
台	tʰai2	
叱	tʂʰʅ5a	
史	ʂʅ3	
右	iəu5a	
叵	pʰo3	
司	sɿ1	
叼	tiau1	
吃	tʂʰʅ1	
各	kɤ5a	
合	xɤ2	
吉	tɕi2	
吊	tiau5a	
同	tʰuŋ2	
名	miŋ2	
吐	tʰəu5a	
向	ɕiaŋ5a	
吒	tʂa1	
君	tɕyn1	
吞	tʰuən1	
吟	in2	
否	pʰi3	
否	fəu3	
吧	pa1	
含	xan2	
吭	kʰəŋ1	
吮	ʂuən3	
吳	u2	
吵	tʂʰau3	
呐	na5a	
吸	ɕi1	
吹	tʂʰuei1	
吻	uən3	
吼	xəu3	
吾	u2	
呀	ȵia1	
呂	ly3	
呆	tai1	
呈	tʂʰəŋ3	
告	kau5a	
呔	tai1	語氣詞
呢	ni1	
呢	nɤ1	
周	tsəu1	
周	tʂəu1	
呱	kua2	
呲	tsʰɿ1	
味	vei5a	
呵	xɤ1	
呷	ɕia1	
呸	pʰei1	
呻	ʂən1	
呼	xu1	
命	miŋ5a	
咄	tuo1	
咆	pʰau2	
咋	tsa3	
和	xuo2	
和	xɤ2	~睦
咒	tʂəu5a	
咖	kʰa1	
咚	tuŋ1	
咧	lie5a	
咨	tsɿ1	
咩	mie1	
咪	mi1	
咬	ȵiau3	
咱	tsa2	
咳	kʰɤ2	
咳	xai1	語氣詞
咸	ɕian2	
咽	ian5a	
哀	ŋai1	
品	pʰin3	
哄	xuŋ3	
哆	tuo1	
哈	xa1	
