#漢字	音標	解釋
□	pʰia1	(象声词)
□	uə1	(役使牲口时让其转弯的口令)
□	zɿ1	(象声词。多形容鸟飞的声音)
□	mi1	(隐藏:~起来啦)
□	kʰu1	(~擦:刮削,引申为揩油)
□	tsuɛ1	(堵)
□	zəu1	(用鞭子抽打)
□	tɕin1	(抓住:~住绳头)
□	tʰɑŋ1	(对付:我去~他|没有人敢~他)
□	ləŋ1	(很:~好扔)
□	ɣəŋ1	(象声词)
□	pia2	(象声词。多用来形容鞭子的抽打声)
□	pʰia2	(象声词)
□	tɕʰiə2	(~子他|~相子他:抓住弱点或口实不放)
□	suə2	(不老实、不安分,多指孩童:这孩子很~)
□	kʰei2	(吃:一碗肉都~啦)
□	zəu2	(象声词)
□	kʰəu2	(不和善:那人很~;锋利: 刀刃很~)
□	suən2	(害~:害羞)
□	pɑŋ2	(象声词)
□	tsɑŋ2	(添加:~点儿盐)
□	kɑŋ2	(很:~好啦)
□	piɑŋ2	(象声词)
□	kʰuɑŋ2	(因无思想准备而受惊:~了一下)
□	zəŋ2	(象声词)
□	kəŋ2	(~~~:形容得志或出类拔萃)
□	ɣəŋ2	(象声词)
□	tuŋ2	(象声词)
□	kuə3	(吮吸:~奶)
□	zɿ3	(象声词)
□	ku3	(~搐:收缩)
□	pʰɛ3	(量词。一~粪)
□	lɛ3	(~拉:训斥,冲撞)
□	sɛ3	(扔)
□	xuei3	(~他两巴掌)
□	mɔ3	(次,这一~我盈了)
□	tuã3	(~路:劫路)
□	pin3	(逼迫:~不出一句话来|~他的钱)
□	luən3	(量词。一~沙子)
□	tsuɑŋ3	(使聚拢:把秫~起来)
□	suɑŋ3	(使整齐:~纸)
□	tsʰəŋ3	(支持、纵容:有人~子他;带领:这件事没有人~头儿)
□	kʰəŋ3	(从容器中往外倒,多指固体物:~筐)
□	iŋ3	(讨厌)
□	nuŋ3	(挣扎、力不从心地支撑:~出病来)
□	uŋ3	(推)
□	ua5	(侵吞、藏匿:~起来|~到自己手里)
□	ua5	(勾结)
□	zɿ5	(~歪:慢腾腾地拖延)
□	ti5	(~脸儿:化妆)
□	nu5	(口~:口讷)
□	tuã5	(追赶)
□	tsʰɑŋ5	(~痒痒|~了一层皮)
□	pəŋ5	(挺:~好)
□	nəŋ5	(肏)
□	kʰəŋ5	(停顿、受阻:~住啦)
□	xəŋ5	(扔)
□	nuŋ5	(泥泞)
㓦	pɛ3	(~划)
㓱	tʰəu2	(~眼儿)
㞎	pa3	
㞘	tu1	(蝎子~儿|没头没~儿)
㞞	suŋ2	(讥讽人软弱无能)
㞞	ɕyŋ2	(精液)
㥮	tsəu2	
㨄	tsəu3	
㩳	suŋ3	(推:往前~)
䍉	tsɛ3	(~儿)
䙡	kʰuei5	
䝼	tɕʰiŋ2	(~受)
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uã5	
三	sã1	
上	xɑŋ5	(~边)
上	sɑŋ5	
下	ɕia5	
不	pu1	
与	y2	
丐	kɛ5	
專	tsuã1	
且	tɕʰiə1	
丕	pʰei3	
丘	tɕʰiəu1	
丙	piŋ3	
業	iə5	
叢	tsʰəŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tsʰəŋ2	
丢	tiəu1	
兩	liɑŋ3	
兩	tɕʰiɑŋ5	
喪	sɑŋ5	(~良心)
喪	sɑŋ1	
个	kə5	
丫	ia1	
中	tsuŋ5	(打~)
中	tsuŋ1	
丰	fəŋ1	
串	tsʰuã5	
臨	lin2	
丸	uã2	
丹	tã1	
爲	uei2	(作~)
爲	uei5	(~什么)
主	tsu3	
麗	li5	
舉	tɕy3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu2	
乏	fa2	
樂	yə5	(音~)
樂	luə5	
乒	pʰiŋ1	
乓	pʰa1	
喬	tɕʰiɔ1	
乖	kuɛ1	
乘	tsʰəŋ2	
乙	i3	
九	tɕiəu3	
乞	tɕʰi1	(~求)
乞	tɕʰi2	(~丐)
也	iə3	
習	ɕi2	
鄉	ɕiɑŋ1	
書	su1	
買	mɛ3	
亂	luã5	
乳	lu3	(豆腐~)
乳	zu3	
乾	tɕʰiã1	
了	liɔ2	(~解)
了	liɔ3	(~结)
了	tɕʰiɑŋ5	
予	y2	
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yn2	
互	xu1	
亓	tɕʰi2	(姓)
五	u3	
井	tɕiŋ3	
亘	kən5	
亞	ia5	
些	ɕiə1	
亡	uɑŋ2	
亢	kʰɑŋ5	(姓)
交	tɕiɔ1	
亥	xɛ5	
亦	i5	
產	tsʰã3	
亨	xəŋ1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑŋ5	
親	tɕʰiŋ5	(~家)
親	tɕʰin1	
褻	ɕiə5	
人	zən2	
億	i5	
什	sɿ2	
仁	zən2	
仃	tiŋ1	
仄	tsɛ1	
僅	tɕin3	
仆	pʰu2	
仇	tɕʰiəu2	(姓)
仇	tsʰəu2	
今	tɕin1	
介	tɕiɛ5	
仍	zəŋ2	
从	tsʰuŋ2	
仑	luən2	
倉	tsʰɑŋ1	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	(其~)
他	tʰuə1	(其~)
他	tʰa3	
付	fu2	(~款)
付	fu5	(量词)
付	tsʰuən5	
仙	ɕiã1	
代	tɛ5	
令	liŋ5	
以	i3	
儀	i2	
們	mən2	
仰	iɑŋ3	
仲	tsuŋ5	
件	tɕiã5	
價	tɕia5	
任	zən2	(姓)
任	zən5	
份	fən5	
仿	fɑŋ3	
企	tɕʰi3	
伊	i2	
伏	fu2	
伐	fa2	(使运转:~车轮子)
伐	fa2	
休	ɕiəu1	
衆	tsuŋ5	
優	iəu1	
伙	xuə3	
會	kʰuɛ5	(~计)
會	xuei5	
傘	sã3	
偉	uei3	
傳	tsʰuã2	(~递)
傳	tsuã5	(~记)
傷	sɑŋ1	
倫	luən2	
僞	uei3	
伯	pɛ1	
估	ku3	
伴	pã5	
伶	liŋ2	
伸	tsʰən1	
伸	sən1	
伺	tsʰɿ5	(~候)
伺	sɿ5	(~机)
似	sɿ5	
佃	tiã5	
但	tã5	
位	uei5	
低	ti1	
住	tsu5	
佐	tsuə3	
佑	iəu5	
體	tʰi3	
何	xə2	
余	y2	
佚	i2	
佛	fə2	
作	tsuə1	
佟	tʰuŋ2	
你	ȵi3	
佣	zuŋ2	
佩	pʰei5	
佰	pɛ1	
佳	tɕia1	
使	sɿ2	
侄	tsɿ2	
侈	tsʰɿ3	
例	li5	
供	kuŋ1	(~他上学)
供	kuŋ5	(~销|~词)
依	i1	(~从)
依	i3	(~据)
俠	ɕia2	
侶	ly3	
僥	tɕiɔ3	
側	tsɛ1	(~歪)
側	tsʰɛ1	(~面)
