#漢字	音標	解釋
□	su3	
□	seŋ5	
□	tsʰjuk8	
□	dzjuk8	
□	ʐwjəj4	䓙土
□	tɕwa3	一人
□	kwjət7	一𠃋丿人
□	ɡuŋ2	丸頁
□	ʐwjəj2	丿丨从丛一
□	neŋ6	乃日非
□	tɕwjan1	九雚
□	lwan2	九嬴
□	kwɔj3	乞頁
□	tɕʰwaj3	亻廌
□	tʰen3	亻吞心
□	pʰəŋ6	亻並
□	bəŋ6	亻並
□	la6	似到
□	tʂʰjɔw3	來酋
□	ŋwa2	化欠
□	kʰwjat8	叕豕
□	ɡwjat8	叕豕
□	mjɛ2	口芋
□	ʂwaj5	口率
□	tɕʰok7	召比
□	xuk7	吉殳
□	tʂwa3	坐且
□	xjɛt7	大旨
□	pʰɔj1	女缶
□	ʔwjɔk7	女矍
□	tsʰan1	實際音
□	tswən3	尊刂
□	ʔwɔj5	尢鬼
□	tsʰju2	尸徐,實際音
□	dzju2	尸徐,實際音
□	swjən5	山俊,實際音
□	kwjən3	广軍
□	pwaj5	广开
□	kej3	开开鳥
□	pʰuŋ1	彳夅
□	kwjɔŋ1	忄㞷
□	tʂwjɔŋ3	忄壯
□	mɔw6	忄冒
□	pʰwaj6	忄艹厂用
□	xwək7	或巾
□	xi1	扌羲
□	ʔju3	扌於
□	ȵwaj4	扌分手
□	kwjən5	扌䴢
□	tʂʰwaj6	扌罪
□	dʐwaj6	扌罪
□	ʐwjan6	扌十日山
□	pʰək7	扌雹
□	xwjɔk7	日矍
□	sɔn1	月册
□	njɛ2	月吅里
□	pʰɔŋ5	月放
□	kʰwjɔŋ5	月匡
□	xok7	月寉
□	pʰuŋ6	木蓬
□	buŋ6	木蓬
□	lwət8	束犮
□	tsow1	枲最
□	tʂʅ5	此衣,實際音
□	ʔwət7	殳頁
□	xwɔn3	氵暖
□	tʰeŋ5	氵磴
□	tso1	爫豕左
□	pʰɔj2	片咅
□	bɔj2	片咅
□	ŋet8	牙豈
□	ȵiw2	牛周
□	tɕʰan2	犭耳絲
□	dʑan2	犭耳絲
□	tʂʰwan2	犭匀
□	dʐwan2	犭匀
□	zwjəj4	犭遀,實際音
□	suŋ3	甬攵
□	ɻwjan6	田耎
□	pwɔn1	番去
□	tʰen5	疒吞
□	tɕʰək7	疒啇
□	pʰja6	白犬
□	bja6	白犬
□	xwjan3	目恆
□	tsʰjɛ1	石虘
□	kʰjɔŋ3	石羌
□	lwɔj4	磥
□	kʰwjan5	祟巴
□	tɕʰwjən3	禾盾
□	pʰja3	立巴
□	tʂʰja3	竹叉
□	kʰat7	竹木葛
□	xwən3	糹㤻
□	ɣuk8	索殳
□	zjɛn4	絲羨
□	mwaj6	耳勿
□	ŋit8	耳乚
□	tsʰuŋ6	聚攴
□	dzuŋ6	聚攴
□	ȵan2	肉犬灬
□	tɕʰwaj6	臭奈
□	dʑwaj6	臭奈
□	ŋɔw4	艸午頁
□	kjuk7	艸大車
□	kwaj3	艹丨
□	kat7	薛鳥
□	kʰwjəj1	虚兮
□	ŋjɔw6	虛亢
□	ȵwjət8	血刀
□	xəŋ5	言㚔
□	xwaj5	豙舌
□	tɕwan3	豸乍
□	tsʰwjəj3	豸卒,實際音
□	ʔəŋ1	賏冖瓦
□	tʰwɔj1	車隹
□	ŋjɔŋ6	車卬
