#漢字	音標	解釋#('cmn_jh_hc_fdgc', '肥東古城話', '肥東古城', '#800080', None, None, '更新：2021-11-15<br>來源：osfans整理自栗華益、鄒冠麗《安徽肥東古城方言同音字彙》', '31 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,213 3 2 上 ꜂,,53 5 3 去 ꜄,,44 7 4 入 ꜆')
□	si3	使用
□	pʰɛ3	種:～蒜
□	uɛ2	壓；艱難地前進:日子再難也要向前
□	uɛ3	～訛:我就碰他一下,他就～我了
□	lɔ5	膩:肥肉～人
□	lɔ5	塗抹
□	tʂʰɔ5	不定時去觀察
□	ʂɔ2	喜歡顯擺
□	so1	劃,割,鋸:手指被刀片～到了
□	ko5	家畜繁殖
□	kʰo1	砍、鋸樹木
□	kʰo5	熄滅:燈～的了
□	tʂʰʉ1	插,塞
□	xʉ1	用手推,橫掃
□	kʰɵ3	摳門
□	tɕʰiɵ3	讒
□	kʰɘ7	勒；保留
□	kʰɘ7	～凼子:水坑
□	xɘ7	～旯子:縫隙處,拐角處
□	pɐ7	把收拾乾淨的動物放在水中浸泡以除去其身上的血水
□	tʂʰɐ7	來不～:來不及
□	tɕyɐ7	～子:剩下來的不好的東西
□	pᴀ1	粘
□	pᴀ1	～邊:旁邊
□	pᴀ5	～～:故意
□	tʂʰᴀ1	腳亂蹬；亂說話
□	ʂᴀ5	去除
□	kʰᴀ3	坑害別人:他給人～了
□	iᴀ1	從中間插進去或擠
□	tʂuei5	犟
□	tʂʰiɪ̃2	把穀物屯起來
□	tsã5	雲～:雲彩
□	pʰɑ̃3	西～:西邊
□	mɑ̃1	用力打
□	kɑ̃3	蛀噬
□	kɑ̃5	結～:結實
□	kʰɑ̃2	昂
□	kʰɑ̃3	焦煳
□	xɑ̃1	瞎～:瞎湊熱鬧
□	tɕʰiɑ̃2	躲起來
□	tʂuɑ̃5	湊；湊足
□	tʂʰuɑ̃2	用力晃動
□	xõ1	混淆
□	ɕyɪn3	～臉:一般指小孩子厚着臉皮做某事
□	mən1	用力打
□	lən1	等一等
□	tsʰən2	抵得上,相當於
□	tsʰən3	形容很讒的喫相
㕳	ɕiʌŋ2	批評、斥責
㜺	tsã2	美好的樣子：這丫頭長得真～；有意思：你真～，這事也就你能做得出來
㤍	kʰɔ1	逗人上當:他就喜歡～人
㥇	sã2	努力,使勁:～跑
㧅	tɔ1	～菜
㨃	tei3	兩訖
㨾	iɑ̃5	作勢
㩳	sʌŋ3	踢
㬤	tɕʰiɘ7	
㷢	tʂᴀ3	～肉:蒸肉
㾭	tɕiɵ5	～筋
䍉	tʂɛ3	單～:穿的少
䛍	fei5	非常調皮
䜈	tsʰɔ5	批評；罵
䞣	tʂʰi1	歪斜
䟘	kɑ̃1	擠進來
䟘	kɑ̃5	走
䧁	ʃy3	把疊在一起的東西分開
一	iɘ7	
丁	tiɪn1	
七	tɕʰiɘ7	
丈	tʂɑ̃5	
三	sã1	
上	ʂɑ̃5	
下	ɕiɐ7	
下	ɕiᴀ5	
不	puɘ7	
丐	kɛ5	
且	tɕʰi3	
