#漢字	音標	解釋
一	i2	
七	tɕʰi2	
三	san1	
上	ʂaŋ5	
下	ɕia5	
世	ʂʅ5	
丟	tiəu1	
中	tʂoŋ1	
主	tʂu3	
九	tɕiəu3	
亂	nan5	
事	sɿ5	
二	ər5	
五	u3	
井	tɕin3	
交	tɕiau1	
亮	niaŋ5	
人	ʐən2	
付	fu5	
件	tɕiɛn5	
任	ʐən5	
休	ɕiəu1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fu2	
作	tsuo2	
使	ʂʅ3	
侄	tʂʅ2	
來	nai2	
便	piɛn5	
俊	tɕyn5	
修	ɕiəu1	
倉	tsʰaŋ1	
個	kuo5	
借	tɕie5	
假	tɕia3	
做	tsəu5	
停	tʰin2	
健	tɕiɛn5	
側	tsʰɤ2	
偸	tʰəu1	
傑	tɕie2	
傘	san3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂaŋ1	
像	ɕiaŋ5	
像	tɕʰiaŋ5	
僧	sən1	
優	iəu1	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兇	ɕioŋ1	
先	ɕyɛn1	
光	kuaŋ1	
兒	ər2	
入	ʐu2	
全	tɕʰyɛn2	
兩	niaŋ3	
八	pa2	
公	koŋ1	
六	nu2	
共	koŋ5	
兵	pin1	
典	tiɛn3	
冤	yɛn1	
冬	toŋ1	
冰	pin1	
冷	nən3	
準	tʂuən3	
凍	toŋ5	
凳	tən5	
出	tʂʰu2	
刀	tau1	
分	fən1	
切	tɕʰie2	
列	nie2	
初	tsʰu1	
判	pʰan5	
別	pie2	
刮	kua2	
制	tʂʅ5	
刷	ʂua2	
刺	tsʰɿ5	
刻	kʰɤ2	
剃	tʰi5	
削	ɕyo1	
前	tɕʰiɛn2	
剝	po2	
剩	ʂən5	
剪	tɕiɛn3	
副	fu5	
割	kuo2	
劃	xua5	
劇	tɕy5	
劈	pʰi2	
劍	tɕiɛn5	
力	ni2	
勁	tɕin5	
動	toŋ5	
勤	tɕʰin2	
勸	tɕʰyɛn5	
勺	ʂuo2	
勻	yn2	
包	pau1	
化	xua5	
北	pɤ2	
匠	tɕiaŋ5	
匹	pʰi2	
區	tɕʰy1	
十	ʂʅ2	
升	ʂən1	
半	pan5	
卒	tsu2	
協	ɕie2	
南	nan2	
占	tʂan5	
印	yn5	
危	uei2	
卷	tɕyɛn3	
厚	xəu5	
原	yɛn2	
厭	iɛn5	
去	kʰɤ5	
參	sən1	
及	tɕi2	
反	fan3	
叔	ʂu2	
取	tɕʰy3	
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	tɕiau5	
可	kʰuo3	
台	tʰai2	
右	iəu5	
吃	tʂʰʅ2	
各	kuo2	
吉	tɕi5	
名	min2	
向	ɕiaŋ5	
吞	tʰən1	
含	xan2	
吳	u2	
