#漢字	音標	解釋
#簡稱	/	舒城萬佛湖
#全稱	/	舒城萬佛湖話
#聲母	/	
#韻母	/	
#聲調	/	31 1 1a 陰平 ꜀,34 2 1b 陽平 ꜁,213 3 2 上 ꜂,,55 5 3 去 ꜄,,5 7a 4a 高入 ꜆,24 7b 4b 低入 ꜇
#版本	/	2022-03-20
#錄入人	/	空島。
#參考資料	/	《安徽舒城方言語音研究》
#說明	/	
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	uã5	
丈	ʈʂɑ̃5	
三	sã1	
上	ʂɑ̃5	
下	xa5	
不	pəʔ7	
丐	kɛ5	
丑	tsʰəɯ3	
專	ʈʂuəŋ1	
且	tɕʰiɛ3	
丕	pʰɿ1	
世	ʂʅ5	
丘	tɕʰiəɯ1	
丙	pin3	
業	ɕyəʔ7	
業	iɐʔ8	
叢	niəɯ2	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丟	tiəɯ1	
兩	niã3	
兩	niɑ̃3	
嚴	iɪ̃2	
喪	sɑ̃1	婚～
喪	sɑ̃5	
个	ko5	
丫	ia1	
中	ʈʂəŋ1	
中	ʈʂəŋ5	
丰	fəŋ1	
串	ʈʂʰuəŋ5	
臨	nin2	
丸	uəŋ2	
丹	tã1	
爲	uei2	
主	ʈʂu3	
丽	zɿ5	
舉	tsɥ3	
乃	nɛ3	
久	tɕiəɯ3	
義	zɿ5	
之	ʈʂʅ1	
烏	u1	
乍	ʈʂa5	
乎	xu1	
乏	fɐʔ8	
樂	nɐʔ8	
樂	yɐʔ8	音～
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	ʈʂʰən2	
乙	iəʔ7	
九	tɕiəɯ3	
也	iɛ3	
習	ɕiəʔ7	
鄉	xiɑ̃1	
書	ʂu1	
買	mɛ3	
亂	nəŋ5	
乳	ʐu3	
乾	tɕʰiɪ̃2	
爭	tsən1	
事	sɿ5	
二	a5	
于	zɥ2	
虧	kʰuei1	
雲	yn2	
互	xu5	
五	u3	
井	tɕin3	
亘	kən5	
亞	ia5	
些	sɿ1	
亡	uɑ̃2	
交	tɕiɔ1	
亥	xɛ5	
亦	iəʔ7	
產	ʈʂʰã3	
亨	xən1	
畝	mo3	
享	xiɑ̃3	
京	tɕin1	
亭	tʰin2	
亮	niɑ̃5	
親	tɕʰin1	
人	ʐən2	
什	ʂəʔ7	
仁	ʐən2	
僅	tɕin3	
仆	pʰəʔ7	
仇	tsʰəɯ2	
仇	tɕʰiəɯ2	姓
今	tɕin1	
介	tɕiɛ5	
仍	ʐən1	
从	tsʰəŋ2	
仑	nən2	
倉	tsʰɑ̃1	
仔	tsɿ3	
仔	tsɛ3	
仕	sɿ5	
他	tʰa1	
仗	ʈʂɑ̃5	
付	fu5	
仙	ɕyɪ̃1	
代	tɛ5	
令	nin5	
以	zɿ2	
儀	zɿ2	
仰	niɑ̃3	
仲	ʈʂəŋ5	
件	tɕiɪ̃5	
價	tɕia5	
任	ʐən2	姓
任	ʐən5	
份	fən5	
仿	fɑ̃3	
企	tsʰɿ3	
伊	zɿ1	
伍	u3	
伏	fəʔ7	
伐	fɐʔ8	
休	ɕiəɯ1	
衆	ʈʂəŋ5	
優	iəɯ1	
伙	xo3	
會	kʰuɛ5	～计
會	xuei5	
傘	sã3	
偉	uei3	
傳	ʈʂʰuəŋ2	
傳	ʈʂuəŋ5	～纪
伢	ia2	
傷	ʂɑ̃1	
倫	nən2	
僞	uei3	
伯	pɐʔ8	
估	ku1	
伴	pəŋ5	
伸	ʂən1	
伺	sɿ5	
似	sɿ5	
佃	tiɪ̃5	
但	tã5	
位	uei5	
低	tsɿ1	
住	ʈʂu5	
佐	tso3	
體	tsʰɿ3	
何	xo2	
佘	ʂei2	
余	zɥ2	
佛	fəʔ7	
作	tso5	
作	tsɐʔ8	
你	ni3	
佣	iəŋ1	
佩	pʰei5	
佬	nɔ3	
佳	tɕia1	
使	sɿ3	
侄	ʈʂəʔ7	
侈	ʈʂʰʅ1	
侉	kʰua3	
例	zɿ5	
侍	ʂʅ5	
供	kəŋ1	
供	kəŋ5	
依	zɿ1	
僥	tɕiɔ3	
偵	ʈʂən1	
側	tsʰɐʔ8	
僑	tɕʰiɔ2	
侮	u3	
侯	xəɯ2	
侵	tɕʰin1	
便	pʰiɪ̃2	～宜
便	piɪ̃5	
促	tsʰəʔ7	
俄	uo2	
俊	tɕyn5	
俏	tɕʰiɔ5	
俑	iəŋ3	
俗	səʔ7	
俘	fu3	
保	pɔ3	
信	ɕin5	
儼	iɪ̃3	
儉	tɕiɪ̃3	
修	ɕiəɯ1	
俯	fu3	
俱	tsɥ5	
倍	pei5	
倒	tɔ3	
倒	tɔ5	
倔	tɕyɐʔ8	
倘	tʰɑ̃3	
倚	zɿ2	
倡	ʈʂʰɑ̃5	
倦	tɕyɪ̃5	
倪	zɿ2	
債	ʈʂɛ5	
值	ʈʂəʔ7	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiɪ̃1	
做	tso5	
停	tʰin2	
健	tɕiɪ̃5	
偶	ʐəɯ3	
偷	tʰəɯ1	
償	ʈʂʰɑ̃2	
傀	kʰuei3	
傅	fu5	
傍	pʰɑ̃2	
傍	pɑ̃5	
儲	ʈʂʰu3	
催	tsʰei1	
傲	ʐɔ5	
傻	ʂa3	
像	xiɑ̃1	
僚	niɔ2	
僧	sən1	
僵	tɕiɑ̃1	
僻	pʰiəʔ7	
儒	ʐu2	
儡	nei3	
兒	a2	
允	yn3	
元	yɪ̃2	
兄	xiəŋ1	
充	ʈʂʰəŋ1	
兆	ʈʂɔ5	
先	ɕiɪ̃1	
光	kuɑ̃1	
克	kʰɐʔ8	
免	miɪ̃3	
兌	tei5	
黨	tɑ̃3	
兜	təɯ1	
入	ʐuəʔ7	
全	tɕʰyɪ̃2	
八	pɐʔ8	
公	kəŋ1	
六	nəʔ7	
蘭	nã2	
共	kəŋ5	
關	kuəŋ1	
興	ɕin1	～旺
興	ɕin5	
兵	pin1	
其	tsʰɿ2	
具	tsɥ5	
典	tiɪ̃3	
兹	tsɿ1	
養	iɑ̃3	
兼	tɕiɪ̃1	
獸	ʂəɯ5	
冀	tsɿ5	
內	nei5	
岡	kɑ̃1	
冊	tsʰɐʔ8	
再	tsɛ5	
冒	mɔ5	
冗	ʐəŋ3	
寫	sei3	
軍	tɕyn1	
農	nəŋ2	
冠	kuəŋ1	
冠	kuəŋ5	～军
冢	ʈʂəŋ3	
冤	yɪ̃1	
冬	təŋ1	
馮	fəŋ2	
冰	pin1	
冲	ʈʂʰəŋ1	
决	tɕyɐʔ8	
况	kʰuɑ̃5	
冷	nən3	
凍	təŋ5	
淨	tɕin5	
凄	tsʰɿ1	
準	ʈʂuən3	
凉	niɑ̃2	
凋	tiɔ1	
凌	nin2	
減	tsɑ̃1	
減	tɕiɪ̃3	
湊	tsʰəɯ5	
凛	nin3	
凝	nin2	
几	tsɿ1	
几	tsɿ3	
凡	fã2	
鳳	fəŋ5	
凭	pʰin2	
凱	kʰɛ3	
凳	tən5	
凶	xiəŋ1	
凹	ua5	
出	ʈʂʰuəʔ7	
擊	tɕiəʔ7	
凼	tɑ̃5	
函	xã2	
鑿	tsɔ2	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5	
分	fən1	
切	tɕʰiɐʔ8	
刊	kʰã1	
刎	uən3	
刑	ɕin2	
划	xua2	
列	niɐʔ8	
劉	niəɯ2	
剛	kɑ̃1	
創	ʈʂʰuɑ̃5	
初	tsʰo1	
刪	ʂã1	
判	pʰəŋ5	
刨	pʰɔ2	
利	zɿ5	
别	piɐʔ8	
刮	kuɐʔ8	
到	tɔ5	
制	ʈʂʅ5	
刷	ʂuɐʔ8	
券	tɕʰyɪ̃5	
刺	tsʰɿ5	
刻	kʰɐʔ8	
剁	to5	
劑	tsɿ5	
剃	tsʰɿ5	
削	ɕyɐʔ8	
前	tɕʰiɪ̃2	
剮	kua3	
劍	tɕiɪ̃5	
剔	tʰiəʔ7	
剖	pʰo5	
剝	pɐʔ8	
剩	ʂən5	
副	fu5	
割	kɐʔ8	
剿	tɕiɔ3	
劈	pʰiəʔ7	
力	niəʔ7	
勸	tɕʰyɪ̃5	
功	kəŋ1	
加	tɕia1	
務	u5	
劣	niɐʔ8	
動	təŋ5	
助	tsu5	
努	nu3	
劫	tɕiɐʔ8	
勵	zɿ5	
勁	tɕin5	
勞	nɔ2	
勢	ʂʅ5	
勃	pɐʔ8	
勇	iəŋ3	
勉	miɪ̃3	
勋	ɕyn1	
勒	nəʔ7	
勘	kʰã1	
募	mo5	
勤	tɕʰin2	
勺	ʂuɐʔ8	
勾	kəɯ1	
勿	uəʔ7	
勻	yn2	
包	pɔ1	
匈	xiəŋ1	
化	xua5	
北	pɐʔ8	
匙	ʈʂʰʅ1	
匠	tɕiɑ̃5	
匡	kʰuɑ̃1	
匪	fei3	
匹	pʰiəʔ7	
區	tsʰɥ1	
醫	zɿ1	
匾	piɪ̃3	
匿	niəʔ7	
十	ʂəʔ7	
千	tɕʰiɪ̃1	
升	ʂən1	
午	u3	
半	pəŋ5	
華	xua2	
華	xua5	姓
卑	pei1	
卒	tsəʔ7	
卓	ʈʂuɐʔ8	
單	tã1	
賣	mɛ5	
南	nã2	
博	pɐʔ8	
占	ʈʂã1	～卜
卡	kʰa3	
盧	nu2	
卤	nu3	
卦	kua5	
臥	uo5	
衛	uei5	
卯	mɔ3	
印	in5	
危	uei2	
即	tɕiəʔ7	
卻	tɕʰyɐʔ8	
卵	nəŋ3	
卷	tɕyɪ̃3	
卸	sei5	
卿	tɕʰin1	
廠	ʈʂʰɑ̃3	
廳	tʰin1	
历	niəʔ7	
厲	zɿ5	
壓	iɐʔ8	
壓	ʈʂuɐʔ8	
厭	iɪ̃5	
廁	sɿ1	茅～
廁	tsʰɐʔ8	
厘	zɿ2	
厚	xəɯ5	
原	yɪ̃2	
廂	xiɑ̃1	
厥	tɕyɐʔ8	
厦	ʂa5	
厦	ɕia5	～门
廚	ʈʂʰu2	
去	tsʰɥ5	
縣	ɕiɪ̃5	
参	tsʰã1	
参	tsʰən1	～差
参	sən1	
又	iəɯ5	
叉	ʈʂʰa1	
及	tɕiəʔ7	
友	iəɯ3	
雙	ʂuɑ̃1	
反	fã2	
发	fɐʔ8	
叔	ʂuəʔ7	
取	tsʰɥ3	
受	ʂəɯ5	
變	piɪ̃5	
敘	sɥ5	
叛	pʰəŋ5	
叟	səɯ3	
疊	tiɐʔ8	
口	kʰəɯ3	
古	ku3	
句	tsɥ5	
另	nin5	
叨	tɔ1	
叩	kʰəɯ5	
只	ʈʂʅ3	
叫	tɕiɔ5	
召	ʈʂɔ5	
可	kʰo3	
台	tʰɛ2	
史	sɿ3	
右	iəɯ5	
葉	iɐʔ8	
號	xɔ5	
司	sɿ1	
嘆	tʰã5	
叼	tiɔ1	
吁	sɥ1	
吃	tɕʰiəʔ7	
各	kɐʔ8	
吆	iɔ1	
合	xɐʔ8	
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰəŋ2	
名	min2	
后	xəɯ5	
吏	zɿ5	
吐	tʰu5	
向	xiɑ̃1	
吕	zɥ3	
嗎	ma1	
君	tɕyn1	
吝	nin5	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fu3	
吧	pa1	
吨	tən5	
含	xã2	
听	tʰin1	
听	tʰin5	
吮	ʂuən3	
启	tsʰɿ3	
吴	u2	
吵	ʈʂʰɔ3	
吸	ɕiəʔ7	
吹	ʈʂʰuei1	
吻	uən3	
吼	xəɯ3	
呀	ia1	
呆	tɛ1	
呆	ʐɛ2	
呈	ʈʂʰən2	
告	kɔ5	
嘔	ʐəɯ3	
員	yɪ̃2	
嗆	tɕʰiɑ̃5	
周	ʈʂəɯ1	
呱	kua1	
味	uei5	
呸	pʰei5	
呼	xu1	
命	min5	
咀	tsɥ3	
咆	pʰɔ2	
和	xo2	
和	xu2	～牌
咎	tɕiəɯ5	
咒	ʈʂəɯ5	
咖	kʰa1	
嚨	nəŋ1	
咧	niɐʔ8	
咨	tsɿ1	
