#漢字	音標	解釋
□	tʰɑ2	~肉
□	xuᴀ̃ŋ5	~子
□	pʰᴀ̃ŋ3	乱动
□	nᴀ̃ŋ3	什么
□	lu1	团~~
□	kʰuᴀ̃ŋ3	说
□	tɕuɑ2	跳、踢
㧳	pʰae3	两臂伸开的距离
钁	tɕio2	
一	i2	
丁	tĩn1	
七	tɕʰi2	
万	vᴀ̃ⁿ5	
丈	tsᴀ̃ŋ5	
三	sᴀ̃ⁿ1	
上	sᴀ̃ŋ5	
上	sᴀ̃ŋ3	~声
下	ɕiɑ5	
下	xɑ5-	一~
不	pu2	
丑	tsʰəɤ3	
專	tɕuɐ̃ⁿ1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiəɤ1	
丙	pĩn3	
業	nᴇ2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丢	tiəɤ1	
兩	liᴀ̃ŋ3	
嚴	iɛ̃ⁿ2	
个	ko5	
个	kə1	口
中	tsoŋ1	
中	tsoŋ5	打~
丰	fᴀ̃ŋ1	
串	tɕʰuɐ̃ⁿ5	
臨	lĩn2	
丸	uɐ̃ⁿ2	
丹	tᴀ̃ⁿ1	
爲	uei2	作~
爲	uei5	因~
主	tsu3	
麗	li5	
舉	tɕi3	
乃	nae3	
久	tɕiəɤ3	
麽	mo1	什~
義	i5	
之	tsɿ1	
烏	v̩1	
乍	tsɑ5	
乎	xu1	
乏	fɑ2	
樂	io2	
樂	lo2	快~
乒	pĩn1	
乓	pʰoŋ1	
喬	tɕʰiɑo2	
乖	kuᴀɪ1	
乘	tsʰə̃ⁿ2	
九	tɕiəɤ3	
乞	tɕʰi2	
也	ie3	
習	ɕi2	
鄉	ɕiᴀ̃ŋ1	
書	su1	
買	mae3	
亂	luɐ̃ⁿ5	
乳	ʐu3	
了	liɑo3	
爭	tsə̃ⁿ1	
事	sɿ5	
二	ɚ5	
于	i2	
虧	kʰuei1	
云	ĩn2	
五	v̩3	
井	tɕĩn3	
亞	iɑ5	
些	ɕie1	
亡	vᴀ̃ŋ2	
亢	kʰᴀ̃ŋ5	
交	tɕiɑo1	
亥	xae5	
產	tsʰᴀ̃ⁿ3	
亨	xə̃ⁿ1	
畝	m̩3	
畝	mu3	
享	ɕiᴀ̃ŋ3	
京	tɕĩn1	
亭	tʰĩn2	
亮	liᴀ̃ŋ5	
親	tɕʰĩn1	
親	tɕʰĩn5	~家
人	zə̃ⁿ2	
什	sɿ2	
僅	tɕĩn3	
仆	pʰu2	
仇	tsʰəɤ2	
今	tɕĩn1	
介	kae5	
仍	zə̃ⁿ2	
从	tsʰoŋ2	
从	tsʰoŋ1	~容
仑	lũŋ2	
倉	tsʰᴀ̃ŋ1	
仔	tsɿ3	
仕	sɿ5	
他	tʰɑ1	
他	tʰo1	口
他	tʰə1	口
仙	ɕiɛ̃ⁿ1	
代	tae5	
令	lĩn5	
以	i3	
儀	i5	
們	mə̃ⁿ1	
仰	niᴀ̃ŋ3	
件	tɕiɛ̃ⁿ5	
任	zə̃ⁿ5	
份	fə̃ⁿ5	
仿	fᴀ̃ŋ3	
伊	i1	
伍	v̩3	
伐	fɑ2	
休	ɕiəɤ1	
衆	tsoŋ5	
優	iəɤ1	
伙	xo3	
會	xuei5	
會	kʰuᴀɪ5	~计
偉	uei3	
傳	tɕuɐ̃ⁿ5	~记
傳	tɕuᴀ̃ŋ5	口,~记
傳	tɕʰuɐ̃ⁿ2	宣~
倫	lũŋ2	
僞	uei5	
伯	pə2	
估	ku3	
伴	pᴀ̃ⁿ5	
