#漢字	音標	解釋
□	kʰa1	~~:角落
□	tsa3	~肉:粉蒸肉
□	xoŋ5	~水:戽水
□	kʰuaŋ3	卡住
□	min1	形容词:甜
□	pʰaŋ1	形容词:臭
□	kʰau2	搅拌
□	tin2	盯
□	ŋən3	硌
□	ŋa1	碾压
□	ŋan2	碾碎
□	tsuai3	神气
□	kʰa5	胯
□	uai3	质量差
□	tsuai1	跌倒
□	tsua2	踢
□	pʰa1	软
□	tɕyn5	鸡肫
一	i2	
丁	tin1	
七	tɕʰi2	
万	uan5	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	ɕia5=	~来
下	xa5-	打一~
不	pu2	
与	y3	
丐	kai5	
丑	tsʰəu3	~时，~陋
專	tsuan1	
且	tsʰe3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
丟	tiəu1	
兩	liaŋ3	
嚴	ȵian2	
喪	saŋ1	~事
喪	saŋ5	~失
个	ko5	
丫	ia1	
中	tsoŋ1	~间
中	tsoŋ5	~弹
丰	fəŋ1	
串	tsʰuan5	
臨	lin2	
丸	yan7	
丹	tan1	
爲	uei2	
主	tsu3	
麗	lei5-	
麗	li5=	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乎	xu7	
乏	fa2	
樂	lo2	
樂	yo2	
喬	tɕʰiau2	
乖	kuai1	
乘	sən2	
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	ie3	
習	ɕi2	
鄕	ɕiaŋ1	
書	su1	
買	mai3	
亂	luan5	
乳	zu3	
了	liau3	
予	y7	
爭	tsən1	
事	sɿ5	
二	ɚ5	
于	y2	
于	y7	
虧	kʰuei1	
雲	yn2	
互	fu5	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕie1	
亡	uaŋ2	
交	tɕiau1	
亥	xai5	
亦	i2	
產	tsan3	
亨	xən1	
畝	məŋ3	
享	xiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
親	tɕʰin1	
人	zən2	
億	i5	
什	sən2	
仁	zən2	
仄	tsa2-	
仄	tse2=	
僅	tɕin3	
仆	pʰu2	
仇	tsʰəu2	
今	tɕin1	
介	tɕiai5	
仍	zən1	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tsaŋ5	
付	fu5	
仙	ɕian1	
代	tai5	
令	lin5	
以	i3	
儀	ȵi2	
仰	iaŋ3	
仲	tsoŋ5	
件	tɕian5	
價	tɕia5	
任	zən5	~何
任	zən2	姓
份	fən5	
仿	faŋ3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	fu2	
伐	fa2	
休	xiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	
會	xuei5	
傘	san3	
偉	uei3	
傳	tsʰuan2	~说
傳	tsuan5	水浒~
傷	saŋ1	
倫	lən7	
僞	uei5	
伯	pa2-	
伯	pe2=	
估	ku3	
伴	pan5	
伸	tsʰən1	
伺	sɿ5	
似	sɿ5	
佃	tian5	
但	tan5	
位	uei5	
低	tei1-	
低	ti1=	
住	tsu5	
佐	tso3	
佑	iəu3	
體	tʰei3-	
體	tʰi3=	
何	xo2	
余	y7	
佛	fu2	
佛	fu7	
作	tso2	
你	ȵi3	
佩	pei5	
佳	tɕia1	
使	sɿ3	
侄	tsɿ2	
侈	tsʰɿ2	
侉	kʰua1	
例	li5	
侍	sɿ3	
供	koŋ1	
供	koŋ5	
依	i1	
俠	ɕia2	
僥	tɕiau3	
偵	tsən1	
側	tsʰa2-	
側	tsʰe2=	
僑	tɕʰiau2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰian2	
便	pian5	
促	tsʰo2	
俄	ŋo2	
俊	tɕyn5	
俏	tɕʰiau5	
俗	ɕy2	
俘	fu1	
保	pau3	
兪	y7	
信	ɕin5	
儉	tɕian3	
修	xiəu1	
俯	fu3	
倶	tɕy5	
俸	fəŋ5	
倍	pei5	
倒	tau3	
倒	tau5	
倔	tɕye2	
倘	tʰaŋ3	
候	xəu5	
倚	i3	
借	tɕie5	
倡	tsʰaŋ1	
倦	tɕyan5	
倪	ȵi2	
債	tsai5	
値	tsɿ2	
傾	tɕʰyn1	
假	tɕia3	
偏	pʰian1	
偕	ɕiai2	
做	tsu5	
停	tʰin2	
健	tɕian5	
偶	ŋəu3	
偸	tʰəu1	
償	saŋ3	
傀	kʰuei3	
傅	fu5	
傍	pʰaŋ2	
儲	tsʰu2	
催	tsʰuei1	
傲	ŋau5	
傻	sa3	
像	ɕiaŋ5	画~
像	tɕʰiaŋ5	长得~
僚	liau2	
僧	sən1	
僵	tɕʰiaŋ1	
僻	pʰi3	
儒	zu5	
儡	luei2	
兒	ɚ2	
兒	ɚ1	娃~
允	yn3	
元	yan2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau5	
先	ɕian1	
光	kuaŋ1	
克	kʰa2-	
克	kʰe2=	
免	mian3	
兔	tʰu5	
黨	taŋ3	
兜	təu1	
入	zu2	
全	tɕʰyan2	
八	pa2	
公	koŋ1	
六	lu2	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tian3	
養	iaŋ3	
兼	tɕian1	
獸	səu5	
冀	tɕi5	
內	luei5	
岡	kaŋ1	
冊	tsʰa2-	
冊	tsʰe2=	
再	tsai5	
冒	mau5	
寫	ɕie3	
軍	tɕyn1	
農	loŋ2	
冠	kuan1	
冠	kuan5	
冢	tsoŋ3	
冤	yan1	
冬	toŋ1	
馮	fəŋ2	
冰	pin1	
冲	tsʰoŋ1	~洗
冲	tsʰoŋ5	~鼻子
決	tɕye2	
況	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tɕin5	
凄	tɕʰi1	
準	tsun3	
涼	liaŋ2	
凌	lin2	
減	tɕian3	
湊	tsʰəu3	
凝	lin2	
凝	ȵi7	
几	tɕi1	
几	tɕi3	
凡	fan2	
鳳	fəŋ5	
凭	pʰin2	
凱	kʰai3	
凰	xuaŋ2	
凳	ən5	
凶	ɕioŋ1	
凸	tʰu2	
凹	ie7	
出	tsʰu2	
擊	tɕi2	
函	xan2	
鑿	tsʰo2	
刀	tau1	
刁	tiau1	
刃	zən3	
分	fən1	
切	tɕʰie7	
刊	kʰan1	
刑	ɕin2	
划	xua2	
划	xua5	
列	lie2	
劉	liəu2	
則	tsa2-	
則	tse2=	
剛	kaŋ1	
創	tsʰuaŋ5	
初	tsʰu1	
刪	suan1	
判	pʰan5	
刨	pʰau2	~开
刨	pau5	~子
利	lei5-	
利	li5=	
別	pie7-	~人
別	pʰie2=	~针
刮	kua2	
到	tau5	
制	tsɿ5	
刷	sua2	
券	tɕyan5	
刺	tsʰɿ5	
刻	kʰa2-	
刻	kʰe2=	
劊	kʰuai5	
剁	to5	
劑	tɕi5	
剃	tʰei5-	
剃	tʰi5=	
削	ɕye2	
前	tɕʰian2	
剮	kua3	
劍	tɕian5	
剔	tʰi5	
剖	pʰo3	
剝	po2	
劇	tɕy5	
剩	sən5	
剪	tɕian3	
副	fu5	
割	ko2	
剿	tɕiau3	
劈	pʰia5	
力	lei2-	
力	li2=	
勸	tɕyan5	
辦	pan5	
功	koŋ1	
加	tɕia1	
務	u5	
劣	lie2	
動	toŋ5	
助	tsu5	
努	lu3	
劫	tɕʰie7	
勵	lei5-	
勵	li5=	
勁	tɕin5	
勞	lau2	
勢	sɿ5	
勃	pʰo2	
勇	ioŋ5	
勉	mian3	
勳	ɕyn1	
勒	lia2-	
勒	lie2=	
勘	kʰan1	
募	mu5	
勤	tɕʰin2	
勾	kəu1	
勿	u2	
勻	yn2	
包	pau1	
匈	ɕioŋ1	
化	xua5	
北	pe7	
匙	sɿ5	
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	xia7	
匪	fei3	
匹	pʰi2	
區	tɕʰy1	
區	ŋəu1	
醫	i1	
匾	pʰian3	
匿	li2	
十	sɿ2	
千	tɕʰian1	
升	sən1	
半	pan5	
華	xua2	
協	ɕie2	
卑	pei1	
卒	tsy2	
卓	tso2	
單	tan1	
單	san5	
賣	mai5	
南	lan2	
博	po2	
卜	pu5	
占	tsan5	
盧	lu7	
卤	lu3	
卦	kua5	
臥	o5	
衛	uei5	
卯	mau3	
印	in5	
危	uei2	
即	tɕi2	
卻	tɕʰyo7	
卵	luan3	
卷	tɕyan3	
卸	ɕie5	
卿	tɕʰin1	
廠	tsʰaŋ1	
厄	ŋa2-	
厄	ŋe2=	
廳	tʰin1	
历	lei2-	
历	li2=	
厲	lei5-	
厲	li5=	
壓	ia5	
厭	ian5	
廁	tsʰe2	
厘	lei2-	
厘	li2=	
厚	xəu5	
原	yan2	
廂	ɕiaŋ1	
廈	sa3	
廈	sua3	
廚	tsʰu7	
廝	sɿ1	
去	tɕʰy5	
縣	ɕian5	
参	tsʰan1	
参	sən1	
又	iəu3	
叉	tsʰa1	
及	tɕi2	
友	iəu3	
雙	suaŋ1	
反	fan3	
发	fa7	~财，头~
叔	su2	
取	tɕʰy3	
受	səu5	
變	pian5	
敍	ɕy5	
叛	pʰan5	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	lin5	
叨	tau1	
叩	kʰəu5	
只	tsɿ1	
只	tsɿ3	
叫	tɕiau5	
召	tsau5	
叮	tin1	
可	kʰo3	
台	tʰai2	
史	sɿ3	
右	iəu3	
葉	ie2	
號	xau2	~哭
