#漢字	音標	解釋
丁	tin1	
七	tɕʰi2	
丈	tʂɑŋ5	
三	ʂan1	
上	ʂɑŋ5	
下	xɑ5	
下	ɕiᴀ5	
不	pu2	
丐	kai5	
丑	tʂʰəu3	
專	tʂuan1	
且	tɕʰie3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
叢	tʂʰoŋ2	
東	toŋ1	
絲	ʂʅ1	
丞	tʂʰen2	
丟	tiəu1	
兩	liɑŋ3	
嚴	ȵiɛn2	
喪	sɑŋ5	
个	ko5	
中	tʂoŋ1	
丰	foŋ1	
串	tʂʰuan5	
臨	lin2	
丹	tan1	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	ȵi5	
之	tʂʅ1	
烏	vu1	
乎	fu2	
乏	fɑ2	
樂	lo2	
喬	tɕʰiau2	
乖	kuai1	
乘	ʂen2	
九	tɕiəu3	
乞	tɕʰi2	
習	ɕi2	
鄕	ɕiɑŋ1	
書	ʂu1	
買	mai3	
亂	luan5	
乳	ʐu3	
乾	tɕʰiɛn2	
了	liau3	
爭	tʂen1	
事	ʂʅ5	
二	ɚ5	
虧	kʰuei1	
互	fu5	
五	vu3	
井	tɕin3	
些	ɕi1	
交	tɕiau1	
亥	xai5	
產	tʂʰan3	
亨	xen2	
畝	moŋ3	
享	ɕiɑŋ3	
京	tɕin1	
亭	tʰin2	
亮	liɑŋ5	
親	tɕʰin1	
人	zen2	
什	ʂʅ2	
仁	zen2	
僅	tɕin3	
仆	pʰu2	
仇	tʂʰəu2	
仇	tɕʰiəu2	
今	tɕin1	
介	tɕiai5	
仍	zen3	
从	tʂʰoŋ2	
倉	tʂʰɑŋ1	
仕	ʂʅ5	
他	tʰɑ1	
仗	tʂɑŋ5	
付	fu5	
仙	ɕiɛn1	
代	tai5	
令	lin5	
仲	tʂoŋ5	
件	tɕiɛn5	
價	tɕiᴀ5	
任	zen2	
份	fen5	
仿	fɑŋ3	
企	tɕi1	
伍	vu3	
伏	fu2	
伐	fɑ2	
休	ɕiəu1	
衆	tʂoŋ5	
伙	xo3	
會	kʰuai5	
會	xuei5	
傘	ʂan3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂɑŋ1	
倫	len2	
伯	pe2	
估	ku3	
伴	pan5	
伶	lin2	
伸	tʂʰen1	
伺	ʂʅ5	
似	ʂʅ5	
佃	tiɛn3	
但	tan5	
低	ti1	
住	tʂu5	
佐	tʂo5	
體	tʰi3	
何	xu2	
佛	fu2	
作	tʂo2	
你	ȵi3	
佩	pʰei5	
佳	tɕiᴀ1	
使	ʂʅ3	
侄	tʂʅ2	
侈	tʂʰʅ2	
例	li5	
侍	ʂʅ5	
供	koŋ5	
俠	ɕiᴀ2	
僥	ɕiau1	
偵	tsen1	
側	tʂʰe2	
僑	tɕʰiau2	
侮	vu3	
侯	xəu5	
侵	tɕʰin5	
便	piɛn5	
促	tʂʰu2	
俄	ŋo2	
俊	tɕyn5	
俏	tɕʰiau1	
俗	ɕio2	
俘	fu1	
保	pau3	
信	ɕin5	
儼	ȵiɛn2	
儉	tɕiɛn5	
修	ɕiəu1	
俯	fu3	
倶	tɕy5	
俸	foŋ5	
倍	pei5	
倒	tau3	
倔	tɕʰio2	
候	xəu5	
借	tɕie5	
倡	tʂʰɑŋ1	
倦	tɕyɛn5	
倪	ȵi2	
債	tʂai5	
値	tʂʅ2	
傾	tɕʰyn1	
假	tɕiᴀ3	
假	tɕi3	
偏	pʰiɛn1	
做	tʂu5	
停	tʰin2	
偝	pei1	
偢	tɕʰiau2	
健	tɕiɛn5	
偶	ŋəu3	
偸	tʰəu1	
償	ʂɑŋ2	
傀	kʰuei3	
傅	fu5	
傍	pɑŋ5	
儲	tʂʰu2	
催	tsʰuei1	
傲	ŋau5	
傻	xɑ3	
像	ɕiɑŋ5	
僧	ʂen1	
僵	tɕiɑŋ1	
僻	pʰi2	
儒	ʐu5	
儡	luei3	
兒	ɚ2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂau5	
先	ɕiɛn1	
光	kuɑŋ1	
克	kʰe2	
免	miɛn3	
兌	tuei5	
兔	tʰu5	
黨	tɑŋ3	
兜	təu1	
入	ʐu2	
全	tɕʰyɛn2	
八	pɑ2	
公	koŋ1	
六	lu2	
兮	ɕi1	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	ɕin1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛn3	
兹	tʂʅ1	
兼	tɕiɛn1	
獸	ʂəu5	
內	luei5	
冉	zan3	
冊	tʂʰe2	
再	tʂai5	
冒	mau5	
寫	ɕie3	
軍	tɕyn1	
農	loŋ2	
冠	kuan1	
冠	kuan5	
冥	min2	
