#漢字	音標	解釋
□	liɔ2	(菜)焯水
□	pᴀ1	~嘴:涩嘴
□	ɕiɔ1	~母猪:阉割母猪
□	xʊ1	~煞:蜂蛰人
□	xã1	~水:没有烧开的水
□	ɕin1	~菜:种菜
□	mu2	~鹰:老鹰
□	mɔ2	~镰刀:砍柴草用的无齿刀具
□	ŋʊ2	~滴滴:差点儿
□	hɾən2	~猪:母猪
□	tɕiɔ3	~瓜:打瓜
□	loŋ3	~暗包:行贿
□	xoŋ3	~鼻涕:擤鼻涕
□	tɕʰi5	~地:锄地
□	u5	~臼:石臼
□	hβɔ5	~来:第一次来
□	ɔ5	~水:浇灌旱地
□	pʰã5	~浮子:钓鱼用的浮标
□	tã5	~刀布:鐾刀布
□	hɾin5	~□ȵi2:孕吐
□	tʰe7	~子:骗子
□	kʰe7	~宝:押宝
□	to7	~拐棍:拄拐棍
□	lyo7	~肩膀:溜肩
□	ȵi2	□hɾin5~:害喜
□	moŋ5	上~:发霉
□	mɪi3	中指代词:~个
□	tɔ5	人称代词复数标记:我~
□	uᴀ1	剜
□	kᴀ1	助词,相当于“着”和“了”:天晴~;连~落雨
□	loʊ2	将家畜家禽等往特定方向赶
□	tɕi1	很(瘦):~瘦~瘦的
□	lɪi1	扎:~刺儿
□	u5	推~:铇子
□	lᴀ7	栅~子:栅栏
□	li5	水火~:一种吃鱼虾的水蛇
□	li7	火~子虫:萤火虫
□	kuᴀ7	瓦~油:蛤蜊油
□	moʊ2	用手揞住
□	ho7	石制夯土工具:打~
□	tʰən5	磨蹭:磨磨~~
□	hʑi5	稻~头:稻穗
□	lɔ2	糊~:米糊
□	kuᴀ1	翅~:翅膀
□	pu1	膝头~~:膝盖
□	mu2	菱~菜:菱茎
□	tɕi1	蝎子蜇人
□	u5	被~:被子
□	ke7	近指代词:~里。指示代词三分,远指用“□ko7”,中指用“□mɪi3”
□	ko7	远指代词:~个
□	y5	铳瞌~:打瞌睡
□	lᴀ2	鸡嗉~□ku5:鸡嗉子
□	ku5	鸡嗉□lᴀ2~:鸡嗉子
㩳	soŋ3	推
㪗	tʰəʊ3	清水漂洗:~衣裳
㷟	tʰɪi1	~毛:杀猪时给猪去毛
㸺	sᴀ1	~牛:母牛。《集韵》师加切,牛名
㽹	xuã5	作~:恶心想吐。《广韵》芳万切
㿭	tsʰe7	墙上开~
䀫	kᴀ7	眨:~眼。《集韵》讫洽切,目睫动
䱗	tsʰã1	条~:䱗鱼。《集韵》千安切,鱼名
一	i7	
丁	tin1	
七	tɕʰi7	
万	uã5	
丈	hzã5	~人:岳父。白读hzã4
丈	hzã4	两~。文读hzã5
三	sã1	
上	hzã4	~山
下	hᴀ4	~雾。文读hᴀ5
下	hᴀ5	~猪:猪生崽。白读hᴀ4
不	pu7	
丑	tsʰəʊ3	时辰;怕~:腼腆
專	tsoʊ1	
世	sɿ5	
丙	pin3	
業	ie7	开~
東	toŋ1	
絲	sɿ1	
丞	hzən2	~相
丢	tiʊ1	
兩	liã3	~个;几斤几~。白读liã4
兩	liã4	~半。文读liã3
嚴	ȵi2	
喪	sã1	婚~
个	kʊ5	量词
中	tsoŋ1	~午
中	tsoŋ5	~风
丰	xoŋ1	
串	tsʰoʊ5	
臨	lin2	~时工
丸	uoʊ2	臭虫~:樟脑丸
丹	tã1	
爲	ui2	~人处事
爲	ui5	~什么
主	tɕy3	
麗	li5	人名用字
舉	tɕy3	
久	tɕiʊ3	
義	ȵi5	
之	tsɿ1	走~底:偏旁
烏	u1	
乎	u1	不在~
樂	lo7	
樂	yo7	音~
喬	hʑiɔ2	
乖	kuɛ1	
乘	hzən2	
乙	i7	
九	tɕiʊ3	
也	iᴀ3	
習	ɕi7	
鄉	ɕiã1	
書	ɕy1	
買	mɛ3	
亂	loʊ5	
乳	y3	豆腐~
乾	hʑi2	~隆
了	liɔ4	~结
了	lᴀ1	助词,常与助词“□kᴀ1”连用:风停~□kᴀ1
爭	tsən1	
事	hzɿ5	
二	ɛ5	
虧	kʰui1	
云	in2	
互	u5	
五	u3	~个。白读u4
五	u4	~谷。文读u3
井	tɕin3	
亞	iᴀ5	
些	ɕi1	□ke7~:这些
交	kɔ1	~秋:立秋。文读tɕiɔ1
交	tɕiɔ1	~学费。白读kɔ1
亥	hɛ4	时辰
產	sã3	做~妇:坐月子。另读ts‘ã3
產	tsʰã3	生~队。另读sã3
畝	mu4	
享	ɕiã3	~福
京	tɕin1	
亭	hɾin2	寒~:地名
亮	liã5	
親	tɕʰin1	~戚;~家
人	zən2	~中:穴位。白读ȵin2
人	ȵin2	客~。文读zən2
億	i5	
什	hzɿ7	~么
仁	zən2	
仆	pʰu7	~人
仇	hʑiʊ2	姓
仇	hzəʊ2	报~
今	kən1	~年。另读tɕin1
今	tɕin1	从~以后。另读kən1
介	tɕiɛ5	~绍
从	hzoŋ2	
仑	nən2	昆~山
倉	tsʰã1	
他	tʰᴀ1	
仗	tsã5	打~
付	xu5	
仙	ɕi1	
代	hɾɛ5	
令	lin5	
以	i4	
儀	i2	~式
仰	ȵiã4	
仲	tsoŋ5	杜~:药材
件	hʑi4	一~衣裳。文读tɕi5
件	tɕi5	文~。白读hʑi4
價	tɕiᴀ5	
任	ȵin5	~性。文读zən5
任	ȵin2	姓
任	zən5	责~。白读ȵin5
份	hβən5	年~
企	tɕʰi3	~业
伍	u3	
伏	hβu7	~天。文读xu7
伏	xu7	埋~。白读hβu7
休	ɕiʊ1	
衆	tsoŋ5	群~
優	iʊ1	
伙	xʊ3	兄弟~的:弟兄
會	kʰuɛ5	~计
會	ui5	开~;~不~。文读xui5
會	xui5	菩萨出~:抬菩萨做法事。白读ui5
傘	sã3	
偉	ui3	
傳	hzoʊ2	~票
傳	hzoʊ5	水浒~
伢	ŋᴀ2	毛~儿:婴儿
傷	sã1	
倫	nən2	人名用字
僞	ui3	虚~
伯	pe7	
估	ku3	~计
伴	hβoʊ4	
伸	sən1	~冤
伺	hzɿ5	~候
位	ui5	
低	ti1	
住	hʑy5	
佑	iʊ5	
體	tʰi3	
何	xʊ2	
佘	sɪi2	姓
余	y2	姓;多~
佛	xu7	弥勒~
作	tso7	
你	ȵi4	
佩	pʰɪi5	~服
佬	lɔ4	反撇~:左撇子
佮	ke7	~伙。《广韵》古沓切,合也
佳	tɕiᴀ1	~节
使	sɿ3	~眼色
侄	hzɿ7	
侉	kʰuᴀ3	~子:身材高大的外地人
例	li5	
侍	hzɿ5	服~
供	koŋ1	~销社
供	koŋ5	上~
依	i1	照:~我看
偵	tsən1	~探
側	tse7	~□kᴀ1困:侧着睡
僑	hʑiɔ2	
侯	həʊ2	姓
侵	tɕʰin1	~略
便	hβi2	~宜
便	hβi5	方~
促	tɕʰy7	
俊	tɕin5	人名用字
俗	ɕy7	
保	pɔ3	
信	ɕin5	
儉	tɕi3	
修	ɕiʊ1	
倌	kuoʊ1	新郎~
倍	hβɪi5	
倒	tɔ5	~水
倒	tɔ3	打~
借	tɕiᴀ5	
倪	ȵi2	
債	tsɛ5	
值	hzɿ7	~得
假	tɕiᴀ3	放~
假	kᴀ3	真~
偏	pʰi1	
做	tsʊ5	
停	hɾin2	
健	tɕi5	
偷	tʰəʊ1	
傀	kʰui3	~儡
傅	xu5	师~
傍	poʊ5	
儲	tɕʰy3	~蓄
催	tsʰɪi1	
傲	ŋɔ5	
像	ɕiã5	画~。白读hʑiã4
像	hʑiã4	长得~。文读ɕiã5
僧	sən1	唐~
僵	tɕiã1	~尸
儡	lɪi4	傀~
兒	ɛ2	
允	in3	
元	i2	
兄	ɕyoŋ1	
充	tsʰoŋ1	
先	ɕi1	
光	kuã1	
克	kʰe7	
免	mi4	
兑	tɪi5	~水
兔	tʰu5	
黨	tã3	
兜	təʊ1	~饭:盛饭
入	y7	~席
全	hʑi2	
八	pᴀ7	
公	koŋ1	
六	lu7	
蘭	lã2	
共	koŋ5	~产党。白读hoŋ5
共	hoŋ5	~用。文读koŋ5
關	kuã1	
興	ɕin1	~旺
興	ɕin5	高~
兵	pin1	
具	tɕy5	家~
典	ti3	
養	iã4	
獸	səʊ5	
内	nɪi5	
岡	kã1	井~山
册	tsʰe7	点名~
再	tsɛ5	
冒	mɔ5	
寫	ɕiᴀ3	~字。文读ɕi3
寫	ɕi3	誊~。白读ɕiᴀ3
軍	tɕin1	
農	loŋ2	
冠	kuoʊ1	~鸭:番鸭
冠	kuã5	~军
冤	i1	~家
冬	toŋ1	
馮	hoŋ2	姓
冰	pin1	
冲	tsʰoŋ1	~水;山~
決	tɕie7	~定
况	kʰuã5	情~
冷	nən4	
凍	toŋ5	
淨	hʑin5	
準	tsən3	标~;~备
凇	soŋ1	蒙~雨:毛毛雨
涼	liã2	
減	tɕi3	
湊	tsʰəʊ5	七拼八~
几	tɕi1	~乎
几	tɕi3	茶~;~个
凡	hβã2	
鳳	hβoŋ5	
凭	hβin2	文~
凱	kʰɛ3	人名用字
凳	tən5	
凶	ɕyoŋ1	
出	tɕʰy7	
擊	tɕi7	
凼	hɾã4	水~:小水坑
鑿	hzo7	~子
刀	tɔ1	
分	xuən1	
切	tɕʰie7	
刑	hʑin2	死~
划	uᴀ2	~水:游泳
划	uᴀ5	~分
列	lie7	
劉	liʊ2	
則	tse7	
剛	tɕiã1	~好
初	tɕʰy1	又读ts‘əʊ1
初	tsʰəʊ1	又读tɕ‘y1
判	pʰoʊ5	
利	li5	
别	pie7	~去
别	hβie7	区~
刮	kuᴀ7	~板:平斗斛用的木片
到	tɔ5	
刷	sᴀ7	~牙齿
券	tɕi5	国库~
刺	tsʰɿ5	~柏
刻	kʰe7	
劊	kui5	~子手
刴	tu5	
劑	tɕi5	
剃	tʰi5	~头
削	ɕyo7	~笔刀:铅笔刀
前	hʑi2	
剮	kuᴀ3	
劍	tɕi5	
剔	tʰi7	~骨肉
剝	po7	
劇	tɕy5	庐~,一种传统戏剧
剩	hzən5	~饭
剪	tɕi3	
副	xu5	
割	ke7	~公猪:阉割公猪
力	li7	
勸	tɕʰi5	
辦	hβã5	
功	koŋ1	
加	tɕiᴀ1	
務	u5	
劣	lie7	假冒伪~
動	hɾoŋ4	
助	tɕy5	
