#漢字	音標	解釋
□	xu6	~儿,糊状的食物或稠汤
□	kʰu2	蹲
㦿	kʰan3	窗户
㾭	tɕieu5	收缩
䇽	tʂæ21	蔑~,一种粗的竹席
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂaŋ6	
三	san1	
上	ʂaŋ6	
下	ɕiɔ6	
不	pu7	
与	ʯ3	
丑	tʂʰeu3	
專	tʂʯan1	
且	tɕʰiɛ3	
世	ʂʅ5	
丘	tɕʰieu1	
丙	pin3	
業	ȵiɛ7	
叢	tsʰoŋ2	
東	toŋ1	
丢	tieu1	
兩	liaŋ3	
嚴	ȵian2	
嚴	ȵian6	
喪	saŋ5	
个	ko5	
中	tʂoŋ1	
中	tʂoŋ5	
丰	foŋ1	
串	tʂʰʯan5	
丹	tan1	
爲	uei6	
主	tʂʯ3	
麗	li6	
舉	tʂʯ3	
久	tɕieu3	
麽	mo5	
之	tʂʅ1	
烏	u1	
乎	xu1	
乏	fɔ6	
喬	tɕʰiau2	
乖	kuæ1	
乘	tʂʰən2	
乙	i7	
也	iɛ3	
習	ɕi6	
書	ʂʯ1	
買	mæ3	
亂	lan6	
乳	ʯ3	
乾	tɕʰian2	
了	liau3	
爭	tsən6	
事	sɿ6	
二	ɚ6	
于	ʯ2	
虧	kʰuei1	
云	ʯən2	
互	xu6	
五	u3	
井	tɕin3	
亞	iɔ5	
些	ɕiɛ7	
亡	uaŋ2	
交	tɕiau1	
亥	xæ6	
亦	i7	
產	tsʰan3	
亨	xən1	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
親	tɕʰin5	~家
人	ɚn2	
仁	ɚn2	
僅	tɕin3	
仆	pʰu7	
仇	tʂʰeu2	
今	tɕin1	
介	kæ5-	
介	tɕiæ5=	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰaŋ1	
他	tʰɔ1	
付	fu5	
仙	ɕian1	
代	tæ6	
令	lin6	
仰	ȵiaŋ3	
仲	tʂoŋ6	
件	tɕian6	
任	ʯən6	
份	fən6	
仿	faŋ3	
伊	i1	
伐	fɔ6	
休	ɕieu1	
衆	tʂoŋ5	
會	xuei6	
會	kʰuæ5	~计
傘	san3	
偉	uei3	
傳	tʂʰʯan2	
傳	tʂʯan6	
伴	pan6	
似	sɿ6	
但	tan6	
位	uei6	
低	ti1	
住	tʂʯ6	
佐	tso3	
體	tʰi3	
余	ʯ2	
佛	fu7	
佩	pʰi5	
佳	tɕiɔ1	
使	sɿ3	
侈	tʂʰʅ3	
侉	kʰuɔ3	
例	li6	
偵	tʂən1	
側	tsʰɛ7	
侮	u3	
便	pian6	
便	pʰian1	~宜
促	tsʰeu7	
俊	tɕin5	
俏	tɕʰiau5	
俗	seu7	
俘	fu2	
保	pau3	
信	ɕin5	
儉	tɕian6	
修	ɕieu1	
俱	tʂʯ6	
倍	pi6	
候	xeu6	
借	tɕiɛ5	
倦	tʂʯan6	
倪	ȵi2	
債	tsæ5	
假	tɕiɔ3	
做	tseu5	
健	tɕian6	
偷	tʰeu1	
催	tɕʰi1	
傲	ŋau6	
傻	ʂʯɔ3	
僧	sən1	
僻	pʰi7	
儒	ʯ2	
兒	ɚ2	
允	ʯən3	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tsau6	
先	ɕian1	
光	kuaŋ1	
兑	ti5	
兔	tʰeu5	
黨	taŋ3	
兜	teu1	
八	pɔ7	
公	koŋ1	
六	leu7	
蘭	lan1	
共	koŋ6	
關	kuan1	
興	ɕin1	
興	ɕin5	高~
兵	pin1	
其	tɕʰi2	
典	tian3	
養	iaŋ3	
兼	tɕian1	
獸	ʂeu5	
内	ȵi6	
册	tʂʰɛ7	
再	tsæ5	
冒	mau6	
寫	ɕiɛ3	
農	noŋ1	
冤	ʯan2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tʂʰoŋ1	
決	tʂʯæ7	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tɕin6	
準	tʂʯən3	
涼	liaŋ1	
凌	lin6	
減	tɕian3	
湊	tsʰeu5	
凝	ȵin2	
凡	fan2	
鳳	foŋ6	
凱	kʰæ3	
凳	tən5	
出	tʂʰʯ7	
擊	tɕi7	
刀	tau1	
刁	tiau1	
刃	ʯən3	
分	fən1	
切	tɕʰiɛ7	
刊	kʰan1	
則	tsɛ7	
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰeu1	
删	san1	
判	pʰan5	
利	li6	
别	piɛ6	
刮	kuɔ7	
到	tau5	
制	tʂʅ5	
刷	ʂʯɔ7	
刺	tsʰɿ5	
刻	kʰɛ7	
刴	to5	
劑	tɕi5	
削	ɕio7	
前	tɕʰian2	
劍	tɕian5	
剖	pʰo3	
剝	po7	
剩	ʂən6	
剪	tɕian3	
副	fu5	
割	ko7	
劈	pʰi7	
力	li7	
勸	tʂʰʯan5	
辦	pan6	
務	u6	
劣	lɛ7	
動	toŋ6	
助	tʂeu6	
助	lɛ7	
努	neu3	
劫	tɕʰiɛ7	
勁	tɕin5	
勞	lau2	
勃	pʰu7	
勇	ioŋ3	
勉	mian3	
勤	tɕʰin2	
勺	ʂo6	
勾	keu1	
匀	ʯən2	
包	pau1	
北	pɛ7	
匙	tʂʰʅ2	
匠	tɕiaŋ6	
匪	fei2	
匹	pʰi7	
區	tʂʰʯ1	
醫	i1	
十	ʂʅ6	
千	tɕʰian1	
升	ʂən1	
半	pan5	
華	xuɔ1	
協	ɕiɛ6	
卒	tseu7	
南	nan2	
博	po7	
占	tʂan5	
盧	leu2	
衛	uei6	
卯	mau3	
印	in5	
危	uei2	
卻	tɕʰio7	
卵	lo3	男阴
卷	tʂʯan3	
卿	tɕʰin1	
廠	tʂʰaŋ3	
廳	tʰin1	
历	li7	
厭	ian5	
廁	tsʰɛ7	
厦	sɔ5	
廚	tʂʰʯ2	
去	tɕʰi5	
縣	ɕian6	
参	tsʰan1	
又	ieu6	
叉	tʂʰɔ1	
及	tɕi7	
雙	saŋ1	
反	fan3	
反	ɕin3	
发	fɔ7	
叔	ʂeu7	
取	tɕʰi3	
受	ʂeu6	
變	pian5	
叛	pʰan5	
叟	seu3	
疊	tiɛ7	
口	kʰeu3	
古	ku3	
句	tʂʯ5	
另	lin6	
只	tʂʅ2	~有
只	tʂʅ7	船~
叫	tɕiau5	
可	kʰo3	
台	tʰæ2	
葉	iɛ7	
號	xau6	
司	sɿ1	
吃	tɕʰi7	
各	ko7	
合	xo6	
吉	tɕi7	
吊	tiau5	
同	tʰoŋ2	
名	min2	
后	xeu6	
向	ɕiaŋ5	
嚇	xɛ7	
呂	ʯ3	
君	tʂʯən1	
吞	tʰən1	
吟	ȵin2	
吠	fei5	
否	fau3	
含	xan2	
聽	tʰin5	
啓	tɕʰi3	
吳	u2	
吸	ɕi7	
吹	tʂʰʯei1	
吻	uən3	
吼	xeu3	
呆	ŋæ2	
呆	tæ6	
呈	tʂʰən2	
告	kau5	
嘔	ŋeu3	
周	tʂeu1	
呼	xu1	
命	min6	
和	xo2	
咒	tʂeu5	
咬	ŋau3	
咳	kʰæ3	
咸	xan2	
哀	ŋæ1	
品	pʰin3	
哄	xoŋ3	
啞	iɔ3	
哪	nɔ3	
哭	kʰu7	
哲	tʂɛ7	
哽	kən3	
脣	tʂʰʯən2	
喚	xuan5	
售	tʂʰeu6	
唯	uei2	
唱	tʂʰaŋ5	
商	ʂaŋ1	
善	ʂan6	
喊	xan3	
喜	ɕi3	
喝	xo7	
喧	ʂʯan1	
噴	fən5	
喻	ʯ6	
嗍	so7	吮也
嗤	tʂʰʅ1	
嗽	seu5	
嘴	tɕi3	
器	tɕʰi5	
囂	ɕiau1	
嚼	tɕiau6	
囊	naŋ2	
囚	tɕʰieu2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰan2	
囤	tən6	~谷,装谷的器具
困	kʰuən5	
國	kuæ7	
圓	ʯan2	
圈	tʂʰʯan1	
圈	tʂʯan6	
土	tʰeu3	
聖	ʂən5	
在	tsæ6	
地	ti6	
均	tʂʯən1	
坎	kʰan3	
坎	pɔ5	
壞	xuæ6	
坐	tso6	
坑	kʰən1	
塊	kʰuæ5	
墳	fən2	
墜	tʂʯei5	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin3	
坯	pʰi2	
垂	tʂʰʯei2	
