#漢字	音標	解釋
〇	lin2	
㑃	æ5	
㒼	mɵ2/mø2	
㓟	pʰiᶽ1/pʰi1	
㔶	kɵ3/kø3	
㔶	kɵ5/kø5	
㔷	ʏ1/iʏ1	
㖏	ȵiã	語氣詞，表示提醒
㖏	ȵiaʔ8	
㖸	ȵiã6	
㛴	næ6	
㢊	ɑˠ3/ɑ3	
㢼	piɪʔ7	
㥡	tsʰʮ5	
㦌	huəʔ7	
㧙	biɪʔ8	
㧦	ɕiɵ1/ɕiø1	
㨟	ɡᴇ2	
㨪	huɑ̃ˠ5/huɑ̃5	
㩝	ɦæ2	
㩺	pʰiᶽ3/pʰi3	
㪗	tʰøʏ3	
㪥	tsuˠ1/tso1	
㪬	zoʔ8	
㫰	lɑ̃ˠ6/lɑ̃6	
朆	fən1	
㬵	tɕiæ1	
㮶	soʔ7	
㱟	pʰiᶽ1/pʰi1	
㶚	puˠ5/po5	
㷈	əʔ7	
㷟	tʰᴇ1	
㸠	diæ6	
㹂	tɕʰi5/tɕʰiɪ5	
㼈	lɜuᵝ2/ləu2	
㼑	li6/liɪ6	
㼭	di6/diɪ6	
㽂	səʔ7	
㽱	kæ3	
㽹	fᴇ5	
㾂	hᴇ1	
㾋	ɕʏ5/ɕiʏ5	
㾘	kã3	
㾦	bᴇ2	
㾹	zɑˠ2/zɑ2	
㿭	tsʰɑˠʔ7/tsʰɑʔ7	
㿯	taʔ7	
㿴	taʔ7	
䀫	kaʔ7	
䂻	zã6	
䃗	poʔ7	
䃰	tsʰaʔ7	
䄸	pʰoʔ7	
䆅	tsiᶽ5/tsi5	
䈆	dɑˠ6/dɑ6	
䈰	sæ1	
䈳	daʔ8	
䉬	fiᶽ5/fi5	
䊓	zʮ6	
䌟	pɑˠʔ7/pɑʔ7	
䌠	tɕʰi1/tɕʰiɪ1	
䌥	iən3	
䏒	pʰi5/pʰiɪ5	
䐇	min3	
䐇	min6	
䐈	tsəʔ7	
䐊	ɦuən6	
䐛	taʔ7	
䐥	oŋ3	
䐬	zæ2	
䐽	mɵ2/mø2	
䑆	ɦiã6	
䑵	mæ6	
䖆	ȵiã6	
䘟	tiæ5	
䛀	fᴇ5	
䛛	uᴇ5	
䛬	tiæ1	
䞁	i5/iɪ5	
䞋	tsʰən5	
䥛	tɕiəʔ7	
䩍	liæ6	
䫈	zən6	
䫌	pʰiᶽ3/pʰi3	
䫜	æ1	
䬵	ɡᴇ6	
䭂	iəʔ7	
䭤	tɕʰi3/tɕʰiɪ3	
䰾	pɑˠ1/pɑ1	
䱀	ɑ̃ˠ1/ɑ̃1	
䱗	tsʰɵ1/tsʰø1	
䲉	sɿ1	
䴉	ɦuᴇ2	
䴱	tʰɜuᵝ1/tʰəu1	
䵑	ȵiən6	
䶕	buˠ2/bo2	
一	iəʔ7	
丁	tin1	
七	tsʰiɑˠ1/tsʰiɑ1	
七	tsʰiɪʔ7	
丈	zɑˠ6/zɑ6	
丈	zã6	
三	sɑˠ1/sɑ1	
三	sᴇ1	
上	zã6	
上	zɑ̃ˠ6/zɑ̃6	
下	ɕiɑˠ3/ɕiɑ3	
下	ɦuˠ6/ɦo6	
下	ɦiuˠ6/ɦio6	
不	pəʔ7	
不	piɪʔ7	
丏	mi6/miɪ6	
丐	kᴇ5	
丑	tsʰøʏ3	
且	tsʰiᶽ3/tsʰi3	
且	tsʰiɑˠ3/tsʰiɑ3	
丕	pʰᴇ1	
世	sʮ5	
丘	tɕʰʏ1/tɕʰiʏ1	
丙	pin3	
丞	zən2	
丟	tøʏ1	
並	pin1	
並	bin6	
丫	iɑˠ1/iɑ1	
丫	uˠ1/o1	
中	tsoŋ1	
中	tsoŋ5	
丰	foŋ1	
串	tsʰɵ5/tsʰø5	
丸	ɦiɵ2/ɦiø2	
丸	ɦuɵ2/ɦuø2	
丹	tᴇ1	
主	tsʮ3	
乃	nᴇ1	
乃	nᴇ6	
久	tɕʏ3/tɕiʏ3	
之	tsʮ1	
乍	zuˠ6/zo6	
乎	ɦɜuᵝ2/ɦəu2	
乏	vaʔ8	
乒	pʰin1	
乓	pʰã1	
乖	kuɑˠ1/kuɑ1	
乖	kuᴇ1	
乘	tsʰən5	訓讀，本字為“趁”
乘	zən2	
乙	iəʔ7	
乜	mi6/miɪ6	
九	tɕʏ3/tɕiʏ3	
乞	tɕʰiəʔ7	
也	ɦɑˠ2/ɦɑ2	
也	i1/iɪ1	
也	ɦaʔ8	
乩	tɕiᶽ1/tɕi1	
乳	zʮ6	
乾	dʑi2/dʑiɪ2	
乾	kɵ1/kø1	
亂	lɵ6/lø6	
了	liæ1	
了	liæ6	
予	ɦyᶽ2/ɦiʏ2	
事	zɿ6	
二	ȵiᶽ6/ȵi6	
二	əl6	
于	yᶽ1/iʏ1	
云	ɦyən2	
互	ŋɜuᵝ6/ŋəu6	
五	ɜuᵝ1/əu1	
五	ŋ̍6	
井	tsin3	
亙	kən5	
些	siᶽ1/si1	
亞	iɑˠ1/iɑ1	
亞	uˠ1/o1	
亞	iuˠ1/io1	
亟	tɕiəʔ7	
亡	mɑ̃ˠ2/mɑ̃2	
亡	vɑ̃ˠ2/vɑ̃2	
亢	kʰɑ̃ˠ5/kʰɑ̃5	
交	kæ1	
交	tɕiæ1	
亥	ɦᴇ6	
亦	ɦiəʔ8	
亨	hã1	
亨	hən1	
享	ɕiã3	
京	tɕiən1	
亭	din2	
亮	liã6	
亳	boʔ8	
人	zən2	
人	ȵiən2	
什	səʔ7	
什	zəʔ8	
仁	zən2	
仁	ȵiən2	
仂	ləʔ8	
仃	tin1	
仄	tsəʔ7	
仆	fʉᵝ5/fu5	
仇	zøʏ2	
仇	dʑʏ2/dʑiʏ2	
今	tɕiən1	
介	kɑˠ5/kɑ5	
介	tɕiɑˠ5/tɕiɑ5	
仍	zən2	
仔	tsɿ3	
仕	zɿ6	
他	tʰɑˠ1/tʰɑ1	
仗	tsã5	打~
仗	zã6	炮~
付	fʉᵝ5/fu5	
仙	si1/siɪ1	
仞	zən6	
仟	tsʰi1/tsʰiɪ1	
代	dᴇ6	
令	lin6	
以	iᶽ1/i1	
仰	ȵiã3	
仲	zoŋ6	
仳	pʰiᶽ3/pʰi3	
仵	ɜuᵝ1/əu1	
仵	ŋ̍6	
件	dʑi6/dʑiɪ6	
任	zən2	
任	zən6	
任	ȵiən2	
份	vən6	
仿	fɑ̃ˠ3/fɑ̃3	
企	tɕʰiᶽ3/tɕʰi3	
伉	kʰɑ̃ˠ5/kʰɑ̃5	
伊	iᶽ1/i1	
伍	ɜuᵝ1/əu1	~子胥
伍	ŋ̍6	
伎	dʑiᶽ6/dʑi6	
伏	bʉᵝ6/bu6	
伏	voʔ8	
伐	vaʔ8	
休	ɕʏ1/ɕiʏ1	
伕	fʉᵝ1/fu1	
伙	hɜuᵝ3/həu3	
伯	pɑˠʔ7/pɑʔ7	
伯	pəʔ7	
估	kɜuᵝ3/kəu3	
伲	ȵiᶽ6/ȵi6	
伴	bɵ6/bø6	
伶	lin2	
伸	sən1	
伺	zɿ2	
伺	zɿ6	
似	zɿ6	
伽	ɡɑˠ2/ɡɑ2	
佃	di2/diɪ2	
但	dᴇ6	
佇	zʮ6	
佈	pʉᵝ5/pu5	
位	ɦuᴇ6	
低	tiᶽ1/ti1	
住	zʮ6	
佐	tsɜuᵝ5/tsəu5	
佑	ɦʏ6/ɦiʏ6	
佒	ɑ̃ˠ3/ɑ̃3	
佔	tsi5/tsiɪ5	
佔	tsɵ1/tsø1	
佔	tsɵ5/tsø5	
何	ɦɜuᵝ2/ɦəu2	
佗	dɜuᵝ2/dəu2	
佘	zuˠ2/zo2	
余	ɦyᶽ2/ɦiʏ2	
佚	ɦiəʔ8	
佛	vəʔ8	
作	tsoʔ7	
佝	køʏ1	
佝	høʏ1	
佞	ȵiən6	
佟	doŋ2	
你	niᶽ1/ni1	
佣	ɦioŋ6	
佩	bᴇ6	
佬	læ6	
佮	kəʔ7	
佯	ɦiã2	
佰	pɑˠʔ7/pɑʔ7	
佳	tɕiɑˠ1/tɕiɑ1	
倂	pin3	
佶	tɕiəʔ7	
佻	tʰiæ1	
佼	tɕiæ1	
使	sɿ3	
侃	kʰɵ5/kʰø5	
侄	zəʔ8	
來	lᴇ2	
侈	tsʰʮ3	
侉	kʰuˠ5/kʰo5	
例	liᶽ6/li6	
侍	zɿ6	
侏	tsʮ1	
侖	lən2	
侗	doŋ2	
供	koŋ1	
供	koŋ5	
供	tɕioŋ5	
依	iᶽ1/i1	
侮	vʉᵝ2/vu2	
侯	ɦøʏ2	
侵	tsʰin1	
侶	liᶽ6/li6	
侷	dʑioʔ8	
便	bi2/biɪ2	
便	bi6/biɪ6	
係	ɕiᶽ5/ɕi5	
促	tsʰoʔ7	
俄	ŋɜuᵝ2/ŋəu2	
俅	dʑʏ2/dʑiʏ2	
俊	tsin5	
俎	tsɜuᵝ3/tsəu3	
俏	tsʰiæ5	
俐	liᶽ6/li6	
俑	ɦioŋ6	
俗	zoʔ8	
俘	fʉᵝ1/fu1	
俘	fʉᵝ3/fu3	
俚	liᶽ1/li1	
俚	liᶽ6/li6	
保	pæ3	
兪	ɦyᶽ2/ɦiʏ2	
俟	zɿ6	
俠	ɦiɑˠʔ8/ɦiɑʔ8	
信	sin5	
俬	sɿ1	
修	søʏ1	
俯	fʉᵝ3/fu3	
倶	dʑyᶽ6/dʑiʏ6	
俸	foŋ5	
俺	ᴇ1	
俾	pᴇ3	
倀	tsʰã1	
倆	liã6	
倉	tsʰɑ̃ˠ1/tsʰɑ̃1	
個	kɜuᵝ5/kəu5	
個	kəʔ7	
倌	kuɵ1/kuø1	
倍	bᴇ6	
倏	soʔ7	
們	mən2	
倒	tæ3	
倒	tæ5	
倓	tʰᴇ3	
倔	dʑyəʔ8	
倖	ɦiən6	
倘	tʰɑ̃ˠ3/tʰɑ̃3	
候	ɦøʏ6	
候	ɦʏ6/ɦiʏ6	
倚	iᶽ5/i5	
倜	tsøʏ1	
倜	tʰiɪʔ7	
借	tsiɑˠ5/tsiɑ5	
倡	tsʰã5	
倣	fɑ̃ˠ3/fɑ̃3	
倥	kʰoŋ5	
倦	dʑiɵ6/dʑiø6	
倨	tɕyᶽ5/tɕiʏ5	
倩	tsʰi5/tsʰiɪ5	
倪	ȵiᶽ2/ȵi2	
倫	lən2	
倭	ɜuᵝ1/əu1	
