#漢字	音標	解釋
□	tsɿ1	(头)低下去、沉下去
□	tsɿ3	~嫌:嫌弃
□	tsɿ1/3	~进去:用尖锐的物体戳进硬的平面
□	tsʰɿ1	~蛉:蜻蜓
□	tsʰɿ3h	~便:随便
□	sɿ1	毛~骨:鱼身上细小的刺
□	sɿ5	~门:囟门,婴儿顶骨未合拢的地方
□	sɿ9	iã22~tʰɑ22:蜩
□	tʃʮ1	~~:蟪蛄
□	tʃʮ1	肉~~:形容肉多的样子
□	tʃʮ3/5	一~生意/铜钱
□	ʒʮ2	肉~鱼
□	bi6	~墨汁:毛笔蘸墨之后舔墨水
□	ti3	~kuoʔ41:有偿还的能力
□	di9	鲢胖~:鲢鱼与鳙鱼的统称
□	li1	(水)滴下来
□	li2	勤~:勤快
□	tsi5	左,如:~面/~手/~脚;~手上前:左撇子
□	tsi5	~团牙:地包天
□	tsi9	dzɛ22~:蟋蟀
□	tsʰi1	~痒:胳肢
□	tsʰi1	~bʊ55:钹
□	tsʰi9	蒙~眼:近视眼
□	tɕi1	~割=浪=:激浪鱼
□	tɕi1	块,石头的量词,一~石头
□	dʑi4	~母:舅妈
□	ȵi6	后~/大后~:后天/大后天(当为“日”舒化)
□	ɕi1	微微打开,如:门~开一条缝
□	i1	~歇:现在;laʔ2~(搭):在(这里)
□	i1	安~:消停(可能为“安逸”舒化)
□	bu2	~(罗)头:茬,块茎
□	bu2	牙~肉:牙龈
□	bu2	荡~(鱼):塘鳢鱼
□	bu6	蹲
□	bu9	扁~:瓠子
□	bu9	tɕʰie33~:一种农具
□	bu9	青泥~潭:青苔
□	fu5	~牙子:龅牙
□	ɕy1/5	寻~丝:找茬儿
□	ɕy9	洋~照:煤油灯
□	y1	~米:玉米
□	y3	~kʰuɛ41:门槛
□	y4	~子:纺纱机一端上绕线的部件
□	y9	老~方=:备用的棺材
□	pɑ3/5	~姆淘里:妯娌
□	pɑ9	侧头~脑:头歪侧、无精打采的状态
□	tɑ1	翘嘴黄~鱼;翘嘴鲌;黄~鱼:红鳍鲌
□	tʰɑ9	iã22sɿ22~:蜩
□	dɑ2/6	~晏:推迟
□	lɑ4	~原=焐:旧时一种保温器具
□	lɑ4	猫爪抓人
□	lɑ9	架~子:架子
□	tsɑ1	放置(令人不满地),如:东西覅~勒=搭=
□	tsɑ3	猫爪抓人
□	dzɑ4	~眼/斜眼:斜眼
□	dzɑ6	排泄,如:~屎/~尿/~屁;~子:虫产卵;肚皮~:拉肚子
□	dzɑ9	~~:随便做做
□	zɑ6	这么/那么(合音形式);竟然
□	kɑ3	~袖:袖套
□	ɡɑ2	汪=~鱼:黄颡鱼
□	ɡɑ2/6	~下:腋下
□	ɡɑ9	若~:这样/那样
□	ŋɑ1	硬给、强给
□	ŋɑ2	啃,~骨头
□	hɑ1	撕
□	tsiɑ0	完整体标记,“啧呀”的合音
□	ziɑ6	阵(雨的量词),一~雨
□	dʑiɑ2	能干
□	pʊ9	花=~亩=:蕨菜
□	pʊ9	到~:(年纪)差不多了
□	mʊ2	~石:花岗石
□	mʊ4	~soŋ44子:蠓虫
□	mʊ2/4/6	斋#~22~44:过家家
□	lʊ2	渣~头:渣子
□	lʊ1/2	猪~~:猪(爱称)
□	lʊ2/4	底~:底下、下
□	tsʰʊ1	~鳊鱼:海里的鳊鱼
□	kʊ1	畔=~~:捉迷藏
□	kʊ1	鸡~~:鸡(爱称)
□	kʊ9	石马~:门墩头
□	ɡʊ2	~~:体型中等的蝉
□	hʊ1	用刀轻划
□	hʊ5	场~:地方;几~:多少
□	hʊ1/5	~pʊ33m̩31:蕨菜
□	hʊ1/5	打~ɕie31:打哈欠
□	ʊ9	砚~/砚瓦:砚台
□	tʰɔ1/5	~悠走:慢走
□	lɔ2	~zɔ31:杂乱零碎或陈旧破烂的东西
□	lɔ4	哪,如:~一个/~一点/~搭:哪个/哪些/哪里
□	zɔ2	lɔ24~:杂乱零碎或陈旧破烂的东西
□	ŋɔ4	抬头的动作
□	hɔ1	油变质
□	piɔ1	液体喷射
□	tiɔ1/5	~眼:眼睛上部因有痘痘把眼皮拉上去,从而使眼睛呈现突出的状态
□	diɔ4	~柜:床头柜
□	liɔ2/4	马~头:马兰头
□	liɔ6	~鱼
□	tsʰiɔ1	换尿布的动作,~尿布
□	tsʰiɔ3h	为争夺某样物品哄抬价格,类似拍卖
□	siɔ1	乌~蛇/黄~蛇:乌梢蛇/黄梢蛇;青~蛇:青蛇/竹叶青
□	siɔ3	~籽:产卵
□	ziɔ6	搅拌;涮洗马桶的动作
□	dʑiɔ2	~tsʰie31:三走架一端三根绑在一起的杆子的统称,单位是“走”
□	ɕiɔ1	不要、别(“休要”的合音)
□	ɕiɔ1	掀开
□	iɔ3	折(~被子/衣服/纸)
□	mɛ2	~石
□	nɛ2	现在;~么:然后;~间:今后
□	lɛ2	~三攀四:唠唠叨叨不停地骂人
□	lɛ2/4/6	~男:刚怀孕时的妊娠反应
□	tsʰɛ1	倾倒(力度较大)
□	tsʰɛ3h	陡
□	tsʰɛ9	卵~22-44:理睬(粗俗说法)
□	dzɛ4	陡
□	dzɛ4	~tsi41:蟋蟀
□	dzɛ6	饱满/凸起(谷粒~),饱~44-44
□	kɛ5	~臀:擦屁股
□	ŋɛ4	~tɕiã44:刚才;~~调=:正好
□	hɛ1	过敏,伴有瘙痒
□	kuɛ1	鸡~:鸡冠;鸡~头花:鸡冠花;鸡~油:鸡冠油
□	kʰuɛ1	ʏ33~:门槛; ~~:铁环,如铁~~、铜~~
□	uɛ1	推~:意义同“推板”
□	be4	串,量词,一~葡萄/杨梅
□	be4	~~开:拨拨开;~开22-41
□	me1	乳汁;乳房;~~头:乳头
□	te3	~布:买布
□	le1	鸭~~:鸭(爱称)(又读li1)
□	se5	~头:脓滚头,挤脓包挤出的白点
□	ke0	句末语气词
□	kʰe1	老~:扑克牌中的K(即读字母“K”)
□	he1	肿,五~六肿:鼻青脸肿,~扑扑:肿胀的状态;嚣张
□	he1	持续体、进行体标记,也可说“勒=~”,口语多单用
□	pie1	~箕:篦子
□	mie1	秤不足(秤尾下垂)
□	mie4	~tɕʰiã41:刚才
□	tʰie5	踏~23-21:踩空
□	lie9	硬屎~头:便秘状态排除的粪便粒(疑似为“粒”舒化而来)
□	tsie5	占,如:~便宜、~位子
□	tsʰie1	dʑiɔ24~架子:三走架;dʑiɔ24~档:形容三个要好的人
□	tsʰie1/5	N~子:有N个帆的船
□	tsʰie9	~跟朵=:翻跟斗
□	sie1	秤足(秤尾上翘)
□	tɕie9	菜~:菜苔,叶菜长了开出小花的状态
□	ȵie1	揉(~眼睛)
□	ȵie4	~头:瘾;上~:上瘾
□	ȵie9	茧~团:茧团,米制食物
□	ɕie1	哈喇气,油制食品变质
□	ɕie1	炫耀
□	ɕie5	颜色鲜艳
□	ɕie9	打花=~:打哈欠
□	ie1	~辰光:消磨时间、拖时间
□	ie2	~刮=搭=:鲇鱼
□	kʰue9	脚箍~:脚踝
□	dʏ9	挣扎
□	nʏ4	你,第二人称代词
□	lʏ1/2	逗(小孩);瞎~~:开玩笑
□	kʏ1	远指语素,~个:那个,~面/~浪/~搭:那里
□	kʏ1	阿~:“阿哥”的又音
□	kʏ1	打tɕieʔ3~:打嗝
□	kʰʏ9	猪~臭:狐臭
□	tɵ3	沾染(~泥土/污渍等),~着烂泥:沾上泥土
□	tʰɵ5	~壳:蛇/蝉蜕壳
□	tsʰɵ1	青~鱼:秋刀鱼
□	dzɵ9	将要做出打人的姿势,如:我搭你~~看:我跟你打打看
□	ɵ1/5	~豆:豌豆
□	kʰuɵ1	把买来的绒线处理成线团的动作
□	yɵ2/4	杜=:自家养
□	təu5	把饭嚼烂喂给小孩吃
□	təu9	牵跟~:翻跟斗
□	dəu4	踏~:河岸边铺筑的石台阶
□	ləu2	菩=~头:茬,块茎
□	ləu9	箍~圈:圈儿、环儿;果~:果子;村窠~:村落
□	səu9	əu44~:不舒服、难受
□	zəu2/6	瘫软,~下来
□	kəu1	~ɕie44:现在
□	kəu3	折~:因不能前来吊唁,故改出折算供品的钱
□	kʰəu1	尿的量词,一~尿
□	kʰəu9	鸡墩~:鸡肚子
□	ɡəu2	臃肿,如形容衣服穿得太多
□	əu1/5	~səu31:不舒服、难受
□	mɑ̃6	~砖:铺在椽子上的薄砖
□	fɑ̃9	老y44~:备用的棺材
□	tʰɑ̃1	挡
□	tʰɑ̃1	~光:本应该
□	dɑ̃4/6	凌~:冰锥儿(当为“铎儿”的合音)
□	lɑ̃2	光~头:光头
□	lɑ̃9	季=割=~:激浪鱼
□	tsɑ̃5	打年糕的动作
□	dzɑ̃6	叠、摞,碗碟的量词
□	zɑ̃2	翘嘴黄~鱼;翘嘴鲌(又音zɑʔ);黄~鱼:红鳍鲌
□	zɑ̃4	一~:一会儿
□	zɑ̃2/6	~小肠:猪的大小肠(量词用“幅”)
□	zɑ̃2/6	~菜:腌水咸菜使用的一种青菜
□	ɡɑ̃4	~牢:闭合得很好,中间没有空袭
□	hɑ̃1	喘气,急速呼吸
□	ɑ̃2	~弗住:受不了
□	ɑ̃5	投资,投入:~本钱
□	kuɑ̃5	晃(碗里放水~一~)
□	uɑ̃1	反正
□	uɑ̃2	强~:蛮横不讲理
□	uɑ̃1/2	~茄=鱼:黄颡鱼
□	uɑ̃9	上~里:上次
□	uɑ̃9	~东道:打赌
□	pʰã1	潲雨、雨飘进来,~雨
□	mã6	~门:不讲理
□	tã3	~头:形容不灵活的人
□	dzã4	走(旧时说法)
□	sã5	木刺
□	kã1	钻(小洞口的洞)
□	kã3/5	~~叫:形容人说话硬
□	kʰã1	摩擦
□	ɡã2	挤,拨勒人家~脱个呀:被别人挤掉了啊
□	hã1	打~:喊劳动号子
□	hã5	naʔ23~21:怎么
□	ã1	~头:歪头
□	ã1/5	~菜:荇菜
□	tsʰiã1	撑(~伞)
□	siã1	掺(~水)
□	tɕiã1	眼=~:刚才
□	tɕʰiã9	mie22~:刚才
□	ȵiã6	馅儿
□	ɕiã1	~日:到时候、将来(“歇两”的合音)
□	iã2	~脱:磨损
□	iã9	灶~公公:灶神
□	iã2/6	~sɿ22tʰɑ22:蜩
□	iã2/6	~子/米蛀虫:谷羊,米里的小虫
□	kʰuã1	把买来的绒线处理成线团的动作
□	uã6	条状的菜畦;劈~:开辟菜畦
□	uã9	lɵ44~31:心里烦恼、乱七八糟、乱套
□	fən1	拖~:拖把
□	tən1	待/呆,~两日:呆两天
□	dən4	~卵:怄气、生气
□	dən6	讥笑
□	lən4	硌,~着一记
□	tʃən1	丢/扔
□	tʃən3	~saʔ41:楔子
□	tʃʰən3h	抖搂(床单、衣物等),使附着的脏东西去除
□	tʃʰən5	弄~:开玩笑、弄着玩
□	ʒən2	~头:昨天(最本土的说法)
□	kʰən1	翻找(带贬义)
□	kʰən5	污垢:茶~/水~;老tsʰieʔ5~:身上的污垢
□	ɡən4	倔强
□	ɡən6	硌
□	hən3	擤,~鼻涕
□	tin5	沉淀,水~~清,~牢:形容糯米制食物吃顶的状态
□	tʰin1	生~:天生
□	tsʰin9	纺~娘:纺织娘
□	sin1	[些儿]的合音,一~:一些,老=一~:哪些;搿=~~:这么些
□	dʑin2	台阶的级,阶沿~:台阶级
□	ȵin2	弗~:未曾(常弱化为in1)
□	ȵin2	~黄烧酒:雄黄酒
□	in1/3/5	~线:在线团上绕线的动作
□	kʰuən9	一门~:形容听不进别人意见,只按照自己的思维方法做事
□	uən2	~~头:繁缕
□	pʰoŋ1	香~~:香喷喷
□	doŋ2/6	~宫=:肛门
□	noŋ1	~~:随便做做
□	loŋ6	~大碗:最大的碗
□	tsoŋ1	用力略大地放置
□	tsoŋ9	钢~:铝
□	soŋ9	弄~:捉弄
□	soŋ9	mʊ22~子:蠓虫
□	koŋ9	洞=~:肛门
□	oŋ5	感到糟糕、窝囊
□	ioŋ3/5	~子凳:一种比骨牌凳略大的方凳
□	vaʔ8	煮肉时起的泡沫
□	taʔ7	沿=刮=~:鲇鱼
□	tʰaʔ7h	拍头~团:打头顶或后脑勺部分
□	daʔ8	~子:用篾片编成的长席,用来围囤粮食,或铺在地上晒谷
□	naʔ8	一~:拇指与食指间的距离
□	naʔ8	~hã21:怎么
□	laʔ8	拦,~人/~水
□	laʔ8	~i44/~里:在、正在
□	laʔ8	夹~子:腋下
□	tsaʔ7	~棋:下棋(或为“着”音变所致)
□	saʔ7	塞、插,枪~勒=腰眼里:枪塞在腰间;枕=~:楔子
□	zaʔ8	~搭:自说自话
□	zaʔ8	突然跑出
□	kaʔ7	V~V:动词V尝试貌标记(或为“个”发生音变而来)
□	kʰaʔ7h	节=~(子):指甲(或为“甲kaʔ7”发生送气化音变而来)
□	aʔ8	也
□	kuaʔ7	沿=~搭=:鲇鱼
□	kuaʔ7	语气词,[个啘]的合音
□	ɡuaʔ8	偶然听到,~着一声:偶然听到一声
□	huaʔ7	甩;~龙:舞龙;~筅:马桶刷;~拳:划拳;~虎跳:侧手翻
□	uaʔ7	远指/不定指语素,可单用(~小青年/~山沟沟),可置于量词前(~种人)
□	uaʔ8	捡:玻璃打烂啧要去~起来
□	mɑʔ8	~~生/着~生/着~能:突然
□	tsʰɑʔ7h	两人用手抬
□	tsʰɑʔ7h	~弗通:讲不通(道理)
□	sɑʔ7	条状的菜垄,起~头:开辟条状菜垄
□	zɑʔ8	~介(kɑʔ):这样/那样,这么/那么
□	zɑʔ8	老~poʔ31:大型的青壳或黑壳青蛙
□	ŋɑʔ8	松动、摇晃,~动:摇动
□	tɕiɑʔ7	~子斑:雀斑
□	tɕiɑʔ7	麦~条:一种食物
□	pəʔ7	呆~哥=:珠颈斑鸠
□	bəʔ8	~过去:回过头去
□	bəʔ8	纠缠;~清爽:搞清楚
□	bəʔ8	~癗头:痘痘
□	təʔ7	~头:点头
□	təʔ7	拿、寄,搭我~个廿块洋钱来:给我拿二十块钱来
□	dəʔ8	~嘴:结巴
□	dəʔ8	四面~圞:四周一圈
□	nəʔ8	鸡~筋:鸡胗肝里的膜,可治积食
□	ləʔ8	在,存在动词/进行体标记/持续体标记,~海=/~上(lɑ̃):在
□	tsʰəʔ7h	~~软:很软
□	dzəʔ8	溅,~出来
□	səʔ7	稻~头/麦~头:稻穗/麦穗
□	səʔ7	散,鞋带~脱啧:鞋带散了
□	zəʔ8	毒虫叮咬,~着一口
□	ʃəʔ7	~糕:方糕
□	ʒəʔ8	~毒:妒忌
□	kəʔ7	鱼~鳃:鱼鳃
□	kəʔ7	季=~浪=:激浪鱼
□	kəʔ7	~蜢:蚱蜢/中华剑角蝗
□	ɡəʔ8	近指语素,~只/~搭:这个/这里;远指语素:~辰光/~年子:那时候/前年
□	ŋəʔ8	紧抓/紧捏,如:排骨~手里,拨人~牢啧只卵:指被人拿捏、抓住把柄
□	pieʔ7	烟~子:烟袋
□	pieʔ7	~过/~道:不过
□	mieʔ8	大~节=头/小~节=头:大拇指/小拇指;卵~节=头:中指的粗俗称呼
□	tʰieʔ7h	~牙子:拔牙
□	dieʔ8	~为:特地/故意
□	tsieʔ7	~头(子):手指;~掐=子
□	tsieʔ7	~馒头:膝盖
□	tsʰieʔ7h	老~ kʰən31:身上的污垢
□	tsʰieʔ7h	捉~子:丢沙包
□	zieʔ8	拧(~螺丝/瓶盖);~螺:头发旋(疑为“旋zie2”的促化读音)
□	tɕieʔ7	~蛛:蜘蛛
□	dʑieʔ8	急,~出乌拉、~夹=龙=咚:着急的样子
□	tɕyəʔ7	歪躺、瘫在凳子上
□	dʑyəʔ8	量词,一~锁
□	yəʔ7	鱼、肉等在烹调前置于酱油或酒等液体里浸泡
□	poʔ7	草鞋~头:制作草鞋/蒲鞋的工具
□	poʔ7	~差头:找茬儿
□	poʔ7	老zɑʔ4~:大型的青壳或黑壳青蛙
□	poʔ7	猪~鸟:猪的阴茎
□	boʔ8	捧
□	boʔ8	摔(~跤),俗语有“屎坑棚浪~跤”
□	boʔ8	烂~屎:稀的粪便
