#漢字	音標	解釋
一	i5	
丁	tiə̃1	
七	tɕʰi5	
丈	tʂɑ̃5	
三	sɛ̃1	
上	ʂɑ̃5	~聲,在~,~山
下	xa5	~山,上~
下	ɕia5	~山,上~
不	pu5	
且	tɕʰie3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piə̃1	
丞	tʂʰə̃2	
丢	tiəu1	
中	pfə̃5	射~
中	pfə̃1	當~
串	pfʰɛ̃5	
丸	vɛ̃2	肉~,彈~
丹	tɛ̃1	
主	pfv̩3	
乃	nɛ3	
久	tɕiəu3	
之	tʂʅ1	
乍	tʂa5	
乏	fa2	
乖	kuɛ1	
乘	tʂʰə̃5	
乙	i3	
九	tɕiəu3	
也	ia3	
也	ie3	
乳	v̩3	
乾	kɛ̃1	~濕
乾	tɕʰiɛ̃1	~坤度
亂	nuɛ̃5	
了	ȵiɔ3	~結,~解
事	ʂʅ5	
二	ɯ5	
互	xu3	
五	v̩3	
井	tɕiə̃3	
些	ɕie1	
亞	ia1	
亡	vɑ̃2	
交	tɕiɔ1	
亦	i3	
享	ɕiɑ̃2	
京	tɕiə̃1	
亭	tʰiə̃1	
亮	ȵiɑ̃5	
人	ʐə̃2	
仁	ʐə̃2	
仆	pʰu2	
仇	tʂʰəu2	
今	tɕiə̃1	
介	tɕie5	
仍	və̃2	
他	tʰa1	
他	na2	
仗	tʂɑ̃5	
付	fv̩5	
仙	ɕiɛ̃1	
代	tɛ5	
令	ȵiə̃5	
以	i3	
仰	iɑ̃3	
仲	pfə̃5	
件	tɕiɛ̃5	
任	ʐə̃5	
份	fə̃5	~兩,~分,本~
仿	fɑ̃3	~效,~佛,看似
伍	v̩3	入~
伏	fv̩5	
休	ɕiəu1	
伯	pɤ5	
估	ku1	~計
伴	pɛ̃5	
伶	ȵiə̃2	
伸	ʂə̃1	
似	ʂʅ5	~的
似	sɿ5	相~
佃	tiɛ̃5	
但	tɛ̃5	
位	vei5	
低	ti1	
住	pfv̩5	
何	xɤ2	
余	y2	姓~
佛	fɤ2	
作	tsuɤ5	~坊
佩	pʰei5	
佳	tɕia3	
併	piə̃5	合~,~且
使	ʂʅ3	
來	nɛ2	
例	ȵi5	
供	kuə̃1	~給
供	kuə̃5	~養
依	i1	
侯	xəu2	
侵	tɕʰiə̃1	
便	pʰiɛ̃2	~宜
便	piɛ̃5	方~
俊	tɕyə̃5	
俏	tɕʰiɔ5	
俗	su5	
保	pɔ3	
信	ɕiə̃5	
修	ɕiəu1	
俯	fv̩3	
俸	fə̃5	
倆	ȵiɑ̃3	兩個
倉	tsʰɑ̃1	
個	kɤ5	
倍	pei5	
倒	tɔ5	~水
倒	tɔ3	打~,~塌
倘	tʰɑ̃3	~使
候	xəu5	
倚	i3	
借	tɕie5	
倡	tʂʰɑ̃5	提~
倦	tɕyɛ̃5	
倫	nuə̃2	
值	tʂʅ5	
假	tɕia5	放~
假	tɕia3	真~
偉	vei3	
偏	pʰiɛ̃1	
做	tsu5	
停	tʰiə̃5	
健	tɕiɛ̃5	
側	tʂʰɤ5	
偵	tʂə̃1	
偶	əu3	
偷	tʰəu1	
僞	vei1	
傅	fv̩5	
傑	tɕie5	
傘	sɛ̃3	
備	pi5	
催	tsʰuei1	
傲	ɔ5	
傳	pfʰɛ̃2	~達
傳	pfɛ̃5	~記
傷	ʂɑ̃1	
傻	ʂa3	~子
傾	tɕʰiə̃3	
僅	tɕiə̃3	
僉	tɕʰiɛ̃1	
像	ɕiɑ̃5	
僑	tɕʰiɔ2	
僧	sə̃1	
僵	tɕiɑ̃1	
價	tɕia5	
億	i2	
儉	tɕiɛ̃3	
償	tʂʰɑ̃2	
優	iəu1	
儲	pfʰv̩3	~蓄
允	yə̃2	
元	yɛ̃2	
兄	ɕyə̃1	
充	pfʰə̃1	
兆	tʂɔ5	
兇	ɕyə̃1	吉~;~惡
先	ɕiɛ̃1	
光	kuɑ̃1	
克	kʰɤ5	
兑	tuei5	
免	miɛ̃3	
兔	tʰu5	
兜	təu1	
入	v̩5	
内	nuei5	
全	tɕʰyɛ̃2	
兩	ȵiɑ̃3	
八	pa5	
公	kuə̃1	
六	ȵiəu5	
共	kuə̃5	
兵	piə̃1	
其	tɕʰi2	
具	tɕy5	
典	tiɛ̃3	
兼	tɕiɛ̃1	
册	tʂʰɤ5	
再	tsɛ5	
冒	mɔ5	
冠	kuɛ̃5	~軍
冠	kuɛ̃1	衣~
冤	yɛ̃1	
冬	tuə̃1	
冰	piə̃1	
冷	nə̃3	
凌	ȵiə̃2	
凍	tuə̃5	
凝	ȵiə̃2	
凡	fɛ̃2	
凳	tə̃5	
出	pfʰv̩5	
函	xɛ̃2	
刀	tɔ1	
刁	tiɔ1	
刃	ʐə̃5	
分	fə̃5	
分	fə̃1	~別
切	tɕʰie5	~斷
切	tɕʰie5	~記
刊	kʰɛ̃1	
刑	ɕiə̃2	
列	ȵie5	
初	pfʰv̩1	
判	pʰɛ̃5	
别	pie5	~扭
别	pie2	分~
刨	pʰɔ2	~坑
利	ȵi5	
刮	kua5	
到	tɔ5	
制	tʂʅ5	~度,~造
刷	fa5	~子
刺	tsʰɿ1	~溜
刺	tsʰɿ5	~傷,~繡
刻	kʰɤ5	
剃	tʰi5	
則	tsɤ2	
削	ɕye5	剝~;~皮
前	tɕʰiɛ̃2	
剔	tʰi5	
剛	kɑ̃1	
剜	vɛ̃1	
剝	pɤ5	~皮;~削
剩	ʂə̃5	
剪	tɕiɛ̃3	
割	kɤ5	
創	pfʰɑ̃3	~傷,~造
劃	xua5	
劄	tʂa5	
劇	tɕy5	戲~
劈	pʰi5	
劉	ȵiəu2	
劍	tɕiɛ̃3	
劑	tɕi5	
力	ȵi5	
功	kuə̃1	
加	tɕia1	
劣	ȵye5	
助	pfv̩5	
努	nu3	
勁	tɕiə̃5	有~
勇	yə̃3	
勉	miɛ̃3	
勒	nɤ5	~緊;~索
動	tuə̃5	
勛	ɕyə̃2	
勝	ʂə̃5	
勞	nɔ2	
募	mu5	
勢	ʂʅ5	
勤	tɕʰiə̃2	
勵	ȵi5	
勸	tɕʰyɛ̃5	
勺	fɤ2	~子
匀	yə̃2	均~
勾	kəu1	~當
包	pɔ1	
匆	tsʰuə̃1	
化	xua5	
北	pɤ5	
匙	tʂʰʅ2	湯~
匠	tɕiɑ̃5	
匣	ɕia2	~子
匪	fei3	
匯	xuei5	
匹	pʰi3	~布
匾	piɛ̃3	
區	tɕʰy1	~域
十	ʂʅ5	
千	tɕʰiɛ̃1	
升	ʂə̃1	
午	v̩3	
半	pɛ̃5	
卑	pi1	
卒	tsu2	小~
協	ɕie3	
南	nɛ̃2	
博	pɤ3	~士
博	pɤ5	賭~
占	tʂɛ̃1	~卜
