#漢字	音標	解釋
一	iet7	
七	tsʰət7	
万	uan6	麻将牌
三	θam1	
上	θɐŋ6	~去
下	ha6	方位
世	θe5	
業	nip8a	
東	toŋ1	
絲	θi1	
丢	tiu5	
兩	liaŋ5	
嚴	ɲim2	
个	ko5	
中	tsoŋ1	~间
丰	foŋ1	
主	tsy3	
舉	ky3	
義	ɲe6	
烏	u1	
九	kiɐu3	
習	tsɐp8a	
書	θy1	
買	mai5	
亂	lun6	
爭	tsɛŋ1	
事	θi6	
二	ɲi6	
虧	kʰui1	
云	yen2	~彩
五	ŋ̍5	
井	tseŋ3	
交	kɑɔ1	
產	tsʰan3	
亮	liaŋ6	
親	tsʰən1	~人
人	ɲien2	
倉	tsʰɔŋ1	
付	fu5	
件	kin6	
任	iɐm6	
休	θɐu1	
優	iɐu1	
會	ui6	开~
傘	θan3	
傳	tsun2	~下来
傳	tsun6	~记
傷	θiaŋ1	
位	ui6	
低	te1	
住	tsy6	
余	y2	剩~,多~
佛	fət8b	~像
作	tsɔk7	
使	θe3	
侄	tsət8a	
側	tsʰɐk7	
便	pin6	方~
俊	tsən5	
修	θɐu1	
借	tsia5	
假	ka3	真~
停	teŋ2	
健	kin6	
偷	tɐu1	
像	θiaŋ5	
僧	tsɐŋ1	
兒	ɲi2	
兄	feŋ1	
充	tsʰoŋ1	
先	θin1	
光	kuŋ1	
黨	tɔŋ3	
入	ɲiɐp8a	
全	tsun2	
八	pat7	
公	koŋ1	
六	lok8a	
蘭	lam2	
共	kioŋ6	
關	kuan1	
興	heŋ5	高~
兵	peŋ1	
典	tim3	
寫	θia3	
軍	kyen1	
冤	yn1	
冬	toŋ1	
冰	peŋ1	
冲	tsʰoŋ1	
決	kyt3	
冷	lɛŋ5	
凍	toŋ6	
準	tsən3	
減	kam3	
湊	tsʰɐu5	
几	ki3	~个
鳳	foŋ6	
凳	tɐŋ5	
凶	θioŋ1	吉~
出	tsʰət7	
擊	kek7	
刀	to1	
分	fən1	动
切	tsʰit7	动
划	uak8b	计~
列	lit8a	
初	tsʰu1	
判	pʰun5	
别	pit8a	~人
刮	kuat7	
