#漢字	音標	解釋
一	ʔiɐt7	
七	tsʰɐt7	
万	uan6	麻将牌
三	ɬam1	
上	sɐŋ6	~去
下	ha6	方位
世	se5	
業	niɤp8a	
東	toŋ1	
絲	ɬi1	
兩	liɐŋ4	
嚴	ɲiɤm2	
个	ko5	
中	tsoŋ1	~间
丰	foŋ1	
主	tsy3	
舉	ky3	
義	ɲe6	
烏	ʔu1	
九	kiɐu3	
習	tsɐp8a	
書	sy1	
買	mai4	
亂	lun6	
爭	tsɛŋ1	
事	ɬi6	
二	ɲi6	
虧	kʰue1	
云	jyɐn2	~彩
五	ŋ̍4	
井	tseŋ3	
交	kau1	
產	tsʰan3	
亮	liɐŋ6	
親	tsʰɐn1	~人
人	ɲiɐn2	
倉	tsʰɔŋ1	
付	fu5	
件	kin6	
任	jiɐm6	
休	sɐu1	
優	ʔiɐu1	
會	uɐi6	开~
傘	ɬan5	
傳	tsyn2	~下来
傳	tsyn6	~记
傷	siɐŋ1	
位	ue6	
低	te1	
住	tsy6	
余	jy2	剩~,多~
佛	fɐt8a	~像
作	tsɔk7	
使	si3	
侄	tsɐt8a	
側	tsɐk7	
便	pin6	方~
俊	tsɐn5	
修	ɬɐu1	
借	tsia5	
假	ka3	真~
停	teŋ2	
健	kin5	
偷	tʰɐu1	
像	ɬiɐŋ5	
僧	tsɐŋ1	
兒	ɲi2	
兄	feŋ1	
充	tsʰoŋ1	
先	ɬin1	
光	kuŋ1	
黨	tɔŋ3	
入	ɲiɐp8a	
全	tsyn2	
八	pat7	
公	koŋ1	
六	lok8a	
蘭	lam2	
共	kioŋ6	
關	kuan1	
興	heŋ5	高~
兵	peŋ1	
典	tiɤm3	
寫	ɬia3	
軍	kyɐn1	
冤	ʔyn1	
冬	toŋ1	
冰	peŋ1	
冲	tsʰoŋ1	
決	kyt7	
冷	lɛŋ4	
凍	toŋ5	
準	tsɐn3	
減	kam3	
湊	tsʰɐu5	
几	ki3	~个
鳳	foŋ6	
凳	tɐŋ5	
凶	sioŋ1	吉~
出	tsʰɐt7	
擊	kek7	
刀	to1	
分	fɐn1	动
切	tsʰit7	动
划	ua6	计~
列	lit8a	
初	tsʰu1	
判	pʰun5	
别	pit8a	~人
刮	kuat7	
制	tse5	~造
刷	syat7	
刺	tsʰi5	
刻	kʰɐk7	
剃	tʰe5	
削	ɬɐk7	
前	tsin2	
劍	kiɤm5	
剝	pɐk7	
劇	ky6	戏~
剩	seŋ6	
剪	tsin3	
副	fu5	
割	kuat7	
劈	pʰek7	
力	lek8a	
勸	kʰyn5	
辦	pan6	
動	toŋ6	
勁	kieŋ5	有~
勤	kiɐn2	
勺	siɐk8a	
匀	jyɐn2	
包	pau1	
化	fua5	
北	pɐk7	
匠	tsiɐŋ6	
匹	pʰɐt7	
區	kʰy1	地~
十	sɐp8a	
升	seŋ1	
半	pun5	
華	ua2	中~
協	siɤp8a	
卒	tsɐt7	
單	tan1	简~
賣	mai6	
南	nam2	
占	tsiɤm5	~领
衛	ue6	
印	ʔiɐn5	
危	ŋue2	
卷	kyn3	
廠	tsʰiɐŋ3	
廳	tʰeŋ1	
历	lek8a	农~
厭	jiɤm2	
厚	hɐu6	
原	jyn2	
去	kʰy5	
縣	yn6	
参	sɐn1	人~
及	kiɐp8a	
雙	suŋ1	
反	fan3	
发	fat7	头~
叔	sok7	
取	tsʰy3	
變	pin5	
口	kʰɐu3	
古	ku3	
句	ky5	
叫	kiu5	
可	kʰo3	
台	tɐi2	戏~
右	jiɐu6	
葉	jiɤp8a	树~
號	ho6	名
吃	kʰek7	
各	kɔk7	
吉	kiɐt7	
名	meŋ2	
后	hɐu6	前~
向	siɐŋ5	
呂	ly4	
吞	tʰɐn1	
含	kom3	
聽	tʰeŋ5	
吳	ŋ̍2	
吸	kiɐp7	
吹	tsʰe1	
味	mi6	
命	meŋ6	
咸	ham2	~淡
品	pʰɐŋ3	
響	siɐŋ3	
啞	ʔa3	
哭	kʰok7	
脣	sɐn2	
唱	tsʰiɐŋ5	
善	sin6	
喊	ham3	
喜	si3	
嘴	tsɐi3	
器	kʰi5	
四	ɬi5	
回	uɐi2	
園	jyn2	
困	kʰuɐn5	
圍	ue2	
國	kuk7	
圖	tu2	
圓	jyn2	
圈	kʰyn1	圆~
土	tʰu3	
地	ti6	
均	kyɐn1	
壞	uai6	
坐	tsua6	
坑	kʰɛŋ1	
塊	kʰuai5	
墳	fɐn2	
垂	se2	
墊	tiɤm6	
埋	mai2	
城	seŋ2	
塔	tʰap7	
塞	ɬɐk7	
墨	mɐk8a	
墩	tɐn3	
壁	pek7	
壯	tsuŋ5	
聲	seŋ1	
殼	kʰɐk7	
壺	u2	
夏	ha6	春~
外	muɐi6	
多	to1	
夜	jia6	
够	kɐu5	
大	tai6	~小
天	tʰin1	
失	sɐt7	
頭	tɐu2	
夾	kap8b	
奪	tut8a	
契	kʰe5	
女	ny4	
奴	nu2	
奸	kan1	
好	ho3	~坏
如	jy2	
婦	fu6	
妹	muɐi6	
姐	tsia3	
姓	ɬeŋ5	
姜	kiɐŋ1	生~
姨	ji2	
娘	niɐŋ2	
婆	pua2	
婚	fɐn1	
嫁	ka5	
嫂	ɬo3	
嫌	jiɤm2	
嫩	nɐn6	
子	tsi3	
孔	kʰoŋ3	
字	tsi6	
孫	ɬɐn1	
孝	hau5	
季	ki5	
學	hɐk8a	
孽	niɤp2	
安	uan1	
宋	ɬoŋ5	
完	uan2	
官	kun1	
定	teŋ6	
寶	po3	
實	sɐt8a	
客	kʰɛk7	
宮	kioŋ1	
害	hɐi6	
容	jioŋ2	
寬	kʰun1	
宿	ɬok7	住~
寄	ki5	
密	mɐt8a	
富	fu5	
寸	tsʰɐn5	
對	tuɐi5	
寺	tsi6	
尋	tsɐm2	
壽	sɐu6	
封	foŋ1	
射	sia6	
小	ɬiu3	
尖	tsiɤm1	
嘗	siɐŋ2	
尺	tsʰek7	
尾	mi3	
局	kiok8a	
屁	pʰi5	
層	tsɐŋ2	
屋	ʔok7	
屬	tsok8a	
山	san1	
歲	ɬe5	
巖	ŋai2	
岸	ŋuan6	
州	tsɐu1	
左	tso3	
幣	pi6	
市	si6	
布	pu5	
師	ɬi1	
希	si1	
帶	tɐi5	动
席	tsek8a	
幫	puŋ1	
帽	mo6	
平	peŋ2	
年	nin1/nin2	
幼	ʔiɐu5	
慶	kʰeŋ5	
牀	suŋ2	
店	tiɤm5	
廟	miu6	
府	fu3	
延	jin2	
建	kin5	
開	kʰɐi1	
弄	loŋ6	
式	sek7	
引	jiɐn4	
弟	te6	
張	tsiɐŋ1	量
彎	uan1	
弱	ɲiɐk8a	
彈	tan2	~琴
形	heŋ2	
影	ʔeŋ3	
律	lɐt8a	
徐	tsy2	
得	tɐk7	
心	ɬɐm1	
忙	muŋ2	
快	kʰuai5	
念	niɤm6	
懷	uai2	
急	kiɐp7	
怪	kuai5	
恨	hɐn6	
恩	ʔɐn1	
恭	koŋ1	
息	ɬek7	
恶	ʔɔk7	形
惜	ɬek7	
慣	kun5	
想	ɬiɐŋ3	
愁	tsɐu2	
意	ʔi5	
感	kom3	
慌	fuŋ1	
慢	man6	
懂	toŋ3	
懶	lan4	
戲	si5	
戒	kai5	
或	uɐk8a	
戰	tsan5	
截	tsit8a	
戶	u6	
房	fuŋ2	
所	ɬua3/ɬo3	
扁	pin3	
扇	sin5	名
手	sɐu3	
扎	tsat7	
托	tʰɔk7	
扮	pan6	
抄	tsʰau1	
把	pa3	量
抓	tsua1	用手~牌
抖	tɐu3	
折	tsiɤp7	~叠
搶	tsʰiɐŋ3	
抱	po6	
抽	tsʰɐu1	
拆	tsʰɛk7	
拉	la1	
拍	pʰɛk7	
拐	kuai3	
拖	tʰo1	
拜	pai5	
擁	ʔoŋ4	
撥	put8a	
擇	tsɛk8b	
挂	kua5	
指	tsi3	
挖	uat7	
挺	tʰeŋ3	
捏	niɤp7	
換	uɐn6	
排	pai2	
接	tsiɤp7	
插	tsʰap7	
握	ʔɐk7	
搬	pun1	
搭	ʔom5	
摆	pai3	
摇	jiu2	
摘	tsɛk7	
摸	mua3	
撞	tsʰuŋ3	
撤	tsʰit7	
擦	tsʰat7	
改	kɐi3	
放	fuŋ5	
敢	kom3	
數	su3	动
數	su5	名
敲	kʰau1	
整	tseŋ3	
料	liu6	
斷	tun6	
新	ɬɐn1	
方	fuŋ1	
族	tsok8a	
日	ɲiɐt8a	
舊	kiɐu6	
早	tso3	
時	si2	
旺	uŋ6	
明	meŋ2	
星	ɬeŋ1	
春	tsʰɐn1	
顯	sin3	
曬	sai5	
晚	man4	
暖	nun4	
暗	hom2	
曲	kʰiok7	
更	kɛŋ1	打~
月	ɲyt4	
有	jiɐu4	
朋	poŋ2	
服	fok8a	
朝	tsiu1	~代
木	mok8a	
末	mut8a	
本	pɐn3	
殺	sat7	
雜	tsap8b	
權	kyn2	
杉	sa1	
李	li4	
村	tsʰɐn1	
杜	tu6	
條	tiu2	
來	lɐi2	
杯	puɐi1	
杰	kit7	
松	ɬoŋ1	~紧
松	tsoŋ2	~树
板	pan3	
極	kek8a	
林	lɐm2	
果	kua3	
柄	peŋ3	
染	ɲiɤm4	
櫃	kue6	
柱	tsy6	
柴	sai2	
柿	si6	
樹	sy6	
栗	lɐt8a	
校	hau6	学~
樣	jiɐŋ6	
根	kɐn1	
格	kɛk7	
桂	kue5	
桃	to2	
桌	tsuk7	
橋	kiu2	
樁	tsuŋ1	
桶	tʰoŋ3	
梗	kuɛŋ3	
夢	moŋ6	
梨	li2	
梯	tʰe1	
棉	min2	
棋	ki2	
棒	pɐŋ6	
棚	poŋ2	
樓	lɐu2	
橫	uɛŋ2	~直
橘	kyɐt7	
欠	kʰiɤm5	
歡	fun1	
歌	ko1	
正	tseŋ5	~反
步	pu6	
武	u4	
歪	uai1	
死	ɬi3	
母	mu4	
毒	tok8a	
比	pi3	
毛	mo2	
毯	tʰam3	
民	mɐn2	
气	kʰi5	
水	se3	
永	jyeŋ4	
汁	tsɐp7	
漢	huan5	
汗	huan6	
江	kɐŋ1	
池	tsi2	
湯	tʰɔŋ1	
沉	tsɐm2	
沙	sa1	
河	ho2	
油	jiɐu2	
治	tsi5	
法	fap7	
泥	ne2	
潑	pʰut8a	
洗	ɬe3	
洞	toŋ6	
活	ut8a	
派	pʰai5	
流	lɐu2	
淺	tsʰin3	
漿	tsiɐŋ3	
測	tsʰɐk7	
濃	noŋ2	
浪	lɔŋ6	
浮	fu2	
浴	ʔiok7	
海	hɐi3	
浸	tsʰɐm5	
淡	tam6	
深	sɐm1	
添	tʰiɤm1	
清	tsʰeŋ1	
渠	ky2	
溫	uɐn1	
渴	kʰuat7	
溪	kʰe1	
滑	uat8b	
滚	kuɐn3	
滿	mun3	
潭	tam2	
火	fua3	
滅	mit8a	
燈	tɐŋ1	
灰	fuɐi1	
竈	tso5	
炎	jin2	
炭	tʰan6	
炮	pʰau5	
點	tiɤm3	
爛	lan6	
烘	hoŋ1	
燭	tsok7	
烟	ʔin1	
燒	siu1	
熱	ɲit8a	
焦	tsiu1	
煤	muɐi2	
照	tsiu5	
