#漢字	音標	解釋
□	tʂuɛ1	~牙,即塞牙
□	piaŋ1	~唧:物体落地后发出的响亮声音
□	tei2	~故意,即故意
□	kaŋ2	~~硬:很硬
□	təŋ2	~~的,形容饱和、饱满的状态:撑得~~的。
□	təŋ5	停止不动:你别老在这~着咧,赶紧去。用于令人生厌的人
□	kə2	别、插:把门~上。
□	pə̃1	啄:花全找鸡~咧
□	tei1	扔:把那个坏馒头~喽吧
□	kʰuɛ1	拍打:~~身上的土
□	nəŋ1	故意推脱、拖延:赶紧把钱还喽俺们吧,别老~着咧。
□	piou5	模仿枪响发出的声音
□	lyə1	用棍子之类的东西打
□	xə3	用手、步粗略丈量:用手~~有多宽。
□	ʐou1	甩:~出去
□	lyə1	紧跟着,不离开:别老是~着我咧,出公玩会儿去吧。
□	kʰə̃5	绑、系:把口袋~上。
□	aŋ3	语气词
□	ʐua3	身体虚弱
□	laŋ1	骗:你别~我咧.
䝼	tsʰiŋ2	承受:~财产
一	i1	
丁	tiŋ1	
七	tsʰi1	
万	uã5	
丈	tʂaŋ5	
三	sã1	
上	ʂaŋ5	
下	ɕia5	
不	pu1	
与	y3	
丐	kɛ5	
丑	tʂʰou3	
專	tʂuã1	
且	tsʰiə3	
丕	pei1-	
丕	pʰi1=	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	iə5	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiou1	
兩	liaŋ3	
嚴	iã2	
喪	saŋ5	动词
喪	saŋ1	名词
个	kə5	
丫	ia1	
中	tʂuŋ1	
中	tʂuŋ5	击~
丰	fəŋ1	
串	tʂʰuã5	
臨	liə̃2	
丸	uã2	
丹	tã1	
爲	uei2	~人
爲	uei5	因~
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu1	
乏	fa2	
樂	luo5-	
樂	lə2=	欢~
樂	iɔ5-	音~
樂	yə5=	音~
乒	piŋ1-	
乒	pʰiŋ1=	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tʂʰəŋ2	
乙	i3	
九	tɕiou3	
乞	tɕʰi2	
也	iə3	
習	si2	
書	ʂu1	
買	mɛ2	
亂	lã5	
亂	luã5=	
乳	lu3-	
乳	ʐu3=	
乾	tɕʰiã2	
了	liɔ3	
爭	tʂəŋ1	
事	ʂʅ5	
于	y2	
云	yə̃2	
互	xu5	
五	u3	
井	tsiŋ3	
亞	ia5	
些	siə2	
交	tɕiɔ1	
亥	xɛ2	
亦	i5	
產	tʂʰã3	
亨	xəŋ1	
