#漢字	音標	解釋
□	ku2	kɑ51~:形容衣服质量不好
□	liɑŋ1	~粮食:籴粮食
□	ti5	~~:枣树上的刺
□	kɑ5	~ku55:形容衣服质量不好
□	tʰiəu5	~乎:哭
□	tɕʰiŋ5	~囒:汤凝成冻了
□	ʐɑ1	“人家”的合音词
□	ȵiɑ2	“你们”的合音
□	pɔ5	“不要”的合音词
□	tʰiɔ5	形容人傻
□	tʰy1	把菜放在开水中~~
□	tɕʰyɛ̃1	盛放粮食的圆柱形的工具
□	pən1	砍树
□	mən1	糗了:面条~囒
□	pɑ1	蛤拉~儿:蛤蜊
□	pɑŋ5	这~、那~:这边、那边
㬤	ɕi1	把小孩子的尿布搞壶上~~、~干
䜺	tʂʰɛ1	豆~子
䝼	tʰiŋ1	~受:分老人的财产
一	i1	
丁	tiŋ1	
七	tʰi1	~呀:七个
万	uɛ̃5	
丈	tʂɑŋ5	~人:岳父
三	sɛ̃1	
上	ʂɑŋ5	
下	ɕiɑ5	~来
不	pu1	
与	y2	
丑	tʂʰəu2	
專	tʂuɛ̃2	~门
且	tʰiɤ2	而~
世	ʂʅ5	~道
丘	tɕʰiəu1	
丙	piŋ2	
業	iɤ5	
叢	tsʰuŋ1	
東	tuŋ1	~西
絲	sɿ1	铁~
丢	tiəu1	~人
兩	liɑŋ2	几斤几~
嚴	iɛ̃1	
喪	sɑŋ5	~失
个	kɤ5	一~
中	tʂuŋ1	1~间
中	tʂuŋ5	2~奖
丰	fəŋ1	
串	tʂʰuɛ̃5	
臨	lin1	光~
丸	uɛ̃1	~子
丹	tɛ̃1	
爲	uei1	1作~
爲	uei5	2~了
主	tʂu2	~人
麗	li5	多用于人名中
舉	tɕy2	~手
久	tɕiəu2	
義	i5	~气
烏	u2	~龟
乍	tʂɑ5	一惊一~
乎	xu1	泣~:哭
乏	fɑ1	
樂	luɤ5	1娱~
樂	lɔ5	2新~:地名
樂	iɔ5	2音~
喬	tɕʰiɔ1	
乖	kuɛ1	
乘	tʂʰəŋ1	加减~除
乙	i2	
九	tɕiəu2	
習	si1	~俗
鄉	ɕiɑŋ1	
書	ʂu1	读~
買	mɛ2	
亂	luɛ̃5	
乳	ʐu2	哺~
乾	tʰiɛ̃1	~坤
了	liɔ2	~解
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y1	姓
虧	kʰuei1	吃~
云	yn1	~彩
互	xu5	~相
五	u2	
井	tiŋ2	~陉
亞	iɑ5	~洲
些	siɤ1	这~
亡	uɑŋ1	
交	tɕiɔ1	~通
產	tʂʰɛ̃2	
畝	mu2	一~
享	ɕiɑŋ2	~受
京	tɕiŋ1	
亭	tɕʰiŋ2	
