#漢字	音標	解釋
一	i1	
七	tsʰi1	
万	van5	白。一~
万	uan5	文。~一
三	san1	
上	ʂaŋ5	
下	ɕia5	
世	ʂʅ5	
業	ie1	
東	tuəŋ1	
絲	sɿ1	
丢	tiəu1	
兩	liaŋ3	
嚴	ian2	
个	kə5	
中	tʂuəŋ1	
丰	fəŋ5	
主	tʂu3	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiəu3	
習	si2	
書	ʂu1	
買	mɛ3	
亂	luan5	
爭	tʂəŋ1	
事	ʂʅ5	
二	aɯ5	
虧	kʰuei1	
云	yən2	
五	u3	
井	tsiəŋ3	
交	tɕiaɔ1	
產	tʂʰan3	
亮	liaŋ5	
親	tsʰiən1	
人	ʐən2	
倉	tsʰaŋ1	
付	fu5	
件	tɕian5	
任	ʐən5	
休	ɕiəu1	
優	iəu1	
會	xuei5	
傘	san3	
傳	tʂʰuan2	
傳	tʂuan5	
傷	ʂaŋ1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fuə2	
作	tsuə1	
使	ʂʅ3	
侄	tʂʅ2	
側	tʂɛ2	白。~歪
側	tʂʰɛ1	文。~身
便	pian5	
俊	tsuən5	
修	siəu1	
借	tsie5	
假	tɕia3	
做	tsəu5	白。~饭
做	tsuə1	文。~业
停	tʰiəŋ2	
健	tɕian5	
偷	tʰəu1	
像	siaŋ5	
僧	səŋ1	
兒	aɯ2	
兄	ɕyəŋ1	
充	tʂʰuəŋ1	
先	sian1	
光	kuaŋ1	
黨	taŋ3	
入	ʐu1	
全	tsʰuan2	
八	pa1	
公	kuəŋ1	
六	ləu1	白。~月~
六	liəu5	文。第~
蘭	lan2	
共	kuəŋ5	
關	kuan1	
興	ɕiəŋ5	
兵	piəŋ1	
典	tian3	
寫	sie3	
軍	tɕyən1	
冤	yan1	
冬	tuəŋ1	
冰	piəŋ1	
冲	tʂʰuəŋ1	
決	tɕyə1	
冷	ləŋ3	
凍	tuəŋ5	
準	tʂuən3	
減	tɕian3	
湊	tsʰəu5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyəŋ1	
出	tʂʰu1	
擊	tɕi1	
刀	taɔ1	
分	fən1	
切	tsʰie1	
划	xua5	
列	lie1	
初	tʂʰəu1	
判	pʰan5	
别	pie2	
刮	kua1	又。~风
刮	kua3	又。~胡子
制	tʂʅ5	
刷	ʂua1	
刺	tsʰɿ5	
刻	kʰɛ1	
剃	tʰi5	
削	suə1	
前	tsʰian2	
劍	tɕian5	
剝	puə1	
劇	tɕy2	
剩	ʂəŋ5	
剪	tsian3	
副	fu5	
割	kə1	
劈	pʰi1	
力	li1	
勸	tɕʰyan5	
辦	pan5	
動	tuəŋ5	
勁	tɕiən5	
勤	tɕʰiən2	
勺	ʂuə2	
匀	yən2	
包	paɔ1	
化	xua5	
北	pei1	
匠	tsiaŋ5	
匹	pʰi2	
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pan5	
華	xua2	
協	ɕie2	
卒	tsəu2	
單	tan1	
賣	mɛ5	
南	nan2	
占	tʂan5	
衛	uei5	
印	iən5	
危	uei3	
卷	tɕyan3	
廠	tʂʰaŋ3	
廳	tʰiəŋ1	
历	li1	
厭	ian5	
厚	xəu5	
原	yan2	
去	tɕʰy5	
縣	ɕian5	
参	ʂən1	
及	tɕi1	
雙	ʂuaŋ1	
反	fan3	
发	fa1	
叔	ʂəu1	
取	tsʰu3	
變	pian5	
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	tɕiaɔ5	
可	kʰə3	
台	tʰɛ2	
右	iəu5	
葉	ie1	
號	xaɔ5	
吃	tʂʰʅ1	
各	kə1	
吉	tɕi1	
名	miəŋ2	
后	xəu5	
向	ɕiaŋ5	
呂	lu3	
吞	tʰuən1	
含	xan2	
聽	tʰiəŋ1	
吳	u2	
吸	ɕi1	
吹	tʂʰuei1	
味	vei5	
命	miəŋ5	
咸	ɕian2	
品	pʰiən3	
響	ɕiaŋ3	
啞	ia3	
哭	kʰu1	
脣	tʂʰuən2	
唱	tʂʰaŋ5	
善	ʂan5	
喊	xan3	
喜	ɕi3	
嘴	tsei3	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yan2	
困	kʰuən5	
圍	uei2	
國	kuɛe1	
圖	tʰəu2	
圓	yan2	
圈	tɕʰyan1	
土	tʰəu3	
地	ti5	
均	tɕyən1	
壞	xuɛe5	
坐	tsuə5	
坑	kʰəŋ1	
塊	kʰuɛe3	
墳	fən2	
垂	tʂʰuei2	
墊	tian5	
埋	mɛ2	
城	tʂʰəŋ2	
塔	tʰa1	
塞	sɛ1	
墨	mei1	
墩	tuən1	
壁	pi5	
壯	tʂuaŋ5	
聲	ʂəŋ1	
殼	kʰə1	
壺	xu2	
夏	ɕia5	
外	uɛe5	
多	tuə1	
夜	ie5	
够	kəu5	
大	ta5	
天	tʰian1	
失	ʂʅ1	
頭	tʰəu2	
夾	tɕia1	
奪	tuə2	
契	tɕʰi5	
女	ȵy3	
奴	nəu2	
奸	tɕian1	
好	xaɔ3	
如	ʐu2	
婦	fu5	
妹	mei5	
姐	tsie3	
姓	siəŋ5	
姜	tɕiaŋ1	
姨	i2	
娘	ȵiaŋ2	
婆	pʰuə2	
婚	xuən1	
嫁	tɕia5	
嫂	saɔ3	
嫌	ɕian2	
嫩	nuən5	
子	tsɿ3	
孔	kʰuəŋ3	
字	tsɿ5	
孫	suən1	
孝	ɕiaɔ5	
季	tɕi5	
學	ɕyə2	
孽	ȵie1	
安	an1	
宋	suəŋ5	
完	uan2	
官	kuan1	
定	tiəŋ5	
寶	paɔ3	
實	ʂʅ2	
客	kʰɛ1	
宮	kuəŋ1	
害	xɛ5	
容	ʐuəŋ2	
寬	kʰuan1	
宿	su1	
寄	tɕi5	
密	mi1	
富	fu5	
寸	tsʰuən5	
對	tei5	
寺	sɿ5	
尋	suən2	
壽	ʂəu5	
封	fəŋ1	
射	ʂə5	
小	siaɔ3	
尖	tsian1	
嘗	tʂʰaŋ2	
尺	tʂʰʅ1	
尾	i3	白。~巴
尾	uei3	文。马~
局	tɕy2	
屁	pʰi5	
層	tsʰəŋ2	
屋	u1	
屬	ʂəu3	
山	ʂan1	
歲	sei5	
巖	ian2	
岸	an5	
州	tʂəu1	
左	tsuə3	
幣	pi5	
市	ʂʅ5	
布	pu5	
師	ʂʅ1	
希	ɕi3	
帶	tɛ5	
席	si2	
幫	paŋ1	
帽	maɔ5	
平	pʰiəŋ2	
年	ȵian2	
幼	iəu5	
慶	tɕʰiəŋ5	
牀	tʂʰuaŋ2	
店	tian5	
廟	miaɔ5	
府	fu3	
延	ian2	
建	tɕian5	
開	kʰɛ1	
弄	nəŋ5	白。~啥
弄	nuəŋ5	文。作~
式	tʂʰɯ5	
引	iən3	
弟	ti5	
張	tʂaŋ1	
彎	uan1	
弱	ʐuə1	
彈	tʰan2	
形	ɕiəŋ2	
影	iəŋ3	
律	lu1	
徐	su2	
得	tɛ1	
心	siən1	
忙	maŋ2	
快	kʰuɛe5	
念	ȵian5	
懷	xuɛe2	
急	tɕi2	
怪	kuɛe5	
恨	xən5	
恩	ən1	
恭	kuəŋ1	
息	si1	
恶	ə1	
惜	si1	
慣	kuan5	
想	siaŋ3	
愁	tʂʰəu2	
意	i5	
感	kan3	
慌	xuaŋ1	
慢	man5	
憋	pie1	
懂	tuəŋ3	
懶	lan3	
戲	ɕi5	
戒	tɕie5	
或	xuɛe2	
戰	tʂan5	
截	tsie2	
戶	xu5	
房	faŋ2	
所	suə3	
扁	pʰian3	白。~了
扁	pian3	文。压~
扇	ʂan5	
手	ʂəu3	
扎	tʂa1	
打	ta3	
托	tʰuə3	
扮	pan5	
找	tʂaɔ3	
抄	tʂʰaɔ1	
把	pa3	
抓	tʂua1	
抖	təu3	
折	tʂə1	
搶	tsʰiaŋ3	
抱	paɔ5	
抽	tʂʰəu1	
拆	tʂʰɛ1	
拉	la1	又。~东西
拉	la2	又。~二胡
拍	pʰɛ1	
拐	kuɛe3	
拖	tʰuə1	
拜	pɛ5	
擁	yəŋ1	
撥	puə1	
擇	tʂɛ2	
挂	kʰua5	白。~着
挂	kua5	文。悬~
指	tʂʅ1	
挖	ua1	
挺	tʰiəŋ5	
捏	ȵie1	
換	xuan5	
排	pʰɛ2	
接	tsie1	
插	tʂʰa1	
握	uə1	
搬	pan1	
搭	ta1	
摆	pɛ3	
摇	iaɔ2	
摘	tʂɛ1	
摸	muə1	
撞	tʂuaŋ5	
撤	tʂʰə3	
擦	tsʰa1	
改	kɛ3	
放	faŋ5	
敢	kan3	
數	ʂu3	
數	ʂəu5	
敲	tɕʰiaɔ1	
整	tʂəŋ3	
料	liaɔ5	
斜	sie2	
斷	tuan5	
新	siən1	
方	faŋ1	
族	tsəu2	
日	ʐʅ1	
舊	tɕiəu5	
早	tsaɔ3	
時	ʂʅ2	
旺	uaŋ5	
明	miəŋ2	
星	siəŋ1	
春	tʂʰuən1	
顯	ɕian3	
曬	ʂɛ5	
晚	van3	白。~上
晚	uan3	文。夜~
暖	nuan3	
暗	an5	
曲	tɕʰy1	
更	kəŋ1	
月	yə1	
有	iəu3	
朋	pʰəŋ2	
服	fu1	
朝	tʂʰaɔ2	
木	mu1	
末	muə1	
本	pən3	
殺	ʂa1	
雜	tsa2	
權	tɕʰyan2	
杉	ʂan1	
李	li3	
村	tsʰuən1	
杜	təu5	
條	tʰiaɔ2	
來	lɛ2	
杯	pei1	
杰	tɕie2	
松	suəŋ1	
板	pan3	
極	tɕi2	
林	liən2	
果	kuə3	
柄	piəŋ3	
染	ʐan3	
櫃	kuei5	
柱	tʂu5	
柴	tʂʰɛ2	
柿	ʂʅ5	
樹	ʂu5	
栗	li1	
校	ɕiaɔ5	
樣	iaŋ5	
根	kən1	
格	kə1	
桂	kuei5	
桃	tʰaɔ2	
桌	tʂuə1	
橋	tɕʰiaɔ2	
樁	tʂuaŋ1	
桶	tʰuəŋ3	
梗	kəŋ3	
夢	məŋ5	
梨	li2	
梯	tʰi1	
棉	mian2	
棋	tɕʰi2	
棒	paŋ5	
棚	pʰəŋ2	
樓	ləu2	
橫	xuəŋ5	白。~竖
橫	xəŋ5	文。~行
橘	tɕy1	
欠	tɕʰian5	
歡	xuan1	
歇	ɕie1	
歌	kə1	
正	tʂəŋ5	
步	pu5	
武	u3	
歪	uɛe1	
死	sɿ3	
母	mu3	
毒	təu2	
比	pi3	
毛	maɔ2	
毯	tʰan3	
民	miən2	
气	tɕʰi5	
水	ʂei3	
永	yəŋ3	
汁	tʂʅ1	
漢	xan5	
汗	xan5	
江	tɕiaŋ1	
池	tʂʰʅ2	
湯	tʰaŋ1	
沉	tʂʰən2	
沙	ʂa1	
河	xə2	
油	iəu2	
治	tʂʅ5	
法	fa1	
泥	ȵi2	
潑	pʰuə1	
洗	si3	
洞	tuəŋ5	
活	xuə2	
派	pʰɛ5	
流	liəu2	
