#漢字	音標	解釋
□	pin2	
□	pɛŋ2	
□	tsɿ3	
□	fɛŋ5	
□	tɕi	mau³³□pi³³~(麻雀)
□	ŋæ3	tɕʰɛŋ²¹~子(等一会儿)
□	li1	~西(东西)
□	la1	~□ka²²(什么)
□	tsua1	~筋(精瘦)
□	ne1	~□ti³³³³(怎么)
□	ȵe1	~点(一点点)
□	he1	~~笑
□	liu1	~时头明(早上)
□	tʰɛŋ1	~家(人家)
□	pau2	~□ɕioŋ²²(蜘蛛)
□	mau3	~□pi³³³³□tɕi²¹³(麻雀)
□	hau3	~米(淘米)
□	nin3	~子(蚊子叮起的泡)
□	nin3	~计(想办法)
□	kɛŋ3	~□tɕʰɛŋ³³³³(整齐)
□	loŋ3	~口(漱口)
□	pa4	~□la²¹(没有)
□	la4	~个(这个)
□	a4	~度(这里)
□	le4	~□fe²¹(不修边幅)
□	ŋən4	~□tsʰən²¹(啰嗦)
□	tɕʰɛŋ4	~□ŋæ³³³³子(等一会儿)
□	ɕø5	~石(磁石)
□	le5	~地、~泥(滚地)
□	tɕe5	~□pu²¹(这么)
□	ȵe5	~令(闪电)
□	min5	~水，~井(泉水)
□	mɛŋ5	~□(碗碟的缺口)
□	ti6	~下(陛下)
□	mu6	~量(估量)
□	liu6	~谷(玉米)
□	nən6	~个(谁)
□	tsʰu7a	~布(送给办丧事的布)
□	ly7a	~人(蜇人)
□	lo7a	~□hæ⁴²秋(打喷嚏)
□	tsʰəi7a	~牛(黄牛)
□	koʔ7c	~~(蜗牛)
□	ɕioŋ2	□pau²²~(蜘蛛)
□	p3	□mau³³~□tɕi²¹³(麻雀)
□	ka3	□pa⁴²~子(翻跟头;倒立)
□	tɕʰɛŋ3	□kɛŋ³³³³~(整齐)
□	pu4	□tɕe²¹³~(这么)
□	fe4	□¹e²¹~(不修边幅)
□	tsʰən4	□ŋən²¹~(啰嗦)
□	tsui5	□tsʰoŋ³³³³~(啰嗦)
□	ka6	□la³³³³~(什么)
□	hæ6	□lo²⁴~秋(打喷嚏)
□	ti3	一~(一点点)
□	lɛŋ3	一~棉衣(一身棉衣)
□	kua4	一~米(一把米)
□	kau4	一~砖(一块砖)
□	poŋ6	一~墙(一堵墙)
□	ø3	不理睬
□	me7a	不饱满
□	pʰa3	两臂平伸两手伸直的长度
□	oŋ5	两畦之间的地沟
□	kʰø1	个~两个(个把两个)
□	kʰoŋ4	人撞着物
□	tɕʰe6	介于稀和稠之间的稀饭
□	nia4	你(含责备义)
□	pai4	倒霉
□	ŋ̍5	倔勥
□	hø3	凶
□	kʰø2	刺(名词)
□	pʰəi3	单脚跳
□	tsa7a	压
□	la3	又:~ka²²(什么)
□	pʰau1	口水子~(围嘴儿)
□	miu1	叫猫回来
□	fæ5	叫动物回来
□	toŋ6	叫人站着不动
□	y5	吃腻了
□	ke3	吓着~(吓者了)
□	fiu4	吹~□fiu⁴²(吹口哨)
□	fiu6	吹□fiu²¹~(吹口哨)
□	poʔ7c	吻
□	ua3	呕吐
□	noŋ2	哄小孩
□	tɕʰɛŋ6	哈欠
□	la3	哪
□	y5	喂小孩吃饭
□	pʰoŋ1	四方形的锄头:用这种锄头除草
□	lin1	团团转
□	luæ2	圆形
□	ka5	坡
□	ioŋ1	埋
□	pai5	堵:围菜园
□	lui1	套在牲口嘴上的罩
□	həi1	女性性器官
□	tʰe5	好动
□	lo3	对~(对着)
□	ke6	小孩哭的尖叫声
□	tɕʰau6	小孩特别调皮
□	mɛŋ4	尾
□	ɛŋ1	庵
□	niu1	很粘稠
□	lia1	得到好处
□	jai6	性交
□	jø3	慢慢地插过去
□	ko3	我~书(我的书)
□	jø1	手脚冻僵的感觉
□	pa6	打
□	pʰiaŋ	打耳光
□	fe5	扔
□	lin5	扔进水里
□	kʰɛŋ6	扔
□	mæ1	扳动
□	poŋ1	把衣服上的脏物在别的东西上擦干净
□	mo5	披
□	ø4	抱
□	ɕua7a	抽打
□	ȵe5	拿
□	tia6	拿
□	ŋa6	挨着:挨上去来回摩擦止痒
□	toŋ4	捅
□	fɛŋ1	掀开
□	lia7a	掂
□	no1	揉
□	na4	提醒语气
□	næ4	提醒语气
□	ne4	提醒语气
□	ua6	摇
□	ma7a	擘
□	tsʰu4	收集、积累、整理、清理
□	sai7a	曾孙
□	lai1	最小，含轻视义
□	nø6	木头浸透水
□	ki1	栀
□	pʰo1	棵
□	tɕʰia	植物根系伸过界
□	kʰæ6	槛
□	jəi4	次等
□	mai3	歪
□	təi6	死
□	səi4	殴打
□	pu3	水~油(煤油)
□	moŋ3	没有牙齿咀嚼食物
□	pia4	没有
□	kʰɛŋ2	油、血凝结
□	poʔ7c	泡
□	ne2	火~了(火着了)
□	jəi3	烂饭
□	ȵau3	爪子
□	ma3	父亲
□	fe6	狐~(狐臭)
□	ɕuæ1	猛力投标、杆
□	ny1	猪
□	mau5	猪用嘴拱泥
□	piu6	猪用嘴拱泥
□	ŋø7a	猪叫声
□	ȵau3	猫
□	jæ1	用锨挖泥出来
□	lui1	用笼子套猪
□	ŋaŋ5	用力敲打
□	nɛŋ5	用针线缝起来
□	loŋ5	用肘或膝撞
□	hæ6	用力压
□	ləi5	畦
□	ky3	番~茄子(西红柿)
□	nø5	疲劳
□	jæ3	痂
□	kʰai6	病
□	nø1	痒感
□	soŋ2	痴呆
□	hau1	看住;看上
□	nia5	看
□	pa7a	眼睏:困了
□	tsʰy7a	睏
□	tʰɛŋ7a	石级
□	lui3	硬币
□	oŋ4	禾苗茂盛过头
□	tau2	绑
□	la7a	给
□	lo5	缝隙
□	loŋ5	翘起二郎腿
□	tsa5	肉
□	tsʰau5	肏
□	lai6	脖子上长出的肿瘤
□	pʰia3	脚瘸
□	tɕʰɛŋ6	脚抽筋;被电一下
□	ŋa7a	腭
□	nai5	船或竹排连在一起或靠岸系稳
□	ni5	蒂
□	noŋ6	裆
□	kæ3	象~子(棋子)
□	lø6	赶、追
□	læ	跌
□	kʰæ6	跨
□	no7a	踩住搓
□	ȵoŋ1	蹲
□	pø6	躲藏
□	tɕuæ3	近~(东西集中作一堆)
□	ȵoŋ2	酒烟茶等味浓
□	kʰø6	醭、上白
□	mɛŋ5	钝
□	tsʰa4	镲
□	lɛŋ7a	陡
□	noŋ1	食物焦了
□	tɕʰau3	饶
□	suæ3	鱼笱
□	pʰoŋ2	鸡~~(鸡装食物的囊)
□	pi2	鼻~(鼻涕)
㩳	sø3	
㪗	tʰa3	
㯱	mø2	松软
䅦	mau3	
䘆	ɕin3	蚯蚓
一	i7a	
丁	lɛŋ1	
七	tɕʰi7a	
万	uæ6	
丈	tia6	丈量
丈	tɕʰæ6	丈夫
三	sæ1	
上	ɕæ4	
下	ho4	
不	pu4	
与	y4	给与
丑	tɕʰiu3	
專	tɕø1	
且	tsʰe3	
世	ɕi5	
丘	kʰiu1	姓
丙	pɛŋ3	
業	ȵe5	
叢	tɕʰoŋ2	
東	lø1	
絲	sɿ1	
丞	tɕʰɛŋ2	
兩	lia4	两斤
兩	lia3	斤两
嚴	ȵe2	
喪	soŋ3	
个	ko5	
丫	o1	
中	tɕoŋ1	当中
中	tɕoŋ5	打中
丰	fø1	
串	tsʰø5	
臨	lin2	
丸	uæ2	
丹	læ1	
爲	ui6	为什么
爲	ui2	作为
主	tsy3	
麗	li6	
舉	ky3	
乃	nai4	
久	tɕiu3	
義	i6	
