#漢字	音標	解釋
□	iak8	
□	ȵia1	“你阿”的合音
□	nɔŋ3	“那样”的合音
□	tʰɛn3	一担的一边
□	tiam5	一陷一陷地种菜仔
□	ɬəm5	下雨天到处乱逛
□	tʰiam5	与斜合用有斜义,~斜
□	tap8	乱说话
□	kap8	乱说话
□	laŋ5	事物相连
□	kʰau1	人、动物个子小/接
□	sɛn1	人性情平和善良
□	piau2	人喜好讲话
□	tsʰɛn5	伤痛引发身体其它部位也疼痛
□	kɛm1	低垂
□	kam2	低陷
□	kɛm2	低垂
□	pʰaŋ5	作物果实不精实
□	ləp8	使人怕己/捡条状物
□	ɛn3	侧面向前突出
□	kʰuoŋ3	倒出来
□	liap8	倒液体时沿原盛器物外壁流出
□	tsʰɔt7	做事欠考虑
□	jɛm5	偷偷地走
□	tsak8	偷窥/压
□	tiak8	偷遛
□	han1	傻、不正经
□	tsɔt7	傻
□	tɔk7	傻
□	ŋɔk7	傻
□	lai5	儿子
□	lɛp7	兜揽/量词:碗状物叠起来成一柱即一~/兜住
□	kat8	冰冷
□	tsɛp7	凹陷下去/减少
□	ȵap7	出汗后的不舒服感/不喜欢/屈手指数数
□	ŋan1	刚刚
□	ɬiam1	刺痛感
□	tɔk8	剁
□	pʰɛ1	削
□	hɔt8	剧烈运动、劳作后的累感
□	naŋ1	厉害
□	faŋ3	压着的棒头、篾头等翘起
□	tɛp8	压住
□	pʰən1	厚
□	pʰun1	厚
□	tsʰɛn1	发出呻吟声
□	ŋaŋ2	发呆
□	hɛm3	发出咳嗽声做信号
□	ɬa2	叔~:各位叔叔
□	təm2	叨唠
□	pəp7	叨唠
□	ŋap7	台阶的级
□	sɛ1	吃,含贬义
□	ŋam1	合适/交情深/磕
□	fɔt8	吸
□	ɬɔk8	吸气
□	nɔŋ1	呻吟
□	ȵai5	咀嚼
□	ŋat7	咬
□	kʰɛm3	咳嗽
□	ŋɛ1	哭
□	lɛi5	唤牲畜、家禽
□	ȵim1	商谈
□	ȵai3	啰嗦
□	sɔt7	喝
□	ɛm3	围拢
□	nun5	在水中或黑暗中试探性地前行
□	tuət8	地面上的突处
□	tʰɛp8	坚实
□	tuət7	坠
□	tɛm1	垂直方向的靠近或接触
□	tɛm2	垂直方向的靠近或接触
□	tɛm5	垂直方向的靠近或接触
□	mok8	埋
□	ləm5	塌陷/流产:~胎
□	tsuət7	塞
□	tʰun2	填泥沙到低处
□	kʰia1	大筷夹菜
□	kuai2	大声喊
□	hɛp7	大口地喝
□	na1	头~
□	hai1	女阴
□	faŋ2	威风
□	va1	家
□	kʰua1	家
□	ua1	家
□	vaŋ3	家具架上的横木
□	sɛi5	容易、轻松
□	tɛp7	对接
□	lɔi5	小洞
□	lak7	小溪沟/阻拦/给压岁钱、利市钱
□	tiɛt8	屈手指弹出
□	pɛ5	屎
□	jai2	差劲
□	ɬɛm3	差劲
□	tsʰɛm5	差劲
□	mak8	帅/打篮球防人
□	ɬo5	干硬物变松散
□	lɔk7	应付
□	tok7	底
□	tsʰɛp7	开涮/动词:提起来又往下插
□	jɛp7	引诱
□	kəp8	张大嘴迅疾地咬
□	ȵin1	很
□	tou5	很好
□	tsuət8	很饱
□	hɛt8	心脏不好的累感
□	pɔn2	忘恩负义、赖皮/把袋子往外翻
□	ȵan1	忙/紧张
□	ɬɛi2	忧愁
□	tsʰɔt8	快速擦出
□	sɔt8	快速喷射出
□	ɬan2	怕
□	nɛm1	恶心/探手进去
□	nɛm3	想/一种野果
□	lui5	想/怕
□	tsʰɛ5	感染或传染
□	luət7	慢慢滑下
□	na5	扁~~
□	lɛp8	扁状的篮子
□	kia1	手因冷冻而麻木
□	kʰuai3	手肘处歪
□	vɔi5	手工纺纱的用具
□	pak8	扎、刺
□	pʰɛ1	扑克
□	pʰɔŋ1	打
□	pai2	打屁股
□	ɬau2	打
□	fit7	扬
□	fit8	扬
□	ȵio1	把纸、布等揉成团
□	pʰɔn1	把袋子往外翻
□	pʰaŋ1	把四肢张开
□	hɔŋ1	把物件挂带在身上
□	lɛm2	把散落物聚集起来
□	tsɛm2	把散落物聚集起来
□	tat7	把一段大竹粘连地劈,展开后成的块状物
□	pat8	把糊状物甩到他物上
□	piɛt8	把水喷出
□	tiu3	抓搔
□	tsau2	折
□	pʰɛp7	拍打
□	paŋ1	拔
□	kʰɛp7	拘扣/盆状物罩住
□	jak8	招手
□	tʰiaŋ1	拟敲金属声
□	niaŋ1	拟敲金属声
□	poŋ2	拟爆炸声
□	mɛ3	拟牛叫声
□	pʰoŋ3	拟爆炸声
□	tiaŋ5	拟敲金属声
□	niaŋ5	拟敲金属声
□	kʰiaŋ5	拟敲金属声
□	poŋ5	拟物落水声
□	uoŋ5	拟狗吠声
□	həp7	拟重物落地声
□	liɛt7	拟撕纸声/撕
□	tak7	拟大雨打物声
□	tʰiak7	拟打算盘声
□	tsɛp8	拟咂嘴声
□	pɔt8	拟放屁声
□	kuɛt8	拟放屁声/精明
□	tak8	拟敲打硬物声
□	piak8	拟拍掌声
□	pʰiak8	拟拍掌声
□	tʰiak8	拟打算盘声
□	nak8	拿
□	kʰak8	拿/量词:节/梯的一步
□	kʰuan3	挑子仅一头有物
□	kʰɛm5	挡车轮水的盖
□	naŋ3	挣扎
□	fak7	挣扎摆动
□	tsun1	挨绳、鞭、树枝等抽出的痕迹
□	tʰun5	挪腾出、调济
□	nɔt7	挪
□	tʰɔk8	捡零星的东西
□	ɬui2	捶
□	noŋ3	推
□	maŋ1	掰
□	maŋ5	掰
□	lap7	揽
□	noŋ5	搅拌
□	miak8	搧巴掌
□	tʰɛn5	搭配得好/理睬
□	min5	摇晃头部
□	ŋok7	摇摆使其动
□	ŋok8	摇摆使其动
□	təm5	撞
□	vai3	播洒颗粒状物
□	ɬam3	播撒
□	pin3	擦拭屁股
□	ŋɔt7	擦碰
□	lɛ1	放在水中卡鱼的网
□	kʰaŋ5	故意刁难
□	ɛp7	敷药
□	jak7	晃来晃去
□	iak7	晃来晃去
□	ŋuət7	晕
□	tʰak8	暗中拍打以提醒
□	piɔŋ1	木板
□	mɛn2	未曾
□	tʰɔŋ1	杀
□	pɔk8	杀
□	mɔk8	杀
□	niau2	杆状物不够硬
□	vaŋ1	果实呈球状的黍类作物
□	kʰua3	枝
□	lim5	柑橘柚果子的一瓣叫一~
□	kuaŋ1	梯子的横木
□	ɔt7	横推
□	ho1	欣赏
□	hɛ1	欺负
□	ȵɛi5	求人
□	ȵia1	沾染
□	kuan3	波浪涌上来
□	fɛp7	波浪涌动
□	nok8	泥泞
□	pɔŋ5	液体在容器中荡出的声音
□	ȵia5	渣
□	kʰəm2	游泳
□	lin1	滚动
□	kʰam2	火烤
□	mɔi1	灰尘
□	ləŋ1	灵敏/车轮支撑外胎的钢圈
□	kʰan5	焦/粉尘弥漫/浓臊味
□	ɬap8	煮整个红薯、芋头
□	paŋ3	爆炸声
□	ȵɛ5	牲畜肉
□	kʰuaŋ5	猛扔出去
□	ɬɔŋ1	生猛而带有攻击性
□	moŋ1	生物长得粗壮/吃干松的熟芋的口感
□	tsʰan1	用手掌猛推
□	ɬiu2	用鞭抽
□	tsʰam2	用针状物扎
□	nun3	用手指脱玉米粒/打扮/烹调/艺术设计等
□	lam5	用棒打
□	ȵam5	用姆指与食、中指度量
□	ȵiam5	用姆指与食、中指度量
