#漢字	音標	解釋
□	tʰᴀ1	(动物)嘴里叼着
□	kʰuɛ1	(鞋子等)松
□	ȵie1	(小孩子)呻吟以引起别人注意
□	tɦᴀ2	(藤)蔓延
□	kɦuᴀ2	(衣服)不合身
□	hɛ3	(谷子)瘪
□	fɛ5	(水)滚
□	pʰɔ5	(路)颠簸不平
□	ho5	(眼)半闭
□	tʃʰyɒ~5	(颜色)艳丽
□	kɦɔ6	(双腿)交叉
□	sɦuəŋ6	(东西)放置
□	miᴀʔ7	(用拇指和食指)拧
□	ȵyoʔ7	1有褶皱,不平整
□	ŋɦᴀ2	
□	kɦiɛ2	
□	yoʔ7	2有褶皱,不平整
□	tsʰɿ3	
□	pe3	
□	tɕie3	
□	hoŋ5	
□	lɦiɔ6	
□	ɦiɔ6	
□	təʔ7	
□	tʰəʔ7	
□	tsəʔ7	
□	tsʰəʔ7	
□	səʔ7	
□	kəʔ7	
□	kʰəʔ7	
□	tɕiəʔ7	
□	ʃyoʔ7	
□	lɦəʔ8	
□	tɕʰiᴀ~1	lɦəʔ˩~:鱼名,似墨鱼而小
□	ɕiᴀ~1	tiaŋ˥~:耳环
□	tsᴀ~3	tsÃ˩kÃ˩ɦm˩꜒:干什么
□	ȵɦiᴀ~6	tʰiaŋ˥~:明天
□	tsɿ1	~虫:孑孓
□	sɿ1	~扳:拧螺丝的工具
□	tɕi1	~手:左手
□	u1	~嘴:亲嘴
□	u1	~颅头:脑袋
□	tʃʮ1	~夏:立夏
□	kᴀ1	~掠儿:头箍
□	ɕiᴀ1	~意:惬意
□	sɛ1	~粉:生粉
□	kuɛ1	~衫:外套
□	tɕie1	~……好:对……好
□	tɕʰie1	~儿:织毛衣的针
□	tsɔ1	~蟀:蟑螂
□	po1	~口:(笋等)涩
□	ho1	~腰:弯腰
□	tɕʰio1	~火:不点火而从其他火源得到火
□	hio1	~背:驼背
□	sɒ~1	~砧板:砧板
□	tʃyɒ~1	~钳:老虎钳
□	pʰəŋ1	~松
□	tiəŋ1	~ɕiÃ˩꜒:耳环
□	tʰiəŋ1	~ȵɦiÃ˥:明天
□	tɕʰiəŋ1	~糕:一种点心
□	iəŋ1	~光/~打光:精光
□	tuəŋ1	~儿:笠帽
□	tʰuəŋ1	~皮:蜕皮
□	tɦi2	~~:特地
□	tɕɦi2	~身:身体
□	ŋɦᴀ2	~猪油:熬猪油
□	mɦɛ2	~新妇:闹洞房
□	kɦiɛ2	~腮:腮
□	mɦie2	~腰:下腰
□	ȵɦie2	~情:人情
□	mɦø2	~童鱼
□	mɦo2	~餐
□	ɦio2	~意:合意
□	mɦᴀ~2	~坑:粪坑
□	ɦiᴀ~2	~火:萤火虫
□	mɦəŋ2	~床:床
□	ɦiəŋ2	~儿:青蟹
□	li3	~□
□	tɕi3	~日:今天
□	hu3	~□[m꜔꜒]:蚂蚁
□	lᴀ3	~泼:泼辣
□	tɛ3	~竹:淡竹
□	tsɛ3	~发:刘海
□	kiɛ3	~枣
□	tɕie3	~豆:蚕豆
□	tʰio3	~气
□	io3	~□
□	tsʰəu3	~筋:伤筋
□	tɕiᴀ~3	~le˧:痘痘
□	həŋ3	~鼻头涕
□	suəŋ3	~儿:色子
□	tʰe5	~毛
□	lɦi6	~清:清楚
□	pɦu6	~鸪:鹧鸪
□	ȵɦiɛ6	~姨:母之姐妹
□	kɦiɛ6	~饺:包饺子
□	tɦe6	~被:将被絮装进被套
□	lɦe6	~倒:摔倒
□	ȵɦiɔ6	~tɕiaŋ˧:耳光
□	kɦo6	~觉:睡觉(儿语)
□	tɕɦio6	~背:驼背
□	lɦiəu6	~皮:因烫伤而脱皮
□	nɦᴀ~6	~泥:泥土
□	ȵɦiᴀ~6	~糕:一种点心
□	tʃɦyɒ~6	~车:两人同坐一辆自行车
□	mɦoŋ6	~蚣:蜈蚣
□	kɦoŋ6	~脓:溃脓
□	tɕiəʔ7	~箩:放粮食的大竹篓
□	tɕiəʔ7	~□
□	tɕʰiəʔ7	~淡:很淡
□	kiəʔ7	~热头:晒太阳
□	kiəʔ7	~蜢:蚱蜢
□	tʰoʔ7	~嫩:很嫩的样子
□	oʔ7	~人相:害羞的样子
□	tɕɦiəʔ8	~得:想(做)
□	mɦoʔ8	~电:触电
□	sɦoʔ8	~日:昨天
□	kɦoʔ8	~夜:熬夜
□	ɦu2	□
□	mɛ3	□[li˧˩]~:过去的不久之后
□	le3	□
□	tɕiəŋ3	□[ȵɦiɔ˩]~:耳光
□	ṁ3	□[hu˩˥]~:蚂蚁
□	tɦᴀ6	□[io˧˩]~:哪里
□	kiəʔ7	□
□	koʔ7	□
□	ɦi2	一种肉眼几乎看不见的小虫,被咬了会很痒
□	tɕʰiᴀ~3	一会儿
□	kɦəŋ6	一~:拇指和中指撑开的最大距离
□	koʔ7	一种烹饪方法,稍微烤一下
□	tʰəŋ1	不好
□	fe5	不想,不会
□	ɕiɔ5	不要,别
□	fɦoŋ6	不用("弗用"合音)
□	tʃyɒ~1	两手或多人用力按住
□	mɦø2	严实无孔,堵塞不通:~烟,~裆裤
□	hᴀ5	中间:饭~
□	ᴀʔ7	也
□	tsɦᴀ~2	争着要
□	kʰoŋ5	亏本
□	ɦe6	们
□	nɦᴀ~2	伸(手等)
□	tɦᴀ2	似团箕而四周高的圆形竹制农具
□	oŋ5	低(头)
□	tɦɛ6	低
□	tɕiəʔ7	侧
□	tɕʰiɔ3	便宜
□	tɕʰiᴀ3	倒(茶、酒等)
□	pɦe2	偏要
□	tᴀ5	停(车)
□	ȵɦiəŋ2	冰~:(手脚等)冰凉
□	piəŋ1	冻~:冻疮
□	tɕɦiᴀ2	凑热闹
□	tio5	凑(钱)
□	ȵɦiəʔ8	刀子的缺口
□	kɦᴀ6	切,割
□	tɕʰio5	刚刚
□	pʰiᴀʔ7	剖
□	ɦue6	勤快
□	fɔ3	勿好:不好
□	kᴀ5	半天
□	sɦɒ~6	厉害
□	ɦi2	又
□	kɦɔ2	叉
□	tɒ~5	双手用力托起
□	te3	口角
□	tø3	口小肚大的缸类容器
□	tʃʮ5	古~:古板
□	kɦᴀ~2	吃,不怎么正式或用于骂人或用于畜牲
□	sɦuəŋ2	吮吸
□	hu1	吸食
□	tʃʰʮ3	呒~:不能
□	kɔ5	呒~:没什么,没关系
□	toʔ7	咒骂
□	sɦᴀ2	咧(嘴)
□	iəu5	哄小孩子睡觉
□	lɒ~5	响铃声
□	tɦᴀ2	哭
□	hɛ3	喉咙
□	həŋ5	嗅
□	mi5	嘴等紧闭
□	liəŋ5	回(头)
□	tɕɦiəŋ6	因病禁忌
□	tɕiᴀ~1	在
□	tɕɦie2	在门框边上塞上东西使掩着且不关死
□	pʰe3	在一堆东西中找某物
□	tsʰɔ5	在很多东西中挑拣
□	ɦuᴀ~6	在附近特地过去
□	kɦɔ2	坏
□	nɦɔ6	坐在软物上身体上下抖动
□	tʰi3	垫
□	u5	埋,葬
□	tɕiəŋ1	塞住
□	ɔ1	大声喊
□	pʰᴀ~1	大~碗:海碗
□	tʃʰʮ5	大~:傻子
□	ko5	天~:天气
□	pʰiᴀʔ7	女阴
□	nəŋ5	如此,这么,表不如意
□	pᴀ~5	妨碍
□	kɦᴀ~6	妨碍
□	ɦy6	宠小孩
□	ɦio6	宠,放任(小孩子)
□	huoʔ7	害怕
□	tʰuəŋ1	容器底部脱落
□	loʔ7	宽~~:(鞋子等)宽松的样子
□	nɦəu2	将脏东西弄出来:~衣裳
□	ɕie1	小孩子顽皮不听话
□	ȵie1	小幅度倾斜
□	ᴀ~1	小幅度转、移
□	lɦɒ~2	小气
□	pɔ5	小孩子胡闹
□	lɦᴀ6	小孩子硬要什么东西
□	tɒ~5	尥得~尥勿~:够得着够不着
□	pɦe6	就
□	mɛ1	很,挺
□	ɦio6	很
□	nɒ~3	戳
□	ti1	打~头:翻跟斗
□	ɦuᴀ2	打~泅:游泳
□	huɛ3	打结
□	huᴀ~3	打架
□	toŋ3	打~:打嗝
□	tʃʰyoŋ5	打瞌睡冲性格鲁莽
□	pɦᴀ~2	扔
□	tø5	扔
□	lø5	扔
□	pʰᴀʔ7	扯,掰,分开
□	fɦɒ~2	扶着使不倒
□	iᴀ1	批评
□	tɕɦiɔ2	批发
□	tɕʰiɔ1	抄饭匙
□	pɦi6	把鞋底的泥~掉
□	pɦi6	把固体食物用饭压成饼状
□	kɦuᴀ~6	把门关死
□	tɛ3	抚摸
□	e5	拄
□	te3	拉
□	lɦᴀ6	拉(屎尿)
□	ŋɦᴀ6	拖(时间)
□	ɦɒ~2	拟声词,狗叫声
□	lɦiəʔ8	拧(毛巾等)
□	lɦəu6	按纹路切开
□	lio1	挖(鼻子等)
□	tuəŋ3	挡
□	nᴀ~5	挣扎着起来;~气:争气
□	tsʰᴀ~5	挣(钱)
□	kɦiɛ6	挤
□	tsɔ3	捋(衣袖)
□	ɕiɔ1	掀
□	ȵiəu1	掐,拧(皮肉)
□	kʰɔ3	接近:~十岁
□	fɛ3	推
□	ȵɦyoʔ8	揉,用力搓
□	kʰu1	搂
□	liəu3	搅拌
□	ɦyɒ~6	摇晃
□	pio1	撅(嘴)
□	ho3	撒(种)
□	tsʰe3	撕
□	tɕiɔ3	擦拭
□	ɕiəʔ7	放置
□	ɕie5	教
□	huᴀ3	敞开上衣或踢掉被子
□	kɦɒ~6	旷(课,工)
□	iᴀ~5	晃
□	pʰiəŋ1	晒谷用的竹簟
□	lɦɒ~2	晒(衣服等)
□	tsɦɿ2	服丧期间死者儿子、儿媳所佩的麻线
□	tɕɦiɔ2	架(床板等)
□	kɦɒ~6	架起来
□	ȵɦiᴀ~2	核
□	tʃɦyɒ~2	根
□	iᴀ1	桑~:蝉
□	ɦu2	桑~:桑葚
□	tɕʰiəu1	橡皮~:扎头发用的皮筋
□	fɦᴀʔ8	次
□	fɛ5	欲吐
□	mᴀ1	歪
□	tɕɦie2	歪
□	ie5	比量(长短)
□	lɦi2	毛癞~:一种植物,旧俗七月七用其叶榨汁洗头
□	tɕʰiəu1	水慢慢渗进(皮肤等)
□	sɦɛ2	水~:豆腐鱼/龙头鱼
□	lɦoʔ8	水煮(饺子等)
□	ləu3	汁液
□	lɦi6	浪~:浪费
□	ɦuoʔ8	淋巴
□	sᴀ~5	渗出
□	loʔ7	漱(口)
□	yoŋ1	灰尘多
□	ȵɦiɛ2	灰尘之类堆积
□	kʰᴀ1	点(火柴)
□	lɦɔ6	点(头)
□	koʔ7	烤:~火
□	hy5	热~:痱子
□	tɕɦiəʔ8	照顾(病人)
□	tsʰɔ5	牙齿不齐
□	pɦo6	牙齿往外突出
□	ne5	犹豫
□	suəŋ3	猪脚蹄~儿:猪蹄
□	tɕʰiᴀ~5	现在
□	kie5	珍惜某物使不丢失或损坏
□	lɦiəu2	田~~:蜗牛
□	kɦɒ~2	田间道路或田边可种植农作物的高地
□	ie3	痂
□	tsoʔ7	痹~:(手脚等)发麻
□	sɦᴀ6	瘦
□	tio1	盛(饭)
□	tsɿ5	盛,装
□	tɕʰie5	看
□	kiəʔ7	眨(眼)
□	tʃʮ1	短~~:短貌
□	tɦɛ2	短时间内用火直接烤
□	kʰiɛ3	穷困
□	tɕi5	穿(裤子或裙子)
□	tɦᴀ2	笼~:用于分开稻谷和稻秆的圆形粗眼竹制农具
□	pe5	米~:用于晾晒粮食的圆形竹制容器
□	nuəʔ7	粒
□	e5	粪便
□	noŋ5	精神萎靡的样子
□	toŋ1	红~柿:柿子栋
□	koŋ3	线~:线轴
□	tiɔ5	绑
□	pᴀʔ7	给
□	hᴀʔ7	缝(被子)
□	tɕɦiɔ6	缠着
□	pɦᴀʔ8	老~娘:尼姑
□	sɦɿ2	耳朵~:耳垂
□	pɦᴀ~6	肋~骨:肋骨
□	kʰue5	脚~头:膝盖
□	nɦəu2	腌:~盐菜
□	tɕiəu1	臭虫
□	ɕiəu3	茭~:茭白
□	lɦoŋ2	菠~菜:菠菜
□	he1	蓬松
□	tɕiəu3	虾~弹:虾蛄
□	səu1	蛀(牙)
□	sɦᴀ2	衣服偏大,不合身
□	ɕiᴀ1	表加深程度:~薄
□	pᴀ~1	表加深程度:~硬
□	ɔ3	表应答
□	tɕiəu3	表加深程度:~韧
□	kuoʔ7	裂开
□	iəʔ7	要
□	ho3	解下(首饰等)
□	hɒ~3	询问用词
□	tɕɦiᴀ6	诱惑但不给
□	ʃɦyoŋ6	说起
□	tsɦɔ6	调换
□	ȵɦi6	谜语
□	sɔ5	豪~:舒服
□	uᴀ1	贪心
□	tɕʰie3	起来
□	pɦiᴀʔ8	跑
□	pɦɛ2	跨
□	tsʰo3	踩踏
□	iəu5	躲藏:~猫□
□	mᴀʔ7	躲藏
□	lɦi2	车
□	ɦiəŋ6	轻微地摇晃
□	tø5	还价
□	nəŋ3	这样
□	tʰɒ~1	逛:~马路
□	pɦᴀ6	遗失
□	kᴀ3	那:~个
□	ɕɦi2	量词,一小段:一~带鱼
□	kuɛ3	量词,一~虾
□	iɔ3	量词,条;~裤:裤子
□	ko3	量词,瓤:一~西瓜
□	kiəʔ7	量词,瓣:一~桔
□	tɦɛ6	金~:金橘
□	tsɦᴀ~6	钻、塞
□	lɒ~1	铃铛
□	suəŋ5	陡峭
□	u5	食物煮熟后焖着使熟透
□	tɕiəŋ3	饭等烧熟之后重新烧一下使熟透
□	hᴀʔ7	饿
□	sɦɿ2	马~:蚂蟥
□	sɦø6	骗
□	tɕiəu3	鲤~:鲤鱼
□	miəŋ3	鹅~石:鹅卵石
㩧	tsɛ5	摇动或簸动,使器物中的东西调匀,或将尘土、皮壳和秽物扬去
㬹	tsᴀ~1	手~头:胳膊肘
䠀	tɦɒ~6	闲逛,散步:~马路
䬼	tɕie3	盖子,盖住
一	tʰəʔ7	
一	kəʔ7	
一	iəʔ7	
一	tɦəʔ8	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	fɦɛ6	
丈	tɕɦiᴀ~2	
三	sɛ1	
上	sɦɒ~2	~山
上	sɦɒ~6	~面
下	tɦe6	
下	təʔ7	
下	tsəʔ7	
下	kʰəʔ7	
下	ɕiᴀ5	~降
下	o3	底~
不	pᴀʔ7	
不	təʔ7	
与	y3	
丐	kie5	
丑	tɕʰiəu3	
專	tsø1	
且	tɕʰiᴀ3	
丕	pʰe1	
世	ɕi5	文
世	ʃʮ1	观~音
丘	tɕʰiəu1	
丙	piəŋ3	
業	ȵɦiəʔ8	
叢	sɦoŋ6	
東	toŋ1	
絲	sɿ1	
丞	ɕɦiəŋ2	
兩	liᴀ~3	~个
兩	liᴀ~3	斤~
嚴	ȵɦie2	
並	pɦiəŋ2	
喪	sɒ~1	~失
喪	sɒ~1	婚~
个	ku1	~人
个	kie5	一个
个	kəʔ7	文
丫	iᴀ1	(文)~头
丫	o1	(白)~头
中	ue1	
中	tɦe6	
中	tʃyoŋ5	射~
中	tʃyoŋ1	当~
丰	fəŋ1	
串	tsʰø5	
臨	lɦiəŋ2	
丸	ɦue2	
丹	tɛ1	
爲	ɦy6	
爲	ɦue2	作~
爲	ɦue6	文
主	tʃʮ3	
麗	lɦi6	
舉	ky3	
乃	nᴀ3	
久	tɕiəu3	
義	ȵɦi6	
之	tsɿ1	
烏	u1	(火、灯)熄灭
乍	tso5	
乎	hu1	
乏	fɦᴀʔ8	
樂	lɦoʔ8	
樂	ŋɦoʔ8	音~
喬	tɕɦiɔ2	
乖	kuᴀ1	
乖	huɛ1	
乘	tɕʰiəŋ1	~车
乘	ɕɦiəŋ2	~法
乙	iəʔ7	
九	tɕiəu3	
乞	tɕʰiəʔ7	
也	iᴀ3	
習	ɕɦiəʔ8	
鄉	ɕiᴀ~1	
書	ʃʮ1	
買	mᴀ3	
亂	lɦø6	
亂	ɦiɔ6	
亂	tʰəʔ7	
乳	ʃɦʮ2	
乾	tɕɦie2	~坤
了	liɔ3	~结
爭	tsᴀ~1	
事	sɦɿ6	
二	ȵɦie6	
二	ȵɦi6	文
二	ɦṅ6	白
于	ɦy6	
虧	kʰue3	
云	ɦyŋ2	
互	ɦu6	
五	u3	文
五	ŋ̇3	白
井	tɕiəŋ3	
亞	iᴀ5	文
亞	o5	白
些	ɕiəʔ7	
亡	fɦɒ~2	
交	kɔ1	
亥	e3	
亦	iəʔ7	
產	sɛ3	
亨	hᴀ~5	
畝	mio3	文
畝	ṁ3	白
享	ɕiᴀ~3	
京	tɕiəŋ1	
亭	tɦiəŋ2	
亮	lɦiᴀ~6	
親	tɕʰiəŋ1	
親	tɕʰiəŋ5	~家
人	ȵɦiəŋ2	
億	i5	
仁	ɕɦiəŋ2	
僅	tɕɦiəŋ6	
仆	pʰoʔ7	~倒
仆	pʰoʔ7	~人
仇	tɕɦiəu2	
仇	tɕɦiəu2	姓
今	tɕiəŋ1	
介	kᴀ1	~绍
介	kᴀ5	中~
仍	ȵɦiəŋ2	
从	sɦoŋ6	~容
从	sɦoŋ2	跟~
倉	tsʰɒ~1	
仕	sɦɿ2	
仗	tɕɦiᴀ~2	~义
仗	tɕiᴀ~5	打~
付	fu5	
仙	ɕie1	
代	tɦe6	
令	lɦiəŋ6	
以	i3	
以	təʔ7	
儀	ȵɦi2	
仰	ȵiᴀ~3	
仲	tʃyoŋ5	
件	tɕɦie2	
價	ko1	~钿:价钱
價	ko5	高~
任	ȵɦiəŋ2	
任	ɕɦiəŋ6	责~
份	fɦəŋ6	
仿	fɒ~3	(白)~效
仿	fɒ~3	
仿	fɒ~3	~佛
企	tɕʰi3	
伊	i1	
伍	u3	文
伍	ŋ̇3	白
伏	fɦoʔ8	
伏	pɦu6	~小鸡
伐	fɦᴀʔ8	
休	ɕiəu1	
衆	tʃyoŋ5	
優	iəu1	
伙	hu3	
會	kʰuᴀ1	(文)~计
會	kue1	(文)~计
會	ɦue6	一种民间的小型经济互助活动
會	ɦue6	不~
會	ɦue6	开~
傘	sɛ3	
偉	ue3	
傳	tsɦø2	~达
傳	tsɦø6	~记
傷	ɕiᴀ~1	
倫	lɦuəŋ2	
僞	ɦue6	文
伯	pᴀʔ7	
估	ku3	~计
伴	pɦø2	
伶	lɦiəŋ2	
伸	ɕiəŋ1	
伺	sɦɿ6	
似	sɦɿ2	
似	fɒ~3	
似	lɦəʔ8	
佃	tɦie6	白
但	tɦɛ6	
佈	pu5	
位	ɦue6	文
位	ɦy6	白
低	ti1	
住	kʰo5	
住	tʃɦʮ6	
佐	tsəu3	
佑	ɦiəu6	
體	ɦiᴀ~2	
體	tʰi3	
體	təʔ7	
佔	tɕie5	
何	ɦo2	
佘	sɦo6	姓
余	ue1	
余	ɦy2	
佛	fɦᴀʔ8	
