#漢字	音標	解釋
□	mai2	~共,纵~,表示让步
□	ʂʅ3	~慌,表示很累
□	sɿ5	~期,发霉
□	tɕʰiai5	一种农具,铁~
□	tɕʰuʌʔ7	动词,欺骗,欺负
□	tʰɨʔ7	叹词“日~嘚”中“他”的读音
□	piəŋ3	否定词,不,别
□	tei3	在口头词“日特~”中出现,表示惊讶
□	luʔ7	好像,~似
□	ʂʌʔ7	干涩,不光滑
□	luai1	程度副词,很,特别
□	tɕyai3	辱骂
□	tʂei3	这,这么
□	nei3	那,那么
□	naŋ5	鼻子不通气
㪕	tʂʰau5	~起棍子
㬤	tɕʰi5	
㿭	tʂʰʌʔ7	㿭皴
䀇	ku3	
䍉	tʂa3	碗上有~兒
䥛	tɕiʌʔ7	鐮刀
一	iʔ7	
丁	tiəŋ1	
七	tɕʰiʔ7	
万	vai5	
丈	tʂaŋ5	
三	sai1	~个
上	ʂaŋ5	
下	ɕiɐ5	~降
下	ɕiɐ5	底~
不	pɨʔ7	
与	y3	给予
丐	ka5	~帮
丑	tʂʰəu3	
專	tʂuai1	
專	tʂuai5	
且	tɕʰiʌʔ7	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piəŋ3	
業	iə5	
叢	tsʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiəu1	
兩	liaŋ3	几~
兩	liaŋ3	数量词
嚴	iai2	
喪	saŋ5	~失
喪	saŋ1	婚~
个	kʌʔ7	~人
丫	iɐ1	
中	tʂuəŋ1	~间
中	tʂuəŋ5	射~
丰	fəŋ1	
串	tʂʰuai5	
臨	liən2	
丸	vai2	
丹	tai1	
爲	vei5	
爲	vei2	作~
主	tʂʯ3	
麗	li5	
舉	tɕy3	
乃	na3	
久	tɕiəu3	
麽	iau1	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂɐ5	~一瞧
乎	xu1	
乏	fɐ2	
樂	lʌʔ7	
樂	yʌʔ7	~器
乒	pʰiəŋ1	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kua1	
乘	tʂʰəŋ2	
乙	iʔ7	
九	tɕiəu3	
乞	tɕʰi2	
也	iə3	
習	ɕiʔ7	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	ma3	
亂	nuai5	
乳	ʐu3	
乾	tɕʰiai2	乾坤
了	liau3	~解
爭	tʂəŋ1	
事	ʂʅ5	
二	ɺ5	
于	y2	
虧	kʰuei1	
云	yən2	
互	xu5	
五	u2	
井	tɕʰiəŋ3	
亞	iɐ5	
些	ɕiə1	
亡	vaŋ2	
交	tɕiau1	
亥	xa5	
亦	i5	
產	tʂʰai3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liaŋ5	
親	tɕʰiən1	~密
親	tɕʰiən5	~家
人	ʐən2	
億	i5	
什	ʂʅʔ7	~物
仁	ʐən2	
僅	tɕiən3	
仆	pʰu2	
仆	pʰɨʔ7	倒
仇	tʂʰəu2	
仇	tɕʰiəu2	姓
今	tɕiən1	
介	tɕiə5	
仍	ʐəŋ2	
从	tsʰuəŋ2	
