#漢字	音標	解釋
一	it7	文读
一	ʒiaʔ8	白读
七	ʃit7	
万	man1	
三	ta1	
上	tʃio4	
下	ɛ4	
世	ti5	
業	ŋiap8	
東	ɗoŋ1	白读
東	ɗaŋ1	文读
絲	ti1	
丟	tiu1	
兩	lio3	
嚴	ŋiam2	
个	kai2	
中	toŋ1	
丰	oŋ1	
主	tu3	
舉	ki3	
義	ʒi4	
烏	u1	
九	kau3	
習	tʃip8	
書	tu1	
買	voi3	
亂	lui1	训读
亂	luan4	文读
爭	tʃɛ1	
事	ʃi4	
二	noi4	~个
二	ʒi1	第~
虧	hui1	
雲	un2	白读
雲	ʒun2	文读
五	ŋou4	
井	tʃɛ3	
交	kiau1	
產	tua3	
亮	liaŋ4	
親	ʃin1	
人	naŋ2	
倉	ʃo1	
付	ɸu4	
件	kin4	
任	ʒim4	
休	hiu1	
優	iu1	
會	ui4	
傘	tua5	
傳	ʃuan2	
傳	tuan4	
傷	tiaŋ1	
位	ui4	
低	ɗoi2	
住	hia4	
余	ʒi2	
佛	ɓut8	
作	to4	
使	ti3	~节
使	tai3	~用
侄	tʃip7	
側	ʃek7	
便	ɓin4	
俊	tun4	
修	tiu1	
借	tsio7	
假	kɛ3	
做	to4	
停	heŋ2	
健	kin4	
偸	hau1	
像	ʃiaŋ5	文读
像	tiə5	白读
僧	ʃeŋ1	
兒	kai5	
兄	hia1	
充	ʃoŋ1	
先	tai1	
光	kuaŋ1	文读
光	kuəŋ1	又读
黨	ɗaŋ3	
入	ʒip8	
全	ʃuan2	
八	ɓoiʔ7	
公	koŋ1	
六	lak8	
蘭	lan2	
共	koŋ4	
關	koi1	
興	heŋ5	
兵	ɓia1	
典	ɗin3	
寫	tia3	
軍	kun1	
冤	in1	
冬	ɗaŋ1	
冰	ɓeŋ1	
冲	ʃoŋ1	
決	kit7	
冷	lɛ3	
凍	ɗoŋ4	
準	tun3	
減	kiam3	
湊	ʃop7	
几	ki3	
鳳	ɸoŋ4	
凳	ɗeŋ5	
凶	hioŋ1	
出	ʃut7	
擊	kek7	
刀	ɗo1	
分	ɓun1	文读
分	un1	白读
切	ʃek7	
划	oi1	
列	lit8	
初	ʃo1	
判	pʰuan5	文读
判	pʰan5	白读
別	ɓit8	
刮	kuat7	
