#漢字	音標	解釋
□	kɑʔ7	"个啊”的合音词,表疑网,用于句末
□	ȵi6	
□	ɕiŋ2a	
□	su1	~腿.抖腿
□	uei1	~草,水草
□	xɤ1	~头,一时想起
□	kʰuɑŋ1	~得~不得,舍不舍得
□	kəŋ1	~~.大便的俗称
□	ᵘm̩1	~口.像酒坛那种口形
□	tsa3	~脸,指胆量、能耐:你果有~?
□	ȵiɔ3	~调,什么都不如意,吵闹不体.一般指小孩
□	mɤ3	~~;估算
□	lɤ3	~嘴,有涩味
□	ɤ3	~逸,安逸
□	dʑiɔ4	~座前:七数里,即死后七七四十九天内,一天三次,灵位前上供,座即座子,供奉灵位处
□	tsa5	~边~沿,指大小长短正好够到
□	ka5	~二胡.即拉二胡
□	ka5	~里:这上面,这里面
□	kɛ5	~~.这样
□	kuɛ5	~~.那样
□	tiɔ5	~~儿·很少
□	sɑŋ5	~里~唐.穿着不利索
□	foŋ5	~篤:浮肿
□	tsʰoŋ5	~手,扒手
□	tsʰoŋ5	~~,溜达
□	tsʰoŋ5	~货,质次价高的货
□	tɕiɪ̃5	~裙,旧妇女穿的
□	za6	~子.柴火垛
□	ŋa6	~子,文蛤的俗名,又叫蛼蜊;蛎~.一种贝类
□	dzɔ6	~七~八,乱猜乱说
□	dəŋ6	~怂,说反话挖苦人
□	dæ̃6	~块.这里
□	ɣᵘm̩6	~田,平整水田
□	kʰuɑʔ7	~辣子,块状物,大致相当于“疙瘩”
□	kuoʔ7	~腮.腮帮子
□	fəʔ7	~疱,水疱
□	tsəʔ7	~脈,把~
□	kiəʔ7	~个,~格一:"kəʔ34 iəʔ34 的合音
□	iəʔ7	~虫子,变质的面粉中生出的小虫子
□	xuəʔ7	~疱,水疱
□	va2a	~锄.即锄头
□	ua2a	~裆:腿裆
□	dʑiɪ̃2a	~较跟人攀比
□	zɑʔ8a	~进~出:.凹凸不平
□	boʔ8a	~刀,菜刀
□	toʔ8a	~子,口吃的人;哑口无言:嘴~作
□	ɣoʔ8a	~虫.蚜虫
□	ŋɤ2b	~冲冲.慢慢地
□	noʔ8b	~子.尿布
□	kuæ̃1	不经意地看到
□	ɡuɑʔ8a	不经意中听到;耳朵里~到各
□	pæ̃1	东~.东边
□	loʔ8b	两手抓着杆上往上爬
□	toʔ8a	临时小项借贷:~点钱
□	kʰɔ5	买酒、油等:~酒.~油
□	kɑŋ1	争着比高下:~酒
□	tia5	什么,起称代作用的疑问词:你说~?
□	kʰɑʔ7	从上壓下:当心上头东西~下来
□	næ̃3	以物强予人或强要作人购物,又读阳去
□	næ̃6	以物强给与人
□	ɡuæ̃2a	低头弯腰:~下米,垂下,稻~头作
□	yoʔ8b	使竹子变直或者变弯
□	xuɛ3	俗语.大吃,带有戏谑性
□	ɕyɛ3	俗语,吃,带有戏谑性
□	ʑyei4	储存,积囊:~点钱起房子
□	dzɤ2a	催眠动作,轻轻拍拍婴儿
□	uɑʔ8a	傾倒:~水
□	ɣei2a	兒子,男
□	xuoʔ7	农作物植株密而生长时旺,影响间种的作物:玉米~黄豆
□	tsu1	凸起:~出来-块
□	fəʔ7	分解开来:拿绳~开来
□	ɡuɑʔ8a	分隔、~开来:被卡住;~住作
□	ɡəʔ8a	分隔:~成两间
□	kʰuɑŋ1	初步估算:~~看,要多少钱
□	xa1	割取:~点肉下来
□	dʑyɑŋ6	动词,往上堆叠:~上去:量词,叠:一~书
□	ʑiɛ6	卖~.装穷酸出洋相
□	xu3	又音.抛洒
□	ɡua4	叉开:~脚拉手,站立不正的样子
□	tsoŋ3	吃,詈语:你快点~
□	dʑya4	同tɕʰya51
□	ʊ3	呕吐
□	tʰi5	和面时水掺多了,太黏糊,面忒~
□	za4	哆嗦
□	tɕʰya3	唆狗咬人,引申为唆使
