#漢字	音標	解釋
□	se1	~草:凉粉
□	viɛ1	~□tsiɔ433~:横蛮
□	ɯ1	~糟:肮脏,原文作“痾”
□	loi1	~□toi443:唠叨
□	tsʰiaŋ1	~□seŋ22:好奇
□	tʃʰeŋ1	~□tʃʰɛŋ53:不正经
□	pa2	~□ʃi433:糟糕
□	tʃʰiɛ2	~摆子:疟疾
□	yɛ2	~□fo35:舒服
□	mɔŋ2	~□fɔŋ53:懵懂
□	i3	~个ka433:这个
□	ka3	~个ka433:那个
□	tsəɯ3	~□tsəɯ213:不合群
□	vi5	~va433:害羞
□	hɛŋ5	~□tɛŋ53:臃肿
□	ni6	~目珠:闭眼
□	tsi6	~□tsəɯ213:不合群
□	ʃi6	~尿:尿床
□	la6	~□tsʰa53:说话不正经
□	kui6	~□li22皱:头旋
□	təɯ6	~雨:淋雨
□	ʃi1	□ma22~:糟糕
□	va1	□vi53~:害羞
□	tsiɔ1	□viɛ433~:橫蛮
□	toi1	□loi433~:唠叨
□	li2	□kui35~皱:头旋
□	seŋ2	□tsʰiaŋ433~:好奇
□	tsʰa5	□la35~:说话不正经
□	tɛŋ5	□hɛŋ53~:臃肿
□	tʃʰɛŋ5	□tsʰeŋ433~:不正经
□	fɔŋ5	□mɔŋ22~:懵懂
□	fo6	□yɛ22~:舒服
□	fe5	丢
□	vaŋ6	丢
□	veŋ1	丰足
□	lɔ1	主动送上门
□	kʰɔ1	交叉
□	tsoa1	人长不大
□	so2	们
□	tʃʰi5	传染
□	hoa5	住
□	pʰɛŋ6	倚靠
□	kʰue6	健壮
□	pʰəŋ1	冲
□	tʰɛŋ5	凑,参与
□	tiɔ6	刁难
□	tsʰəɯ6	刺
□	tsʰe5	劈
□	kʰa1	单头挑
□	ŋa5	卡住
□	a5	卡住
□	tsʰaŋ1	压
□	kʰa3	压
□	tso6	压
□	e6	发怒
□	toa5	台阶
□	ko6	和,连词
□	le6	哄
□	vɔ3	哭
□	se2	啃
□	kʰui6	喝
□	kui5	嘴巴
□	ʃaŋ6	圆形竹篮
□	pa2	坐,儿语
□	voi1	埋
□	tsi5	塞
□	naŋ5	大声喊叫
□	lɔ6	大秤,原文作“秤”
□	moi1	婶
□	lo6	小巷
□	hɔŋ2	尾窿~:烟囱
□	kʰɔŋ5	岸
□	ʃʅ2	差劲
□	təɯ6	底部
□	ləɯ5	引诱
□	ia1	张开双臂或翅膀
□	kiəɯ1	弯曲
□	kəɯ2	弯腰
□	aŋ3	弯腰
□	kʰie5	形容人漂亮,原文作“倩”
□	nieŋ1	忍
□	lia6	快
□	meŋ3	想
□	nɔŋ5	慢
□	siəŋ2	懦弱
□	e1	我,~大tʰa35□tsʰe22:咱们
□	niɔ5	扁担颤动
□	tsoa3	扎,量词
□	loa1	打
□	tʃʰe6	打转
□	koa6	打结
□	kʰio6	扫
□	ma1	扶
□	toi3	批,量词
□	paŋ1	拉
□	oi6	拨
□	vi6	挖
□	a6	挠
□	fo6	挣扎
□	kʰa5	挤
□	ne6	捲
□	tɯ5	捶打
□	ia5	掮动
□	hɔŋ6	搁
□	fɯ6	搅拌
□	nɯ2	搓
□	niɔŋ3	搞
□	tʰaŋ6	搭桥
□	noa6	摘,摘菜,原文作“摘”
□	voa6	撮舀
□	ɯ6	敷药
□	tsiəŋ1	斜
□	ŋɔ2	斜
□	pʰe3	斜
□	tsʰio5	斜
□	mɔ2	无
□	tsʰiɔ2	柴
□	oi1	母亲
□	pʰɔ2	油炸
□	iaŋ1	溢出
□	mɛŋ1	溢
□	tsa5	滚
□	na6	烫
□	hɯ6	焖
□	pʰe6	煮
□	faŋ3	猛醒
□	liɔ6	玩耍
□	pʰa1	用巴掌打
□	tsʰɯ2	用水冲
□	tɛŋ5	用拳头打
□	laŋ6	用纸条封过去
□	na5	疙瘩
□	kʰui2	疮
□	kia1	瘫痪
□	tʃʰɔ2	癫
□	hɛŋ6	相骂
□	tsʰoi2	砍
□	haŋ6	碍
□	kaŋ6	碰撞
□	pʰɔŋ6	碰
□	se1	稀
□	nəɯ2	稠
□	tsʰe1	窥视
□	kʰio2	端
□	sio6	米粉
□	tsʰɛŋ3	糟糕
□	hɛŋ2	紧
□	əɯ3	紫色
□	kaŋ1	绊
□	tʰo6	绑
□	kʰɛŋ6	结冰
□	tsʰiɔ1	缝
□	tsaŋ5	缝
□	tʃiɛ6	缠磨
□	kʰɛŋ2	罩
□	pʰe1	翻开
□	fe1	翻开
□	hoa6	翼~:翅膀
□	moa6	腐朽
□	tsoi5	舀
□	maŋ1	茂盛
□	kʰui3	蚜虫
□	ko6	蛤蟆~:青蛙
□	tʰoa1	衣襟
□	ŋɛŋ5	衰弱
□	pi6	裂
□	ŋue6	诅咒
□	tʰiɔ3	调换
□	kʰiaŋ6	跨
□	ʃo6	踢
□	ne5	踮脚
□	piɔ1	蹦跳
□	piɛ1	蹲
□	tʰɯ2	躲
□	piaŋ5	躲
□	kuɛ6	躲
□	tsʰoa1	追赶
□	siaŋ2	逗小孩哭
□	nəɯ6	逗弄
□	laŋ1	邀
□	kuɛŋ5	钻
□	iaŋ6	闪过
□	pʰaŋ6	陷
□	le3	雨止
□	kʰɔŋ3	霉气
□	nɔŋ1	馅
□	tʃi1	高祖父母叫公太□、婆太□
□	tsʰa5	黄~:蟑螂
□	tsəɯ1	鼻~:鼻子
□	nəŋ5	鼻涕
㬹	tsaŋ1	手~瘰:肘;脚~瘰:脚跟
䘆	kʰue3	黄~:蚯蚓,原文词表作“犬”
一	i6	
丁	tɛŋ1	
七	tsʰɿ6	
万	va6	
丈	tʃʰɔŋ6	
三	saŋ1	
上	ʃɔŋ1-	
上	ʃɔŋ6=	
下	ho1-	
下	ho6=	
不	poa6	
与	yɛ3	
丑	tʃʰəɯ3	
專	kue1	
且	tsʰio3	
丕	pʰi1	
丘	kʰiəɯ1	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丢	təɯ1	
兩	tiɔŋ1-	
兩	liɔŋ3=	
兩	tiɔŋ3-	两个
嚴	nie2	
喪	sɔŋ1	
喪	sɔŋ5	丧命
个	ka1-	
中	tʃəŋ1	
臨	teŋ2-	
臨	leŋ2=	
丸	ve2	
丹	ta1	
爲	vi2	
主	tʃiɛ3	
舉	kui3	
久	kiəɯ3	
義	ni6	
之	tʃʅ1	
烏	viɛ1	
樂	lɯ5	
乖	kua1	
九	kiəɯ3	
乞	kʰoa6	
也	ia3	
鄉	ʃɔŋ1	
書	ʃiɛ1	
買	me1-	
亂	loa6	
了	liɔ3	
爭	tsaŋ1	
事	sɿ6	
二	ni6	
于	yɛ1	
虧	kʰui1	
云	veŋ2	
井	tsiaŋ3	
亡	mɔŋ2	
產	sa3	
亨	hɛŋ1	
畝	məɯ3	
京	kieŋ1	
亭	tʰɛŋ2	
亮	liɔŋ6	
人	nieŋ2	
仁	ieŋ2	
僅	kieŋ3	
仇	tʃʰəɯ2	
介	ka5	
从	tsʰiəŋ2	
倉	tsʰɔŋ1	
他	tʰa1=	
仙	se1	
令	leŋ6	
以	i3	
儀	ni2	
們	mɛŋ2	
仰	niɔŋ3	
仲	tʃʰəŋ6	
件	kʰie6	
價	ko5	
任	ieŋ6	
份	fɛŋ6	
仿	fɔŋ3	
企	kʰi6	
伏	pʰiɛ5-	
伐	fa5	
衆	tʃəŋ5	
優	iəɯ1	
伙	fɯ3	
會	foa6	
會	voi6	能干
傘	sa3	
偉	vi3	
傳	kʰue2	
倫	lɛŋ2	
伯	po6	
伴	pʰa1-	
伴	pʰa6=	
似	sɿ6	
位	vi6	
住	tʃʰiɛ6	
體	tʰi3	
何	hɯ2	
佛	foa5	
作	tsɯ6	
你	ni1-	
你	ni3=	
佢	koi1	他
佳	ko1	
使	sɿ3	
供	kiəŋ1	喂;生孩子
依	i1	
侯	həɯ2	
便	pʰe2	便宜
便	pʰe6	方便
俄	ŋɯ2	
俏	tsʰiɔ5	
信	seŋ5	
修	səɯ1	
俸	fəŋ6	
倒	tɔ3	
倘	tʰɔŋ3	
借	tsio6	
倡	tʃʰɔŋ5	
值	tʃʰʅ5	
傾	kʰəŋ1-	
假	ko3	
做	tsɯ5	
停	tʰɛŋ2	
健	kʰie6	
催	tsʰoi1	
傲	ŋɔ6	
僆	loa5	鸡~:未下蛋的母鸡
僧	tsɛŋ1	
儒	yɛ2	
元	ŋue2	
兄	ʃəŋ1	
兆	tʃʰɔ6	
先	se1	
光	kɔŋ1	
免	me3	
兔	tʰiɛ5	
黨	tɔŋ3	
入	ni5	
全	tsʰoa2-	
全	tsʰe2	
八	pe6	
公	kəŋ1	
六	təɯ6	
兮	ʃi2	
蘭	la2	
共	kʰiəŋ6	
兵	peŋ1	
典	te3	
養	iɔŋ3	
内	noa6	
冇	pʰaŋ5	空心
再	tsa5	
冒	mɔ6	
寫	sio3	
軍	kueŋ1	
農	nəŋ2	
冠	kʰoa1	
冤	ve1	
冬	təŋ1	
冰	pɛŋ1-	
冲	tʃʰəŋ1	
決	kui6	
冷	lɛŋ1	
凍	təŋ5	
淨	tsʰiaŋ6-	
淨	tsʰeŋ6=	
凄	tsʰi1	
準	kueŋ3	
涼	tiɔŋ2-	
涼	liɔŋ2=	
湊	tsʰəɯ5	
几	ki3	
凡	faŋ2	
凳	tɛŋ5	
凶	ʃəŋ1	
凹	ɔ1	
出	tʃʰəɯ6	
函	haŋ2	
鑿	tsʰɯ5	
刀	tɔ1	
刁	tiɔ1	
分	pɛŋ1-	
分	fɛŋ1=	
切	tsʰi6	
划	vo5	
劉	ləɯ2	
則	tsoa6	
創	tsʰɔŋ3	
判	pʰa5	
刨	pʰɔ2	
利	ti6=	
利	li6=	利害
别	pʰi5=	差别
刮	kua6	
到	tɔ5	
制	tʃʅ5	
刷	soi6	
刻	kʰoa6	
削	səɯ6	
前	tsʰe2	
劍	kie5	
剝	pɯ6	
剩	ʃeŋ6	
剪	tse3	
割	koi6	
剿	tsiɔ3	
劈	pʰio6	
力	ti5-	
力	li5=	
勸	kʰue5	
辦	pʰa6	
功	kəŋ1	
加	ko1	
務	viɛ6	
動	tʰəŋ1-	
動	tʰəŋ6=	
勁	kieŋ5	
勞	lɔ2	
勃	pʰoa6	
勉	me3	
勳	feŋ1	
勾	kəɯ1	
勿	voa5	
匀	veŋ2	
包	pɔ1	
化	fo5	
北	poa6	
匙	ʃʅ2	
匠	tsʰiɔŋ6	
匪	fi3	
十	ʃʅ5	
千	tsʰe1	
升	ʃeŋ1	
半	pa5	
華	fo2	
卒	tsoa6	
卓	tsɯ6	
單	ta1	
賣	me6	
南	naŋ2	
占	tʃe5	
卡	kʰa3	
卯	mɔ3	
印	ieŋ5	
危	ŋoi2	
卵	loa3	
廠	tʃʰɔŋ3	
廳	tʰɛŋ1	
厚	həɯ1-	
厚	həɯ6=	
廂	siɔŋ1	
厦	ho6	
廚	tʃʰiɛ2	
去	hoi5	
去	kʰui5=	
縣	ve6	
参	tsʰaŋ1	
参	sɛŋ1	
又	iəɯ6	
友	iəɯ3	
雙	səŋ1	
反	fa3	
发	fa6	~□tʃʰɔ22:发癫
叔	ʃəɯ6	
取	tsʰi3	
取	tsʰəɯ3	讨,~债
受	ʃəɯ6	
變	pe5	
口	kʰəɯ3-	
口	həɯ3-	
古	kuɛ3	
叫	kiɔ5	
可	kʰɯ3	
台	tʰa2	
史	sɿ5	
號	hɔ6	
各	kɯ6	
吊	tiɔ5	
同	tʰəŋ2	
名	miaŋ2	
后	həɯ6	
吐	tʰiɛ5	
向	ʃɔŋ5	
吒	tso1	
嚇	ho6	
君	kueŋ1	
吠	pʰɛŋ6-	
否	fəɯ3	
含	haŋ2	
聽	tʰɛŋ1	
啓	kʰi3	
吵	tsʰɔ3	
吹	kʰui1	
告	kɔ5	
嘔	əɯ3	
周	tʃəɯ1	
呵	hɯ1	
命	miaŋ6	
命	meŋ6=	
和	fɯ2	
詠	veŋ6	
咪	mi1	
咬	ŋɔ1-	
咳	kʰo5	
咸	haŋ2	
哀	oi1	
品	pʰeŋ3	
哈	ha1	
哉	tsa1	
哥	kɯ1	
哭	kʰuɛ6=	
哼	hɛŋ1	
脣	feŋ2	唇;田~:田埂
唯	vi2	
唱	tʃʰɔŋ5	
唸	ne6	
啃	kʰɛŋ3=	
啼	tʰi2=	
喊	haŋ5	
喜	ʃi3	
噴	pʰɛŋ5	
嘎	ka6	
嘴	tsoi3-	
器	kʰi5	
嚼	tsʰiɔ6	
囊	nɔŋ2	
囚	səɯ2	
四	sɿ5	
回	foa2	
团	tʰoa2	
園	ve2	
困	kʰuɛŋ5	
國	koa6	
圖	tʰiɛ2	
圓	ve2	
圈	kʰue1	
土	tʰiɛ3	
聖	ʃeŋ5	
在	tsʰi1	
在	tsʰa6=	
圩	hoi1-	
地	tʰi6	
圳	kueŋ5	
均	kueŋ1	
坊	piɔŋ1	
坎	kʰaŋ3	
壞	fa6	
坐	tsʰɯ1	
坐	tsʰɯ6=	
坑	kʰaŋ1	
壩	po5	
坤	kʰuɛŋ1	
坦	tʰa3=	
坪	pʰiaŋ2	
坯	pʰoi1	
垂	fi2=	下垂
壟	ləŋ2	
埋	me2	
城	ʃaŋ2	
城	ʃeŋ2=	
培	pʰoa2	
堂	tʰɔŋ2	
堆	toi1	
塔	tʰo6	
塘	tʰɔŋ2	
塞	tsʰoa6	
塞	soa6=	要塞
填	tʰe2	
墓	miɛ5	
牆	tsʰiɔŋ2	
墨	moa5	
壁	pio6	
士	sɿ6	
壯	tsɔŋ5	
聲	ʃaŋ1	
殼	kʰɯ6	
處	tʃʰiɛ3	处分
處	tʃʰiɛ5	用处
夏	ho6	
多	tɯ1	
夜	io6	
够	kəɯ5	
大	tʰa6	
