#漢字	音標	解釋
□	liəu1	(用针)挑
□	mɔ3	(植物)高
□	kai1	
□	loŋ3	
□	viɛ6	
□	sɔ6	
□	tsei6	
□	siəu1	kiau24~:蜘蛛
□	lauʔ8	kauʔ52~:折腾
□	səu6	ləuʔ52~:垃圾
□	tʃʰɔ1	~肩:围嘴儿
□	əu1	~tsəu24:肮脏
□	mi2	~边:旁边
□	piɛ3	~伤:扭伤
□	mɔ3	~头:棺材
□	kiɔ3	~锤:钉锤
□	miəu3	~前:跟前儿
□	tsʰiəu3	~水:喷水
□	pɔ5	~气:气喘
□	kuai5	~粽:裹粽子
□	tsiəu5	~螺:头发旋儿
□	ʅ6	~匏:菜瓜
□	mi6	~~虫:孑孓
□	ʃi6	~尿:尿床
□	ŋi6	~目珠:眨眼
□	piɛ6	~头:髻
□	pʰiɛ6	~菜:做菜
□	tsʰɔ6	~汤:舀汤
□	ɔ6	~菜:咸菜
□	tsʰei6	~驳:冤屈
□	tau6	~雨:淋雨
□	tau6	~下:最底下
□	kʰaŋ6	~冰:结冰
□	tʃʰiŋ6	~水:(从井里)打水
□	kʰueiʔ8	~手:手残者
□	ʃiauʔ8	~斗:戽斗
□	tsəu1	əu24~:肮脏
□	tɔ6	下~:下巴
□	mei6	乌~屎:雀斑
□	liəuʔ8	会~:能干
□	tʃiɛʔ8	傻
□	tʃiɛ9	公~:曾祖父
□	naŋ2	凌乱
□	keiʔ8	划(火柴)
□	ŋuaŋʔ8	动物咬
□	kʰai6	台阶
□	kai1	吊~~:打秋千
□	tsʰu6	呛
□	nia2	哪里
□	pa6	哪~:怎样(做)
□	ŋau5	噘(嘴)
□	siɛ6	塞
□	u5	填(土)
□	pʰəu1	大炮~:爆米花
□	kia6	大拇指与中指或小指张开的长度
□	liɛ6	夹~下:胳肢窝
□	lɔ6	小胡同
□	kʰuaŋ3	尿~:蚯蚓
□	sa5	屎~:屁股
□	va6	山~:山坳(山间的小平地)
□	iŋ6	山~顶:山峰
□	vaʔ8	张(嘴)
□	noŋ5	慢
□	kuaʔ8	扇(耳光)
□	niɛ5	手~:手趼子
□	ɔ3	折断
