#漢字	音標	解釋
一	it7	
七	tsʰit7	
万	wan5	
三	sam1	
上	sɔŋ1	
下	ha1	
世	sɿ5	
業	ȵɛp8	
東	tuŋ1	
絲	si1	萝卜~
絲	sɿ1	~绸
丢	tiu1	
兩	liɔŋ1	
嚴	ȵam2	
个	kai5	一~
个	kɔ5	~别
中	tsuŋ1	
丰	fuŋ1	
主	tsu3	
舉	ki3	
義	ŋi5	
烏	wu1	
九	kiu3	
習	sip8	
書	su1	
買	mai1	
亂	lɔn5	
爭	tsaŋ1	
事	sɿ5	
二	ŋi5	
虧	kʰui1	
云	iun2	
五	m̩3	
井	tsiaŋ3	
交	kau1	
產	tsʰan3	
亮	liɔŋ5	
親	tsʰin1	
人	ŋin2	
倉	tsʰɔŋ1	
付	fu5	
件	ȶʰɛn5	
任	ŋim5	
休	siu1	白读
休	ɕiu1	文读
優	iu2	
會	fui5	
傘	san3	
傳	tsʰɔn2	
傳	tsʰɔn5	
傷	sɔŋ1	
位	wui5	
低	tei1	
住	tsʰu5	
余	i2	
佛	fut8	
作	tsɔk7	
使	sɿ3	
侄	tsʰət8	
側	tsɛt7	
便	pʰiɛn5	
俊	tsun5	
修	siu1	
借	tsia5	
假	ka3	
做	tsɔ5	
停	tʰin2	
健	ȶʰɛn5	
偷	tʰɛu1	
像	tsʰiɔŋ5	很~
像	siɔŋ5	照~
僧	sɛn1	
兒	lu2	
兄	ɕiuŋ1	
充	tsʰuŋ1	
先	siɛn1	
光	kɔŋ1	
黨	tɔŋ3	
入	ŋip8	
全	tsʰiɔn2	
八	pat7	
公	kuŋ1	
六	luk7	
蘭	lan2	
共	kʰuŋ5	
關	kan1	
興	hin5	
兵	pin1	
典	tiɛn3	
寫	sia3	
軍	ȶun1	
冤	iɛn1	
冬	tuŋ1	
冰	pin1	
冲	tsʰuŋ1	
決	ȶɛt7	
冷	laŋ1	
凍	tuŋ5	
準	tsun3	
減	kam3	
湊	tsʰɛu5	
几	ki3	
鳳	fuŋ5	
凳	tɛn5	
凶	ɕiuŋ1	
出	tsʰut7	
擊	kit7	
刀	tau1	
分	pun1	~你,给予动词
分	fun1	~开
切	tsʰiɛt7	
划	wak8	
列	liɛt8	
初	tsʰɔ1	
判	pʰan3	白读
判	pʰan5	文读
别	pʰiɛt8	
刮	kat7	
制	tsɿ5	
刷	sɔt7	
刺	tsʰɿ5	
刻	ȶʰɛt7	
剃	tʰei5	
削	siɔk7	
前	tsʰiɛn2	
劍	ȶam5	
剝	pɔk7	
劇	ȶʰak8	
剩	in5	白读
剩	sən5	文读
剪	tsiɛn3	
副	fu5	
割	kɔt7	
劈	pʰiak7	
力	lit8	
勸	ȶʰɛn5	
辦	pʰan5	
動	tʰuŋ1	白读
動	tʰuŋ5	文读
勁	kin5	
勤	kʰin2	
勺	sɔk8	
匀	iun2	
包	pau1	
化	fa5	
北	pɛt7	
匠	siɔŋ5	
匹	pʰit7	
區	kʰi1	
十	sɛp8	
升	sən1	
半	pan5	
華	fa2	
協	ɕiɛp8	
卒	tsut7	
單	tan1	
賣	mai5	
南	nam2	
占	tsam5	
衛	wui3	
印	in5	
危	ŋui2	
卷	ȶɛn3	
廠	tsʰɔŋ3	
廳	tʰiaŋ1	
历	liak8	
厭	iam5	
厚	hɛu1	
原	ȵɛn2	
去	hi5	
縣	iɛn5	
参	sɛm1	
及	kʰip8	
雙	suŋ1	
反	fan3	
发	fat7	
叔	suk7	
取	tsʰi3	
變	piɛn5	
口	hɛu3	
古	ku3	
句	ki5	
叫	ȶau5	
可	kʰɔ3	
台	tʰɔi2	
右	iu5	
葉	iɛp8	
號	hau5	
各	kɔk7	
吉	kit7	
名	miaŋ2	
后	hɛu5	
向	ɕiɔŋ5	
呂	li1	
吞	tʰun1	
含	hɛm2	白读
含	ham2	文读
聽	tʰiaŋ1	
吳	ŋu2	
吸	kip7	
吹	tsʰui1	
味	mui5	
命	miaŋ5	白读,生~
命	min5	文读,~令
咸	ham2	
品	pʰin3	
響	ɕiɔŋ3	
啞	a3	
哭	kʰuk8	
脣	sun2	
唱	tsʰɔŋ5	
善	sɛn5	
喊	ham5	
喜	hi3	声母实际发音为ç
嘴	tsui3	
器	kʰi5	
器	hi5	又
四	si5	
回	fui2	
園	iɛn2	
困	kʰun5	
圍	wui2	
國	kut7	
圖	tʰu2	
圓	iɛn2	
圈	ȶʰɛn1	
土	tʰu3	
地	tʰi5	
均	ȶun1	
壞	fai5	
坐	tsʰɔ1	
坑	haŋ1	
塊	kʰui5	
墳	fun2	
垂	sui2	
墊	tiɛn5	
埋	mai2	
城	saŋ2	
塔	tʰap7	
塞	sɛt7	~住
塞	sai5	边~
墨	mɛt8	
墩	tun1	
壁	piak7	
壯	tsɔŋ5	
聲	saŋ1	
殼	kʰɔk7	
壺	fu2	
夏	ha5	
外	ŋɔi5	
多	tɔ1	
夜	ia5	
够	ȶɛu5	
大	tʰai5	
天	tʰiɛn1	
失	sət7	
頭	tʰɛu2	
夾	ȶʰap8	
奪	tʰɔt8	
契	ȶʰei5	
女	ȵu3	
奴	nu2	
奸	kan1	
好	hau3	
如	i2	
婦	pʰu1	白读,新~
婦	fu1	白读,~娘
婦	fu5	文读,~女
妹	mɔi5	
姐	tsia3	
姓	siaŋ5	
姜	ȶɔŋ1	
姨	i2	
娘	ȵɔŋ2	
婆	pʰɔ2	
婚	fun1	
嫁	ka5	
嫂	sau3	
嫌	ɕiam2	
嫩	nun5	
子	tsɿ3	
孔	kʰuŋ3	
字	sɿ5	
孫	sun1	
孝	hau5	
季	kui5	
學	hɔk8	
孽	ȵɛt7	
安	ɔn1	
宋	suŋ5	
完	wɔn2	
官	kɔn1	
定	tʰin5	
寶	pau3	
實	sət8	
客	kʰak7	
宮	kuŋ1	
害	hɔi5	
容	iuŋ2	
寬	kʰɔn1	
宿	suk7	
寄	ki5	
密	mit8	
富	fu5	
寸	tsʰun5	
對	tui5	
寺	sɿ5	
尋	tsʰim2	
壽	səu5	
封	fuŋ1	
射	sa5	
小	siau3	
尖	tsiam1	
嘗	sɔŋ2	
尺	tsʰak7	
尾	mui1	
局	kʰuk8	
屁	pʰi5	
層	tsʰɛn2	
屋	wuk7	
屬	suk8	
山	san1	
歲	sɔi5	
巖	ŋam2	
岸	ŋam5	
州	tsəu1	
左	tsɔ3	
幣	pi5	
市	sɿ5	
布	pu5	
師	sɿ1	
希	hi1	声母实际发音为ç
帶	tai5	
席	tsʰiak8	白读
席	sit8	文读
幫	pɔŋ1	
帽	mau5	
平	pʰiaŋ2	白读,地~
平	pʰin2	文读,~均
年	ȵɛn2	
幼	iu5	
慶	kʰin5	
牀	tsʰɔŋ2	
店	tiam5	
廟	miau5	
府	fu3	
延	iɛn2	
建	ȶɛn5	
開	hɔi1	
弄	luŋ3	
式	sət7	
引	in3	
弟	tʰei1	白读
弟	tʰi5	文读
張	tsɔŋ1	
彎	wan1	
弱	ȵɔk8	
彈	tʰan2	
形	hin2	
影	iaŋ3	
律	lut8	
徐	tsʰi2	
得	tɛt7	
心	sim1	
忙	mɔŋ2	
快	kʰai5	
念	ȵam5	
懷	fai2	
急	kip7	
怪	kai5	
恨	hɛn5	
恩	ɛn1	
恭	kuŋ1	
息	sit7	
恶	ɔk7	
惜	siak7	白读
惜	sit7	文读
慣	kan5	习~
慣	kɔn5	~性
想	siɔŋ3	
愁	sɛu2	
意	i5	
感	kam3	
慌	fɔŋ1	
慢	man5	
懂	tuŋ3	
懶	lan1	
戲	hi5	声母实际发音为ç
戒	kai5	
或	fɛt8	
戰	tsɛn5	
截	tsʰiɛt8	
戶	fu5	在实际语流中可以变读为阴平24
房	fɔŋ2	
所	sɔ3	
扁	piɛn3	
扇	sɛn5	
手	səu3	
扎	tsat7	结~
扎	tsa1	一~啤酒
扎	tsap7	~进去
打	ta3	
托	tʰɔk7	
扮	pʰan5	
找	tsau3	
抄	tsʰau1	
把	pa3	
抓	tsa1	
抖	tɛu3	
折	tsap7	
搶	tsʰiɔŋ3	
抱	pʰau1	
抽	tsʰəu1	
拆	tsʰak7	
拉	la1	白读
拉	lai1	文读
拍	pʰak7	
拐	kai3	
拖	tʰɔ1	~过来
拜	pai5	
擁	iuŋ3	
撥	pat7	
擇	tsʰak8	
挂	ka5	
指	tsɿ3	
挖	wat7	
挺	tʰin3	
捏	ȵap7	
換	wɔn5	
排	pʰai2	
接	tsiɛp7	
插	tsʰap7	
握	wɔk8	
搬	pan1	
搭	tap7	
摆	pai3	
摇	iau2	
摘	tsak7	
摸	mɔ1	
撞	tsʰɔŋ5	
撤	tsʰɛt7	
擦	tsʰat7	
改	kɔi3	
放	fɔŋ5	
敢	kam3	
數	su5	
敲	tsʰiau1	
整	tsən3	
料	liau5	
斜	tsʰia2	
斷	tʰɔn1	
新	sin1	
方	fɔŋ1	
族	tsʰuk8	
日	ŋit7	
舊	kʰiu5	
早	tsau3	
時	sɿ2	
旺	wɔŋ5	
明	min2	
星	sin1	
春	tsʰun1	
顯	ɕiɛn3	
曬	sai5	
晚	wan3	
暖	nɔn1	
暗	am5	
曲	kʰuk7	
更	kaŋ1	
月	ȵɛt8	
有	iu1	
朋	pʰuŋ2	
服	fuk8	
朝	tsʰau2	
木	muk7	
末	mat8	
本	pun3	
殺	sat7	
雜	tsʰap8	
權	ȶʰɛn2	
杉	sa1	白读
杉	tsʰam5	文读
李	li3	
村	tsʰun1	
杜	tʰu5	
條	tʰiau2	
來	lɔi2	
杯	pui1	
杰	ȶʰɛt8	
松	suŋ1	
松	tsʰuŋ2	
板	pan3	
極	kʰit8	
林	lim2	
果	kɔ3	
柄	piaŋ5	
染	ȵam5	
櫃	kʰui5	
柱	tsʰu1	
柴	tsʰai2	
柿	sɿ5	
樹	su5	
栗	lit8	
校	kau3	
樣	iɔŋ5	
根	ȶɛn1	
格	kak7	
桂	kui5	
桃	tʰau2	
桌	tsɔk7	
橋	ȶʰau2	
樁	tsɔŋ1	
桶	tʰuŋ3	
梗	kaŋ3	
夢	muŋ5	
梨	li2	
梯	tʰei1	
棉	miɛn2	
棋	kʰi2	
棒	puŋ3	又
棒	paŋ5	又
棚	pʰaŋ2	
樓	lɛu2	
橫	waŋ2	
橘	kit7	
欠	ȶʰam5	
歡	fɔn1	
歇	ɕiɛt7	
歌	kɔ1	
正	tsən5	
步	pʰu5	
武	wu3	
歪	wai1	
死	si3	
母	mei1	
毒	tʰuk8	
比	pi3	
毛	mau1	
毯	tʰan3	
民	min2	
气	hi5	
水	sui3	
永	iun3	
汁	tsəp7	
漢	hɔn5	
汗	hɔn5	
江	kɔŋ1	
池	tsʰɿ2	
湯	tʰɔŋ1	
沉	tsʰɛm2	
沙	sa1	
河	hɔ2	
油	iu2	
治	tsɿ5	
法	fat7	
泥	nei2	
潑	pʰat7	
洗	sei3	
洞	tʰuŋ5	
活	fat8	
派	pʰai5	
流	liu2	
淺	tsʰiɛn3	
漿	tsiɔŋ1	
測	tsʰɛt7	
濃	ȵiuŋ2	
浪	lɔŋ5	
浮	fɛu2	
浴	iuk8	
海	hɔi3	
浸	tsim5	
淡	tʰam1	白读,好~
淡	tʰam5	文读,平~
深	tsʰɛm1	
添	tʰiam1	
清	tsʰin1	
渠	kʰi1	
溫	wun1	
渴	hɔt7	
溪	ȶʰei1	
滑	wat8	
滚	kun3	
滿	man3	白读
滿	man1	文读
潭	tʰam2	
火	fɔ3	
滅	miɛt8	
燈	tɛn1	
灰	fɔi1	
竈	tsau5	
炎	iam2	
炭	tʰan5	
炮	pʰau5	
點	tiam3	
爛	lan5	
烘	huŋ1	
燭	tsuk7	
烟	iɛn1	
燒	sau1	
熱	ȵɛt8	
焦	tsiau1	
煤	mɔi2	
照	tsau5	
熊	iuŋ2	又
熊	ɕiuŋ2	又
熏	ɕiun1	
熟	suk8	
熬	ŋau2	
爬	pʰa2	
愛	ɔi5	
父	fu5	
爺	ia2	
片	pʰiɛn3	
牌	pʰai2	
牙	ŋa2	
牛	ȵɛu2	
物	wut8	
牽	ȶʰɛn1	
特	tʰit8	又
特	tʰɛt8	又
犁	lei2	
犯	fan5	
狂	kʰɔŋ2	
狗	ȶɛu3	
猛	maŋ1	白读
猛	mɛn1	文读
豬	tsu1	
猫	miau5	
