#漢字	音標	解釋
□	lɤ1	表人称复数。我~/他~:你们/他们
□	lɤ	名词词缀,同“子”,调值随组合而改变
□	ŋ̍7	~□/kɤ44/:什么
□	kɤ3	□/ŋ114/~:什么
□	tɤ3	女~:女人
□	kɤ3	同“的”。那□/ta44/女~:那个女的。我~:我的。
□	ma3	~~:祖母
□	pu5	奶~:乳房
□	lɤ3	烧火没~:烧火了吗。你没~烧火啊:你烧火了吗。没~:没有,表示事情没发生
□	ɕi3	~股窟/xua33/:屁股眼
□	kia3	给,表示对某一对象实施动作。~我抓□/ti44/痒:给我抓下痒
□	kia7	给,表示对某一对象实施动作。
□	tɤ7	~公/kie45/:外公。~婆:外婆
□	mu3	老~□/lɤ44/:老母亲
□	nɤ5	你的
□	iɤ7	这/ka51/~:这里
□	nɤ7	那/na51/~:那里
□	ti7	这/ka51/~热:这样热,这么热
□	ma2	~□/kəɯ45/:弟弟
□	kəu2	□/ma45/~:弟弟
□	iɤ5	谁,哪
□	lɤ3	□/iɤ51/~:哪里
□	tɤ5	□/iɤ51/~:谁
□	yi5	~窗窟/xua33/:窗户。
□	ti3	背~:后面
□	pu3	石~□/tu44/:石头
□	tu3	石□/pu44/~:石头
□	ie1	给,被。~钱:给钱。~偷吧去咧:被偷走了
□	ie1	在,位于
□	ua7	~断:折断
□	kʰu1	手~□/lɤ33/:手指甲
□	u2	~□/tu44/薯:槟榔芋
□	tu3	□/u45/~薯:槟榔芋
□	tɕioŋ1	老~谷/ko33/草:打完谷子剩下的稻草
□	kɤ2	头~脑:枕头,枕头边
□	nu3	烟熏人。~得/tɤ44/紧:(烟)很呛人
□	ti3	□/kɤ51/~:这点,这个。一~:一点,一下,一会儿。
□	ua2	~□/ɕioŋ33/:东西
□	ɕioŋ1	□/ua45/~:东西
□	ma1	~□/xu33/:脏
□	xu1	□/ma33/~:脏
□	tʰan1	~□/koŋ114/:明天
□	koŋ7	□/tʰan33/~:明天
□	xu1	丁塘~:丁塘村,地名
□	kui7	玩,耍。~□/ti44/:玩一下
□	ma1	风团~:蝗虫
□	tɕia3	~□/ma33/:蝗虫
□	ku5	冰。起~:结冰
□	kie1	吞咽。~口水:咽口水
□	iu2	动。食没/mɤ44/~:吃不动。坐起/tsɿ44/□/iɤ45/没/mɤ44/~:坐在这别动
□	iɤ2	
□	pu2	~龙/li45/船:划龙舟
□	pu5	~~:曾祖父母。
□	tɤ5	辣~:辣椒
□	tʰio1	~□/xo33/:客厅
□	xo1	□/tʰio33/~:客厅
□	to5	砍
□	mu2	~□/tɤ44/:荞麦,红梗白花
□	tɤ3	□/mu45/~:荞麦,红梗白花
□	m̩3	~母:母亲
□	xoŋ5	应为“后日”合音。~晡/pu41/:后天
□	liau7	砸,摔,扔
