#漢字	音標	解釋
□	ŋa1	~开:张开或裂开
□	ha1	~胳肢:搔痒
□	tɕie1	~子:没用的人
□	hie1	~开:张开
□	kye1	~骹,原文注释不明
□	kʰə1	~人:摩擦得叫人不舒服
□	tɕʰio1	~是非:搬弄
□	sa2	~人:男人
□	pə2	~~货:傻瓜
□	toi2	~水:端水
□	tʰy3	~湿,淋湿
□	tʰa3	~尘:动作,原文注释不明
□	vie3	~秆:茅草嫩秆
□	uo3	~~叫:象声词
□	viaŋ3	~刀:闪电
□	kʰuaŋ3	~麻:黄麻
□	hie5	~子:稗子
□	nəu5	~面~嘴:难看,不高兴
□	maŋ5	~~子:一点儿
□	ku6	~脓:化脓
□	sia6	~俗:性格特殊、古怪
□	kua6	~~响:象声词
□	sie6	~柴:纹理杂乱的木头
□	tə6	~出来:挺
□	nə6	~规:老规矩
□	so6	~~子:玩具
□	ko6	~子,指驼背的
□	taŋ6	~~脚
□	kuoŋ6	~来~去:晃来晃去
□	nuŋ6	~菜:采或煮菜
□	na7	~拢来,原文注释不明
□	fia7	~开:打开
□	mo7	~~子:婴儿
□	tɕio7	~个,这个
□	tɕʰio7	~人,骗人
□	kʰai7	~上:厅堂
□	ŋan7	~嘴:没牙的嘴
□	hə1	□mə21□mə21~~:稀里糊涂
□	tsei5	一~香皂
□	pʰo7	一~:一团
□	səu2	不舒服
□	paŋ3	不肯
□	ɕiaŋ6	丢
□	toi7	两手捧住重、大之物
□	hu6	他
□	mə3	伏
□	ho5	传递
□	sau7	全部除掉
□	tʰio3	冲,洗
□	piau5	分
□	məi2	别,否定词
□	tʰoi2	到齐
□	tu6	刺
□	tʰio7	刻薄
□	lai7	割
□	toŋ6	劝小孩不哭
□	tɕiaŋ3	办法
□	tʰy7	动词,原文注释不明
□	kon7	合口
□	tʰoi5	吐
□	su6	吮吸,原文作“嗍”
□	io3	呕吐
□	tau6	嘴唇突出翘起
□	nei5	噎住了
□	hy5	回,~手
□	tə2	围~~:怀孕
□	kye6	大喊
□	lau6	大称
□	mə1	头脑不清楚
□	ten2	小孩学站
□	kia3	小孩吵
□	tan6	尝一下
□	ŋai7	差;次
□	kʰuaŋ2	弄,~开
□	məi3	弄灭
□	kʰa1	强迫
□	tsan7	往锅里添水
□	kuən6	很,~肥
□	lou7	很,~滑
□	la2	忘记
□	haŋ5	我
□	kʰia5	扒开
□	pʰa3	打~~子:一种游戏
□	la3	打~八:吹牛
□	ɕiaŋ1	扔
□	tsoi7	扭
□	kia1	扰乱
□	nio1	把纸捏成一团
□	kio1	抓,~一把
□	tsən7	抓,~药
□	ŋo5	抬头
□	tsaŋ5	拔
□	tʰa6	拦
□	pəi6	拨
□	ləu1	挖
□	kie6	挟
□	kioŋ5	挣扎
□	sən7	捲
□	sien7	接
□	pʰuŋ3	推
□	pʰoŋ7	推
□	non2	揉
□	tiau6	提起
□	kʰuŋ7	摇
□	tan3	摔,跌,字表原文作taŋ55,根据语保录音更正
□	kʰuaŋ6	摔,~巴掌
□	pəi1	摸
□	io1	撒娇
□	ə7	放下
□	pʰaŋ3	敲门
