#漢字	音標	解釋
□	tsʰɒ3	~的:有问题的
□	tɕʰiɔŋ5	~嘴:小孩顶嘴,程度更深点。
□	tʌŋ6	上当受骗
□	tsʰɑ6	东西被虫子咬了
□	xɒ3	傻
□	ɕiʌŋ5	出风头的意思
□	ȵiɔŋ5	吃多了,腻到了。
□	tsʰɑ̃2	唾液
□	mʌŋ1	多用于人名:表示很小
□	tɕʰiɔŋ1	小孩顶嘴
□	tsʰɿ1	惹别人
□	liɤ6	手工缝衣服
□	kɔŋ5	打麻将开~
□	tsʰan6	断
□	tsʰɒ5	淋雨
□	mʌŋ5	用于人名:表示一点点
□	tau7	用缝纫机缝衣服
□	kʰɔŋ5	田~:田与田之间的称呼。
□	kɒ1	癞~□:癞蛤蟆
□	tsɑ̃5	皴
□	tɕy1	蜇
□	lɑ̃5	表泥巴软,柿子软。
□	kʰɒ2	跨
□	tsʰɒ6	遮
□	xɒ5	都是
□	tẽ5-	骂人
㪕	tso7	~起棍子
㬤	tɕʰi7	
膞	tɕyẽ1	新读
䝋	tsʌŋ1	
䥛	tɕie7	
一	i7	
丁	tin1	
七	tsʰɛi7	
万	uɑ̃6	
丈	tsʰɔŋ6	
三	sɑ̃1	
上	sɔŋ6	
下	xɒ6	
不	pu7	
与	y3	
丐	kæ5	
丑	tsʰau3	子~寅卯,美~
專	tɕyẽ1	
且	tɕʰie3	
丕	pʰɛi3	
世	sɿ5	
丘	tɕʰiau1	
丙	pin3	
業	ȵie7	
叢	tsʰʌŋ2	
東	tʌŋ1	
絲	sɿ1	
丞	tsʰan2	
丢	tiu1	
兩	ȵiɔŋ3	
嚴	ȵiẽ2	
喪	sɔŋ5	
个	ko5	
丫	ŋɒ1	
中	tsʌŋ5	射~
中	tsʌŋ1	当~
丰	fʌŋ1	
串	tɕʰyẽ5	
臨	lin2	
丸	yɑ̃2	
丹	tɑ̃1	
爲	uɛi6	~什么
爲	uɛi2	作~
主	tɕy3	
麗	lɛi6	
舉	tɕy3	
乃	læ3	
久	tɕiau3	
麽	iɤ1	~事
義	ȵi6	
之	tsɿ1	
烏	u1	
乍	tsɒ5	
乎	xu1	
乏	fɒ6	
