#漢字	音標	解釋
□	bu1	摸
□	xu1	〜一下
□	dza1	小便说“〜尿”
□	xa1	“□一顿”即“打一顿”
□	kua1	〜嘴
□	ɕiɛ1	玩
□	pɯ1	走
□	xən1	撕
□	xɑŋ1	吹走
□	ɑŋ1	狗叫声
□	dʑia2	〜佬：坏的，差的
□	ɡo2	霸住,不给别人。
□	ɡo2	象猪叫声
□	xɑŋ3	瓜
□	tɕʰia5	〜上去：斜着向上
□	pʰɑŋ5	浮
□	ɡæ6	看住，盯住，打球时一个〜住一个
□	ɡuɛi6	〜你一顿
□	kuaʔ7	脚〜郎
□	xuaʔ7	甩
□	təʔ7	黏
□	tɔʔ7	一〜眼泪
□	tɔʔ7	敲、掷
□	tɔʔ7	煮：笋〜肉
□	ŋaʔ8	小缺口
□	tʰəʔ8	〜下来
□	ɡəʔ8	牛用角挑人
□	əʔ8	植物堆起来发酵发热
□	dʑiɔʔ8	行：不〜
□	ȵiʔ8	眼〜
㪗	tʰei3	
㬟	vən6	
䱗	tsʰæ1	
一	dzæ1	
一	kæ2	
一	xaʔ2	
一	iʔ7	
七	tɕʰiʔ8	
万	væ6	
丈	dza1	
丈	dzæ1	
上	zæ1	
上	zæ2	
下	ɦo2	
不	pəʔ7	
丐	kɛi5	
丑	tsʰei3	
專	tɕʏ1	
且	tɕʰia3	
丕	pʰi1	
世	sɿ5	
丙	pin1	
業	ȵiʔ8	
東	toŋ1	
絲	sɿ1	
丞	dzən2	
丟	tei1	
兩	ȵiɛ4	
嚴	ȵiɪ1	
喪	sɑŋ1	
个	tɕi2	
个	kəʔ7	
中	ɦo1	
丰	foŋ1	
臨	ȵin1	
丸	ʏ2	
丹	tæ1	
爲	uei1	
主	tsu1	
丽	ȵi1	
舉	tɕy2	
乃	lɛi1	
久	tɕiɯ1	
義	i5	
之	tsɿ1	
乏	vaʔ2	
樂	iaʔ7	
樂	lɔʔ8	
喬	dʑiao2	
乖	kua1	
乘	dzən2	
乙	iʔ7	
九	tɕiɯ1	
乞	tɕʰiʔ8	
也	ia3	
鄉	ɕiɛ1	
鄉	ɕiɑŋ1	
書	bɛi2	
買	ma4	
亂	ȵʏ5	
乾	dʑiɪ2	
了	su1	
了	tɕia2	
了	ȵiao3	〜结
爭	tsən1	
事	ku1	
事	zɿ2	
事	ku2	
二	ȵi1	
虧	kʰuei1	
雲	yn2	
互	ɦu1	
五	ŋ̍2	
井	tɕin3	
亞	ia3	
亟	tɕiʔ7	
亡	mɑŋ1	
亥	ɦɛi6	
亦	iʔ7	
產	tsʰæ1	
亨	xən1	
畝	mɯ1	
京	tɕin1	
亭	din2	
亮	ȵiɛ5	
親	tɕʰin1	
亳	bɔʔ8	
人	ȵin1	
人	dza2	
人	tsʰoŋ2	
億	i5	
仁	zən2	
仂	ləʔ8	
僅	tɕin3	
仇	dzei2	
今	tɕin1	
介	ka1	
介	tɕia2	
介	tɕiɛ2	
仍	zən2	
倉	tsʰɑŋ1	
仔	tsɿ3	
仕	zɿ2	
他	tʰa1	
他	tɕʰiɯ2	
仗	dzæ1	
付	fu5	
仙	ɕiɪ1	
令	ȵin5	
儀	i1	
仰	ȵiɛ4	
件	dʑiɪ6	
價	ko2	
任	zən2*	
份	vən6	
仿	fɑŋ3	
企	tɕʰi3	
伊	i1	
伍	u2	
伏	vɔʔ8	
伐	vaʔ2	
休	ɕiɯ1	
優	iɯ1	
會	uɛi2	
偉	uei3	
傳	dʑʏ1	
伢	ŋo1	
伯	pəʔ7	
估	ku1	〜计
伴	bʏ6	
伶	ȵin1	
伸	sən2	
伺	sɿ5	
似	zɿ2	
佃	diɪ6	
但	dæ1	
佈	pu5	
低	ti1	
住	tɕʰiɯ2	
住	dzu6	
