#漢字	音標	解釋
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tʂɑŋ6	
三	san1	
上	ʂɑŋ6	~下
上	ʂɑŋ3	声
下	ɕiɑ6	文
下	xɑ6	白
不	tɕin1	
不	pu7	
与	ʯ2	
与	ʯ3	
丐	kɑi5	
丑	tʂʰou3	
專	tʂʯan1	
且	tɕʰie3	
丕	pʰi1	
世	ʂʅ5	
丘	tɕʰiou1	
丙	pin3	
業	nie7	
業	ie7	文
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tʂʰən2	
丢	tiou1	
兩	niɑŋ3	
嚴	ian2	文
嚴	nian2	白
喪	sɑŋ1	
喪	sɑŋ5	
个	ko5	
丫	iɑ1	
中	tʂoŋ1	
中	tʂoŋ5	~奖
丰	foŋ1	
串	tʂʰʯan5	
臨	nin2	
丸	uan2	
丹	tan1	
爲	uei6	什么
爲	uei2	作~
主	tʂʯ3	
麗	ni6	
舉	tʂʯ3	
乃	lɑi3	
久	tɕiou3	
義	tʂən5	
義	i5	文
義	ni6	白
之	tʂʅ1	
烏	u1	
乍	tʂɑ5	
乎	xu1	
乏	fɑ6	
樂	lo7	快~
樂	io7	音
乒	pʰin1	
乓	pʰɑŋ1	
喬	tɕʰiɔu2	
乖	kuɑi1	
乘	tʂʰən2	
九	tɕiou3	
乞	tɕʰi7	
也	ie3	
習	ɕi6	
鄉	ɕiɑŋ1	
書	ʂʯ1	
買	mɑi3	
亂	lan6	
乳	ʯ3	
乾	tɕʰian2	
了	niɔu3	
予	ʯ2	
爭	tʂən1	
事	sɿ6	
二	er6	
于	ʯ2	
虧	kʰuei1	
云	ʯən2	
互	ɕiɑŋ1	
互	xu6	
亓	tɕʰi2	
五	u3	
井	tɕin3	
亘	kən5	
亞	iɑ5	
些	ɕie1	
亟	tɕi7	
亡	uɑŋ2	
亢	kʰɑŋ5	
交	tɕiɔu1	
亥	xɑi6	
亦	i6	
亨	xən1	
畝	mo3	
享	ɕiɑŋ3	
京	tɕin1	
亭	tʰin2	
亮	pʰiɔu5	
亮	niɑŋ6	
親	tɕʰin1	
親	tɕʰin5	
褻	ɕie7	
人	tɕʰin1	
人	ʐən2	
億	i5	
什	ʂən2	
仁	ʐən2	
仁	tʂʯ5	
仄	tse7	
僅	tɕin3	
仆	pʰu7	
仇	tʂʰou2	人
仇	tɕʰiou2	姓氏
今	tɕin1	
介	tɕiɑi5	
仍	ʯən2	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰɑŋ1	
他	tʰɑ1	
他	tɕin3	
仗	tʂɑŋ6	
付	fu5	
仙	ɕian1	
代	tɑi6	
令	nin6	
以	i3	
儀	pin1	
儀	i2	文
儀	ni2	白
們	mən2	
仰	iɑŋ3	
仲	tʂoŋ6	
件	tɕian6	
價	tɕiɑ5	
任	ʯən6	
任	ʯən2	姓氏
份	fən5	
仿	fɑŋ3	
企	tɕʰi3	
伉	kʰɑŋ5	
伊	i1	
伍	u3	
伎	tɕi6	
伏	fu7	
