#漢字	音標	解釋
□	xuæ3	(例如:tsɪ˩˧~直摇晃)
□	lən3	(鲤鱼)打~，在水里有力地转身
□	xæ5	(拿棍子~•kɪ:他拿棍比着他，威胁要打)
□	sɒ5	(~·læ·kɪ:散失，例如米从袋里撒了)
□	zɒ5	(~·læ·kɪ:四散奔逃)
□	tɕʰiəu5	(~·kɪ碗吃:凑着碗吃，别撒了)
□	me2	
□	kʰɒ1	~住他，使他进退两难
□	tɕʰiɒ1	~倒他，使他进退两难
□	li1	~醋心，胃里发酸
□	pu1	~出来，挤压出来
□	nã1	~把我十块钱，硬塞给我十元
□	tɕʰiəu3	~~看，凑合一下看看
□	xɪ̃3	~草，除草
□	tsæ5	~的，斜的
□	kʰən5	~头，关键:讲到~头上，说到关键处
□	xən5	~~他，恫吓他
□	uæ7	~苦的，非常苦
□	no7	~子，小棺材
□	n̩3	不必问，带有不耐烦的口气
□	le1	催，~~他
□	te3	唤人声，相当千＂喂!”
□	læ3	嘴巴一~开来，嘴角向外张开
□	tsɒ7	嚼
□	xã1	慢
□	kʰuã3	我不敢~他，我不敢招惹他，调戏
□	xəu1	扯~，得气管炎，~子，气管炎病人
□	nom3	把他~掼倒，把他推倒
□	tõ3	拦住
□	pʰie3	掰
□	tɕʰie1	斜．~~的走，走斜路
□	n̩2	是的(肯定答语)
□	nom1	暗中塞东西给人:望他荷包里~
□	tɕʰiəu1	烟~死人，烟熏人
□	tõ5	窪处:酒~，酒窝;水~，水窪
□	ŋɒ5	轧，~棉花，拉;~胡琴
□	ɪ3	这
□	xɪ7	那，~个，~里
□	zau2	饥饿感
□	lõ2	驱逐
□	pʰom1	鼓起来:~·~的(多用千乳房)，~起来(如发面发起来了)
㘖	iɪ̃5	
㨪	xuã5	
㹠	ɾən2	~猪，母猪
㿭	tsʰæ7	
䏘	pʰɪ7	女阴
一	iɪ7	
丁	tin1	
七	zɪ7	
万	uã5	新
万	vã5	老
丈	zã5	
三	sã1	
上	zã5	
下	ɣɒ5-	
下	ʑiɒ5=	
不	po7	
与	y3	
与	y5	参~
丐	kæ5	
丑	tsʰəu3	
專	tsõ1	
且	tɕʰiæ7	
丕	pʰi3	
世	sɹ̩5	
丘	tɕʰiəu1	
丙	pin3	
業	ɲiæ7	
叢	zom2	
東	tom1	
絲	sɹ̩1	
丞	zən2	
丢	tiəu1	
兩	liã3	
嚴	ɲiɪ̃2=	
嚴	ŋɪ̃2-	~丝密缝的
並	vin5	~排
喪	sã5	~失
喪	sã1	婚~
个	ko5	
丫	ŋɒ1-	
丫	iɒ1=	~头
中	tsom5	射~
中	tsom1	当~
丰	fom1	
串	tsʰõ5	
臨	lin2	
丸	ɣuõ2	~药
丹	tã1	
爲	ue5	~什么
爲	ue2	作~
主	tɕy3	
麗	li5	
麗	li2	高~
舉	tɕy3	
乃	næ3	
久	tɕiəu3	
義	ɲi5	
之	tsɹ̩1	
烏	u1	
乎	ɣu2	
乏	vɒ7	
樂	lɔ7	逍遥快~
樂	iɔ7	音~
喬	ʑiau2	
乖	kuæ1	
乘	zən2	
乙	iɪ7	
九	tɕiəu3	
乞	tɕʰiɪ7	
也	ie3	
習	ŋɪ7	
鄉	ɕiã1	
書	ɕy1	
買	mæ3	
亂	lõ5	
乳	y3	
乾	kɪ̃1	~湿
乾	ʑiɪ̃2	~坤
了	liau3	~结
爭	tsən1	
事	zɹ̩5	
二	ɚ5=	
于	y2	
虧	kʰue1	
云	in2	
互	ɣu5	
五	u3	
井	tɕin3	
亘	kən3	横~
亞	iɒ5	
些	ɕi1	
亡	uã2	
交	tɕiau1	
亥	ɣæ5	
亦	iɪ7	
產	tsʰã3	
亨	xən1	
享	ɕiã3	
京	tɕin1	
亭	ɾin2	
亮	liã5	
親	tɕʰin1	
褻	kɪ7	
人	zən2	
億	i5	
什	kɪ7	~物
仁	zən2	
僅	tɕin3	
仇	ʑiəu2	姓
今	tɕin1	
介	kæ5	
仍	zən2	
从	tsʰom1	~容
从	zom2	跟~
倉	tsʰã1	
他	tʰɒ1	城
仗	zã5	
付	fu5	
仙	sɪ̃1	
代	ɾæ5	
令	lin5	
儀	ɲi2	
仰	ɲiã3	
仲	zom5	
件	ʑiɪ̃5	
價	tɕiɒ5	
任	zən2	姓
任	zən5	责~
份	vən5	
仿	fã3	
企	ʑi3	
伊	i2	
伍	u3	
伐	vɒ7	
休	ɕiəu1	
衆	tsom5	
優	iəu1	
伙	xo3	
會	kʰuæ5	~计
會	ɣue5	开~;~不~
傘	sã3	
偉	ue3	
傳	zõ2	~达
傳	zõ5	~记
伢	ŋɒ2	
傷	sã1	
倫	nən2	
僞	ue3	
伯	pæ7	
估	tsõ5	
估	ku3	~计
伴	võ5	
伶	lin2	
伸	sən1	
伺	zɹ̩5	
似	zɹ̩5	
佃	ɾɪ̃5	
但	ɾã5	
位	ue5	
低	ti1	
住	ʑy5	
佐	tso3	
體	tʰi3	
何	ɣo2	
佘	ze2	
余	y2	
佛	vo7	
作	tsɔ7	
佞	lin5	
你	ɲin5	乡
你	ɲi3	域
僉	tsʰɪ̃1	
佩	pʰe5	
佳	tɕiɒ1	
使	sɹ̩3	
侃	kʰã3	
侈	tsʰɹ̩3	
例	li5	
供	kom1	~给
供	kom5	~养
依	i1	
俠	ʑiɒ7	
偵	tsən1	
側	tsʰæ7	
侮	u3	
侯	ɣəu2	
侵	tɕʰin1	
便	vɪ̃2	~宜
便	vɪ̃5	方~
係	ɕi5	
促	tsʰo7	
俄	ŋo2	
俊	tɕin5	
俏	tɕʰiau5	
俗	zo7	
俘	vu2	
保	pau3	
俟	zɹ̩5	
信	ɕin5	
儼	ɲiɪ̃3	
儉	ʑiɪ̃5	
修	ɕiəu1	
俱	ʑy5	
俸	vom5	
俾	vi5	
併	pin5	合~
倍	ve5	
倒	tau5	~水
倒	tau3	打~
倘	tʰã3	
候	ɣəu5	
借	tɕie5	
倡	tsʰã1	~优
倡	tsʰã5	提~
倣	fã3	
倦	ʑiɪ̃5	
倪	ɲi2	
倭	ŋo1	
債	tsæ5	
值	ŋɪ7	
傾	tɕʰin1	
假	tɕiɒ3	(新)真~，放~
假	kɒ3-	老
偏	pʰɪ̃1	
偕	ʑiæ2=	
做	tso5	
停	ɾin2	
健	ʑiɪ̃5	
偶	ŋiəu3	~然;匹~
偷	tʰəu1	
償	zã2	
傀	kʰue1	~儡
傅	fu5	
傍	vã5	
傢	tɕiɒ1	
儲	ʑy2	
催	tsʰe1	
傲	ŋau5	
傻	sɒ3	
像	ʑiã5	
僕	pʰo7	
僧	sən1	
僭	zɪ̃1	
僵	tɕiã1	
僻	pʰɪ7	
儒	ʑy2	
儡	le3	
兒	ɚ2=	
允	in3	
元	iɪ̃2	
兄	ɕiom1	
充	tsʰom1	
兆	zau5	
兇	ɕiom1	
先	sɪ̃1	
光	kuã1	
克	kʰæ7	
免	mɪ̃3	
兑	ɾe5	
兔	ʰu5	
兗	iɪ̃3	
黨	tã3	
兜	təu1	
兢	tɕin1	
入	ŋɪ7	
全	zɪ̃2	
八	pɒ7	
公	kom1	
六	lo7	
兮	ɕi1	
蘭	lã2	
共	ɣom5	
關	kuã1	
興	ɕin1	~旺
興	ɕin5	高~
兵	pin1	
其	ʑi2	
具	ʑy5	
典	tɪ̃3	
兹	tsɹ̩1	
養	iã3	
兼	tɕiɪ̃1	
獸	səu5	
冀	tɕi5	
内	ne5	
岡	kã1	
冉	zõ2	
册	tsʰæ7	
再	tsæ5	
冒	mau5	
寫	ɕie3	
軍	tɕin1	
農	nom2	
冠	kuõ5	~军
冠	kuõ1	衣~
冢	tsom3	
冤	iɪ̃1	
冥	min3	
冬	tom1	
馮	vom2	
冰	pin1	
冲	tsʰom1	
決	tɕiæ7	
况	kʰuã5	
冶	ie3	
冷	lən3	乡下少数老人的读音
冷	nən3	城
凍	tom5	
淨	ʑin5	
凄	tɕʰi1	
準	tsən3	
涼	liã2	
凌	lin2	
減	tɕiã3	
湊	tsʰəu5	
凜	lin3	
凝	ɲin2	
几	tɕi1	~乎
几	tɕi3	~个
凡	vã2	
鳳	vom5	
凱	kʰæ3	
凳	tən5	
凶	ɕiom1	
出	tsʰo7	
擊	tɕiɪ7	
函	ɣɪ̃2	
鑿	zɔ7	
刀	tau1	
刁	tiau1	
刃	zən5	
分	fən1	~开
