#漢字	音標	解釋
□	tʰɤ3	tʰɤ lɤ:肋脦
□	nəŋ2-	~唧:一般指小孩
□	pia1-	~唧:吃东西时嘴里发出的响声。
□	pʰia1-	~~的:形容跑步或者走路声音响。
□	pʰia5-	~击:一个圆形卡片,小孩子用来当玩具。
□	pʰa1	~了:软和
□	kʰa1	~掉:用刀子刮
□	nou1	~了:东西坏了变质了。
□	ʐou1	~~的:形容速度快。
□	niau1	~悄的:悄悄的
□	ʂa2	~么:到处看
□	tʂʰuo2	~鼓:蹂躏
□	pa3	~~:大便
□	tʂʰua3	~子:钵
□	tʂʰuo3	~着:立着
□	tʰəŋ5	~会儿:等一会
□	tʰiŋ5	上~:打麻将胡了。
□	tiau3-	不~人:不理人
□	tuaŋ2-	形容撞击的声音响。
□	tʂan3	禁tɕin~:脏了不容易看出来攒
擓	kʰuai3-	~脚
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uan5	
丈	tʂaŋ5	
三	ʂan1	
上	ʂaŋ5	
上	ʂaŋ3	~声
下	ɕia5	
不	pu5	
不	pu2	~是
与	y3	
丑	tʂʰou3	
專	tʂuan1	
且	tɕʰiɛ3	
丕	pʰi1	
世	ʂʅ5	
丙	piŋ3	
業	iɛ6	
叢	tʂʰuŋ2	
東	tuŋ1	
絲	ʂʅ1	
丞	tʂʰəŋ2	盛~饭
丢	tiou1	
兩	ɕi1	
兩	liaŋ3	
嚴	ian2	
喪	ʂaŋ5	
个	kɤ5	
个	kɤ3	自~儿
丫	ia1	
中	tʂuŋ1	
中	tʂuŋ5	~暑
丰	fəŋ1	
串	tʂʰuan5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei5	
爲	uei2	~难
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nai3	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乏	fa2	
樂	lɤ5	
樂	yɛ5	
乒	pʰiŋ1	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	tʂʰəŋ2	
乙	i3	
乜	miɛ1=	
也	iɛ3	
也	iɛ6	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luan5	
乳	ʐu3	
乳	lu3	腐~
乾	tɕʰian2	
了	liau3	
了	lɤ0	算~
予	y3	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yn2	
五	u3	
井	tɕiŋ3	
亘	kən5=	
亞	ia5	
些	ɕiɛ1	
亟	tɕi2	
亡	uaŋ2	
亢	kʰaŋ5	
交	tɕiau1	
亦	i5	
產	tʂʰan3	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liaŋ5	
親	tɕʰin1	
人	ʐən2	
億	i5	
什	ʂən2	
什	ʂʅ2	~锦
仁	ʐən2	
仄	tʂɤ5	
僅	tɕin3	
仆	pʰu2	
仆	pʰu1	前~后继
仇	tʂʰou2	
今	tɕin1	
今	tʂʅ1-	~个
介	tɕiɛ5	
仍	ʐəŋ1	
从	tʂʰuŋ2	
仑	luən2	
倉	tʂʰaŋ1	
仔	tʂʅ3	
仔	tʂai3	同崽
仕	ʂʅ5	
他	tʰa1	
仗	tʂaŋ5	
付	fu5	
仙	ɕian1	
仞	ʐən5	
仟	tɕʰian1	
代	tai5	
以	i3	
仨	ʂa1	
儀	i2	
們	mən0	
仰	iaŋ3	
仲	tʂuŋ5	
件	tɕian5	
任	ʐən2	
任	ʐən5	
份	fən5	
仿	faŋ3	
仿	faŋ3	~佛
企	tɕʰi3	
伉	kʰaŋ5	
伊	i1	
伍	u3	
伎	tɕi5	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tʂuŋ5	
優	iou1	
傘	ʂan3	
偉	uei3	
傳	tʂʰuan2	
傳	tʂuan5	~记
伢	ia2	
傷	ʂaŋ1	
倫	luən2	
傖	tʂʰaŋ1	
僞	uei3	
佇	tʂu5	
伯	pɤ2	
伯	pai1-	大~子
估	ku1	
伴	pan5	
伶	liŋ2	
伸	ʂən1	
伺	tʂʰʅ5	~侯
伺	ʂʅ5	~机
似	ʂʅ5	
似	ʂʅ3	~的
伽	tɕia1	
佃	tian5	
位	uei5	
低	ti1	
住	tʂu5	
佐	tʂuo3	
佑	iou5	
體	tʰi3	
佗	tʰuo2	
佘	ʂɤ2	
余	y2	
佛	fɤ2	
佛	fu2	
作	tʂuo5	
作	tʂuo1	~坊
作	tʂuo2	~料
佝	kou1	
佟	tʰuŋ2	
你	ni3	
佣	ʐuŋ5-	
佤	ua3	
佩	pʰei5	
佬	lau3	
佯	iaŋ2	
佳	tɕia1	
佻	tʰiau1	
使	ʂʅ3	
侃	kʰan3	
侄	tʂʅ2	
侈	tʂʰʅ3	
例	li5	
侍	ʂʅ5	
侏	tʂu1	
侗	tuŋ5	
依	i1	
俠	ɕia2	
侶	luei3-	
僥	tɕiau3	
偵	tʂən1	
側	tʂʰɤ5	
側	tʂai1	~棱
僑	tɕʰiau2	
儈	kʰuai5	
儂	nuŋ2	
侮	u3	
侵	tɕʰin1	
便	pʰian2	~宜
便	pian5	方~
促	tʂʰu5	
俄	ɤ1	
俊	tʂuən5	
俏	tɕʰiau5	
俐	li5	
俑	ʐuŋ3-	
俗	ʂu2	
俘	fu2	
保	pau3	
俞	y2	
信	ɕin5	
儼	ian3	
倆	lia3	
倆	liaŋ3	伎~
儷	li5	
儉	tɕian3	
修	ɕiou1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
俺	an3	
倌	kuan1	
倍	pei5	
倏	ʂu1	
倒	tau3	~下
倒	tau5	~车
倔	tɕyɛ5	
倔	tɕyɛ2	~强
倘	tʂʰaŋ2	
倘	tʰaŋ3	
倚	i3	
倜	tʰi5	
借	tɕiɛ5	
倦	tʂuan5-	
倨	tɕy5	
倩	tɕʰian5	
倪	ni2	
倭	uo1	
債	tʂai5	
值	tʂʅ2	
傾	tɕʰiŋ1	
偃	ian3	
