#漢字	音標	解釋
□	xa1	~东西
□	tsuai1	~ 瞌睡
□	tsuai1	~石头
□	tsua2	~脑壳
□	nia2	~垮，拖沓
□	o2	~着起了:沤了
□	pɑo2	~~:肚子
□	niɑo2	~菜
□	kuan2	~人，自己
□	kuaŋ2	~白
□	na3	~口
□	tsa3	~包
□	tsʰa3	~开
□	tsʰa3	~口~嘴
□	pʰan3	~草:除草、铲草
□	ŋan3	~ 菜、~汤
□	pa5	~腿:大腿
□	ŋaŋ5	~头~脑
□	tʰən5	~他去干，自己不去
□	tsʰoŋ5	~壳子
□	pʰa1	一~口水
□	pʰai1	一种用瓦片做的游戏工具
□	kʰa3	一~，指姆中指张开的长度
□	pʰai3	一~长、~开
□	pei3	乱动:~个不停
□	tʰuᶹ5	做事差劲
□	poŋ3	凸
□	sɿ1	厕，茅~
□	pʰoŋ1	围拥而上
□	ka3	大，不紧
□	tsʰuai5	好要性子
□	mi1	小睡，~觉:~一下
□	tiəu2	小，~~嘎
□	tsua3	手不利索
□	ka3	打球防卫
□	tʰən3	打~:犹豫
□	o5	打~，弄脏
□	pʰie̞3	折、掰
□	niəu1	掐
□	mie̞1	掰
□	tioŋ5	支使
□	mo1	末，最~一个
□	tɕio3	歪
□	mai1	没精神
□	tsa3	沤
□	piɑo5	滑 ~ ~
□	ka2	点点~
□	nai5	烫
□	tiɑo3	爱打扮
□	kuaŋ3	玉米秆，包谷~
□	pei3	玩东西
□	nia5	瘸
□	kʰaŋ3	盖
□	no1	睡~~
□	xəu1	肉、油等变味
□	ka3	肉，~~
□	pʰɑo1	肿
□	maŋ1	胖
□	nia3	舔
□	kʰa2	跨
□	tɕʰia2	跨
□	tsua2	踢
□	nia5	踩
□	pʰa1	软，~和
□	kʰuaŋ3	郎~:大
□	tɕio1	量词:一小~
□	paŋ2	量词
□	toŋ2	量词: 一~,好大一~
□	tsʰe̞5	风流
□	maŋ1	饭，多对小孩用
㞎	pa3	
㡀	pʰie̞5	不好，孬
㵲	vuᶹ3	
一	i2	
丁	tin1	
七	tɕʰi2	
万	van5	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	ɕia5	
下	xa5	白，一~
不	puᶹ2	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tsuan1	
且	tsʰe̞3	
且	tɕʰie̞3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	nie̞2	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən2	
丟	tiəu1	
兩	niaŋ3	
嚴	niɛn2	
嚴	ŋan2	门关~
喪	saŋ5	~失
喪	saŋ1	婚~
个	ko5	
丫	ia1	
中	tsoŋ1	
中	tsoŋ5	打~
丰	xoŋ1	
串	tsʰuan5	
臨	nin2	
丸	van2	
丹	tan1	
爲	vei5	~什么
爲	vei2	作~
主	tsuᶹ3	
麗	ni5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	vuᶹ1	
乍	tsa5	
乎	fuᶹ2	
乏	fa2	
樂	no2	快~
樂	io2	音~
喬	tɕʰiɑo2	
乖	kuai1	
乘	tsʰən2	
乙	i2	
九	tɕiəu3	
乞	tɕʰi2	
也	ie̞3	
習	ɕi2	
鄕	ɕiaŋ1	
書	suᶹ1	
買	mai3	
亂	nuan5	
乳	zuᶹ3	
乾	tɕʰiɛn2	~坤
了	na3	
了	niɑo3	
予	y3	
爭	tsən1	
事	sɿ5	
二	e̞5	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fuᶹ5	
五	vuᶹ3	
井	tɕin3	
亞	ia5	
些	ɕi1	
些	ɕie̞1	
亡	vaŋ2	
交	tɕiɑo1	
亥	xai5	
亦	i2	
產	tsʰan3	新
產	tsʰuan3	老
亨	xən1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
親	tɕʰin1	
人	zən2	
億	i5	
什	sɿ2	
仁	zən2	
仄	tse̞2	
僅	tɕin3	
仆	pʰuᶹ2	
仇	tsʰəu2	
今	tɕin1	
今	tsən1	白，~年子
介	kai5	
仍	zən2	
从	tsʰoŋ2	
仑	nən2	
倉	tsʰaŋ1	
仔	tsai3	
仔	tsɿ3	~细
仕	sɿ5	
他	tʰa1	
他	na1	白
仗	tsaŋ5	
付	fuᶹ5	
仙	ɕiɛn1	
代	tai5	
令	nin5	
以	i3	
儀	ni2	
們	mən1	
仰	niaŋ3	
仲	tsoŋ5	
件	tɕiɛn5	
價	tɕia5	
任	zən5	~何
任	zən2	姓~
份	fən5	
份	xuən5	
仿	faŋ3	
仿	xuaŋ3	
企	tɕʰi5	
伊	i1	
伍	vuᶹ3	
伎	tɕi5	
伏	fuᶹ2	
伐	fa2	
伐	xua2	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	~计
會	fei5	开~
傘	san3	
偉	vei3	
傳	tsʰuan2	~达
傳	tsuan5	自~
傷	saŋ1	
倫	nən2	
僞	vei5	
伯	pe̞2	
估	kuᶹ3	
伴	pan5	
伶	nin2	
伸	sən1	
伸	tsʰən1	白，~手
伺	tsʰɿ5	
似	sɿ5	
伽	tɕia1	
佃	tiɛn5	
但	tan5	
位	vei5	
低	ti1	
住	tsuᶹ5	
住	tso5	白
佐	tso3	
佑	iəu5	
體	tʰi3	
何	xo2	
佘	se̞2	
余	y2	
佛	fuᶹ2	
作	tso2	
你	ni3	
佤	va3	
佩	pʰei5	
佬	nɑo3	
佳	tɕia1	
使	sɿ3	
侃	kʰan3	
侃	kʰuan3	~龙门阵
侄	tsɿ2	
