#漢字	音標	解釋
一	i2	
七	tɕʰi2	
万	uan5	
三	san1	
上	ʂaŋ5	上山
上	ʂaŋ5	上面
下	ɕia5	下山
不	pu2	
丑	tʂʰəu3	美丑
專	tʂʯan1	
世	ʂʅ5	
業	lie2	
東	toŋ1	
絲	sɿ1	
丢	tiəu1	
兩	liaŋ3	两个
兩	liaŋ3	斤两
嚴	lian2	
个	ko5	
中	tʂoŋ1	中间
中	tʂoŋ5	中奖
串	tʂʰʯan5	
主	tʂʯ3	
舉	tʂʯ3	
乏	xua2	
樂	lo2	快乐
樂	io2	音乐
乙	i2	
九	tɕiəu3	
習	ɕi2	
書	ʂʯ1	
買	mai3	
亂	lan5	
爭	tsen1	
事	sɿ5	
二	ɚ5	
虧	kʰuei1	
云	ʯen2	白云
五	u3	
井	tɕin3	
交	tɕiau1	
產	tʂʰan3	
畝	mo3	
京	tɕin1	
亮	liaŋ5	
親	tɕʰin1	
人	ʐen2	
億	i5	
今	tɕin1	
介	tɕiai5	
从	tsʰoŋ2	服从
倉	tsʰaŋ1	
他	tʰa1	
令	lin5	
件	tɕian5	
伏	xu2	
伐	xua2	
休	ɕiəu1	
優	iəu1	
會	xuei5	开会
傘	san3	
傳	tʂʰʯan2	传达
傷	ʂaŋ1	
伯	pe2	
位	uei5	
低	ti1	
住	tʂʯ5	
體	tʰi3	
作	tso2	工作
你	li3	
侄	tʂʅ2	
側	tsʰe2	
便	pʰian2	便宜
促	tsʰəu5	
俊	tɕin5	
俗	səu2	
信	ɕin5	
修	ɕiəu1	
借	tɕie5	借钱
倦	tʂʯan5	
債	tʂai5	
值	tʂʅ2	
假	tɕia3	真假
做	tsəu5	
停	tʰin2	
偷	tʰəu1	
催	tsʰei1	
傻	ʂa3	
像	tɕʰiaŋ5	
僻	pʰi3	
兒	ɚ2	
元	ʯan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
先	ɕian1	
光	kuaŋ1	
克	kʰe2	
入	ʯ2	
全	tɕʰian2	
八	pa2	
公	koŋ1	
六	ləu2	
蘭	lan2	
共	koŋ5	
關	kuan1	
兵	pin1	
具	tʂʯ5	
養	iaŋ3	
内	lei5	
册	tsʰe2	
軍	tʂʯen1	
農	loŋ2	
冬	toŋ1	
馮	xoŋ2	
冰	pin1	
冲	tʂʰoŋ1	
決	tʂʯe1	
冷	len3	
凍	toŋ5	
準	tʂʯen3	批准
涼	liaŋ2	
凌	lin2	
減	tɕian3	
湊	tsʰəu5	
几	tɕi3	几个
凡	xuan2	
凶	ɕioŋ1	吉凶
出	tʂʰʯ2	
擊	tɕi2	
鑿	tso2	
刀	tau1	
分	xuen1	分开
切	tɕʰie2	切开
划	xua2	划船
列	lie2	
劉	liəu2	
則	tse2	
創	tʂʰʯaŋ5	
初	tsʰəu1	
删	ʂan1	
