#漢字	音標	解釋
□	nɑŋ1	{“那边”的合音}
□	tsɑŋ1	{“这边”的合音}
□	nəŋ1	{“那样”的合音}
□	tsəŋ1	{“这样”的合音}
□	ȵiɛ2	{“你家”的合音}
□	tɕiɛ3	{“这一”的合音}
□	ȵiɛ3	{“那一”的合音}
□	tsəŋ3	{“怎样”的合音}
□	na6	{“人家”的合音}
□	ɕiəʊ6	{“媳妇”的合音}
□	tsʰu1	~出来:伸出来
□	tɔ1	~挖:乱抓
□	tsʰɔ1	~饭:盛饭
□	ŋɔ1	~菜:烩菜
□	ŋɔ1	~糟:邋遢
□	tsᴇ1	~啦:跑了
□	kʰɪ1	~了一顿:训斥
□	ŋəʊ1	~白菜
□	xæ̃1	~水:口水
□	y2	~窝儿
□	ɕiæ̃2	~一~:尝一尝
□	mi3	~嘴
□	mɔ3	~上了:拼劲全力
□	nɔ3	~和:暖和
□	pɪ3	~住了:一时想不起
□	ŋəʊ3	~烟
□	nɑŋ3	~口:大口吃
□	kɑŋ3	~:生气的样子
□	ləŋ3	~生的:野生的
□	iŋ3	~住了:噎住了
□	pʰi6	~圪虫:一种蛀虫
□	pʰi6	~子:一种吹奏玩具
□	næ̃6	~住啦:陷入淤泥无法走动
□	yæ̃6	~子:一种提篮
□	vəʔ7	~断:折断
□	vəʔ7	~脱水:温水
□	səʔ7	~跟:相跟
□	tɕiəʔ7	~~:指甲
□	tɕyəʔ7	~着啦:用力过猛
□	paʔ8	~人:指冷水刺激皮肤
□	ɕi2	一~地
□	lᴇ3	不~:摆动
□	sɔ6	凉~:凉快
□	tɕʰyæ̃2	发旋
□	ti10	后~:后头
□	pəŋ1	吹牛
□	mɔ1	圪~:看一眼
□	liɔ1	圪~:弯曲
□	lɑŋ1	圪~:胸膛
□	tɕiuŋ1	圪~:猪用鼻子拱
□	luæ̃2	圪~:揉成一团
□	lɑŋ2	圪~:小巷
□	liŋ2	圪~子:松鼠
□	y3	圪~:戳进去
□	tɕiəʊ3	圪~:蹲下
□	tɕʰiəʊ3	圪~:凑到跟前
□	luẽ3	圪~:滚动
□	pʰu5	圪~子:蚌
□	læ̃6	圪~:玉米杆儿
□	tsaʔ7	圪~:煮
□	pʰiæ̃3	夸大其词
□	pʰi2	形容小孩听话
□	tɕʰiəʔ7	形容人长的好看
□	ləŋ1	扑~翅膀
□	piɛ6	打~:抬杠
□	tɕʰyæ̃6	打哈~:打哈欠
□	ŋɔ1	把物体弄弯
□	piɛ3	把门~开:把门撬开
□	xəŋ3	拿
□	tsəʊ1	挠痒痒
□	lyɛ6	木头圪~:一段木头
□	ku3	毛毛~:狗尾巴草
□	na1	没~:没有
□	lu2	用蒸汽热熟食
□	tuɪ3	用石块砸人
□	tsʰuəʔ7	用铲子铲起来
□	tsʰuŋ3	碗内水撒出来
□	tiəʊ1	红~~:红红的
□	ȵiəʊ6	脾气不好
□	tsʰəŋ5	象声词
□	tɕʰiɔ5	野~子:喜鹊
□	tʰi5	量词，一~子酱油
□	tsuᴇ3	阔气
□	lyæ̃6	阴圪~:月晕
□	sɿ1	面~:浆糊
□	fɪ5	顽皮
㞘	tuəʔ8	~子:屁股
㪕	tsʰɔ1	~起棍子
䀇	ku3	一~子粥
䝼	tɕʰiŋ2	
钁	tɕyəʔ7	~头
一	iəʔ7	
