#漢字	音標	解釋
□	tɤ9	
□	kʰɤ4	thɛ3~:随便
□	ɕia1	~脚:拐脚
□	tʰɛ1	~□to5:乖
□	kʰo1	~笋:茭白
□	tã1	~凌:冰凌
□	tsã1	~困:打盹
□	tɕiõ1	~屎:把屎
□	tɕʰiõ1	~□kɔ4:刚才
□	ȵy2	~笠:箬笠
□	sa2	~骨:肋骨
□	mɛ2	~缸:海碗
□	xo2	~□khɛ3:蚯蚓
□	lĩ2	~梯:楼梯
□	lõ2	~苏:茄子
□	õ2	~虼:癞蛤蟆
□	ɕy3	~□tɕiɤ4:喜鹊
□	tʰɛ3	~□khɤ4:随便
□	tʰe3	~气:喘气
□	xɔ3	~一~:抖一抖
□	xo3	~闪:闪电
□	ɕiõ3	~□fuən4:怎么
□	pe4	~□khuɛ1:一只眼
□	me4	~丹:牡丹
□	te4	~饭:盛饭
□	te4	~事:故意
□	lɔ4	~宗家:男人
□	ŋɔ4	~尘:灰尘
□	fuə4	~橘
□	so4	~~抖:咯咯发抖
□	pʰi5	~痰:吐痰
□	i45	~□xɛ1:有
□	ȵiɛ5	~人:我们
□	ŋɔ5	~□ɕiɤ1:羡慕
□	tĩ5	~□tɤ5:颠倒
□	lã6	~□sa5:耍人
□	pu9	~□ɔ1:疤
□	xa9	~□i9□to2:一种虫
□	pʰĩ9	~刀:菜刀
□	xɛ1	□i45~:有
□	kʰuɛ1	□pe4~:一只眼
□	lɔ1	□pu9~:疤
□	ɕiɤ1	□ŋɔ5~:羡慕
□	iɤ2	□xuə9~:气喘
□	to2	□xa9□i9~:一种虫
□	kɔ4	□tɕhio9~:刚才
□	tɤ5	□ti5~:颠倒
□	sã5	□a9~:耍人
□	tõ5	□thɛ9~:乖
□	li9	□xa9~□to2:一种虫
□	kɤ1	今(天)
□	tɕʰyã1	伸
□	tã6	傻、呆、笨
□	tsʰo4	凹
□	siɛ3	发旋
□	pʰo4	后生~:年轻人
□	tɕyã4	含
□	tɤ4	啄
□	tɕiɤ1	在
□	xo3	多~:多少
□	kuə1	尾~:尾巴
□	lɤ4	庄稼茬;胡茬
□	tɕya2	弯
□	ȵie1	我~:我
□	tã2	手~梗:胳膊
□	siɛ6	打~:眩晕
□	pʰɛ4	扔
□	kʰɤ4	把东西从下面双手捧上来
□	kʰɔ4	抠
□	li1	捋，抚摸
□	pa2	捡、收集
□	miɛ3	捻
□	ma4	掰;~嘴:张嘴
□	kɔ6	放
□	xuə1	暖~:暖和
□	iã5	暗
□	tɕiã1	楔子
□	la1	概数词
□	te9	沓
□	tʰɔ5	涂
□	ɕi1	消失、离开
□	põ6	溪~:溪岸
□	lã6	潜水
□	i4	烧香拜~
□	tsʰõ4	看、瞧
□	iɤ1	石壁~:青苔
□	tse4	碗上缝补好的裂缝
□	sĩ3	脱~:脱臼
□	liõ3	舔
□	u9	蚂~蜞:水蛭
□	pɛ3	蚱~:蚱蜢
□	tɕʰi5	蜇
□	tɕiɤ2	蜷曲
□	tsã2	衫
□	kɛ1	覆~困:趴着睡
□	n̩4	语气词“不”
□	sa4	谷~:稻穗
□	lɔ5	跨
□	tsiɛ5	踮
□	fu2	轻
□	ke5	这
□	tsĩ1	追
□	mo5	那
□	tiɤ5	酿;凑钱
□	ŋɔ4	量词:间
□	y6	钝
□	tsʰĩ4	铙钹
□	tɔ1	镬~盖:锅盖
□	pʰã1	闻
□	iɛ5	阳光太刺眼，~到眼睛了:阳光太刺眼，晃到眼睛了
□	tɕiɤ4	雀
□	to2	驴~:骡子
□	tiɤ1	鱼篓
□	tsʰɔ2	鱼~:鱼刺
□	sɤ5	鸡~:鸡窝
□	sĩ5	黄~:黄鼠狼
㦿	kʰɔ3	
㩳	sã3	推
㬹	tɕiɛ4	手肘
一	i4	
丁	tɛ1	
七	tsʰi4	
万	uə6	
丈	tɕʰiõ4	
