#漢字	音標	解釋
□	tsuai3	
□	kʰa5	
□	tsʰa3	¹
□	ɕia3	¹
□	ɕia5	¹
□	min1	下筹码
□	tsuən1	不假
□	tsʰuai5	久哭、撒泼
□	ŋaⁿ3/ŋæ̃3	估什
□	ŋaŋ3	估计
□	tsuaŋ3	傻呆
□	tɕʰia1	压倒对方
□	təu2	吝啬
□	mən1	呆滞
□	mən3	呆滞
□	kʰən5	困着
□	sai2	塞,往洞缝里装东西
□	tʰən5	拖延
□	tuaⁿ2/tuæ̃2	拦
□	nən1	捏
□	naŋ3	推
□	pʰia3	歪斜意
□	tsʰua3	混、闯荡
□	piao5	滑
□	pʰa3	用作传递意,如“打~失”
□	tsuai2	笨拙
□	sa5	筛选
□	zoŋ2	细沫
□	pie5	表路不好走
□	tsuai1	跌倒
□	kʰa2	跨起,原材料作上声
□	tɕʰia5	跨过
□	kʰa1	轻捏
□	maŋ5	饭,哄小孩语
□	ŋaⁿ2/ŋæ̃2	齐缝
㡀	pʰie5	表差、次
㧳	pʰai3	两臂展开
䆲	kʰaŋ3	盖上
䏵	maŋ1	肥胖
䠙	pʰaŋ3	
一	i2	
丁	tin1	
万	uaⁿ5/uæ̃5	
丈	tsaŋ5	
下	ɕia5	
下	xa5	一~,一会儿
不	puᶹ2	
丑	tsʰəu3	
專	tsuaⁿ1/tsuæ̃1	
丕	pʰei3	
丘	tɕʰiəu1	
丙	pin3	
業	nie2	
丢	tiəu1	
兩	niaŋ3	
嚴	niɛ̃ⁿ3	
个	ko5	
丫	ia1	
中	tsoŋ1	
串	tsʰuaⁿ5/tsʰuæ̃5	
丹	taⁿ1/tæ̃1	
主	tsuᶹ3	
麗	ni5	
乃	nai3	
久	tɕiəu3	
麽	mo2	
烏	vuᶹ1	
乖	kuai1	
習	ɕi2	
買	mai3	
亂	nuaⁿ5/nuæ̃5	
二	ɚ5	
虧	kʰuei1	
云	in2	
五	vuᶹ3	
井	tɕin3	
些	ɕie1	
交	tɕiao1	
產	tsʰaⁿ3/tsʰæ̃3	
畝	məu3	
亮	niaŋ5	
人	zən2	
仇	tsʰəu2	
介	kai5	
从	tsʰoŋ2	
仑	nən2	
他	na1-	
他	tʰa1	
代	tai5	
令	nin5	
仰	niaŋ3	
任	zən5	
仿	faŋ3	
休	ɕiəu1	
優	iəu1	
會	xuei5	
傘	saⁿ3/sæ̃3	
倫	nən2	
估	kuᶹ3	
位	uei5	
體	tʰi3	
你	ni3	
佩	pʰei5	
便	piɛ̃ⁿ5	
便	pʰiɛ̃ⁿ2	价钱少,便宜
信	ɕin5	
借	tɕie5	
假	tɕia3	
偏	pʰiɛ̃ⁿ1	
做	tsəu5	~事
偷	tʰəu1	
偷	nəu1-	偷窃
傲	tsuai3	
傲	ŋao5	
兒	ɚ2	
先	ɕiɛ̃ⁿ1	
光	kuaŋ1	
免	miɛ̃ⁿ3	
兑	tuei5	
兔	tʰuᶹ5	
黨	taŋ3	
兜	təu1	
全	tɕʰiɛ̃ⁿ2	
八	pa2	
六	nuᶹ2	
共	koŋ5	
關	kuaⁿ1/kuæ̃1	
兵	pin1	
兵	poŋ3	
其	tɕʰi2	
内	nuei5	
冒	mao5	
冗	zoŋ3	
寫	ɕie3	
冬	toŋ1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	耍傲逞强
決	tɕie2	
冷	nən3	
凍	toŋ5	
準	tsuən3	
几	tɕi3	
凡	faⁿ2/fæ̃2	
鳳	foŋ5	
凳	tən5	
凴	pʰən1	挨着
凶	ɕioŋ1	
出	tsʰuᶹ2	
刀	tao1	
刁	tiao1	
分	fən1	
切	tɕʰie2	
刊	kʰaⁿ1/kʰæ̃1	
划	xua2	
列	nie2	
創	tsʰuaŋ5	
初	tsʰuᶹ1	
删	suaⁿ1/suæ̃1	
判	pʰaⁿ5/pʰæ̃5	
别	pie2	
到	tao5	
刷	sua2	
刺	tsʰɿ5	
剋	kʰe1	表压制
辦	paⁿ5/pæ̃5	
加	tɕia1	
務	vuᶹ5	
努	nuᶹ3	
勞	nao2	
勒	ne2	
包	pao1	
化	xua5	
匪	fei3	
千	tɕʰiɛ̃ⁿ1	
賣	mai5	
南	naⁿ2/næ̃2	
卜	pʰuᶹ2	
卡	tɕʰia3	
卡	kʰa3	原材料作阳平
卯	mao3	
印	in5	
卻	tɕʰio2	
卵	nuaⁿ3/nuæ̃3	
廠	tsʰaŋ3	
廳	tʰin1	
壓	ia5	
厭	iɛ̃ⁿ5	
去	kʰi5	土语用,如“~不~?”
参	tsʰaⁿ1/tsʰæ̃1	
又	iəu5	
及	tɕi2	
雙	suaŋ1	
反	faⁿ3/fæ̃3	
发	fa2	
发	fa1	头~
叔	suᶹ2	
口	kʰiəu3	
只	tsɿ3	
叫	tɕiao5	
可	kʰo3	
台	tʰai2	
葉	ie2	
號	xao5	
吃	tsʰɿ2	
各	ko2	
吊	tiao3	
同	tʰoŋ2	
名	min2	
后	xəu5	
吐	tʰuᶹ3	
向	ɕiaŋ5	
吞	tʰən1	
否	fəu3	
含	xi酣aⁿ2/xi酣æ̃2	
聽	tʰin5	
吱	ki1	土语,如开门声“吱嘎——”
吵	tsʰao3	
吹	tsʰuei1	
吼	xəu3	
呆	tai2	
告	kao5	
嘔	ŋiəu3	
嗆	tɕʰiaŋ5	
周	tsəu1	
呴	xəu1	出气受阻
命	min5	
咉	ŋaŋ1	声音脆
咧	nie5	
咳	xai1	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	
哈	xa1	
啞	ia3	
譁	xua3	
喲	2约乐音~岳io3	
哥	ko1	
哪	na3	
哭	kʰuᶹ2	
哼	xən1	
脣	suən2	
唉	e2	表应答
唐	tʰaŋ2	
唱	tsʰaŋ5	
啄	tsua2	
商	saŋ1	
啊	a1	
喘	tsʰuai3	
喘	tsʰuaⁿ3/tsʰuæ̃3	
喝	xo1	
噴	pʰən5	
嗯	ən2	
嗯	ən5	
嘀	ti1	
嘎	ka2	
嘞	ne1	
嘴	tsuei3	
嚕	nuᶹ1	
噢	əu5	
嚷	zaŋ3	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰuaⁿ2/tʰuæ̃2	
困	kʰuən5	
國	kue2	
圓	iɛ̃ⁿ2	
在	tsai5	
壞	xuai5	
坐	tso3	
坑	kʰən1	
塊	kʰuai3	
壩	pa5	
墳	fən2	
坡	pʰo1	
