#漢字	音標	解釋
一	jɐt7a	
丁	tɪŋ1	
七	tʰɐt7a	
丈	tsɛŋ6	
三	ɬam1	
上	sɛŋ4	
上	sɛŋ6	
下	ha6	下面
下	ha4	白讀
不	pɐt7a	
丐	kʰɔi5	
丑	tsʰɐu3	
且	tʰɛ3	
世	sɐi5	
丘	jɐu1	
丙	pɪŋ3	
丞	sɪŋ2	
丢	tiu1	
並	pɪŋ4	
丫	a1	
中	tsʊŋ1	中間
中	tsʊŋ5	中獎
丰	fʊŋ1	
串	tsʰyn5	
丸	jyn2	
丹	tan1	
主	tsy3	
乃	nai4	
久	tsɐu3	
之	tsi1	
乍	tsa5	
乎	wu1	
乏	fat8b	
乖	kai1	
乘	sɪŋ2	乘車
乘	sɪŋ6	萬乘之國
乙	jit7a	
九	kɐu3	
乞	hɐt7a	
也	jɛ4	
乳	ȵui4	
乾	kʰin2	乾坤
乾	kɔn1	乾燥
亂	lyn6	
了	liu4	
予	jy4	給予
事	si6	
二	ȵi6	
于	jy1	
云	wɐn5	
互	wu6	
五	ŋ̍4	
井	tɪŋ3	
亙	kɐŋ5	
些	ɬɛ1	
亞	a3	
亡	mɔŋ2	
亢	kʰɔŋ5	高亢
交	kau1	
亥	hɔi4	
亦	jɪk8a	
亨	hɐŋ1	
享	jɛŋ3	
京	kɪŋ1	
亭	tʰɪŋ2	
亮	lɛŋ6	
人	ȵɐn2	
什	sɐm6	什麼
什	sɐp8a	什錦
仁	ȵɐn2	
仆	pʰʊk7a	
仇	kʰɐu2	仇姓
仇	sɐu2	仇人
今	kɐm1	
介	kai5	
仍	ŋɪŋ2	
仔	tɐi3	豬仔
仔	ti3	仔細
仕	si6	
他	tʰa1	
仗	tsɛŋ6	仗義
仗	tsɛŋ5	打仗
付	fu6	
仙	ɬin1	
仝	tʰʊŋ2	
仞	ȵɐn6	
仟	tʰin1	
代	tɔi6	
令	lɪŋ6	命令
以	ji4	
仰	ŋɛŋ4	
仲	tsʊŋ6	
件	kin6	
任	ȵɐm6	信任
份	fɐn6	
仿	fɔŋ3	
企	kʰi4	
伊	ji1	
伍	ŋ̍4	
伏	fʊk8a	
伐	fat8b	
休	jɐu1	
伙	wɔ3	
伯	pɛk7b	老伯
估	ku3	估計
伴	pʰun4	
伶	lɪŋ2	
伸	sɐn1	
伺	si6	伺候
似	tʰi4	
伽	ka1	瑜伽
佃	tin6	佃農
佃	tʰin2	佃作
但	tan6	
佈	pu5	
位	wɐi6	
低	tɐi1	
住	tsy6	
佐	tɔ3	
佑	jɐu6	
佔	tsim5	
何	hɔ2	
佗	tʰɔ2	
余	jy2	
佚	jɐt8a	
佛	fɐt8a	佛教
佛	fɐt7a	仿佛
作	tɔk7b	
你	ni4	
佩	pʰui5	
佬	lɐu3	
佰	pɪk7a	
佳	kai1	
併	pɪŋ3	
使	sɐi3	使用
侃	hɔn3	
侄	tsɐt8a	
來	lɔi2	
侈	tsʰi3	
例	lɐi6	
侍	si6	
侏	tsy1	
供	kʊŋ1	提供
供	kʊŋ5	供奉
依	ji1	
侮	mu4	
侯	hɐu2	
侵	tʰɐm1	
侶	ly4	
便	pin6	便利
便	pʰin2	大腹便便
係	hɐi6	
促	tʰʊk7a	
俄	ŋɔ2	
俊	tɐn5	
俏	tʰiu5	
俐	li6	
俑	jʊŋ3	
俗	tʰʊk8a	
俘	fu1	
保	pɐu3	
俠	hap8b	
信	ɬɐn5	
修	ɬɐu1	
俯	fu3	
俱	ky6	
俸	fʊŋ3	
倆	lɛŋ4	
倉	tʰɔŋ1	
個	kɔ5	
倍	pʰui4	
倒	tɐu3	
倒	tɐu5	
倔	kɐt8a	
倖	hɐŋ6	
倘	tʰɔŋ3	
候	hɐu6	
倚	ji3	
借	tɛ5	
倡	tsʰɛŋ1	倡導
倦	kyn6	
倩	tʰin5	
倪	ŋɐi2	
倫	lɐn2	
倭	wɔ1	
值	tsɪk8a	
假	ka3	假如
偉	wɐi3	
偏	pʰin1	
偕	kai1	
做	tu5	
停	tʰɪŋ2	
健	kin6	
側	tsɐk7a	
偵	tsɪŋ1	
偶	ŋɐu4	
偷	tʰɐu1	
傅	fu6	師傅
傍	pɔŋ6	依山傍水
傍	pʰɔŋ2	傍晚
傑	kɛt8b	
傘	ɬan5	
備	pi6	
傢	ka1	
催	tʰui1	
傭	jʊŋ2	
傲	ŋɐu6	
傳	tsʰyn2	傳播
傳	tsyn6	自傳
債	tsai5	
傷	sɛŋ1	
傻	sɔ6	
傾	kʰɪŋ1	
僅	kɐn3	
像	tɛŋ6	
像	tʰɛŋ4	
僑	kʰiu2	
僕	pʊk8a	
僚	liu2	
僞	ŋɐi6	
僥	hiu1	僥倖
僧	ɬɐŋ1	
僮	tsɔŋ6	僮族
僮	tʰʊŋ2	書僮
僱	ku5	
僵	kɛŋ1	
價	ka5	
僻	pʰɪk7a	
儀	ȵi2	
儂	nʊŋ4	
億	ɪk7a	
儉	kim4	
儒	ȵy2	
儘	tɐn4	儘量
儘	tʰɐn4	儘管
償	sɛŋ3	
儡	lui4	
優	jɐu1	
儲	tʰy4	
儸	lɔ2	
儼	ȵim4	
允	jɐn4	
允	wɐn4	
元	ȵyn2	
兄	wɪŋ1	
充	tsʰʊŋ1	
兆	tsiu6	
兇	hʊŋ1	
先	ɬin1	
光	kɔŋ1	
克	hɐk7a	
兑	tui5	
免	min4	
兒	ȵi2	
兒	ȵi1	
兔	tʰu5	
兜	tɐu1	
兢	kɪŋ1	
入	ȵɐp8a	
内	nɔi6	
全	tʰyn2	
兩	lɛŋ4	兩個
兩	lɛŋ3	十兩
八	pat7b	
公	kʊŋ1	
六	lʊk8a	
兮	hɐi2	
共	kʊŋ6	
兵	pɪŋ1	
其	kʰi2	
具	ky6	
典	tim3	
兼	kim1	
冀	kʰi5	
冉	ȵim4	
册	tsʰɛk7b	
再	tɔi5	
冑	tsɐu6	
冒	mɐu6	冒犯
冕	min4	
冠	kun1	衣冠
冠	kun5	冠軍
冢	tsʰʊŋ3	
冤	jyn1	
冥	mɪŋ2	
冬	tʊŋ1	
冰	pɪŋ1	
冶	jɛ4	
冷	lɛŋ4	
冽	lɛt8b	
準	tsɐn3	
凋	tiu1	
凌	lɪŋ2	
凍	tʊŋ5	
凝	ŋɐŋ1	
凝	ŋɪŋ2	
几	ki1	
凡	fan2	
凰	wɔŋ2	
凱	hɔi3	
凳	tɐŋ5	
凶	hʊŋ1	
凸	tɐt8a	
凹	nɐp7a	
出	tsʰɐt7a	
函	ham2	
刀	tɐu1	
刁	tiu1	
刃	ȵɐn6	
分	fɐn1	分開
分	fɐn6	本分
切	tʰit7a	急切
刊	hɔn1	
刎	mɐn4	
刑	jɪŋ2	
划	wat8b	划算
划	wɛk8b	划船
列	lɛt8b	
初	tsʰɔ1	
判	pʰun5	
别	pɛt8b	
刨	pʰau2	
利	li6	
删	san1	
刮	kat7b	
到	tɐu5	
制	tsɐi5	
刷	sat7b	
券	kyn5	
刺	tʰi5	
刻	hɐk7a	
刴	tœ5	
剃	tʰɐi5	
則	tɐk7a	
削	ɬɛk7b	
剋	kʰɐk7a	
前	tʰin2	
刹	sat7b	
剔	tʰɪk7a	
剖	pʰɐu3	
