#漢字	音標	解釋
㓦	pɛ3	
㞞	suŋ2	
㩳	suŋ3	
一	i1	
丁	tiŋ1	
七	tɕʰi1	
万	uã5	
丈	tʂɑ̃5	
三	sã1	
上	xɑ̃5	(方位词:桌子~)
上	ʂɑ̃5	(动词)
下	ɕia5	
不	pu1	
与	y2	
丐	kɛ5	
丑	tʂʰou3	
專	tʂuã1	
且	tɕʰie1	
丕	pʰəi3	
世	ʂʅ5	
丘	tɕʰiou1	
丙	piŋ3	
業	ie5	
叢	tsʰəŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂʰəŋ2	
丢	tiou1	
兩	liɑ̃3	
嚴	iã2	
喪	sɑ̃1	(~事)
喪	sɑ̃5	(~失)
个	kə5	
丫	ia1	
中	tʂuŋ1	(~间)
中	tʂuŋ5	(~奖)
丰	fəŋ1	
串	tʂʰuã5	
臨	lɪ̃2	
丸	uã2	
丹	tã1	
爲	uəi2	
主	tʂu3	
麗	li5	
舉	tɕy3	
乃	nɛ3	
久	tɕiou3	
麽	muə2	
義	i5	
之	tʂʅ1	
烏	u1	
乍	tʂa5	
乎	xu2	
乏	fa2	
樂	yə1	(音~)
樂	luə5	
乒	pʰiŋ1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tʂʰəŋ2	
乙	i3	
乜	mie1	
九	tɕiou3	
也	iɛ2	
習	ɕi2	
鄉	ɕiɑ̃1	
書	fu1	(白)
書	ʂu1	(文)
買	mɛ3	
亂	luã5	
乳	lu3	(白)
乳	ʐu3	(文)
乾	tɕʰiã2	
了	liɔ3	
予	y2	
爭	tʂəŋ1	
事	ʂʅ5	
二	ɭ̩5	
于	y2	
虧	kʰuəi1	
云	yə̃2	
互	xu1	
五	u3	
井	tɕiŋ3	
亞	ia5	
些	ɕie1	
亢	kʰɑ̃5	
交	tɕiɔ1	
亦	i5	
產	tʂʰã3	
亨	xəŋ1	
享	ɕiɑ̃2	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liɑ̃5	
親	tɕʰɪ̃1	(~戚)
親	tɕʰiŋ5	(~家)
褻	ɕie5	
人	ʐə̃2	
億	i5	
什	ʂə̃3	(~么)
仁	ʐə̃2	
僅	tɕɪ̃3	
仆	pʰu3	
仇	tʂʰou2	(~恨)
仇	tɕʰiou2	(姓氏)
今	tɕɪ̃1	
介	tɕiɛ5	
仍	ʐəŋ3	
从	tsʰuŋ2	
仑	luə̃2	
倉	tsʰɑ̃1	
仔	tsɿ3	
仕	ʂʅ5	
他	tʰa3	
仗	tʂɑ̃5	
付	fu3	
仙	ɕiã1	
代	tɛ5	
令	liŋ3	(一~纸)
令	liŋ5	(命~)
以	i1	
仨	sa1	
儀	i2	
仰	iɑ̃3	
仲	tʂuŋ5	
件	tɕiã5	
價	tɕia5	
任	ʐə̃2	(姓氏)
任	ʐə̃5	(~务)
份	fə̃5	
仿	fɑ̃3	
企	tɕʰi2	
