#漢字	音標	解釋
一	i1	
七	tɕʰi1	
万	kuãn5	又
万	uãn5	又
三	sãn1	
上	ʂɑŋ1	
下	ɕia5	
世	ʂʅ5	
業	iɛ5	
東	tuŋ1	
絲	sɿ1	
丢	tiou1	
兩	liɑŋ3	
嚴	iãn2	
个	kɤ5	
中	tsuŋ1	
丰	fəŋ1	
主	tʂu3	
舉	tɕy3	
義	i5	
烏	u1	
九	tɕiou3	
習	ɕi2	
書	ʂu1	
買	mai3	
亂	lãn5	~七八糟
亂	luãn5	真~
爭	tsəŋ1	
事	sɿ5	
二	ər5	
虧	kʰuei1	
雲	yn2	
五	u3	
井	tɕiŋ3	
交	tɕiɑu1	
產	tsʰãn3	
亮	liɑŋ5	
親	tɕʰin1	
人	ʐən2	
倉	tsʰɑŋ1	
付	fu5	
件	tɕiãn5	
任	ʐən5	
休	ɕiou1	
優	iou1	
會	xuei5	
傘	sãn3	
傳	tʂʰuãn2	
傳	tʂuãn5	
傷	ʂɑŋ1	
位	uei5	
低	ti1	
住	tʂu5	
余	y2	
佛	fo2	
作	tsuo1	~死
作	tsuo5	工~
使	sɿ3	
侄	tʂʅ2	
側	tsai1	~歪
側	tsʰɤ5	~面儿
便	piãn5	
俊	tsuən5	
修	ɕiou1	
借	tɕiɛ5	
假	tɕia3	
做	tsou5	~饭，旧
做	tsuo5	~饭，新;~工作
停	tʰiŋ2	
健	tɕiãn5	
偷	tʰou1	
像	ɕiɑŋ5	
僧	səŋ1	
兒	ər2	
兄	ɕyŋ1	
充	tsʰuŋ1	
先	ɕiãn1	
光	kuɑŋ1	
黨	tɑŋ3	
入	ʐu5	
全	tɕʰyãn2	
八	pa1	
公	kuŋ1	
六	liou5	
蘭	lãn2	
共	kuŋ5	
關	kuãn1	
興	ɕiŋ5	
兵	piŋ1	
典	tiãn3	
寫	ɕiɛ3	
軍	tɕyn1	
冤	yãn1	
冬	tuŋ1	
冰	piŋ1	
冲	tsʰuŋ1	~锋
冲	tsʰuŋ5	说话很~
決	tɕyɛ2	
冷	ləŋ3	
凍	tuŋ5	
準	tʂuən3	
減	tɕiãn3	
湊	tsʰou5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyŋ1	
出	tʂʰu1	
擊	tɕi1	
刀	tɑu1	
分	fən1	
切	tɕʰiɛ1	
划	xua5	
列	liɛ5	
初	tsʰu1	
判	pʰãn5	
别	piɛ2	
刮	kua1	
制	tʂʅ5	
刷	sua1	~子
刷	sua2	淘汰
刷	sua5	~白
刺	tsʰɿ5	
刻	kʰɤ5	
剃	tʰi5	
削	ɕiɑu1	~铅笔;剥~，旧
削	ɕyɛ1	剥~
前	tɕʰiãn2	
劍	tɕiãn5	
剝	pɑu1	~花生
剝	po1	~削
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕiãn3	
副	fu5	
割	kɤ1	
劈	pʰi1	用刀~
劈	pʰi3	~开
力	li5	
勸	tɕʰyãn5	
辦	pãn5	
動	tuŋ5	
勁	tɕin5	
勤	tɕʰin2	
勺	ʂɑu2	
匀	yn2	
包	pɑu1	
化	xua5	
北	pei3	
匠	tɕiɑŋ5	
匹	pʰi1	一~马
匹	pʰi3	一~布
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pãn5	
華	xua2	
協	ɕiɛ2	
卒	tsu2	
單	tãn1	
賣	mai5	
南	nãn2	
占	tʂãn5	
衛	uei5	
印	in5	
危	uei1	
卷	tɕyãn3	
廠	tʂʰɑŋ3	
廳	tʰiŋ1	
历	li5	
厭	iãn5	
厚	xou5	
原	yãn2	
去	tɕʰy5	
縣	ɕiãn5	
参	sən1	
及	tɕi2	
雙	suɑŋ1	
反	fãn3	
发	fa3	
叔	ʂou1	称呼
叔	su1	~伯兄弟
取	tɕʰy3	
變	piãn5	
口	kʰou3	
古	ku3	
句	tɕy5	
叫	tɕiɑu5	
可	kʰɤ3	~以
可	kʰɤ1	副词，表强调
可	kɤ3	副词，表程度
台	tʰai2	
右	iou5	
葉	iɛ5	
號	xɑu5	
吃	tʂʰʅ1	
各	kɤ5	
吉	tɕi3	
名	miŋ2	
后	xou5	
向	ɕiɑŋ5	
呂	ly3	
吞	tʰuən1	
含	xən2	
聽	tʰiŋ1	
吳	u2	
吸	ɕi1	
吹	tsʰuei1	
味	uei5	
命	miŋ5	
咸	ɕiãn2	
品	pʰin3	
響	ɕiɑŋ3	
啞	ia3	
哭	kʰu1	
脣	tʂʰuən2	
唱	tʂʰɑŋ5	
善	ʂãn5	
喊	xãn3	
喜	ɕi3	
嘴	tsuei3	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yãn2	
困	kʰuən5	
圍	uei2	
國	kuo3	
圖	tʰu2	
圓	yãn2	
圈	tɕʰyãn1	
土	tʰu3	
地	ti5	
均	tɕyn1	
壞	xuai5	
坐	tsuo5	
坑	kʰəŋ1	
塊	kʰuai5	
墳	fən2	
垂	tsʰuei2	
墊	tiãn5	
埋	mei2	~起来
埋	mãn2	~怨
城	tʂʰəŋ2	
塔	tʰa3	
塞	sai1	
墨	mei5	旧
墨	mo5	
墩	tuən1	
壁	pi5	在“影~”中读pei0
壯	tsuɑŋ5	
聲	ʂəŋ1	
殼	kʰɤ2	硬纸~儿
殼	tɕʰiɑu5	地~
壺	xu2	
夏	ɕia5	
外	uai5	
多	tuo1	
夜	iɛ5	
够	kou5	
大	ta5	
天	tʰiãn1	
失	ʂʅ1	
頭	tʰou2	
夾	tɕia1	
奪	tuo2	
契	tɕʰi5	
女	ȵy3	
奴	nu2	
奸	tɕiãn1	
好	xɑu3	
如	ʐu2	
婦	fu5	
妹	mei5	
姐	tɕiɛ3	
姓	ɕiŋ5	
姜	tɕiɑŋ1	
姨	i2	
娘	ȵiɑŋ2	
婆	pʰo2	
婚	xuən1	
嫁	tɕia5	
嫂	sɑu3	
嫌	ɕiãn2	
嫩	nən5	
子	tsɿ3	
孔	kʰuŋ3	
字	tsɿ5	
孫	suən1	
孝	ɕiɑu5	
季	tɕi5	
學	ɕiɑu2	~堂
學	ɕyɛ2	~校
孽	ȵiɛ5	
安	nãn1	
宋	suŋ5	
完	uãn2	
官	kuãn1	
定	tiŋ5	
寶	pɑu3	
實	ʂʅ2	
客	tɕʰiɛ3	来~了
客	kʰɤ5	~气
宮	kuŋ1	
害	xai5	
容	ʐuŋ2	
寬	kʰuãn1	
宿	ɕiou3	住一~
宿	su5	~舍
寄	tɕi5	
密	mei5	~实
密	mi5	秘~
富	fu5	
寸	tsʰuən5	
對	tuei5	
寺	sɿ5	
尋	ɕin2	~媳妇儿
尋	ɕyn2	~找
壽	ʂou5	
封	fəŋ1	
射	ʂɤ5	
小	ɕiɑu3	
尖	tɕiãn1	
嘗	tʂʰɑŋ2	
尺	tʂʰʅ3	
尾	i3	~巴
尾	uei3	结~
局	tɕy2	
屁	pʰi5	
