#漢字	音標	解釋
一	i4	
七	tʰɑ7	
万	ɸuẽ6	
三	su1	
上	ɕiɑŋ4	
下	xu4	
世	sɿ5	
業	ȵiɛ4	官话
東	tiɛ1	
絲	sɿ1	
丟	tiɤɯ5	官话
兩	liã4	
嚴	iã4	官话
个	kuo7	官话
中	tɕiã1	
丰	xoŋ5	官话
主	tɕio3	
舉	ɕio3	白读
舉	tɕyi3	文读
義	ȵi7	
烏	u4	
九	tɕiɤɯ3	
習	ɕi4	官话
書	ɕio1	
買	mi4	
亂	loŋ6	
爭	tẽ1	
事	sɿ6	
二	nɤ6	
二	n̩6	
二	ɤ7	
亏	kʰuɑ1	
云	yi2	
五	n̩4	
井	tɕiu3	
交	kiɤɯ1	
產	tsʰã3	
亮	liɑŋ6	
親	tɕʰi1	
人	n̩2	
倉	tʰoŋ1	
付	xu7	
件	tɕiã7	官话
任	yẽ7	官话
任	iẽ7	官话
休	ɕiɤɯ5	官话
优	iɤɯ5	官话
會	xuɤ6	
傘	sẽ3	
傳	tsʰuã2	
傳	tsʰuã4	官话
傷	ɕiɑŋ1	
位	uɑ6	
低	ti1	
住	suo6	
余	yi4	官话
佛	fu4	官话
作	tɤ4	
使	sɿ3	
侄	ɕyɛ3	
側	tɕʰiu5	
便	pẽ5	
俊	tɕyẽ7	官话
修	ɕiɤɯ1	
借	tɕiu5	
假	ku3	
做	tɤ5	
停	tʰin6	
健	tɕiã5	
偷	tɕʰio4	
像	ɕiɑŋ5	
僧	sẽ5	官话
儿	ɤ4	官话
兄	ɕiu1	
充	tsʰoŋ5	官话
先	sẽ1	
光	kuɑŋ5	官话
党	tɑŋ3b	官话
入	n̩6	
全	tɕyẽ2	
八	pi7	
公	kiɛ1	
六	lu4	又读
六	liɤɯ6	白读
蘭	nu2	
共	kiɑ7	
關	kuẽ1	
興	ɕin7	官话
兵	piɤɯ1	
典	tiã3	官话
寫	ɕiu3	
軍	tɕyẽ5	官话
冤	uẽ1	
冬	tiɛ1	
冰	pin5	官话
冲	tsʰoŋ5	官话
决	tɕyɛ5	官话
冷	xoŋ2	寒：训读
凍	tiɛ5	
准	tɕyi3	
減	kẽ3	
湊	tʰɤɯ5	
几	tsɿ3	
鳳	xoŋ7	
凳	tiɛ5	
凶	ɕioŋ5	官话
