#漢字	音標	解釋
□	ʃiɪ̃1	1层，一~皮2拍打
□	miɐ̃2	
□	le1	2舔
□	tsʰui3	
□	tsʰiɐ1	~公，亲家公
□	nəŋ1	~烧，罗嗦，纠缠不清的意思
□	sɐ2	~母婆，坐月子的女人
□	tɕiɛ5	~带子
□	yu6	~了脚
□	pʰiɐ̃1	一大块
□	miɐ̃1	一大块
□	ȵiɔ6	不要
□	tiɐ̃1	丢;~石头
□	liɔ5	丢
□	niɐ̃2	举
□	ku6	他
□	nɐ̃5	伸脚
□	pʰɔ̃6	依靠、依仗
□	suoɛ1	倒霉，运气差
□	nəŋ6	做祟
□	vəŋ6	光环
□	nəŋ3	凸
□	iɛ5	凹陷
□	təˀ7	击、敷
□	ŋæ6	刀用力砍
□	niəu3	动词，扣
□	tʰiɐˀ7	勒，捆
□	tsʰiəu3	压、揉
□	ɕiəu5	去
□	h厚iəu5	去
□	ɕiəŋ3	吼
□	əŋ6	哄小孩拉屎的声音
□	ŋæ6	啃
□	tsɐ̃1	啄
□	vu2	坑
□	lɐ5	声音刺耳，动作敏捷
□	ʃɐ̃2	娶，~老婆
□	tiɔ̃2	小锣，~锣子
□	tɕʰiɐ̃6	小心、节省
□	səŋ2	差
□	siəŋ2	差
□	hɐ̃3	应声
□	ŋɐ1	张开
□	siɐ1	张开
□	ɕiɐ1	张开
□	læ2	忘而遗漏
□	tsẽ3	总，只
□	tɕʰiɐ2	扒上去
□	ɕyɛ5	扔
□	tsiu5	扭
□	tɕʰiɐ1	抓
□	ȵiɔ̃3	抖动
□	ȵiɔ̃5	抖，打谷后清出的禾叶
□	ŋɔ5	抬起头来
□	pəŋ3	抱
□	vẽ6	抱
□	siu3	抽打
□	nɐ̃1	拈
□	læ1	拉
□	mɔ3	拔草
□	vəŋ1	拥
□	sæ2	指肚子里没有油水
□	ve1	挖
□	lɔ6	捆、束、打
□	lu2	捋
□	nɐˀ7	捏
□	vɐ5	接吻
□	tsʰəŋ3	推
□	tsʰuẽ5	揉搓
□	tiɐ1	提
□	tʰiɐ1	提
□	tsʰiɔ5	插，~几皮篾子
□	siɔ5	插
□	kəŋ3	搅
□	tɕyẽ3	搅
□	kəŋ6	搅
□	məˀ7	搬起
□	lɐ1	摸、摸索
□	miɐ1	摸
□	pʰɔ̃3	撞
□	tsiɐ̃5	斜着倒
□	liəu2	来去
□	tsiɪ̃1	楔
□	ŋɔ2	歪
□	pʰæ1	死
□	liɪ̃1	沾
□	nɔ̃2	浪费
□	tʃe1	溻
□	tʰɔ̃3	滑
□	lui1	滚动
□	uoɛ5	炒，~菜
□	ŋɐ̃1	点头或撞头
□	læ6	烫
□	mɐ̃5	牛，~牯
□	nuẽ1	用手指搓揉
□	tsuẽ3	用篾片做的盖笼，盖
□	nɐ5	用烙热烫
□	kʰuoɛ6	用n型物盖
□	ŋɐ̃6	用力砍
□	neˀ7	用指甲掐
□	fẽ5	甩
□	liɐˀ7	畦
□	tɕʰyɛ6	疲劳、没精神
□	tsəŋ5	皱眉
□	tʰẽ5	直。这根树顶~
□	iɛ5	秕谷
□	lɔ5	稀疏
□	ləŋ5	空、洞
□	tʰæ1	类似拖鞋的鞋子或表拖的动作
□	niəu1	纽扣
□	tsuˀ7	绉
□	tʃʰɔ3	缝
□	ŋɔ1	缺口，如:刻一个~
□	tɕiɐˀ7	能干
□	tɕʰiɛ6	腋
□	pʰiɐ1	自然分开
□	liɐ̃5	自炫其物，逗引
□	iẽ3	菜汤
□	ȵiɪ̃5	蒂
□	piɐ̃5	藏
□	suoɛ3	蜂子叮人
□	væ1	调皮，称霸
□	tʃʰɔ1	谈、骗
□	ɕiɔ5	跷
□	piɐ1	踏
□	tiəu1	踢
□	nẽ5	踮，~起脚
□	miɐ1	蹲
□	pu1	蹲
□	tiɔ̃3	这样
□	mɐ̃1	遮、盖
□	hæ1	重口气训人
□	lu1	锈
□	ɕiɔ1	难，成问题
□	pẽ5	靠
□	hɔ̃3	食物发霉，生毛
㙲	iəŋ5	
㧡	kʰæ1	
㿭	tsʰɐˀ2	
䀇	ku3	~子
䁐	niɐ̃5	~牛
一	iɛ5	
丁	tẽ1	1
丁	tiɐ̃1	2
七	tsʰiɛ5	
万	vɐ̃6	
丈	tʃʰɔ̃6	
三	sɐ̃1	
上	ʃɔ̃3	上山
上	ʃɔ̃6	上面
下	hɐ6	~乡
下	hɐ3	上~
不	puoɛ5	
与	y2	
丐	kuoɛ5	
丑	tʃʰiu3	
專	tʃɔ̃1	
且	tsʰiɐ3	
丕	pʰe1	
世	ʃɿ5	
丘	ɕyu1	
丙	pẽ3	
業	ȵiɛ6	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丞	tʃʰẽ2	
丢	tiu1	1
丢	tiəu1	1
兩	liɔ̃3	
兩	liɔ̃1	斤~
嚴	ȵiɪ̃2	
喪	sɔ̃5	
个	ko5	1
个	kæ5	2量词
丫	ɐ1	
中	tʃəŋ1	
丰	fəŋ1	
串	tʃʰɔ̃5	
臨	lẽ1	
丸	iɔ̃2	
丹	tɐ̃1	
爲	vi2	
主	tʃu3	
麗	li6	
舉	tɕyu1	
乃	næ1	
久	tɕyu1	
義	ȵiɪ̃6	
之	tʃɿ1	
烏	vu1	
乍	tsɐ5	
乎	fu1	
乏	fɐ6	
樂	lo6	
樂	ŋəˀ7	
喬	tɕʰiɔ2	
乖	kuæ1	
乘	ʃẽ2	
乙	iɛ5	
九	tɕyu1	
乞	tɕʰiɛˀ7	
也	iɐ1	
習	suoɛ6	
鄉	ɕiɔ̃1	
書	ʃu1	
買	mæ1	
亂	lɔ̃6	
乳	lu3	1
