#漢字	音標	解釋
□	iaŋ2	一横
□	tʃʰiaŋ5	丢手巾
□	liaŋ1	体垢
□	iaŋ1	侧门
□	tə7	吸鼻涕
□	kʰuaŋ6	小孩子坐在大人肩头
□	ʃiaŋ3	给
□	liaŋ3	舔
□	kʰiaŋ5	色子
□	iaŋ2	酒坛
□	taŋ5	霜降
一	iɛ7	
丁	ɗiɛ̃n1	
七	tʰə7	
万	uan6	
丈	ʃiɛ4	
三	san1	
上	ʃiɛ5	
下	ɑ5	
不	ɓɛi5	
与	y3	
丑	tʃʰɔ3	
專	tʃyɛ̃n5	
世	ʃiɛ4	
丘	tʃʰiɔ1	
叢	ʃoŋ2	
東	ɗoŋ1	
絲	sɿ1	
丞	ʃə̃ŋ2	
丞	siɛ5	
兩	liɛ3	
喪	saŋ1	
个	kuo5	
丫	a1	
中	tʃoŋ1	~间
中	tʃoŋ5	~奖
丰	hoŋ1	
串	tʃʰuɛ̃n5	
臨	lə̃ŋ2	
丹	ɗan1	
爲	uɛi6	
主	tʃu3	
麗	li6	
舉	ky3	
乃	na4	
久	kiɔ3	
義	i5	官
之	tʃi1	
乍	tʃɑ5	
乎	fu2	
樂	luo6	
喬	kiu2	
乖	kua1	
乘	tʃʰə̃ŋ6	
乙	iɛ7	
九	kiɔ3	
也	ia4	
也	ɗə̃ŋ5	
習	sɿ6	
鄉	hiɛ1	
書	ʃu1	
書	kiu1	
買	ma4	
亂	lə̃ŋ6	
乳	y2	
乾	tʃʰiɛ̃n6	
了	liu4	
爭	tʃan1	
事	ʃiɛ6	
二	ȵi6	
于	y2	
虧	kʰuɛi1	
云	uɛ̃n2	
互	u6	
五	ŋ̍4	
井	tiɛ̃n3	
交	kiu1	
亥	a6	
產	tʃʰan3	
畝	mou4	
享	hiɛ3	
京	kiɛ̃n1	
亭	tɛ̃n6	
亮	liɛ6	
親	tʰə̃ŋ1	~戚
親	tʰiɛ̃n5	~家
人	ʃan1	
人	ȵiɛ̃n2	
什	ʃə5	
仁	iɛ̃n2	
仆	pʰu5	
仇	ʃɔ2	
今	kiɛ̃n1	
介	ka5	
从	ʃoŋ1	
倉	tʰoŋ1	
仕	ʃi4	
他	tʰa5	
仗	tʃiɛ5	
付	fu5	
仙	sɛ̃n1	
代	tɛ6	
令	liɛ̃n6	
儀	i2	
件	kiɛ̃n5	
價	tʃiɛ3	
價	kɑ5	
任	iɛ̃n5	官
份	pə̃ŋ6	
仿	huo3	
企	tʃʰi4	官
伏	u2	
衆	tʃoŋ5	
伙	fu3	
傘	san4	
偉	uɛi3	
傳	ʃyɛ̃n2	
傷	ʃiɛ1	
倫	lə̃ŋ2	
僞	uɛi6	
伯	ɓɑ5	
估	ku3	
伶	lɛ̃n2	
伸	ʃɛ̃n1	
伺	sɿ6	
似	ʃi4	
但	ɗan6	
佈	ɓu5	
位	uɛi6	
低	ɗiɛ1	
住	ʃu6	
佐	tuo3	
體	tʰi3	
余	y6	
佛	u2	
你	ni4	
佩	pʰɛi5	
佳	kɑ1	
使	ʃi3	
侄	ʃiɛ6	
例	li6	
侍	ʃi6	
供	koŋ1	
依	i1	
依	tʃiɛ5	
偵	tʃə̃ŋ1	
側	tʃɑ7	
僑	kiu2	
侯	ɔ6	
便	piɛ̃n2	
俊	tə̃ŋ5	
俗	su6	
保	ɓou3	
信	sə̃ŋ5	
倆	liɛ̃n4	
儉	kiɛ̃n3	
俯	fu3	
倒	ɗou4	~茶
倒	ɗou3	吹~
倔	kyɛ6	
候	ɔ6	
倚	i3	
倡	tʃʰiɛ3	官
倭	uo5	
債	tʃa5	
假	kɑ3	
偏	pʰiɛ̃n1	
停	tə̃ŋ2	
健	kiɛ̃n5	
偶	ŋou3	
偷	tʰɔ1	
償	ʃiɛ3	官
傅	pu5	
催	tʰuɛi1	
像	siɛ4	
僚	liu6	
僧	sɛ̃n1	
僵	kʰiɛ1	
僻	pʰi7	
兒	ȵi2	
允	hyn6	官
元	yɛ̃n2	
充	tʃʰoŋ1	
兆	tʃou5	
先	sɛ̃n1	
免	mɛ̃n4	
兑	ɗuɛi5	
兔	tʰu5	
黨	ɗoŋ3	
兜	ɗɔ1	
入	ȵiɛ6	
全	sə̃ŋ2	
八	ɓɑ5	
公	koŋ1	
六	luɛi5	
蘭	lan2	
共	koŋ5	
關	kuan1	
興	hiɛ̃n1	
興	ʃiɛ̃n5	高~
其	tʃʰi2	
具	ky5	
典	ɗɛ̃n3	
典	ɗoŋ4	~动
養	iɛ4	
兼	kiɛ̃n1	
獸	ʃɔ5	
冀	ki2	
内	nɛi6	
岡	koŋ1	
冉	ȵiɛ̃n4	
册	tʃʰiɛ5	
再	tɛ5	
冒	mou6	
寫	sɿ3	
軍	kyɛ̃n1	
農	noŋ2	
冠	kuan1	
冠	kuan5	
冤	yɛ̃n1	
冬	ɗoŋ1	
馮	oŋ2	
冰	ɓiɛ̃n1	
冲	tʃʰoŋ5	很~
決	kyɛ6	
况	kʰuə̃ŋ5	
冷	lɑ6	
凍	ɗoŋ6	
淨	ʃiɛ̃n6	
凄	tʃʰi1	
準	tʃuɛ̃n3	
涼	liɛ2	
涼	liɛ6	
凌	lə̃ŋ2	
減	kan3	
湊	tʰɔ5	
凝	ni6	
几	fan1	
几	ki3	
鳳	oŋ6	
凰	uo2	
凳	ɗə̃ŋ5	
凶	ʃiɔŋ1	
出	tʃʰiɛ5	
擊	ki6	
函	an2	
鑿	san6	
刀	ɗou1	
分	fə̃ŋ1	
分	ɗə̃ŋ5	
切	tʰi7	
划	hua5	
列	liɛ6	
劉	liɔ2	
則	tʃə6	
剛	koŋ1	
創	tʰə̃ŋ5	
初	tʃʰuo1	
删	sə̃ŋ1	
判	pʰə̃ŋ5	
利	li6	
别	piɛ6	
刮	kuɑ7	
到	ɗɔ5	
制	tʃi5	
刷	ʃua5	
券	kyɛ̃n5	
刺	tʰi5	
刴	ɗuo5	
劑	tʃi5	
剃	tʰiɛ5	
削	siu1	
前	sɛ̃n2	
剮	kuɑ3	
剖	pʰu3	
剝	ɓɛi7	
劇	ky5	
剩	ʃə̃ŋ6	
剪	tɛ̃n3	
副	fu5	
割	kuo5	
剿	tʃiɔ6	官
劈	pʰi7	
力	liɛ5	
勸	tʃʰyɛ̃n5	
辦	pan6	
功	koŋ1	
務	u6	
動	ʃɛ̃n1	
努	nu4	
勵	li6	
勁	kiɛ̃n5	
勢	ʃiɛ4	
勢	ʃiɛ5	
勇	iɔŋ3	
勉	mɛ̃n4	
募	mu6	
勤	kiɛ̃n2	
勾	kɔ1	
匀	uɛ̃n2	
包	ɓou1	
匆	tʰoŋ1	
匈	ʃiɔŋ1	
化	fɑ5	
北	ɓa7	
匙	ʃi2	
匠	siɛ6	
匡	kʰuaŋ1	
匣	kɑ5	
匪	fɛi3	
匹	pi2	
區	tʃʰy1	
醫	i1	
匾	ɓiɛ̃n3	
十	ʃə5	
千	tʰɛ̃n1	
升	ʃə̃ŋ1	
