#漢字	音標	解釋
□	tsa1	~在凳子上:踩、站在凳子上
□	tsʰua1	~~的:水流声
□	tsʰua1	~起袖子:撸起袖子
□	sɛe1	~活:形容人日子过得舒服、日子过得好
□	kɛe1	~钱:欠钱
□	kʰuɛe1	~~:尿盆
□	kʰuɛe1	~哄:安慰、哄人
□	tɕʰiɑo1	~~:鸟
□	tsʰəu1	~裤:提裤子
□	ŋəu1	~糊:形容食物糊了
□	ɕyɪ1	~车:推车
□	tɕiɑ̃1	~~地:刚刚好
□	suɑ̃1	~□tsɿ51:老实
□	pəŋ1	~颅:额头
□	tuŋ1	~乱子:闯祸
□	tuŋ1	~衣服:用缝纫机缝衣服
□	ɕia2	~礼:上礼
□	zua2	~衣服:搓衣服
□	uɤ2	~~:叔叔
□	pʰɛe2	~人:办丧事
□	mɛe2	~~:母乳
□	uɛe2	~东西:挪东西
□	mɑo2	~腰:弯腰
□	nɑo2	~碗:特别大的碗
□	nɑo2	~肥皂:抹肥皂
□	tʰiəu2	~上:提上
□	ȵiəu2	~~:泛指虫子
□	pʰiəŋ2	~气:形容一个人傲慢、不服气
□	tsʰɿ5	~了:污垢凝固在衣物上,无法清洗干净
□	ɕy5	~人:结了婚的女人
□	ȵia5	~干肉:猪头肉
□	xɛe5	~药:冲泡药物
□	kʰuei5	~瓜子:嗑瓜子
□	pʰiɪ5	~柴:劈柴
□	tɕiɪ5	~指甲:给指甲涂色
□	ɕiɪ5	~前天:大前天
□	pəŋ5	~了眼了:有东西进入眼睛,使得眼睛睁不开
□	məŋ5	~衣服:浸泡衣服
□	tʰuŋ5	~开点:分开点,留有一定的间隙
□	tɕyŋ5	~住:凝固住
□	tsʰaʔ7	~~:兜、口袋
□	tsʰaʔ7	~~地:迅速
□	saʔ7	~□kaʔ4:把剩下的一点点处理完
□	pʰiaʔ7	~□sei312:聊天
□	miaʔ7	~凉虫:知了
□	tsʰᴇʔ7	~媳妇:娶媳妇
□	liᴇʔ7	~干:把衣服拧干
□	tuᴇʔ7	~子:屁股
□	xaʔ8	~钵钵:拔火罐
□	pʰiaʔ8	~□zəŋ312:冷
□	tᴇʔ8	~□lɑo312:头
□	kᴇʔ8	~□laʔ4:耽搁
□	tsɛe1	“这块”合音
□	uɛe1	“兀块”合音
□	ȵia5	“人家”的合音
□	tsɿ1	□zɥ44~:干净、利索
□	təu1	□kᴇʔ4~:一种面食
□	luŋ1	□kuᴇʔ312~:滚动
□	luɑ̃2	□kuᴇʔ4~:花馒头
□	tʰaʔ7	□pᴇʔ312~上拖鞋:随意穿上拖鞋
□	tɕiaʔ7	□kuᴇʔ
□	tsʰa1	一~:大拇指和食指张开的最大距离
□	nɑo1	举
□	ma5	从门槛上~过去,意思同迈
□	tɕiəŋ1	先~她吃:照顾她,让她先吃
□	pʰaʔ8	冷
□	tɕɨ5	凝固
□	xuᴇʔ8	动词前缀,~悠、~闪
□	pᴇʔ8	名词前缀,~篮篮
□	pɛe1	后~:后面
□	zɑ̃2	含着、吃着、咀嚼着
□	miəŋ5	含在嘴里等融化
□	xəu1	哭
□	luɑ̃2	嘴里的话说不清楚
□	tu1	圪~:拳头
□	lɑo1	圪~~:角落
□	tɕiəu1	圪~:蹲下
□	lɨ2	圪~:松鼠
□	la5	圪~:角落
□	tsʰuᴇʔ7	圪~:表示人缩在一起
□	liᴇʔ7	坡~:形容坡很陡
□	tsɿ1	大声喊叫
□	tsa5	头发不柔顺
□	mɑ̃2	妈
□	tɕʰiɛ2	威胁
□	kɛe1	嫁
□	xei5	家
□	xəu2	小
□	pʰia2	形容把东西举到高处的动作
□	ȵiɛ2	形容动作缓慢、不迅速
□	za5	形容道路泥泞
□	ɕya5	形容人性子冲
□	tsʰuɛe5	形容邋遢、不利索
□	iɛ1	忘记、遗落
□	ɕiəŋ5	手气好
□	tʰaʔ7	扶
□	tʰuei5	把西瓜籽~出来:把西瓜籽吐出来
□	tɕiaʔ7	抠搜、不大方
□	pu5	抱
□	ȵiɛ1	拉屎
□	xəŋ1	指责、凶
□	ȵɨ1	挤
□	ɕia2	挪~~:走路
□	ȵiɪ2	捡
□	tɕɨ5	接~:关心
□	tuei1	摔
□	tsʰuaʔ7	撞
□	paʔ7	放在火旁边烤
□	tʰɛe1	没~倒性:形容人没德性
□	ȵiᴇʔ7	灯~~:灯芯
□	pɨ1	物品中间是空的,未达到饱和状态
□	naʔ7	睡~住了:深度睡眠
□	ȵiɪ2	硌
□	kʰəŋ5	碰
□	kua1	稀、不稠
□	luei5	稠
□	ya1	第三人称代词他、她、它
□	tʰiəŋ5	等
□	tɕʰyaʔ7	粘住
□	kuɛe1	累
□	pia1	缝补
□	tsʰɑo2	脏
□	mɑo1	舍弃或抵消,~了零头:零头就不要了,相互~了:相互抵消
□	tʰɛe2	藏
□	tɕiɑo1	衣服~偷走了:衣服让偷走了
□	ȵya2	表示把手握住的动作
□	xəŋ5	表示动作做的次数多或者一直持续,~看了:不停地看
□	mɑo2	跑~:闹肚子
□	tʰiəu1	路滑
□	ka1	这~:这里
□	lɑo5	这二年可是~下了:这二年可是赚下钱了
□	tsʰəŋ1	铲
□	ɕiɪ2	门~~:门槛儿
□	tɕya1	面料不好
□	pʰᴇʔ7	面~
□	ɕyɪ1	馒头~:形容馒头蓬松
□	tsʰua1	骂人
□	tɕya1	麻~:辣椒
一	iᴇʔ7	
丁	tiəŋ1	
丁	tɨ1	补~
七	tɕʰiᴇʔ7	
万	uɑ̃5	
丈	tsuɤ5	~人
三	sɑ̃1	
上	suɤ5	~头:上面
上	sɑ̃5	~班
下	xa5	~头
下	ɕia5	~降
不	pᴇʔ7	
与	y1	
丐	kɛe5	
丑	tsʰəu1	
專	tsuei1	
且	tɕʰiɛ1	
丕	pʰɨ1	
世	sɿ5	
丘	tɕʰiəu1	
丙	piəŋ1	
業	ȵiᴇʔ7	作~
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tsʰəŋ2	
丢	tiəu1	
兩	luɤ1	~个
兩	liɑ̃1	~米
嚴	iɪ2	~厉
嚴	ŋɑ̃2	~实
喪	sɑ̃5	
个	kɤ5	~体
个	kuᴇʔ8	两~
丫	ia1	
中	tsuŋ1	1~国
中	tsuŋ5	2~奖
丰	xuŋ1	
串	tsʰuei5	
臨	liəŋ2	
丸	uɑ̃2	
丹	tɑ̃1	
爲	uei2	1作~
爲	uei5	2~你好
主	tsɥ1	
麗	lɨ5	
舉	tɕy1	
久	tɕiəu1	
義	ɨ5	~气
義	ȵɨ5	仁~
之	tsɿ1	
烏	u1	1~鸦
烏	u5	2黑~~的
乎	xu1	
乏	xuaʔ7	
樂	laʔ7	
樂	yaʔ7	音~
乒	pʰiəŋ1	~乓球
乓	pʰɑ̃1	乒~
喬	tɕʰiɑo2	
乖	kuɛe1	
乘	tsʰəŋ2	
乙	iᴇʔ7	
乜	miaʔ7	没~:品行不正
九	tɕiəu1	
乞	tɕʰiᴇʔ7	
也	ia1	~是
習	ɕiᴇʔ7	1学~
習	ɕiᴇʔ8	2~惯
鄉	ɕiɑ̃1	
書	sɥ1	
買	mɛe1	
亂	luɑ̃5	
乳	zɥ1	
乾	tɕʰiɪ2	
了	liɑo1	~结
爭	tsəŋ1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yŋ2	
互	xu5	
五	uᴇʔ7	
井	tɕɨ1	~水
井	tɕiəŋ1	~冈山
亞	ia5	
些	ɕiɛ1	
亡	uɑ̃2	
交	tɕiɑo1	
亥	xɛe5	
產	tsʰɑ̃1	
畝	mu1	
享	ɕiɑ̃1	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	luɤ5	~哇记:形容很亮
亮	liɑ̃5	天~了
親	tɕʰiəŋ1	1~吻
親	tɕʰiəŋ5	2~家
人	zəŋ2	
億	ɨ5	
仁	zəŋ2	
仆	pʰu2	~人
仇	tsʰəu2	
今	tɕiəŋ1	
介	tɕiɪ5	~休:地名
从	tsʰuŋ2	
倉	tsʰɑ̃1	
仕	sɿ5	
仗	tsɑ̃5	打~
付	xu5	
仙	ɕiɪ1	
代	tɛe5	
令	liəŋ5	
以	ɨ1	
儀	ɨ2	~式
仰	iɑ̃1	
仲	tsuŋ5	
件	tɕiɪ5	
價	tɕia5	
任	zəŋ2	1姓
任	zəŋ5	2责~
份	xuŋ5	
仿	xuɑ̃1	模~
企	tɕʰɨ1	
伊	ɨ1	~利
伍	u1	退~
伏	xuᴇʔ8	三~天
伐	xuaʔ7	
休	ɕiəu1	
衆	tsuŋ5	
優	iəu1	
伙	xuei1	小~子
伙	xuɤ1	搭~
會	kʰuɛe5	1~计
會	xuɛe5	2~不~
會	xuei5	3开~
會	xua2	“~儿”的合音
傘	sɑ̃1	
傘	sa1	“~儿”的合音,雨~
偉	uei1	
傳	tsuei5	1水浒~
傳	tsʰuei2	2~说
傷	sɑ̃1	
倫	luŋ2	
僞	uei1	
伯	pia1	
估	ku1	
伴	pɑ̃5	
伸	səŋ1	
伺	tsʰɿ2	~候
似	sɿ5	
佃	tiɪ5	
但	tɑ̃5	
位	uei5	
低	tɨ1	
住	tsɥ5	
佐	tsuɤ2	
佑	iəu5	
體	tʰɨ1	
何	xei2	~家焉
何	xɤ2	姓~
佘	sɤ1	
余	y2	
佛	xuɤ2	拜~
作	tsaʔ7	~业~坊
作	tsuaʔ7	工~
你	nᴇʔ8	
佩	pʰɛe5	玉~
佳	tɕia1	
使	sɿ1	
侄	tsʰᴇʔ8	
侈	tsʰɿ1	奢~
例	lɨ5	
侍	sɿ5	
供	kuŋ1	1~不起
供	kuŋ5	2上~
