#漢字	音標	解釋
一	iæʔ7	
七	tsʰaʔ7	
万	mɑ6	
三	sɑ1	
上	dʑi6	
下	u3	
世	sɿ5	
業	ȵiæʔ8	
東	ɗoŋ1	
絲	sɿ1	
丢	ɗæi1	
兩	lɛ3	
嚴	ȵiɛ2	
个	kɑ5	
中	ɗoŋ1	白
中	tɕioŋ1	文
丰	foŋ1	
主	tsʮ3	
舉	tsʮ3	
義	n̩6	
烏	vu1	
九	tɕieu3	
習	zaʔ8	
書	sʮ1	
買	mɑ3	
亂	luɐ6	
爭	tsɛ1	
事	zɿ6	
二	n̩6	
虧	kʰuæi1	
雲	yaŋ2	
五	ŋø3	
井	tɕiŋ3	
交	ko1	
產	tsʰɑ3	
亮	lɛ6	
親	tsʰaŋ1	
人	neŋ2	白
人	zaŋ2	文
倉	tsʰo1	
付	fu5	
件	dʑiɛ4	
任	zaŋ6	
休	ɕieu1	
優	ieu1	
會	uæi6	
傘	sɑ3	
傳	dʑyɐ2	
傳	dʑyɐ6	
傷	ɕi1	
位	vu6	
低	ɗi1	
住	dzʮ6	
余	vu2	
佛	vaʔ8	
作	tsoʔ7	
使	sɿ3	
侄	dzaʔ8	
側	tsʰɛʔ7	
便	biɛ6	
俊	tɕyaŋ5	
修	ɕieu1	
借	tɕiu5	
假	ku3	
做	tsu5	
停	deŋ2	
健	dʑiɛ6	
偷	tʰæi1	
像	i4	
僧	tɕiŋ1	
兒	n̩2	
兄	ɕioŋ1	
充	tɕʰioŋ1	
先	ɕiɑ1	
光	ko1	
黨	ɗo3	
入	zaʔ8	
全	yɐ2	
八	ɓaʔ7	
公	koŋ1	
六	leuʔ8	
蘭	lɑ2	
共	dʑio6	
關	kaŋ1	
興	ɕiŋ5	
兵	ɓeŋ1	
典	ɗiɑ3	
寫	ɕiu3	
軍	tɕyaŋ1	
冤	yɐ1	
冬	ɗoŋ1	
冰	ɓeŋ1	
冲	tɕʰioŋ1	
決	tɕyæʔ7	
冷	lɛ3	
凍	ɗoŋ5	
準	tɕyaŋ3	
減	kɑ3	
湊	tsʰæi5	
几	kɛ3	
鳳	voŋ6	
凳	ɗeŋ5	
凶	ɕio1	
出	tɕʰyæʔ7	
擊	tsɿʔ7	
刀	ɗœ1	
分	faŋ1	
切	tɕʰiæʔ7	
划	uɛʔ8	
列	liæʔ8	
初	tsʰu1	
判	pʰuɐ5	
别	biæʔ8	
刮	kuæʔ7	
制	tsɿ5	
刷	saʔ7	
刺	tsʰɿ5	
刻	kʰɛʔ7	
剃	tʰi5	
削	sɿʔ7	
前	iɑ2	
劍	tɕiɛ5	
剝	ɓoʔ7	
劇	dzɿʔ8	
剩	iŋ6	
剪	tɕiɑ3	
副	fu5	
割	kuæʔ7	
劈	pʰiʔ7	
力	liʔ8	
勸	tɕʰyɐ5	
辦	bɑ6	
動	doŋ4	
勁	tɕiaŋ5	
勤	dʑiaŋ2	
勺	iʔ8	
匀	yaŋ2	
包	ɓo1	
化	xu5	
北	ɓɛʔ7	
匠	dʑi6	
匹	pʰiʔ7	
區	tsʰʮ1	
十	zaʔ8	
升	ɕiŋ1	
半	ɓuɐ5	
華	u2	
協	iæʔ8	
卒	tsaʔ7	
單	ɗɑ1	
賣	mɑ6	
南	nuɐ2	
占	tɕiɛ5	
衛	vu6	
印	iaŋ5	
危	ŋuæi1	
卷	tɕyaŋ3	
廠	tɕʰi3	
廳	tʰeŋ1	
历	liæʔ8	
厭	iɛ5	
厚	ɡæi4	
原	ȵyɐ2	
去	kʰi5	
縣	yɐ6	
参	saŋ1	
及	dʑiæʔ8	
雙	ɕio1	
反	ɓɑ3	白
反	fɑ3	文
发	faʔ7	
叔	ɕiuʔ7	
取	tsʰʮ3	
變	ɓiɛ5	
口	kʰæi3	
古	kø3	
句	tsʮ5	
叫	tɕiœ5	
可	kʰu3	
台	dɛ2	
右	ieu6	
葉	iæʔ8	
號	œ6	
吃	tsʰɿʔ7	
各	koʔ7	
吉	tɕiæʔ7	
名	meŋ2	
后	æi3	
向	ɕi5	
呂	leu3	
吞	tʰuɐ1	
含	ɡaŋ2	
聽	tʰeŋ1	
吳	ŋø2	
吸	ɕiæʔ7	
吹	tsʰʮ1	
味	mi6	
命	meŋ6	
咸	ɑ2	
品	pʰiaŋ3	
響	ɕi3	
啞	u3	
哭	kʰuʔ7	
脣	yaŋ2	
唱	tɕʰi5	
善	iɛ4	
喊	xɑ5	
喜	sɿ3	
嘴	tsʮ3	
器	tsʰɿ5	
四	sɿ5	
回	uæi2	
園	yɐ2	
困	kʰuaŋ5	
圍	vu2	
國	kuɛʔ7	
圖	deu2	
圓	yɐ2	
圈	tɕʰyɐ1	
土	tʰeu3	
地	di6	
均	tɕyaŋ1	
壞	uɑ6	
坐	zu4	
坑	kʰɛ1	
塊	kʰuæi5	
墳	vaŋ2	
垂	zʮ2	
墊	diɑ6	
埋	mɑ2	
城	iŋ2	
塔	tʰaʔ7	
塞	sɛʔ7	
墨	mɛʔ8	
墩	ɗaŋ1	
壁	ɓiʔ7	
壯	tɕio5	
聲	ɕiŋ1	
殼	kʰoʔ7	
壺	vu2	
夏	u6	
外	uɑ6	
多	ɗu1	
夜	iu6	
够	kæi5	
大	du6	
天	tʰiɑ1	
失	saʔ7	
頭	deu2	
夾	kaʔ7	
奪	daʔ8	
契	tsʰɿ5	
女	ȵieu3	
奴	nu2	
奸	kɑ1	
好	xœ3	
如	zʮ2	
婦	vu4	
妹	mɛ6	
姓	ɕiŋ5	
姜	tɕi1	
姨	i2	
娘	ȵi2	
婆	bu2	
婚	xuɐ1	
嫁	ku5	
嫂	sœ3	
嫌	ɑ2	
嫩	nuɐ6	
子	tsɿ3	
孔	kʰoŋ3	
字	zɿ6	
孫	suɐ1	
孝	xo5	
季	tsʮ5	
學	oʔ8	
孽	ȵiæʔ8	
安	uɐ1	
宋	soŋ5	
完	yɐ2	
官	kuɑ1	
定	deŋ6	
寶	ɓœ3	
實	zaʔ8	
客	kʰɛʔ7	
宮	tɕio1	白
宮	koŋ1	文
害	ɛ6	
容	io2	
寬	kʰuɑ1	
宿	ɕiuʔ7	
寄	tsɿ5	
密	miæʔ8	
富	fu5	
寸	tsʰuɐ5	
對	ɗæi5	
寺	zɿ6	
尋	zaŋ2	
壽	ieu6	
封	foŋ1	
射	iu6	
小	ɕiœ3	
尖	tɕiɛ1	
嘗	i2	
尺	tsʰɿʔ7	
尾	mi2	
局	dʑioʔ8	
屁	pʰi5	
層	iŋ2	
屋	uʔ7	
屬	ioʔ8	
山	sɑ1	
歲	sʮ5	
巖	ŋɑ2	
岸	uɐ6	
州	tɕieu1	
左	tsu3	
幣	bi6	
市	zɿ4	
布	ɓø5	
師	sɿ1	
希	sɿ1	
帶	ɗɑ5	
席	iʔ8	
幫	ɓo1	
帽	mœ6	
平	beŋ2	
年	ȵiɑ2	
幼	ieu1	
慶	tɕʰiŋ5	
牀	io2	
店	ɗiɑ5	
廟	miœ6	
府	fu3	
延	iɛ2	
建	tɕiɛ5	
開	kʰɛ1	
弄	loŋ6	
式	sɛʔ7	
引	iaŋ3	
弟	di4	
張	ɗɛ1	
彎	uɑ1	
弱	ȵiʔ8	
彈	dɑ2	
形	iŋ2	
影	iŋ3	
律	liæʔ8	
徐	zɿ2	
得	ɗɛʔ7	
心	saŋ1	
忙	mo2	
快	kʰuɑ5	
念	ȵiɑ6	
懷	ɡuɑ2	
懷	uɑ2	
急	tɕiæʔ7	
怪	kuɑ5	
恨	aŋ6	
恩	iɛ1	
恭	koŋ1	
息	sɿʔ7	
恶	oʔ7	
惜	sɿʔ7	
慣	kuɑ5	
想	ɕi3	
愁	zæi2	
意	i5	
感	kiɛ3	
慌	xo1	
慢	mɑ6	
憋	ɓiæʔ7	
懂	ɗoŋ3	
懶	lɑ3	
戲	sɿ5	
戒	kɑ5	
或	uɛʔ8	
戰	tɕiɛ5	
截	dʑiæʔ8	
戶	vu4	
房	vo2	
所	su3	
扁	ɓiɑ3	
扇	ɕiɛ5	
手	ɕieu3	
