#漢字	音標	解釋#('ltc_yt', '韻圖', '韻圖', '#4D4D4D', None, None, '來源：QQ共享文檔<a href=https://docs.qq.com/sheet/DYk9aeldWYXpLZENj>韻圖音系同音字表</a>', ' 1 1 平 ꜀, 3 2 上 ꜂, 5 3 去 ꜄, 7 4 入 ꜆', None, None)
#簡稱	/	韻圖#與文件名一致
#全稱	/	韻圖#xx話
#版本	/	#版本號或更新時間
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	 1 1 平 ꜀, 3 2 上 ꜂, 5 3 去 ꜄, 7 4 入 ꜆#每個聲調包括：五度調值 八聲 四聲 漢字調類 四角調類，調內用空格分隔，調間用逗號分開。如：55 1 1a 陰平 ꜀,35 2 1b 陽平 ꜁,214 3 2 上 ꜂,51 5 3 去 ꜄
#說明	/	來源：QQ共享文檔<a href=https://docs.qq.com/sheet/DYk9aeldWYXpLZENj>韻圖音系同音字表</a>#HTML格式，僅允許一行，用<br>換行
㐁	tʰɑm3	
㐁	tʰiem3	
㐆	ʔɨi̯1	
㐆	ʔɨn2	
㐭	ɭɨm2	
㐱	tʃɨn2	
㐲	dɑi3	
㐸	kʰɨem3	
㑁	ʈʉt4	
㑃	ʔɯau3	
㑉	sɨuk4	
㑗	ʃɨn1	
㑙	tiep4	
㑛	suk4	
㑛	ʃɨuk4	
㑜	jiei3	
㑜	ʈʰɨei3	
㑞	jɨŋ3	
㑟	puɛŋ2	
㑥	ji3	
㑦	liei3	
㑮	ɦun1	
㑮	ŋun1	
㑳	tʂʅu1	
㑳	dʐʅᵊu3	
㑳	ɳɯap4	
㑵	dzit4	
㑻	muat4	
㑿	dʐɯau3	
㒄	ɲʒɨen2	
㒄	ʃɨen2	
㒅	kʰiei2	
㒇	mvu2	
㒈	hɯam3	
㒊	ʂʅᵊp4	
㒋	si1	
㒌	ɡyeŋ1	
㒓	tʰɑt4	
㒔	duk4	
㒔	ʒɨuk4	
㒚	ʔun2	
㒚	ʔɨn3	
㒝	mvuɐt4	
㒝	miet4	
㒟	nieu2	
㒠	ɦɯai3	
㒥	pfʰuŋ1	
㒨	sien1	
㒳	ɭɨɔŋ2	
㒴	kut4	
㒸	zyi̯3	
㒹	tien1	
㒼	muon1	
㒽	kʰʉon1	
㒾	ji3	
㒾	ʃɨi̯3	
㓃	tu3	
㓃	ʈɯa3	
㓄	ʈɨm3	
㓊	duŋ3	
㓖	pit4	
㓚	kuŋ1	
㓝	ɦieŋ1	
㓠	tiem2	
㓢	lɑk4	
㓣	kʰɯap4	
㓤	kʰɯat4	
㓱	dəu1	
㓳	tiei1	
㓷	ŋɨei3	
㓹	tsʰyei3	
㓺	kɨen1	
㓻	kɑŋ1	
㓼	tʂʰʅi̯2	
㓼	tʂʰʅᵊt4	
㓽	dʐʅuŋ1	
㓽	dʐʅuŋ3	
㔂	ɭɨn3	
㔄	sɨuk4	
㔆	dzɑm3	
㔊	tʃɨen2	
㔋	kɯam1	
㔋	ɦɯam3	
㔋	lɑm3	
㔋	kɯam3	
㔌	dzəu1	
㔌	dzəu3	
㔍	tʂʰuat4	
㔍	tʂʰɯat4	
㔎	ŋɨt4	
㔎	siet4	
㔏	liek4	
㔒	ɦyei1	
㔓	kɨen2	
㔗	bvi3	
㔙	puɛŋ1	
㔝	ɭɨɔŋ2	
㔞	kʰuai1	
㔠	hɯat4	
㔡	piet4	
㔢	tsyet4	
㔣	luoi1	
㔣	luoi3	
㔥	buai3	
㔩	ʔɑp4	
㔪	lu2	
㔮	nɑ1	
㔯	zyen1	
㔲	kɨui2	
㔴	jɨk4	
㔶	kɑm2	
㔶	kuŋ3	
㔸	tʰiei1	
㔹	lək4	
㔻	pʰɨi̯1	
㕆	tu2	
㕆	ɦu3	
㕇	lɑp4	
㕈	ʔɑi2	
㕈	ʔuoi3	
㕊	pfʰu1	
㕋	ɡɨm1	
㕎	kʰɑp4	
㕒	ŋɨui1	
㕙	tsʰyn1	
㕙	tsyn3	
㕚	tʂɯau2	
㕛	ɨu̯2	
㕞	ʂuat4	
㕟	kʰuai3	
㕡	hɑk4	
㕢	ɦɯai3	
㕢	kɑi3	
㕣	jyen2	
㕦	ɦua3	
㕧	hɨi̯3	
㕬	tʃɨuŋ1	
㕭	ʔɯau1	
㕮	pfu2	
㕮	bvu3	
㕯	nut4	
㕯	ɳuat4	
㕯	ɲʒʉet4	
㕰	hɯak4	
㖃	ɦəu3	
㖃	həu2	
㖃	həu3	
㖅	syt4	
㖏	niet4	
㖑	hɯai3	
㖒	diei1	
㖘	tʃɨn1	
㖟	ʒɨu̯3	
㖥	ɡɨun3	
㖩	tsɨ̯u1	
㖪	huɛk4	
㖷	dʒɨi̯1	
㗁	ŋɑk4	
㗉	ɭɨɔk4	
㗊	tʂʅᵊp4	
㗔	kʰɨen1	
㗕	kəu1	
㗗	pɨi̯2	
㗘	puɔk4	
㗙	ɳɯap4	
㗚	ɭɨt4	
㗛	sieu3	
㗢	ɦuŋ1	
㗢	duŋ3	
㗢	ɦuŋ3	
㗤	tsɨuk4	
㗦	lɑu1	
㗧	ʈɨt4	
㗧	tiet4	
㗨	hɯai1	
㗩	sip4	
㗫	tsʰiet4	
㗬	ʈʰɯa1	
㗱	tsip4	
㗲	ɦuɛk4	
㗴	ŋɯan1	
㗵	hɨut4	
㗻	kuɔ1	
㗻	ɦuɔ1	
㗼	ŋɨep4	
㗾	hʉɔ1	
㗿	hɑ2	
㗿	hɯa2	
㗿	hɯa3	
㘀	tsɑk4	
㘀	tsuɔk4	
㘁	jiek4	
㘆	tʰɑi2	
㘈	ŋɨi̯3	
㘈	ŋɨk4	
㘉	tʂʅᵊt4	
㘋	ɨn1	
㘋	ɦien1	
㘌	ɡɨek4	
㘍	tsit4	
㘓	lɑn1	
㘙	ŋɨek4	
㘝	ɳɨp4	
㘝	ɳɯap4	
㘠	pɨk4	
㘣	hyen1	
㘥	jiu̯1	
㘨	niep4	
㘰	tʃɨm1	
㘱	tʰɑm1	
㘲	kɨuk4	
㘻	ʔin1	
㙀	ɭɨu̯3	
㙁	mvuk4	
㙄	biei3	
㙇	ʈʰɨuk4	
㙊	ɖɨɔŋ1	
㙏	pfʰuk4	
㙙	ɭɨuŋ2	
㙠	ʔiei1	
㙠	ʔiei3	
㙤	hɯa3	
㙨	ɡɨi̯1	
㙩	lieu1	
㙩	ɭɨeu3	
㙪	ʔɨi̯3	
㙪	ʔiei3	
㙱	ɦɑu3	
㙲	ʔɨuŋ3	
㙴	tʃʰɨem3	
㙷	ɖɨp4	
㙷	ɖɨep4	
㙻	ɖɨen1	
㚀	hɨi̯1	
㚁	kʰɨeu3	
㚂	nɑŋ3	
㚃	ʔɨun1	
㚅	ɭɨuŋ1	
㚇	tsuŋ1	
㚇	tsuŋ3	
