#漢字	音標	解釋
□	fa1	~谷种:撒谷
□	ʃa1	~日:明天
□	pʰan5	~谷:人工手甩使谷物脱粒
□	paŋ5	~草:薅草
□	ɛp7	~谷种:捂谷种让其发芽
□	tʰiap7	~笔
□	pət8	~芽:在地里发芽
□	ap8	乱说胡扯,乱(lɔn31~);~蚊(mən33);~嘴(tsɔi55)蚊(mən33)
□	iei5	乳
□	ȵiam1	吝啬
□	ia1	唱~:拜神
□	kiaŋ2	地方
□	lak7	小溪;~沟:水沟;屋~:阳沟(建筑物的排水沟)
□	mɛt7	形容人很矮
□	ȵət7	憋
□	ȵɛn3	掐
□	pʰat8	搧扇
□	ŋau2	摇
□	lim1	桔子瓣
□	ʃən2	河~:河堤
□	ʃiəu5	漂亮
□	luk8	热~~:阳光猛烈
□	vən3	牛~窝:牛在泥潭打滚
□	lu1	生锈
□	kʰəm3	用手使劲往下压
□	hɔi2	痒
□	ȵap7	眨眼
□	pʰaŋ1	秕谷
□	tiam3	臀
□	ʃiəu1	舒服
□	lɛp7	舔
□	nɔŋ1	裤档
□	ʃak8	跑
□	nap7	额头
□	iau5	骗
㪗	tʰɛu3	
一	iət7	
丁	tɛn1	
七	tʃʰit7	
万	van3	
丈	tsʰɔŋ3	
三	ɬam1	
上	ʃɔŋ3	上去
上	ʃɔŋ3	上面
下	ha1	~面
下	ha3	~巴
不	pət7	
与	i1	
丐	kʰai5	
丑	tsʰəu3	丑陋
丑	tsʰəu3	地支
專	tsɔn1	
且	tʃʰia3	
世	ʃi5	
丘	kʰiəu1	
丙	piaŋ3	
業	ȵiap8	
叢	tsʰuŋ2	
東	tuŋ1	
絲	ɬu1	
丞	tsʰən2	
丢	tiu1	
兩	liɔŋ3	两个
兩	liɔŋ1	斤~
嚴	ȵiam2	
喪	ɬɔŋ3	~失
喪	ɬɔŋ1	婚~
个	kɔ5	
丫	a1	
中	tsuŋ1	中间
中	tsuŋ5	射中
丰	fuŋ1	
串	tsʰɔn5	
臨	lim2	
丸	van2	
丹	tan1	
爲	vei3	~了
爲	vei2	行~
主	tsu3	
麗	li3	
舉	ki3	
乃	nai1	
久	kiəu3	
義	ȵi3	
之	tʃi1	
烏	vu1	
乍	tsa5	
乎	hu1	
乏	fat7	
樂	lɔk8	乐观
樂	lɔk8	音乐
喬	kʰiau2	
乖	kuai1	
乘	ʃən2	乘法
乙	iɛt7	
九	kiəu3	
乞	kʰi2	
也	ia1	
習	ɬip8	
鄉	ʃɔŋ1	
書	ʃu1	
買	mai1	
亂	lɔn3	
乾	kʰɛn2	
了	liau3	了结
了	liau3	了解
予	i1	
爭	tsaŋ1	
事	ɬu3	
二	ȵi5	
于	i1	
虧	kʰuei1	
云	iən2	古人有云
互	fu5	
五	ŋ̍3	
井	tʃiaŋ3	
亞	a3	
些	ɬei1	
交	kau1	
亥	hai3	
亦	i5	
產	tsʰan3	
亨	haŋ1	
畝	mɛu1	
享	ʃɔŋ3	
京	kin1	
亭	tʰin2	
亮	liɔŋ5	
親	tʃʰin1	亲生
親	tʃʰin1	亲家
人	ȵəm2	
億	i5	
什	ʃəp8	~锦
仁	iən2	
仄	tʃɛt7	
僅	kin3	
仆	pʰuk7	仆人
仆	pʰuk7	前仆后继
仇	tsʰəu2	仇恨
今	kiəm1	
介	kai5	
仍	ȵiam2	
从	tsʰuŋ2	从容
从	tsʰuŋ2	从来
仑	lən2	
倉	tsʰɔŋ1	
仕	ɬu3	
他	tʰa1	
仗	tsɔŋ5	
付	fu5	
仙	ɬɛn1	
代	tʰɔi3	
令	lin3	
令	laŋ3	
以	i1	
儀	ȵi3	
仰	ŋɔŋ1	
仲	tsʰuŋ5	
件	kʰɛn3	
價	ka5	
任	ȵəm3	任务
任	ȵəm3	姓
份	fən3	
仿	fɔŋ3	
企	kʰi3	
伊	i1	
伍	ŋ̍3	
伏	fuk8	
伐	fat7	
休	ʃəu1	
衆	tsuŋ5	
優	iəu1	
伙	fɔ3	伙计
伙	fɔ3	伙食
會	vei5	会走
會	kʰuai5	会计
