#漢字	音標	解釋
□	mei1	(对小孩的爱称相当于普通话用来称呼小孩的“宝贝")。
□	nia1	(人称代词:我)代词,自称或指称他人。
□	nao2	(动词,吃吃饭(外来词,从当地苗语借入)
□	tia2	(一小~一小点)量词兼名词,用以表示物体形体小。
□	tʰia2	(~他几下:给他几个耳光)用鞋垫~他一下:用鞋垫打他的脸。
□	tsʰuæi3	
□	sao5	a.形容词,粗糙b.形容词,表示嘴里因缺油荤而清汤寡水的感觉
□	xo1	~哄哄:骗人
□	ŋəu1	~地瓜:用手从土里将地瓜挖出来
□	nən1	~线:用食指和拇指搓线使其又细又直
□	muŋ1	~脸:用布遮着脸
□	ŋao1	~油:把猪油提炼出来食用
□	nan1	~巴:形容人又瘦又小
□	tʰi1	~菜:将菜茎部根部等的去除
□	kʰi1	~偷笑声
□	tɕʰio1	~鞭炮:点燃没有引火线的鞭炮
□	tiaŋ1	~水:提
□	ku1	~持:维持
□	sua1	~杂:付钱(借自苗语)。
□	luei1	~土:撬土
□	xuən1	~得~吃:随便吃
□	tao2	~奶:形容像老奶奶一样唠叨
□	kan2	~赶快
□	mi2	~灯:痴呆呆的
□	pʰia2	~他:扇他耳光
□	lia2	~等:最后一等
□	nien2	~菜:荚菜
□	la3	~tsa44(不讲卫生,不爱干净)
□	pei3	~故事:编故事
□	tsʰən3	~人:羞人
□	tsuŋ3	~饭:吃饭
□	xai3	~天~地:表示夸大其词
□	san3	~人:骂人
□	tiau3	~蛋鬼:调皮鬼
□	tsʰua3	~纸:撕纸
□	tsʰua3	~耳朵:因惩罚人用手将其耳朵迅速扯下。
□	ka5	~底:傻瓜。
□	to5	~子:马背上用来装东西的箩筐
□	lo5	~起来:堆起来
□	pʰao5	~妞:玩弄女人
□	kʰan5	~粑粑
□	tin5	~根:站着不动
□	niu5	~下:挪动一下。
□	liu5	~刷:动作敏捷
□	tɕʰia5	~过去:跨过去
□	tɕʰio5	~眼(眼睛不好,看走眼)。
□	ɕien5	~饭:节日时用丰盛的饭菜拜祭祖宗
□	tʰiaŋ5	~他几个耳光:扇他几个耳光。
□	tsʰuæi5	~婆娘:泼妇
□	pʰao1	一~尿
□	li1	一种吃菜的害虫。
□	tʰo2	一~肉
□	xa3	一问三不知,装傻
□	pʰei5	一~就跑了:转身就跑
□	zao5	一纸:把纸卷成一团
□	i1	三~:三叔
□	niau2	不~:不理
□	ku3	不服从
□	kʰuæi3	个子~个子又高又壮:强壮
□	tɕioŋ2	乱~形容像鸟窝一样乱
□	tsuæi3	傲慢
□	nuŋ5	像~:像这样
□	an1	再说一遍
□	pʰan3	别~我:别碰着我
□	xa1	动词,用手指抓;
□	no1	动词,睡觉(常用于和小孩交流)。
□	tʰai1	动词,骗人
□	sai1	动词,摇摇摆摆,借自当地苗语
□	tin1	动词,充满仇恨地看着
□	niu1	动词
□	pia1	动词,粘在一起
□	nia1	动词,粘住。
□	ŋa2	动词,用刀艰难地左右转动切东西
