#漢字	音標	解釋	#('nan_cs_fhxf', '鳳凰-新豐話', '鳳凰-新豐', '#FF6600', None, None, '版本：V1.0 (2021-12-31)<br>來源：<u>四方麻東</u>', '34 1 1a 陰平 ꜀,55 2 1b 陽平 ꜁,52 3 2a 陰上 ꜂,25 4 2b 陽上 ꜃,212 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,32 7 4a 陰入 ꜆,54 8 4b 陽入 ꜇')
一	it⑦4	it˧˨
一	tsek⑧8	tsɛk˥˦
丁	tenɡ①1	tɛŋ˧˦
七	tshit⑦4	tsʰit˧˨
丈	tsianɡ④6	tsiaŋ˨˥
丈	tionn④6	tiõ˨˥
丈	tnɡ④6	tŋ˨˥
三	sam①1	sam˧˦
三	sann①1	sã˧˦
上	sianɡ④6	siaŋ˨˥
上	tsionn④6	tsiõ˨˥
上	tsionn⑥7	tsiõ˨˨
上	tshionn④6	tsʰiõ˨˥
下	hia④6	hia˨˥
下	he④6	hɛ˨˥
下	e④6	ɛ˨˥
下	e⑥7	ɛ˨˨
下	ke④6	kɛ˨˥
不	put⑦4	put˧˨
丐	kai⑤3	kai˨˩˨
丑	thiu③2	tʰiu˥˨
且	tshiann③2	tsʰiã˥˨
丕	phi③2	pʰi˥˨
世	si⑤3	si˨˩˨
世	sua⑤3	sua˨˩˨
丘	khiu①1	kʰiu˧˦
丙	piann③2	piã˥˨
丞	senɡ②5	sɛŋ˥˥
丟	tiu①1	tiu˧˦
並	penɡ④6	pɛŋ˨˥
丫	a①1	a˧˦
中	tonɡ①1	toŋ˧˦
中	tonɡ⑤3	toŋ˨˩˨
中	tenɡ⑤3	tɛŋ˨˩˨
中	tanɡ①1	taŋ˧˦
串	tshuan⑤3	tsʰuan˨˩˨
丸	uan②5	uan˥˥
丸	inn②5	ĩ˥˥
丹	tan①1	tan˧˦
丹	tuann①1	tuã˧˦
主	tsu③2	tsu˥˨
乃	nai③2	nai˥˨
久	ku③2	ku˥˨
么	iau①1	iau˧˦
之	tsur①1	tsɯ˧˦
乍	tsann⑤3	tsã˨˩˨
乎	hu①1	hu˧˦
乏	huat⑧8	huat˥˦
乖	kuai①1	kuai˧˦
乘	senɡ②5	sɛŋ˥˥
乙	it⑦4	it˧˨
九	kiu③2	kiu˥˨
九	kau③2	kau˥˨
乞	khurt⑦4	kʰɯt˧˨
也	ia③2	ia˥˨
乳	ju③2	dzu˥˨
乾	khian②5	kʰiɛn˥˥
乾	khen②5	kʰɛn˥˥
乾	kan①1	kan˧˦
乾	kuann①1	kuã˧˦
亂	luan④6	luan˨˥
了	liau③2	liau˥˨
事	sur⑥7	sɯ˨˨
事	tai⑥7	tai˨˨
二	ji④6	dzi˨˥
二	ji⑥7	dzi˨˨
于	u①1	u˧˦
云	un⑥7	un˨˨
互	hu④6	hu˨˥
互	hou⑥7	hou˨˨
五	u③2	u˥˨
五	nɡou③2	ŋou˥˨
五	nɡou④6	ŋou˨˥
井	tsenn③2	tsɛ̃˥˨
些	se①1	sɛ˧˦
亞	a⑤3	a˨˩˨
亞	a①1	a˧˦
亡	buanɡ②5	buaŋ˥˥
交	kau①1	kau˧˦
亥	hai④6	hai˨˥
亦	ia⑥7	ia˨˨
亨	henɡ①1	hɛŋ˧˦
享	hianɡ③2	hiaŋ˥˨
京	kiann①1	kiã˧˦
亭	tenɡ②5	tɛŋ˥˥
亮	lianɡ④6	liaŋ˨˥
人	jin②5	dzin˥˥
人	nanɡ②5	naŋ˥˥
什	sim④6	sim˨˥
什	tsap⑧8	tsap˥˦
仁	jin②5	dzin˥˥
今	kim①1	kim˧˦
介	kai⑤3	kai˨˩˨
仍	jenɡ②5	dzɛŋ˥˥
仔	tsur③2	tsɯ˥˨
仔	tsai③2	tsai˥˨
仔	kiann③2	kiã˥˨
他	tha①1	tʰa˧˦
仗	tsianɡ④6	tsiaŋ˨˥
付	hu⑤3	hu˨˩˨
仙	sian①1	siɛn˧˦
仙	sen①1	tsɛn˧˦
代	tai⑤3	tai˨˩˨
代	to⑥7	to˨˨
代	thoi⑤3	tʰoi˨˩˨
令	lenɡ④6	lɛŋ˨˥
以	inn③2	ĩ˥˨
仰	nɡianɡ③2	ŋiaŋ˥˨
仲	tonɡ④6	toŋ˨˥
件	kiann④6	kiã˨˥
任	jim④6	dzim˨˥
任	jim⑥7	dzim˨˨
份	hun⑥7	hun˨˨
仿	huanɡ③2	huaŋ˥˨
企	ki④6	ki˨˥
企	khia④6	kʰia˨˥
伊	i①1	i˧˦
伍	nɡou③2	ŋou˥˨
伏	hok⑧8	hok˥˦
伐	huat⑧8	huat˥˦
休	hiunn①1	hiũ˧˦
伯	peh⑦4	pɛʔ˧˨
估	kou③2	kou˥˨
伴	phuann④6	pʰuã˨˥
伶	lenɡ②5	lɛŋ˥˥
伸	sin①1	sin˧˦
伸	tshun①1	tsʰun˧˦
伺	sur④6	sɯ˨˥
似	sur④6	sɯ˨˥
但	tan④6	tan˨˥
佈	pu⑤3	pu˨˩˨
佈	pou⑤3	pou˨˩˨
位	ui⑥7	ui˨˨
低	ti①1	ti˧˦
住	tsu④6	tsu˨˥
佐	tso③2	tso˥˨
何	ho②5	ho˥˥
何	ua②5	ua˥˥
余	ur②5	ɯ˥˥
佛	hut⑧8	hut˥˦
佛	hut⑦4	hut˧˨
作	tsak⑦4	tsak˧˨
作	tsoh⑦4	tsoʔ˧˨
佞	lenɡ④6	lɛŋ˨˥
你	lur③2	lɯ˥˨
佩	pue④6	puɛ˨˥
佳	kia①1	kia˧˦
使	sai③2	sai˥˨
使	sai⑤3	sai˨˩˨
侃	khan③2	kʰan˥˨
侄	tiat⑧8	tiɛt˥˦
侄	tet⑧8	tɛt˥˦
來	lai②5	lai˥˥
侈	tshi③2	tsʰi˥˨
例	li⑥7	li˨˨
侍	si④6	si˨˥
供	kionɡ①1	kioŋ˧˦
供	kenɡ①1	kɛŋ˧˦
依	i①1	i˧˦
侮	bu③2	bu˥˨
侯	hou②5	hou˥˥
侵	tshim②5	tsʰim˥˥
侶	lur④6	lɯ˨˥
便	pian④6	piɛn˨˥
便	pen④6	pɛn˨˥
便	pin⑥7	pin˨˨
便	pan②5	pan˥˥
係	hi④6	hi˨˥
促	tshok⑦4	tsʰok˧˨
促	tshek⑦4	tsʰɛk˧˨
俄	nɡo②5	ŋo˥˥
俊	tsun⑤3	tsun˨˩˨
俏	tshiau③2	tsʰiau˥˨
俗	sok⑧8	sok˥˦
俘	hu①1	hu˧˦
保	pau③2	pau˥˨
保	po③2	po˥˨
俟	sur④6	sɯ˨˥
俠	hiap⑧8	hiap˥˦
信	sin⑤3	sin˨˩˨
修	siu①1	siu˧˦
俯	hu③2	hu˥˨
俱	ku④6	ku˨˥
俸	honɡ③2	hoŋ˥˨
俾	pi③2	pi˥˨
倉	tshanɡ①1	tsʰaŋ˧˦
倉	tshnɡ①1	tsʰŋ˧˦
個	ko④6	ko˨˥
個	kai②5	kai˥˥
倍	pue④6	puɛ˨˥
倒	tau③2	tau˥˨
倒	to③2	to˥˨
倒	to⑤3	to˨˩˨
倔	khut⑦4	kʰut˧˨
倘	thanɡ③2	tʰaŋ˥˨
候	hau⑥7	hau˨˨
倚	i③2	i˥˨
倚	ua③2	ua˥˨
