#漢字	音標	解釋
一	i1	
七	tsʰi1	
万	væ̃5	
三	sæ̃1	
上	ʂɑŋ5	
下	xa5	白读
下	ɕia5	文读
世	ʂʅ5	
業	ȵie1	
東	tuŋ1	
絲	sɿ1	
丢	tsiəu1	
兩	liɑŋ3	
嚴	iæ̃2	~格
嚴	ȵiæ̃2	把门关~
个	kɔ5	
中	tʂəŋ1	
丰	fəŋ1	
主	tʂʅ3	
舉	tɕy3	
義	i5	
烏	vu1	
九	tɕiəu3	
習	si2	
書	ʂʅ1	
買	mᴇ3	
亂	luæ̃5	
爭	tsəŋ1	
事	sɿ5	
二	ər5	
虧	kʰuei1	
雲	yŋ2	
五	vu3	
井	tsiŋ3	
交	tɕiɔ1	
產	tsʰæ̃3	
亮	liɑŋ5	
親	tsʰiŋ1	
人	ʐəŋ2	
倉	tsʰɑŋ1	
付	fu5	
件	tɕiæ̃5	
任	ʐəŋ5	
休	ɕiəu1	
優	iəu1	
會	xuei5	
傘	sæ̃3	
傳	tʂʰæ̃2	
傳	tʂæ̃5	
傷	ʂɑŋ1	
位	vei5	
低	tsi1	
住	tʂʅ5	
余	y2	
佛	fo2	
作	tsuo1	
使	sɿ3	
侄	tʂʅ2	
側	tsei1	~棱:倾斜着
側	tsʰei1	~面
便	piæ̃5	
俊	tsuŋ5	
修	siəu1	
借	tsie5	
假	tɕia3	
做	tsu5	白读
做	tsuo1	文读
停	tsʰiŋ5	
健	tɕiæ̃3	
偷	tʰəu1	
像	siɑŋ5	
僧	səŋ1	
兒	ər2	
兄	ɕyŋ1	
充	tʂʰəŋ3	
先	siæ̃1	
光	kuɑŋ1	
黨	tɑŋ3	
入	ʐʅ1	
全	tsʰuæ̃2	白读
全	tɕʰyæ̃2	文读
八	pa1	
公	kuŋ1	
六	liəu1	
蘭	læ̃2	
共	kuŋ5	
關	kuæ̃1	
興	ɕiŋ5	
兵	piŋ1	
典	tsiæ̃3	
寫	sie3	
軍	tɕyŋ1	
冤	yæ̃1	
冬	tuŋ1	
冰	piŋ1	
冲	tʂʰəŋ1	
決	tɕye1	
冷	ləŋ3	
凍	tuŋ5	
準	tʂəŋ3	
減	tɕiæ̃3	
湊	tsʰəu5	
几	tɕi3	
鳳	fəŋ5	
凳	təŋ5	
凶	ɕyŋ1	
出	tʂʰʅ1	
擊	tɕi1	
刀	tɔ1	
分	fəŋ1	
切	tsʰie1	
划	xua5	
列	lie1	
初	tʂʰʅ1	
判	pʰæ̃5	
别	pie2	
刮	kua1	
制	tʂʅ5	
刷	ʂa1	
刺	tsʰɿ5	
刻	kʰei1	
剃	tsʰi5	
削	ɕyo1	
前	tsʰiæ̃2	
劍	tɕiæ̃5	
剝	pɔ1	~皮
剝	po1	~削
劇	tɕy5	
剩	ʂəŋ5	
剪	tsiæ̃3	
副	fu5	
割	kuo1	
劈	pʰi3	
力	li1	
勸	tɕʰyæ̃5	
辦	pæ̃5	
動	tuŋ5	
勁	tɕiŋ5	
勤	tɕʰiŋ2	
勺	ɕyo2	
匀	iŋ2	白读
匀	yŋ2	文读
包	pɔ1	
化	xua5	
北	pei1	
匠	tsiɑŋ5	
匹	pʰi3	
區	tɕʰy1	
十	ʂʅ2	
升	ʂəŋ1	
半	pæ̃5	
華	xua1	
協	ɕie2	
卒	tsu2	
單	tæ̃1	
賣	mᴇ5	
南	læ̃2	
占	tʂæ̃5	
衛	vei2	
印	iŋ5	
危	vei1	
卷	tɕyæ̃3	
廠	tʂʰɑŋ3	
廳	tsʰiŋ1	
历	li1	
厭	iæ̃5	
厚	xəu5	
原	yæ̃2	
去	tɕʰi5	白读
去	tɕʰy5	文读
縣	ɕiæ̃5	
参	səŋ1	
及	tɕi2	
雙	ʂɑŋ1	一~
雙	ʂɑŋ5	~生:双胞胎
反	fæ̃3	
发	fa1	
叔	ʂʅ2	
取	tɕʰy3	
變	piæ̃5	~化|~卦
變	pʰiæ̃5	~工
口	kʰəu3	
古	ku3	
句	tɕy5	
叫	tɕiɔ5	
可	kʰɔ3	
台	tʰᴇ2	
右	iəu5	
葉	ie1	
號	xɔ5	
吃	tʂʰʅ1	
各	kuo1	
吉	tɕi1	
名	miŋ2	
后	xəu5	
向	ɕiɑŋ5	
呂	ly3	
吞	tʰəŋ1	
含	xæ̃2	
聽	tsʰiŋ1	
吳	vu2	
吸	ɕi1	
吹	tʂʰei1	
味	vei5	
命	miŋ5	
咸	ɕiæ̃2	
品	pʰiŋ3	
響	ɕiɑŋ3	
啞	ia3	
哭	fu1	白读
哭	kʰu1	文读
脣	ʂəŋ2	
唱	tʂʰɑŋ5	
善	ʂæ̃5	
喊	xæ̃3	
喜	ɕi3	
嘴	tsuei3	
器	tɕʰi5	
四	sɿ5	
回	xuei2	
園	yæ̃2	
困	kʰuŋ5	
圍	vei2	
國	kuei1	
圖	tʰu2	
圓	yæ̃2	
圈	tɕʰyæ̃1	
土	tʰu3	
地	tsi5	
均	tɕyŋ1	
壞	xuᴇ5	
坐	tsuo5	
坑	kʰəŋ1	
塊	kʰuᴇ3	
墳	fəŋ2	
垂	tʂʰei5	
墊	tsʰiæ̃5	白读
墊	tsiæ̃5	文读
埋	mᴇ2	
城	tʂʰəŋ2	
塔	tʰa1	
塞	tsei1	~柴
塞	sei1	堵~
墨	mei2	
墩	tuŋ1	
壁	pi1	
壯	tʂɑŋ5	
聲	ʂəŋ1	
殼	tɕʰyo1	白读
殼	kʰuo1	文读
壺	xu2	
夏	ɕia5	
外	vᴇ5	
多	tuo1	
夜	ie5	
够	kəu5	
大	ta5	
天	tsʰiæ̃1	
失	ʂʅ1	
頭	tʰəu2	
夾	tɕia1	
奪	tuo2	
契	tɕʰi1	
女	ȵy3	
奴	lu2	
奸	tɕiæ̃1	
好	xɔ3	
如	ʐʅ2	
婦	fu5	
妹	mei5	
姐	tsie3	
姓	siŋ5	
姜	tɕiɑŋ1	
姨	i2	
娘	ȵia2	白读
娘	ȵiɑŋ2	文读
婆	pʰo2	
婚	xuŋ1	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕiæ̃2	
嫩	lyŋ5	
子	tsɿ3	
孔	kʰuŋ3	
字	tsɿ5	
孫	suŋ1	
孝	ɕiɔ5	
季	tɕi5	
學	ɕyo2	
孽	ȵie1	
安	ŋæ̃1	
宋	suŋ5	
完	væ̃2	
官	kuæ̃1	
定	tsiŋ5	
寶	pɔ3	
實	ʂʅ2	
客	kʰei1	
宮	kuŋ1	
害	xᴇ5	
容	yŋ2	
寬	kʰuæ̃1	
宿	ɕy1	
寄	tɕi5	
密	mi1	
富	fu5	
寸	tsʰuŋ5	
對	tuei5	
寺	sɿ5	
尋	siŋ2	
壽	ʂəu5	
封	fəŋ1	
射	ʂʅə5	
小	siɔ3	
尖	tsiæ̃1	
嘗	ʂɑŋ2	
尺	tʂʰʅ1	
尾	i3	白读
尾	vei3	文读
局	tɕʰy2	
屁	pʰi5	
層	tsʰəŋ2	
屋	vu1	
屬	ʂʅ3	
山	sæ̃1	
歲	suei5	
巖	iæ̃2	
岸	ŋæ̃5	
州	tʂəu1	
左	tsuo5	
幣	pi5	
市	sɿ5	
布	pu5	
師	sɿ1	
希	ɕi1	
帶	tᴇ5	
席	si2	
幫	pɑŋ1	
帽	mɔ5	
平	pʰiŋ2	
年	ȵiæ̃2	
幼	iəu5	
慶	tɕʰiŋ5	
牀	tʂʰɑŋ2	
店	tsiæ̃5	
廟	miɔ5	
府	fu3	
延	iæ̃2	
建	tɕiæ̃3	
開	kʰᴇ1	
弄	luŋ5	
式	ʂʅ1	
引	iŋ3	
弟	tsi5	
張	tʂɑŋ1	
彎	væ̃1	
弱	ʐuo1	
彈	tʰæ̃2	
形	ɕiŋ2	
影	ȵiŋ3	
律	ly1	
徐	ɕy2	
得	tei1	
心	siŋ1	
忙	mɑŋ2	
快	kʰuᴇ5	
念	ȵiæ̃5	
懷	xuᴇ2	
急	tɕi2	
怪	kuᴇ5	
恨	xəŋ5	
恩	ŋəŋ1	
恭	kuŋ1	
息	si1	
恶	ŋuo1	
惜	si1	
慣	kuæ̃5	
想	siɑŋ3	
愁	tsʰəu2	
意	i5	
感	kæ̃3	
慌	xuɑŋ1	
慢	mæ̃5	
憋	pie1	
懂	tuŋ3	
懶	læ̃3	
戲	ɕi5	
戒	tɕie5	
或	xuei2	
戰	tʂæ̃5	
截	tsʰie2	半~
截	tsie2	~断
戶	xu5	
房	fɑŋ2	
所	suo3	
扁	piæ̃3	
扇	ʂæ̃5	
手	ʂəu3	
扎	tsa1	
打	ta3	
托	tʰuo1	
扮	pæ̃5	
找	tsɔ3	
抄	tsʰɔ1	
把	pa3	
抓	tʂa1	
抖	təu3	
折	tʂʅə1	
搶	tsʰiɑŋ3	
抱	pɔ5	
抽	tʂʰəu1	
拆	tsʰei1	
拉	la1	
拍	pʰei1	
拐	kuᴇ3	
拖	tʰuo1	
拜	pᴇ5	
擁	yŋ1	
撥	po1	
擇	tsʰei2	白读
擇	tsei2	文读
挂	kua5	
指	tsɿ3	
挖	va1	
挺	tsʰiŋ3	
捏	ȵie1	
換	xuæ̃5	
排	pʰᴇ2	
接	tsie1	
插	tsʰa1	
握	ȵyo1	白读
握	vo1	文读
搬	pæ̃1	
搭	ta1	
摆	pᴇ3	
摇	iɔ2	
摘	tsei1	
摸	mo1	
撞	tʂʰɑŋ5	
撤	tʂʰʅə3	
擦	tsʰa1	
改	kᴇ3	
放	fɑŋ5	
敢	kæ̃3	
數	ʂʅ3	
數	ʂʅ5	
敲	tɕʰiɔ1	
整	tʂəŋ3	
料	liɔ5	
斜	sie2	
斷	tuæ̃5	
新	siŋ1	
方	fɑŋ1	
族	tsu2	
日	ər1	白读
日	ʐʅ1	文读
舊	tɕiəu5	
早	tsɔ3	
時	sɿ2	
旺	vɑŋ5	
明	miŋ2	
星	siŋ1	
春	tʂʰəŋ1	
顯	ɕiæ̃3	
曬	sᴇ5	
晚	væ̃3	
暖	luæ̃3	
暗	ŋæ̃5	
曲	tɕʰy1	
更	kəŋ1	
月	ye1	
有	iəu3	
朋	pʰəŋ2	
服	fu2	
朝	tʂʰɔ2	
木	mu1	
末	mo1	
本	pəŋ3	
殺	sa1	
雜	tsa2	
權	tɕʰyæ̃2	
杉	sa1	
李	li3	
村	tsʰuŋ1	
杜	tu5	
條	tsʰiɔ2	
來	lᴇ2	
杯	pʰei1	
杰	tɕie2	
松	suŋ1	
板	pæ̃3	
極	tɕi2	
林	liŋ2	
果	kuo3	
柄	piŋ3	
染	ʐæ̃5	白读
染	ʐæ̃3	文读
櫃	kuei5	
柱	tʂʅ5	
柴	tsʰᴇ2	
柿	sɿ5	
樹	ʂʅ5	
栗	li1	
校	ɕiɔ5	
樣	iɑŋ5	
根	kəŋ1	
格	kei1	
桂	kuei5	
桃	tʰɔ2	
桌	tʂuo1	
橋	tɕʰiɔ2	
樁	tʂɑŋ1	
桶	tʰuŋ3	
梗	kəŋ3	
