#漢字	音標	解釋
□	lai1	~摆:摆脸色
□	suɤ2	~叨,啰嗦
□	tsuaŋ3	~~,摆整齐
□	tsʰuaŋ3	~:用铲子铲清理
□	xai5	~应;嘈乱
□	nuɤ1	“那个”的合音
□	zaŋ2	不足
□	ȵiəu1	买,养
□	tsʰu1	伸
□	iɑ̃5	入迷
□	tiəu1	剩下
□	tsʰuɤ2	动词,逗
□	tsɿ5	压住
□	liəu5	在行,精通
□	kʰəu2	女孩脾气不好,可能是“可恶”的合音
□	tau3	好笑
□	iɒ2	威风
□	mo2	婴ㄦ不好哄
□	ɕyɑ̃2	差
□	tsʰuei2	布料顺滑
□	tɒ1	得劲.舒服
□	tɕʰyɜʔ7	恶搞,开玩笑
□	tsʰə5	扇耳光
□	təu3	手指肚上的圆圈
□	ly5	打
□	tsaŋ1	扔,投
□	uɤ1	折叠
□	paŋ1	拟声词
□	nai1	拿来
□	tsʰuɜʔ7	捣蛋,调皮
□	ləu2	掀开
□	tsaŋ5	放
□	xuŋ1	柿子熟透
□	tɕʰiaŋ1	欺负
□	kʰɑ̃5	正好
□	tsuaŋ5	水开之后将馍放到锅里
□	tɒ1	浪费
□	tɕʰiɘʔ7	液态固化
□	kuaŋ5	滑
□	ɕye1	滚动,打闹
□	kʰuɤ1	用棍子打
□	tsʰə2	用铁锹获取
□	ȵiau3	用长竿摘取枝叶
□	liɑ̃3	用铁锹聚集在一起
□	lyɜʔ7	用开水稍微煮一煮
□	tsɐʔ7	盛放
□	tɕiau3	碾
□	tsɿ5	称重
□	iɑ̃3	稀罕
□	təu1	穿上鞋
□	tɕʰyɘʔ7	脸上的痣
□	liəu3	衣服开线
□	maŋ1	赶紧,快点
□	ȵi5	踩
□	tɕʰiəu5	身体酸痛
□	tɕʰiɘʔ7	长得漂亮
□	kɘʔ7	音:咯吱,意为挠痒痒
□	kʰaŋ5	顶住·挨住
丁	tiŋ1	
七	tɕʰiɘʔ7	
万	vɑ̃5	
丈	tsaŋ5	
三	sɑ̃1	
上	saŋ5	
下	ɕiɒ5	
不	pɘʔ7	
丏	kai5	
丑	tsʰəu3	
專	tsuɑ̃1	~门
世	sɿ5	
丘	tɕʰiəu1	
丙	piŋ3	
業	iɜʔ7	
東	tuŋ1	
絲	sɿ1	
